
Spine Intensity Min Ch=2 Img=1
 ==================== 
Spine Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
1,,Spine,2,3,Image 1,3,1,100000003,610000006993,
1,,Spine,2,3,Image 1,3,1,100000003,610000007011,
0,,Spine,2,4,Image 1,3,1,100000003,610000007026,
0,,Spine,2,1,Image 1,2,1,100000003,610000007035,
0,,Spine,2,3,Image 1,2,1,100000003,610000007044,
0,,Spine,2,1,Image 1,1,1,100000000,610000007053,
0,,Spine,2,1,Image 1,1,1,100000000,610000007061,
0,,Spine,2,1,Image 1,1,1,100000000,610000007067,
0,,Spine,2,2,Image 1,2,1,100000001,610000007076,
0,,Spine,2,2,Image 1,2,1,100000001,610000007084,
0,,Spine,2,1,Image 1,2,1,100000001,610000007088,
0,,Spine,2,2,Image 1,2,1,100000003,610000007094,
0,,Spine,2,1,Image 1,2,1,100000003,610000007100,
0,,Spine,2,7,Image 1,3,1,100000002,610000007107,
0,,Spine,2,7,Image 1,3,1,100000002,610000007113,
0,,Spine,2,7,Image 1,3,1,100000002,610000007118,
0,,Spine,2,2,Image 1,2,1,100000003,610000007122,
0,,Spine,2,2,Image 1,3,1,100000001,610000007126,
0,,Spine,2,2,Image 1,3,1,100000003,610000007130,
0,,Spine,2,4,Image 1,2,1,100000001,610000007132,
0,,Spine,2,3,Image 1,2,1,100000001,610000007137,
0,,Spine,2,0,Image 1,1,1,100000000,610000007142,
0,,Spine,2,3,Image 1,2,1,100000001,610000007146,
1,,Spine,2,1,Image 1,1,1,100000000,610000007151,
0,,Spine,2,4,Image 1,2,1,100000002,610000007159,
0,,Spine,2,4,Image 1,2,1,100000001,610000007164,
0,,Spine,2,3,Image 1,1,1,100000003,610000007166,
0,,Spine,2,4,Image 1,2,1,100000002,610000007175,
0,,Spine,2,6,Image 1,4,1,100000001,610000007178,
0,,Spine,2,3,Image 1,1,1,100000002,610000007180,
0,,Spine,2,3,Image 1,2,1,100000002,610000007182,
0,,Spine,2,6,Image 1,4,1,100000003,610000007184,
0,,Spine,2,0,Image 1,1,1,100000003,610000007186,
0,,Spine,2,3,Image 1,2,1,100000002,610000007190,
0,,Spine,2,7,Image 1,1,1,100000001,610000007193,
0,,Spine,2,3,Image 1,2,1,100000002,610000007198,
0,,Spine,2,4,Image 1,2,1,100000001,610000007203,
0,,Spine,2,6,Image 1,5,1,100000003,610000007206,
0,,Spine,2,1,Image 1,2,1,100000003,610000007209,
0,,Spine,2,3,Image 1,1,1,100000002,610000007212,
0,,Spine,2,0,Image 1,1,1,100000000,610000007216,
0,,Spine,2,4,Image 1,3,1,100000003,610000007220,
0,,Spine,2,7,Image 1,2,1,100000000,610000007225,
0,,Spine,2,1,Image 1,1,1,100000001,610000007227,
0,,Spine,2,1,Image 1,1,1,100000000,610000007229,
0,,Spine,2,0,Image 1,1,1,100000000,610000007232,
0,,Spine,2,3,Image 1,2,1,100000001,610000007234,
0,,Spine,2,5,Image 1,2,1,100000001,610000007236,
0,,Spine,2,5,Image 1,2,1,100000002,610000007239,
0,,Spine,2,4,Image 1,2,1,100000002,610000007242,
0,,Spine,2,0,Image 1,1,1,100000001,610000007245,
0,,Spine,2,2,Image 1,3,1,100000000,610000007247,
0,,Spine,2,1,Image 1,2,1,100000003,610000007250,
0,,Spine,2,0,Image 1,1,1,100000002,610000007254,
0,,Spine,2,4,Image 1,2,1,100000001,610000007257,
0,,Spine,2,0,Image 1,1,1,100000000,610000007260,
