
Spine Number of Voxel Ch=3 Img=1
 ==================== 
Spine Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
204,,Spine,3,3,Image 1,2,1,100000001,610000001619,
69,,Spine,3,2,Image 1,2,1,100000001,610000001622,
344,,Spine,3,0,Image 1,1,1,100000002,610000001625,
105,,Spine,3,2,Image 1,3,1,100000002,610000001631,
189,,Spine,3,3,Image 1,2,1,100000001,610000001639,
70,,Spine,3,2,Image 1,2,1,100000002,610000001642,
178,,Spine,3,2,Image 1,3,1,100000002,610000001646,
73,,Spine,3,2,Image 1,1,1,100000000,610000001648,
85,,Spine,3,3,Image 1,1,1,100000002,610000001650,
70,,Spine,3,2,Image 1,2,1,100000001,610000001652,
198,,Spine,3,0,Image 1,1,1,100000002,610000001655,
263,,Spine,3,0,Image 1,1,1,100000002,610000001661,
210,,Spine,3,1,Image 1,1,1,100000002,610000001665,
74,,Spine,3,2,Image 1,3,1,100000002,610000001668,
199,,Spine,3,0,Image 1,1,1,100000002,610000001670,
178,,Spine,3,0,Image 1,1,1,100000002,610000001673,
62,,Spine,3,2,Image 1,2,1,100000001,610000001676,
225,,Spine,3,1,Image 1,1,1,100000002,610000001680,
91,,Spine,3,3,Image 1,2,1,100000002,610000001686,
243,,Spine,3,0,Image 1,1,1,100000002,610000001688,
119,,Spine,3,4,Image 1,2,1,100000002,610000001690,
98,,Spine,3,2,Image 1,2,1,100000001,610000001692,
75,,Spine,3,0,Image 1,1,1,100000002,610000001694,
206,,Spine,3,0,Image 1,1,1,100000002,610000001699,
676,,Spine,3,4,Image 1,3,1,100000000,610000001702,
218,,Spine,3,0,Image 1,1,1,100000002,610000001709,
128,,Spine,3,3,Image 1,2,1,100000001,610000001712,
106,,Spine,3,0,Image 1,1,1,100000002,610000001716,
303,,Spine,3,0,Image 1,1,1,100000002,610000001719,
166,,Spine,3,0,Image 1,1,1,100000002,610000001728,
79,,Spine,3,2,Image 1,1,1,100000000,610000001739,
66,,Spine,3,4,Image 1,3,1,100000000,610000001740,
25,,Spine,3,4,Image 1,2,1,100000000,610000001741,
84,,Spine,3,1,Image 1,2,1,100000001,610000001742,
79,,Spine,3,0,Image 1,1,1,100000001,610000001743,
96,,Spine,3,0,Image 1,1,1,100000001,610000001749,
86,,Spine,3,0,Image 1,1,1,100000001,610000001750,
116,,Spine,3,4,Image 1,1,1,100000002,610000001751,
76,,Spine,3,3,Image 1,2,1,100000002,610000001752,
164,,Spine,3,1,Image 1,1,1,100000002,610000001753,
174,,Spine,3,1,Image 1,1,1,100000002,610000001754,
308,,Spine,3,2,Image 1,2,1,100000002,610000001755,
312,,Spine,3,0,Image 1,1,1,100000002,610000001756,
92,,Spine,3,9,Image 1,5,1,100000002,610000001760,
158,,Spine,3,4,Image 1,2,1,100000002,610000001761,
96,,Spine,3,2,Image 1,2,1,100000002,610000001762,
63,,Spine,3,6,Image 1,4,1,100000002,610000001763,
81,,Spine,3,3,Image 1,3,1,100000002,610000001764,
40,,Spine,3,6,Image 1,4,1,100000002,610000001765,
234,,Spine,3,4,Image 1,2,1,100000002,610000001766,
168,,Spine,3,2,Image 1,1,1,100000002,610000001767,
217,,Spine,3,0,Image 1,1,1,100000002,610000001768,
338,,Spine,3,0,Image 1,1,1,100000002,610000001769,
179,,Spine,3,0,Image 1,1,1,100000002,610000001771,
