
Spine Position
 ==================== 
Spine Position X,Spine Position Y,Spine Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
2433.86,19928.1,1471.15,µm,Spine,Spine Position,0,1,1,100000002,610000001625,
2445.22,19930.6,1470.56,µm,Spine,Spine Position,0,1,1,100000001,610000001652,
2432.66,19929.5,1470.85,µm,Spine,Spine Position,0,1,1,100000002,610000001655,
2430.8,19928.8,1471,µm,Spine,Spine Position,0,1,1,100000002,610000001661,
2433.03,19928.7,1470.74,µm,Spine,Spine Position,0,1,1,100000002,610000001670,
2432.48,19930.7,1470.98,µm,Spine,Spine Position,0,1,1,100000002,610000001673,
2445.02,19927.8,1471.36,µm,Spine,Spine Position,0,1,1,100000001,610000001676,
2433.08,19928.7,1470.74,µm,Spine,Spine Position,0,1,1,100000002,610000001688,
2448.25,19929.7,1470.36,µm,Spine,Spine Position,0,1,1,100000001,610000001692,
2433.79,19928.2,1470.93,µm,Spine,Spine Position,0,1,1,100000002,610000001694,
2432.46,19930.9,1470.97,µm,Spine,Spine Position,0,1,1,100000002,610000001699,
2431.49,19929.9,1470.62,µm,Spine,Spine Position,0,1,1,100000002,610000001709,
2431.44,19929,1470.96,µm,Spine,Spine Position,0,1,1,100000002,610000001716,
2431.11,19928.8,1470.76,µm,Spine,Spine Position,0,1,1,100000002,610000001719,
2431.57,19929.7,1470.56,µm,Spine,Spine Position,0,1,1,100000002,610000001728,
2444.5,19932,1470.81,µm,Spine,Spine Position,0,1,1,100000001,610000001743,
2445.73,19925.5,1471.21,µm,Spine,Spine Position,0,1,1,100000001,610000001749,
2445.12,19927.1,1471.52,µm,Spine,Spine Position,0,1,1,100000001,610000001750,
2430.21,19927.7,1471.76,µm,Spine,Spine Position,0,1,1,100000002,610000001756,
2432.33,19931.8,1470.95,µm,Spine,Spine Position,0,1,1,100000002,610000001768,
2432.38,19931.3,1470.94,µm,Spine,Spine Position,0,1,1,100000002,610000001769,
2432.62,19929.7,1470.82,µm,Spine,Spine Position,0,1,1,100000002,610000001771,
2428.11,19925.9,1471.62,µm,Spine,Spine Position,1,1,1,100000002,610000001665,
2428.13,19925.9,1471.68,µm,Spine,Spine Position,1,1,1,100000002,610000001680,
2428.15,19925.9,1471.75,µm,Spine,Spine Position,1,1,1,100000002,610000001753,
2428.43,19926,1471.72,µm,Spine,Spine Position,1,1,1,100000002,610000001754,
2443.86,19932.1,1470.36,µm,Spine,Spine Position,1,2,1,100000001,610000001742,
2441.04,19933.8,1473.77,µm,Spine,Spine Position,2,1,1,100000000,610000001648,
2441.06,19933.6,1473.8,µm,Spine,Spine Position,2,1,1,100000000,610000001739,
2432.55,19932.7,1471.18,µm,Spine,Spine Position,2,1,1,100000002,610000001767,
2445.9,19924,1471.12,µm,Spine,Spine Position,2,2,1,100000001,610000001622,
2427.4,19925.9,1471.93,µm,Spine,Spine Position,2,2,1,100000002,610000001642,
2429.62,19926.9,1473.47,µm,Spine,Spine Position,2,2,1,100000002,610000001755,
2434.48,19926.1,1471.54,µm,Spine,Spine Position,2,2,1,100000002,610000001762,
2430.52,19926.5,1473.44,µm,Spine,Spine Position,2,3,1,100000002,610000001631,
2432.74,19929.3,1472.37,µm,Spine,Spine Position,2,3,1,100000002,610000001646,
2430.35,19926.5,1473.42,µm,Spine,Spine Position,2,3,1,100000002,610000001668,
2427.17,19924.1,1471.65,µm,Spine,Spine Position,3,1,1,100000002,610000001650,
2439.34,19923.4,1472.13,µm,Spine,Spine Position,3,2,1,100000001,610000001619,
2439.38,19923.6,1472,µm,Spine,Spine Position,3,2,1,100000001,610000001639,
2427.74,19924.3,1472.94,µm,Spine,Spine Position,3,2,1,100000002,610000001686,
2439.26,19923.6,1472.24,µm,Spine,Spine Position,3,2,1,100000001,610000001712,
2427.73,19924.3,1472.88,µm,Spine,Spine Position,3,2,1,100000002,610000001752,
2432.08,19933,1470.85,µm,Spine,Spine Position,3,3,1,100000002,610000001764,
2425.72,19923.1,1471.74,µm,Spine,Spine Position,4,1,1,100000002,610000001751,
2433.47,19925.6,1471.92,µm,Spine,Spine Position,4,2,1,100000002,610000001690,
2447.36,19937.9,1469.83,µm,Spine,Spine Position,4,2,1,100000000,610000001741,
2433,19925.9,1472.38,µm,Spine,Spine Position,4,2,1,100000002,610000001761,
2432.28,19933.2,1470.96,µm,Spine,Spine Position,4,2,1,100000002,610000001766,
2443.21,19933.3,1473.31,µm,Spine,Spine Position,4,3,1,100000000,610000001702,
2448.24,19935.5,1470.34,µm,Spine,Spine Position,4,3,1,100000000,610000001740,
2429.22,19934.6,1472.17,µm,Spine,Spine Position,6,4,1,100000002,610000001763,
2431.21,19933.5,1472.31,µm,Spine,Spine Position,6,4,1,100000002,610000001765,
2435.68,19923,1472.56,µm,Spine,Spine Position,9,5,1,100000002,610000001760,
