
Segment Branching Angle B
 ==================== 
Segment Branching Angle B,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,°,Segment,0,1,1,100000001,510000000123,
46.3378,°,Segment,5,1,1,100000000,510000000177,
50.4389,°,Segment,4,1,1,100000000,510000000188,
54.6618,°,Segment,3,1,1,100000000,510000000195,
5.81197,°,Segment,2,1,1,100000000,510000000277,
82.8236,°,Segment,1,1,1,100000000,510000000303,
0,°,Segment,0,1,1,100000000,510000000317,
51.5053,°,Segment,4,2,1,100000000,510000000393,
64.0369,°,Segment,5,2,1,100000000,510000000417,
87.4243,°,Segment,4,3,1,100000000,510000000424,
78.3611,°,Segment,3,2,1,100000000,510000000450,
61.8507,°,Segment,4,2,1,100000000,510000000454,
72.622,°,Segment,6,4,1,100000000,510000000486,
44.2642,°,Segment,5,3,1,100000000,510000000506,
68.9785,°,Segment,4,2,1,100000000,510000000517,
44.2272,°,Segment,3,2,1,100000000,510000000535,
25.2735,°,Segment,2,2,1,100000000,510000000537,
44.6726,°,Segment,1,2,1,100000000,510000000544,
0,°,Segment,0,1,1,100000000,510000000582,
20.4445,°,Segment,7,3,1,100000000,510000000614,
79.9972,°,Segment,6,3,1,100000000,510000000619,
91.9627,°,Segment,7,4,1,100000000,510000000622,
34.6015,°,Segment,5,1,1,100000000,510000000639,
38.6741,°,Segment,4,1,1,100000000,510000000649,
27.9705,°,Segment,3,1,1,100000000,510000000703,
26.8642,°,Segment,2,1,1,100000000,510000000707,
65.5523,°,Segment,1,1,1,100000000,510000000745,
0,°,Segment,0,1,1,100000000,510000000756,
55.0782,°,Segment,5,2,1,100000000,510000000765,
74.2764,°,Segment,4,2,1,100000000,510000000780,
48.1803,°,Segment,3,3,1,100000000,510000000841,
78.1825,°,Segment,2,2,1,100000000,510000000896,
25.261,°,Segment,1,2,1,100000000,510000000938,
41.7657,°,Segment,3,3,1,100000000,510000000978,
64.4057,°,Segment,3,2,1,100000000,510000000986,
78.7215,°,Segment,5,3,1,100000001,510000001034,
21.4813,°,Segment,4,2,1,100000001,510000001047,
47.4601,°,Segment,3,1,1,100000001,510000001073,
14.5708,°,Segment,2,1,1,100000001,510000001077,
77.4811,°,Segment,1,1,1,100000001,510000001114,
0,°,Segment,0,1,1,100000001,510000001150,
119.666,°,Segment,5,2,1,100000001,510000001210,
123.355,°,Segment,4,1,1,100000001,510000001218,
80.1184,°,Segment,3,2,1,100000001,510000001233,
90.0116,°,Segment,2,2,1,100000001,510000001238,
85.9489,°,Segment,2,2,1,100000000,510000001250,
50.5544,°,Segment,1,1,1,100000000,510000001264,
0,°,Segment,0,1,1,100000000,510000001290,
42.9021,°,Segment,5,2,1,100000000,510000001384,
6.8888,°,Segment,4,2,1,100000000,510000001394,
11.43,°,Segment,3,1,1,100000000,510000001417,
29.144,°,Segment,2,1,1,100000000,510000001457,
17.8125,°,Segment,1,1,1,100000000,510000001461,
0,°,Segment,0,1,1,100000000,510000001493,
60.8322,°,Segment,7,6,1,100000000,510000001522,
48.5592,°,Segment,6,5,1,100000000,510000001527,
39.9938,°,Segment,5,4,1,100000000,510000001529,
25.5774,°,Segment,4,3,1,100000000,510000001549,
28.4675,°,Segment,3,2,1,100000000,510000001583,
12.0443,°,Segment,2,1,1,100000000,510000001590,
48.0753,°,Segment,1,1,1,100000000,510000001602,
26.1139,°,Segment,7,5,1,100000000,510000001608,
37.0009,°,Segment,6,4,1,100000000,510000001620,
30.3293,°,Segment,6,4,1,100000000,510000001627,
49.854,°,Segment,6,3,1,100000000,510000001632,
45.1729,°,Segment,5,3,1,100000000,510000001642,
52.8851,°,Segment,7,2,1,100000000,510000001689,
62.3711,°,Segment,5,2,1,100000000,510000001694,
25.2606,°,Segment,4,1,1,100000000,510000001701,
24.4435,°,Segment,3,1,1,100000000,510000001722,
54.2991,°,Segment,4,2,1,100000000,510000001726,
117.045,°,Segment,4,1,1,100000000,510000001738,
123.931,°,Segment,3,2,1,100000000,510000001763,
71.4583,°,Segment,6,2,1,100000000,510000001782,
28.1676,°,Segment,5,1,1,100000000,510000001793,
42.0208,°,Segment,5,3,1,100000000,510000001815,
16.9635,°,Segment,4,3,1,100000000,510000001831,
78.9281,°,Segment,6,3,1,100000000,510000001846,
57.9403,°,Segment,7,2,1,100000000,510000001875,
31.8925,°,Segment,6,1,1,100000000,510000001878,
9.01851,°,Segment,8,1,1,100000000,510000001889,
62.5937,°,Segment,8,2,1,100000000,510000001899,
71.6952,°,Segment,5,3,1,100000000,510000001912,
37.439,°,Segment,4,2,1,100000000,510000001943,
3.29942,°,Segment,3,2,1,100000000,510000001950,
62.1604,°,Segment,2,2,1,100000000,510000001967,
42.0287,°,Segment,5,4,1,100000000,510000001976,
72.4591,°,Segment,7,3,1,100000000,510000001979,
