
Segment Intensity StdDev Ch=1 Img=1
 ==================== 
Segment Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
25.5202,,Segment,1,0,Image 1,1,1,100000001,510000000123,
20.8494,,Segment,1,5,Image 1,1,1,100000000,510000000177,
15.0012,,Segment,1,4,Image 1,1,1,100000000,510000000188,
25.8095,,Segment,1,3,Image 1,1,1,100000000,510000000195,
31.6171,,Segment,1,2,Image 1,1,1,100000000,510000000277,
26.4938,,Segment,1,1,Image 1,1,1,100000000,510000000303,
29.6276,,Segment,1,0,Image 1,1,1,100000000,510000000317,
21.4264,,Segment,1,4,Image 1,2,1,100000000,510000000393,
13.2957,,Segment,1,5,Image 1,2,1,100000000,510000000417,
12.3554,,Segment,1,4,Image 1,3,1,100000000,510000000424,
23.9246,,Segment,1,3,Image 1,2,1,100000000,510000000450,
22.7848,,Segment,1,4,Image 1,2,1,100000000,510000000454,
20.0131,,Segment,1,6,Image 1,4,1,100000000,510000000486,
26.8103,,Segment,1,5,Image 1,3,1,100000000,510000000506,
22.1171,,Segment,1,4,Image 1,2,1,100000000,510000000517,
19.1564,,Segment,1,3,Image 1,2,1,100000000,510000000535,
18.3551,,Segment,1,2,Image 1,2,1,100000000,510000000537,
21.9386,,Segment,1,1,Image 1,2,1,100000000,510000000544,
19.8298,,Segment,1,0,Image 1,1,1,100000000,510000000582,
33.5118,,Segment,1,7,Image 1,3,1,100000000,510000000614,
11.8488,,Segment,1,6,Image 1,3,1,100000000,510000000619,
16.9341,,Segment,1,7,Image 1,4,1,100000000,510000000622,
24.1315,,Segment,1,5,Image 1,1,1,100000000,510000000639,
24.9426,,Segment,1,4,Image 1,1,1,100000000,510000000649,
20.0301,,Segment,1,3,Image 1,1,1,100000000,510000000703,
20.324,,Segment,1,2,Image 1,1,1,100000000,510000000707,
24.1315,,Segment,1,1,Image 1,1,1,100000000,510000000745,
24.2798,,Segment,1,0,Image 1,1,1,100000000,510000000756,
23.0304,,Segment,1,5,Image 1,2,1,100000000,510000000765,
14.7685,,Segment,1,4,Image 1,2,1,100000000,510000000780,
23.3468,,Segment,1,3,Image 1,3,1,100000000,510000000841,
28.3997,,Segment,1,2,Image 1,2,1,100000000,510000000896,
26.7759,,Segment,1,1,Image 1,2,1,100000000,510000000938,
20.7494,,Segment,1,3,Image 1,3,1,100000000,510000000978,
20.2001,,Segment,1,3,Image 1,2,1,100000000,510000000986,
22.695,,Segment,1,5,Image 1,3,1,100000001,510000001034,
23.1695,,Segment,1,4,Image 1,2,1,100000001,510000001047,
24.5419,,Segment,1,3,Image 1,1,1,100000001,510000001073,
20.3099,,Segment,1,2,Image 1,1,1,100000001,510000001077,
19.6725,,Segment,1,1,Image 1,1,1,100000001,510000001114,
18.9245,,Segment,1,0,Image 1,1,1,100000001,510000001150,
22.7611,,Segment,1,5,Image 1,2,1,100000001,510000001210,
14.5142,,Segment,1,4,Image 1,1,1,100000001,510000001218,
21.2791,,Segment,1,3,Image 1,2,1,100000001,510000001233,
8.94753,,Segment,1,2,Image 1,2,1,100000001,510000001238,
17.2782,,Segment,1,2,Image 1,2,1,100000000,510000001250,
20.7889,,Segment,1,1,Image 1,1,1,100000000,510000001264,
27.7126,,Segment,1,0,Image 1,1,1,100000000,510000001290,
22.4721,,Segment,1,5,Image 1,2,1,100000000,510000001384,
19.6113,,Segment,1,4,Image 1,2,1,100000000,510000001394,
18.9762,,Segment,1,3,Image 1,1,1,100000000,510000001417,
21.9627,,Segment,1,2,Image 1,1,1,100000000,510000001457,
20.6884,,Segment,1,1,Image 1,1,1,100000000,510000001461,
24.8533,,Segment,1,0,Image 1,1,1,100000000,510000001493,
21.3313,,Segment,1,7,Image 1,6,1,100000000,510000001522,
17.382,,Segment,1,6,Image 1,5,1,100000000,510000001527,
