
Segment Orientation Angle
 ==================== 
Segment Orientation Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
107.637,°,Segment,0,1,1,100000001,510000000123,
-162.896,°,Segment,5,1,1,100000000,510000000177,
-130.667,°,Segment,4,1,1,100000000,510000000188,
178.519,°,Segment,3,1,1,100000000,510000000195,
-129.555,°,Segment,2,1,1,100000000,510000000277,
-135.359,°,Segment,1,1,1,100000000,510000000303,
-51.892,°,Segment,0,1,1,100000000,510000000317,
128.086,°,Segment,4,2,1,100000000,510000000393,
-70.5972,°,Segment,5,2,1,100000000,510000000417,
34.5364,°,Segment,4,3,1,100000000,510000000424,
-51.3189,°,Segment,3,2,1,100000000,510000000450,
-11.4292,°,Segment,4,2,1,100000000,510000000454,
26.816,°,Segment,6,4,1,100000000,510000000486,
86.0373,°,Segment,5,3,1,100000000,510000000506,
24.7477,°,Segment,4,2,1,100000000,510000000517,
84.7433,°,Segment,3,2,1,100000000,510000000535,
41.8383,°,Segment,2,2,1,100000000,510000000537,
56.7882,°,Segment,1,2,1,100000000,510000000544,
19.2115,°,Segment,0,1,1,100000000,510000000582,
-19.8787,°,Segment,7,3,1,100000000,510000000614,
-3.84603,°,Segment,6,3,1,100000000,510000000619,
81.1606,°,Segment,7,4,1,100000000,510000000622,
120.356,°,Segment,5,1,1,100000000,510000000639,
68.6406,°,Segment,4,1,1,100000000,510000000649,
75.7937,°,Segment,3,1,1,100000000,510000000703,
47.6941,°,Segment,2,1,1,100000000,510000000707,
23.8114,°,Segment,1,1,1,100000000,510000000745,
-10.1543,°,Segment,0,1,1,100000000,510000000756,
54.6676,°,Segment,5,2,1,100000000,510000000765,
4.73204,°,Segment,4,2,1,100000000,510000000780,
-68.4737,°,Segment,3,3,1,100000000,510000000841,
-105.562,°,Segment,2,2,1,100000000,510000000896,
-26.8432,°,Segment,1,2,1,100000000,510000000938,
-145.084,°,Segment,3,3,1,100000000,510000000978,
-43.4786,°,Segment,3,2,1,100000000,510000000986,
-101.611,°,Segment,5,3,1,100000001,510000001034,
-11.2256,°,Segment,4,2,1,100000001,510000001047,
-43.3551,°,Segment,3,1,1,100000001,510000001073,
-92.3988,°,Segment,2,1,1,100000001,510000001077,
-76.801,°,Segment,1,1,1,100000001,510000001114,
-152.981,°,Segment,0,1,1,100000001,510000001150,
123.713,°,Segment,5,2,1,100000001,510000001210,
-172.152,°,Segment,4,1,1,100000001,510000001218,
-163.175,°,Segment,3,2,1,100000001,510000001233,
13.7293,°,Segment,2,2,1,100000001,510000001238,
106.012,°,Segment,2,2,1,100000000,510000001250,
129.188,°,Segment,1,1,1,100000000,510000001264,
174.687,°,Segment,0,1,1,100000000,510000001290,
70.7456,°,Segment,5,2,1,100000000,510000001384,
113.399,°,Segment,4,2,1,100000000,510000001394,
119.633,°,Segment,3,1,1,100000000,510000001417,
124.21,°,Segment,2,1,1,100000000,510000001457,
95.6667,°,Segment,1,1,1,100000000,510000001461,
109.735,°,Segment,0,1,1,100000000,510000001493,
18.79,°,Segment,7,6,1,100000000,510000001522,
13.5465,°,Segment,6,5,1,100000000,510000001527,
-33.7979,°,Segment,5,4,1,100000000,510000001529,
-52.6776,°,Segment,4,3,1,100000000,510000001549,
-44.1646,°,Segment,3,2,1,100000000,510000001583,
-15.8602,°,Segment,2,1,1,100000000,510000001590,
-27.8517,°,Segment,1,1,1,100000000,510000001602,
-15.182,°,Segment,7,5,1,100000000,510000001608,
-62.8709,°,Segment,6,4,1,100000000,510000001620,
-94.9238,°,Segment,6,4,1,100000000,510000001627,
-170.924,°,Segment,6,3,1,100000000,510000001632,
158.461,°,Segment,5,3,1,100000000,510000001642,
64.1369,°,Segment,7,2,1,100000000,510000001689,
32.3196,°,Segment,5,2,1,100000000,510000001694,
-19.6549,°,Segment,4,1,1,100000000,510000001701,
6.10429,°,Segment,3,1,1,100000000,510000001722,
-11.6849,°,Segment,4,2,1,100000000,510000001726,
-116.706,°,Segment,4,1,1,100000000,510000001738,
-112.364,°,Segment,3,2,1,100000000,510000001763,
83.1359,°,Segment,6,2,1,100000000,510000001782,
-11.7313,°,Segment,5,1,1,100000000,510000001793,
121.674,°,Segment,5,3,1,100000000,510000001815,
80.8961,°,Segment,4,3,1,100000000,510000001831,
-83.1458,°,Segment,6,3,1,100000000,510000001846,
67.7541,°,Segment,7,2,1,100000000,510000001875,
10.39,°,Segment,6,1,1,100000000,510000001878,
-84.8192,°,Segment,8,1,1,100000000,510000001889,
-34.9868,°,Segment,8,2,1,100000000,510000001899,
174.322,°,Segment,5,3,1,100000000,510000001912,
-111.595,°,Segment,4,2,1,100000000,510000001943,
-74.2213,°,Segment,3,2,1,100000000,510000001950,
