
Spine Intensity Mean Ch=3 Img=1
 ==================== 
Spine Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
32.7638,,Spine,3,3,Image 1,1,1,100000001,610000003210,
13.8667,,Spine,3,3,Image 1,2,1,100000000,610000003212,
34.2184,,Spine,3,5,Image 1,1,1,100000000,610000003216,
19.9208,,Spine,3,1,Image 1,2,1,100000000,610000003219,
17.125,,Spine,3,3,Image 1,1,1,100000000,610000003221,
25.0635,,Spine,3,0,Image 1,1,1,100000001,610000003223,
41.1053,,Spine,3,3,Image 1,1,1,100000001,610000003229,
36.0709,,Spine,3,0,Image 1,1,1,100000001,610000003234,
18.8397,,Spine,3,5,Image 1,2,1,100000000,610000003236,
40.5,,Spine,3,3,Image 1,3,1,100000000,610000003238,
38.7879,,Spine,3,0,Image 1,1,1,100000001,610000003244,
28.5876,,Spine,3,5,Image 1,2,1,100000000,610000003247,
35.2257,,Spine,3,1,Image 1,2,1,100000000,610000003253,
15.6154,,Spine,3,3,Image 1,3,1,100000000,610000003256,
57.0241,,Spine,3,0,Image 1,1,1,100000000,610000003260,
20.8934,,Spine,3,5,Image 1,1,1,100000000,610000003262,
29.9314,,Spine,3,2,Image 1,2,1,100000000,610000003265,
46.9711,,Spine,3,6,Image 1,2,1,100000000,610000003268,
62.5034,,Spine,3,8,Image 1,1,1,100000000,610000003273,
38.9271,,Spine,3,1,Image 1,2,1,100000000,610000003277,
40.6618,,Spine,3,0,Image 1,1,1,100000001,610000003282,
28.6842,,Spine,3,5,Image 1,3,1,100000000,610000003284,
28.9841,,Spine,3,5,Image 1,3,1,100000000,610000003287,
47.5461,,Spine,3,6,Image 1,3,1,100000000,610000003290,
45.635,,Spine,3,6,Image 1,2,1,100000000,610000003292,
44,,Spine,3,1,Image 1,2,1,100000000,610000003294,
32.027,,Spine,3,2,Image 1,1,1,100000000,610000003297,
28.4318,,Spine,3,5,Image 1,2,1,100000000,610000003301,
28.125,,Spine,3,2,Image 1,2,1,100000000,610000003304,
31.5865,,Spine,3,5,Image 1,4,1,100000000,610000003306,
27.8602,,Spine,3,3,Image 1,1,1,100000000,610000003309,
34.6164,,Spine,3,3,Image 1,2,1,100000000,610000003311,
