
Spine Intensity StdDev Ch=1 Img=1
 ==================== 
Spine Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
32.4049,,Spine,1,3,Image 1,1,1,100000001,610000003210,
9.22874,,Spine,1,3,Image 1,2,1,100000000,610000003212,
21.8231,,Spine,1,5,Image 1,1,1,100000000,610000003216,
11.0128,,Spine,1,1,Image 1,2,1,100000000,610000003219,
9.84238,,Spine,1,3,Image 1,1,1,100000000,610000003221,
18.0633,,Spine,1,0,Image 1,1,1,100000001,610000003223,
23.1908,,Spine,1,3,Image 1,1,1,100000001,610000003229,
26.9251,,Spine,1,0,Image 1,1,1,100000001,610000003234,
19.2463,,Spine,1,5,Image 1,2,1,100000000,610000003236,
28.5449,,Spine,1,3,Image 1,3,1,100000000,610000003238,
24.1443,,Spine,1,0,Image 1,1,1,100000001,610000003244,
15.0038,,Spine,1,5,Image 1,2,1,100000000,610000003247,
20.907,,Spine,1,1,Image 1,2,1,100000000,610000003253,
14.8674,,Spine,1,3,Image 1,3,1,100000000,610000003256,
27.0962,,Spine,1,0,Image 1,1,1,100000000,610000003260,
12.3648,,Spine,1,5,Image 1,1,1,100000000,610000003262,
20.8234,,Spine,1,2,Image 1,2,1,100000000,610000003265,
24.6425,,Spine,1,6,Image 1,2,1,100000000,610000003268,
43.6515,,Spine,1,8,Image 1,1,1,100000000,610000003273,
27.1583,,Spine,1,1,Image 1,2,1,100000000,610000003277,
24.1047,,Spine,1,0,Image 1,1,1,100000001,610000003282,
16.199,,Spine,1,5,Image 1,3,1,100000000,610000003284,
18.9124,,Spine,1,5,Image 1,3,1,100000000,610000003287,
24.7067,,Spine,1,6,Image 1,3,1,100000000,610000003290,
20.7443,,Spine,1,6,Image 1,2,1,100000000,610000003292,
20.1411,,Spine,1,1,Image 1,2,1,100000000,610000003294,
21.279,,Spine,1,2,Image 1,1,1,100000000,610000003297,
14.9451,,Spine,1,5,Image 1,2,1,100000000,610000003301,
17.0064,,Spine,1,2,Image 1,2,1,100000000,610000003304,
27.9249,,Spine,1,5,Image 1,4,1,100000000,610000003306,
19.5304,,Spine,1,3,Image 1,1,1,100000000,610000003309,
21.2546,,Spine,1,3,Image 1,2,1,100000000,610000003311,
42.0423,,Spine,1,7,Image 1,3,1,100000000,610000003315,
20.9418,,Spine,1,1,Image 1,2,1,100000000,610000003317,
17.6288,,Spine,1,0,Image 1,1,1,100000001,610000003319,
27.2141,,Spine,1,3,Image 1,3,1,100000000,610000003322,
24.8319,,Spine,1,0,Image 1,1,1,100000001,610000003325,
18.8504,,Spine,1,3,Image 1,2,1,100000000,610000003330,
21.4792,,Spine,1,1,Image 1,2,1,100000000,610000003334,
22.8725,,Spine,1,0,Image 1,1,1,100000001,610000003338,
26.5927,,Spine,1,0,Image 1,1,1,100000001,610000003344,
18.6688,,Spine,1,3,Image 1,3,1,100000000,610000003346,
22.379,,Spine,1,4,Image 1,1,1,100000000,610000003348,
17.7411,,Spine,1,1,Image 1,2,1,100000000,610000003351,
28.1206,,Spine,1,0,Image 1,1,1,100000001,610000003355,
13.1086,,Spine,1,1,Image 1,1,1,100000000,610000003357,
24.5873,,Spine,1,0,Image 1,1,1,100000001,610000003360,
20.4765,,Spine,1,6,Image 1,2,1,100000000,610000003363,
24.2847,,Spine,1,0,Image 1,1,1,100000001,610000003366,
21.9549,,Spine,1,1,Image 1,2,1,100000000,610000003369,
15.7386,,Spine,1,5,Image 1,1,1,100000000,610000003371,
27.785,,Spine,1,6,Image 1,3,1,100000000,610000003373,
34.4068,,Spine,1,2,Image 1,2,1,100000000,610000003375,
18.7012,,Spine,1,2,Image 1,2,1,100000000,610000003378,
17.2824,,Spine,1,2,Image 1,3,1,100000000,610000003384,
21.121,,Spine,1,1,Image 1,2,1,100000000,610000003387,
23.4591,,Spine,1,1,Image 1,2,1,100000000,610000003391,
25.1494,,Spine,1,0,Image 1,1,1,100000001,610000003395,
20.5063,,Spine,1,3,Image 1,1,1,100000000,610000003397,
23.1502,,Spine,1,0,Image 1,1,1,100000001,610000003400,
29.7677,,Spine,1,1,Image 1,2,1,100000000,610000003408,
27.4991,,Spine,1,0,Image 1,1,1,100000001,610000003413,
24.8475,,Spine,1,0,Image 1,1,1,100000001,610000003417,
14.8037,,Spine,1,1,Image 1,1,1,100000000,610000003419,
19.0733,,Spine,1,3,Image 1,2,1,100000000,610000003422,
27.5834,,Spine,1,0,Image 1,1,1,100000001,610000003426,
20.003,,Spine,1,1,Image 1,2,1,100000000,610000003430,
33.6308,,Spine,1,2,Image 1,2,1,100000000,610000003433,
22.3608,,Spine,1,2,Image 1,1,1,100000000,610000003436,
23.3168,,Spine,1,3,Image 1,3,1,100000000,610000003444,
28.1644,,Spine,1,5,Image 1,2,1,100000000,610000003448,
26.6395,,Spine,1,0,Image 1,1,1,100000001,610000003451,
20.1751,,Spine,1,2,Image 1,3,1,100000000,610000003453,
32.9323,,Spine,1,1,Image 1,2,1,100000001,610000003456,
39.6652,,Spine,1,7,Image 1,3,1,100000000,610000003461,
23.4335,,Spine,1,0,Image 1,1,1,100000001,610000003463,
14.0739,,Spine,1,1,Image 1,2,1,100000000,610000003467,
19.5851,,Spine,1,3,Image 1,1,1,100000001,610000003471,
22.2531,,Spine,1,6,Image 1,2,1,100000000,610000003473,
35.6475,,Spine,1,2,Image 1,1,1,100000000,610000003475,
25.1916,,Spine,1,0,Image 1,1,1,100000001,610000003479,
21.8261,,Spine,1,1,Image 1,2,1,100000000,610000003481,
19.411,,Spine,1,0,Image 1,1,1,100000001,610000003487,
21.3676,,Spine,1,2,Image 1,2,1,100000000,610000003495,
20.3509,,Spine,1,5,Image 1,1,1,100000000,610000003497,
16.3543,,Spine,1,1,Image 1,2,1,100000000,610000003501,
34.2798,,Spine,1,4,Image 1,2,1,100000000,610000003503,
20.6799,,Spine,1,1,Image 1,2,1,100000000,610000003506,
29.2125,,Spine,1,0,Image 1,1,1,100000001,610000003511,
30.6083,,Spine,1,2,Image 1,2,1,100000000,610000003515,
30.2395,,Spine,1,0,Image 1,1,1,100000000,610000003525,
22.2696,,Spine,1,5,Image 1,1,1,100000000,610000003568,
18.8951,,Spine,1,5,Image 1,1,1,100000000,610000003569,
13.6034,,Spine,1,4,Image 1,1,1,100000000,610000003570,
11.4381,,Spine,1,3,Image 1,2,1,100000000,610000003571,
14.3812,,Spine,1,3,Image 1,2,1,100000000,610000003572,
9.93989,,Spine,1,2,Image 1,1,1,100000000,610000003573,
21.6906,,Spine,1,2,Image 1,1,1,100000000,610000003574,
11.9889,,Spine,1,6,Image 1,3,1,100000000,610000003575,
13.866,,Spine,1,3,Image 1,3,1,100000000,610000003576,
16.6987,,Spine,1,3,Image 1,3,1,100000000,610000003577,
17.516,,Spine,1,3,Image 1,3,1,100000000,610000003578,
19.1239,,Spine,1,3,Image 1,3,1,100000000,610000003579,
16.5637,,Spine,1,3,Image 1,3,1,100000000,610000003580,
19.184,,Spine,1,3,Image 1,3,1,100000000,610000003581,
17.1911,,Spine,1,3,Image 1,3,1,100000000,610000003582,
19.221,,Spine,1,1,Image 1,2,1,100000000,610000003583,
33.2982,,Spine,1,1,Image 1,2,1,100000000,610000003584,
