
Segment Intensity Sum Ch=4 Img=1
 ==================== 
Segment Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
9371,,Segment,4,19,Image 1,8,1,100000001,510000000023,
3305,,Segment,4,18,Image 1,8,1,100000001,510000000030,
4284,,Segment,4,17,Image 1,7,1,100000001,510000000033,
5514,,Segment,4,16,Image 1,7,1,100000001,510000000045,
26145,,Segment,4,14,Image 1,7,1,100000001,510000000088,
17555,,Segment,4,13,Image 1,7,1,100000001,510000000102,
7699,,Segment,4,12,Image 1,7,1,100000001,510000000111,
5453,,Segment,4,11,Image 1,7,1,100000001,510000000120,
9011,,Segment,4,10,Image 1,6,1,100000001,510000000146,
7848,,Segment,4,9,Image 1,5,1,100000001,510000000154,
1054,,Segment,4,8,Image 1,5,1,100000001,510000000156,
13331,,Segment,4,7,Image 1,4,1,100000001,510000000183,
3648,,Segment,4,6,Image 1,3,1,100000001,510000000185,
10925,,Segment,4,5,Image 1,3,1,100000001,510000000193,
6584,,Segment,4,4,Image 1,3,1,100000001,510000000198,
7116,,Segment,4,3,Image 1,3,1,100000001,510000000205,
13546,,Segment,4,2,Image 1,2,1,100000001,510000000214,
8546,,Segment,4,1,Image 1,2,1,100000001,510000000216,
35212,,Segment,4,0,Image 1,1,1,100000001,510000000237,
5929,,Segment,4,19,Image 1,9,1,100000001,510000000287,
9918,,Segment,4,18,Image 1,7,1,100000001,510000000295,
3170,,Segment,4,17,Image 1,8,1,100000001,510000000298,
2366,,Segment,4,16,Image 1,8,1,100000001,510000000301,
2953,,Segment,4,15,Image 1,8,1,100000001,510000000304,
263,,Segment,4,14,Image 1,9,1,100000001,510000000308,
2160,,Segment,4,13,Image 1,8,1,100000001,510000000311,
14102,,Segment,4,12,Image 1,8,1,100000001,510000000327,
1415,,Segment,4,14,Image 1,8,1,100000001,510000000334,
1273,,Segment,4,14,Image 1,10,1,100000001,510000000339,
5872,,Segment,4,13,Image 1,9,1,100000001,510000000347,
4164,,Segment,4,14,Image 1,8,1,100000001,510000000351,
6549,,Segment,4,13,Image 1,8,1,100000001,510000000360,
2313,,Segment,4,14,Image 1,9,1,100000001,510000000364,
1393,,Segment,4,14,Image 1,9,1,100000001,510000000366,
3361,,Segment,4,11,Image 1,6,1,100000001,510000000368,
19631,,Segment,4,16,Image 1,5,1,100000002,510000000428,
6827,,Segment,4,15,Image 1,5,1,100000002,510000000445,
22268,,Segment,4,14,Image 1,5,1,100000002,510000000472,
4065,,Segment,4,13,Image 1,4,1,100000002,510000000474,
39756,,Segment,4,11,Image 1,3,1,100000002,510000000488,
34527,,Segment,4,10,Image 1,2,1,100000002,510000000491,
20681,,Segment,4,8,Image 1,1,1,100000002,510000000494,
36280,,Segment,4,7,Image 1,1,1,100000002,510000000502,
23506,,Segment,4,6,Image 1,1,1,100000002,510000000513,
10105,,Segment,4,5,Image 1,1,1,100000002,510000000515,
13755,,Segment,4,4,Image 1,1,1,100000002,510000000522,
30647,,Segment,4,3,Image 1,1,1,100000002,510000000532,
32685,,Segment,4,2,Image 1,1,1,100000002,510000000535,
7919,,Segment,4,0,Image 1,1,1,100000002,510000000552,
7477,,Segment,4,16,Image 1,6,1,100000002,510000000586,
3426,,Segment,4,15,Image 1,6,1,100000002,510000000588,
35697,,Segment,4,20,Image 1,7,1,100000001,510000000634,
7672,,Segment,4,19,Image 1,7,1,100000001,510000000641,
14494,,Segment,4,17,Image 1,6,1,100000001,510000000656,
14901,,Segment,4,15,Image 1,6,1,100000001,510000000672,
27726,,Segment,4,14,Image 1,6,1,100000001,510000000701,
30824,,Segment,4,13,Image 1,5,1,100000001,510000000718,
9668,,Segment,4,12,Image 1,5,1,100000001,510000000721,
25992,,Segment,4,11,Image 1,4,1,100000001,510000000750,
11377,,Segment,4,9,Image 1,3,1,100000001,510000000753,
54907,,Segment,4,8,Image 1,3,1,100000001,510000000778,
17828,,Segment,4,7,Image 1,3,1,100000001,510000000782,
13218,,Segment,4,6,Image 1,3,1,100000001,510000000784,
14093,,Segment,4,5,Image 1,3,1,100000001,510000000787,
29672,,Segment,4,4,Image 1,2,1,100000001,510000000799,
41699,,Segment,4,3,Image 1,1,1,100000001,510000000818,
32508,,Segment,4,2,Image 1,1,1,100000001,510000000835,
14262,,Segment,4,1,Image 1,1,1,100000001,510000000837,
43045,,Segment,4,0,Image 1,1,1,100000001,510000000873,
30738,,Segment,4,23,Image 1,8,1,100000001,510000000913,
24109,,Segment,4,22,Image 1,7,1,100000001,510000000922,
14301,,Segment,4,21,Image 1,7,1,100000001,510000000929,
12529,,Segment,4,20,Image 1,6,1,100000001,510000000933,
14476,,Segment,4,19,Image 1,6,1,100000001,510000000936,
9062,,Segment,4,22,Image 1,8,1,100000001,510000000949,
4819,,Segment,4,24,Image 1,8,1,100000001,510000000952,
14396,,Segment,4,23,Image 1,7,1,100000001,510000000960,
4474,,Segment,4,20,Image 1,8,1,100000001,510000000964,
1514,,Segment,4,18,Image 1,9,1,100000001,510000000968,
2135,,Segment,4,17,Image 1,8,1,100000001,510000000970,
12673,,Segment,4,16,Image 1,7,1,100000001,510000000987,
11974,,Segment,4,18,Image 1,7,1,100000001,510000001000,
16230,,Segment,4,20,Image 1,7,1,100000001,510000001009,
4094,,Segment,4,18,Image 1,8,1,100000001,510000001013,
2441,,Segment,4,18,Image 1,7,1,100000001,510000001016,
3051,,Segment,4,18,Image 1,8,1,100000001,510000001020,
10113,,Segment,4,21,Image 1,6,1,100000001,510000001023,
10760,,Segment,4,18,Image 1,7,1,100000001,510000001034,
13432,,Segment,4,17,Image 1,7,1,100000001,510000001051,
3455,,Segment,4,18,Image 1,8,1,100000001,510000001054,
8724,,Segment,4,16,Image 1,7,1,100000001,510000001066,
7808,,Segment,4,15,Image 1,7,1,100000001,510000001081,
22239,,Segment,4,14,Image 1,7,1,100000001,510000001120,
5270,,Segment,4,13,Image 1,6,1,100000001,510000001122,
1738,,Segment,4,16,Image 1,8,1,100000001,510000001126,
10001,,Segment,4,15,Image 1,7,1,100000001,510000001146,
1297,,Segment,4,15,Image 1,8,1,100000001,510000001150,
14404,,Segment,4,15,Image 1,5,1,100000001,510000001161,
14329,,Segment,4,14,Image 1,5,1,100000001,510000001164,
12363,,Segment,4,15,Image 1,6,1,100000001,510000001168,
18754,,Segment,4,15,Image 1,4,1,100000001,510000001180,
15954,,Segment,4,14,Image 1,4,1,100000001,510000001186,
40314,,Segment,4,13,Image 1,4,1,100000001,510000001196,
57067,,Segment,4,12,Image 1,4,1,100000001,510000001207,
10346,,Segment,4,15,Image 1,5,1,100000001,510000001212,
14695,,Segment,4,15,Image 1,5,1,100000001,510000001215,
15864,,Segment,4,14,Image 1,5,1,100000001,510000001220,
18399,,Segment,4,13,Image 1,5,1,100000001,510000001224,
4375,,Segment,4,14,Image 1,6,1,100000001,510000001226,
14447,,Segment,4,8,Image 1,3,1,100000000,510000001248,
19704,,Segment,4,7,Image 1,3,1,100000000,510000001269,
6609,,Segment,4,6,Image 1,3,1,100000000,510000001272,
8244,,Segment,4,5,Image 1,2,1,100000000,510000001274,
17929,,Segment,4,4,Image 1,2,1,100000000,510000001288,
10487,,Segment,4,3,Image 1,2,1,100000000,510000001299,
9774,,Segment,4,2,Image 1,1,1,100000000,510000001309,
13431,,Segment,4,1,Image 1,1,1,100000000,510000001322,
12334,,Segment,4,0,Image 1,1,1,100000000,510000001367,
17434,,Segment,4,7,Image 1,4,1,100000000,510000001395,
4624,,Segment,4,8,Image 1,4,1,100000000,510000001401,
13312,,Segment,4,5,Image 1,3,1,100000000,510000001414,
8452,,Segment,4,6,Image 1,2,1,100000000,510000001418,
5200,,Segment,4,4,Image 1,3,1,100000000,510000001429,
9905,,Segment,4,3,Image 1,2,1,100000000,510000001439,
9887,,Segment,4,2,Image 1,2,1,100000000,510000001449,
9546,,Segment,4,3,Image 1,1,1,100000000,510000001454,
4040,,Segment,4,3,Image 1,3,1,100000000,510000001457,
3006,,Segment,4,1,Image 1,2,1,100000000,510000001462,
11925,,Segment,4,1,Image 1,1,1,100000002,510000001481,
3868,,Segment,4,0,Image 1,1,1,100000002,510000001499,
