
Spine Center Intensity Median Ch=2 Img=1
 ==================== 
Spine Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0.501953,,Spine,2,1,Image 1,2,1,100000002,610000006141,
26.0312,,Spine,2,10,Image 1,1,1,100000001,610000006144,
2.00391,,Spine,2,2,Image 1,1,1,100000001,610000006161,
22.5312,,Spine,2,10,Image 1,1,1,100000001,610000006164,
1.00195,,Spine,2,1,Image 1,2,1,100000002,610000006174,
2.00391,,Spine,2,5,Image 1,2,1,100000001,610000006196,
5.00781,,Spine,2,1,Image 1,2,1,100000001,610000006200,
3.00781,,Spine,2,18,Image 1,9,1,100000002,610000006202,
2.00781,,Spine,2,5,Image 1,2,1,100000001,610000006223,
3.00195,,Spine,2,4,Image 1,2,1,100000000,610000006225,
1,,Spine,2,6,Image 1,3,1,100000000,610000006227,
6.01562,,Spine,2,6,Image 1,1,1,100000001,610000006232,
3.00195,,Spine,2,7,Image 1,2,1,100000000,610000006236,
2.00391,,Spine,2,5,Image 1,2,1,100000001,610000006256,
1.00391,,Spine,2,8,Image 1,1,1,100000002,610000006260,
1.00098,,Spine,2,0,Image 1,1,1,100000002,610000006264,
9.00781,,Spine,2,3,Image 1,2,1,100000001,610000006267,
1,,Spine,2,3,Image 1,2,1,100000002,610000006269,
2.00781,,Spine,2,5,Image 1,2,1,100000001,610000006286,
2.00195,,Spine,2,7,Image 1,2,1,100000000,610000006289,
2,,Spine,2,6,Image 1,2,1,100000002,610000006293,
29.0625,,Spine,2,12,Image 1,4,1,100000001,610000006297,
1.00195,,Spine,2,5,Image 1,4,1,100000001,610000006299,
1.00195,,Spine,2,0,Image 1,1,1,100000002,610000006301,
6.00781,,Spine,2,17,Image 1,5,1,100000002,610000006303,
4.00391,,Spine,2,7,Image 1,2,1,100000000,610000006307,
7.00391,,Spine,2,2,Image 1,2,1,100000001,610000006309,
2.00391,,Spine,2,2,Image 1,2,1,100000000,610000006311,
1.50195,,Spine,2,0,Image 1,1,1,100000002,610000006314,
7.03125,,Spine,2,1,Image 1,2,1,100000001,610000006316,
17.002,,Spine,2,3,Image 1,2,1,100000000,610000006320,
2,,Spine,2,1,Image 1,2,1,100000002,610000006322,
80.0625,,Spine,2,9,Image 1,3,1,100000000,610000006324,
11.0078,,Spine,2,4,Image 1,1,1,100000000,610000006326,
2.00195,,Spine,2,0,Image 1,1,1,100000002,610000006330,
0.000976562,,Spine,2,1,Image 1,2,1,100000002,610000006333,
1.50781,,Spine,2,6,Image 1,1,1,100000001,610000006337,
2.00391,,Spine,2,5,Image 1,2,1,100000001,610000006351,
3.00391,,Spine,2,9,Image 1,4,1,100000002,610000006356,
1.00195,,Spine,2,3,Image 1,2,1,100000001,610000006358,
2.00391,,Spine,2,9,Image 1,1,1,100000002,610000006363,
2.00195,,Spine,2,3,Image 1,1,1,100000001,610000006366,
0.00195312,,Spine,2,8,Image 1,2,1,100000002,610000006368,
16.0156,,Spine,2,2,Image 1,2,1,100000001,610000006370,
2.00391,,Spine,2,2,Image 1,1,1,100000000,610000006374,
8,,Spine,2,10,Image 1,6,1,100000001,610000006376,
1.00098,,Spine,2,4,Image 1,1,1,100000001,610000006378,
1.00391,,Spine,2,9,Image 1,1,1,100000002,610000006380,
4.50195,,Spine,2,10,Image 1,3,1,100000002,610000006384,
2.00195,,Spine,2,2,Image 1,1,1,100000000,610000006386,
2,,Spine,2,1,Image 1,2,1,100000002,610000006389,
1.50195,,Spine,2,6,Image 1,2,1,100000001,610000006392,
0.000976562,,Spine,2,0,Image 1,1,1,100000000,610000006394,
3.00391,,Spine,2,1,Image 1,2,1,100000000,610000006397,
2.00098,,Spine,2,5,Image 1,2,1,100000000,610000006399,
2.50391,,Spine,2,3,Image 1,1,1,100000001,610000006402,
9.00781,,Spine,2,20,Image 1,7,1,100000001,610000006406,
2.00781,,Spine,2,3,Image 1,2,1,100000001,610000006408,
0.500977,,Spine,2,1,Image 1,2,1,100000002,610000006412,
2.00195,,Spine,2,8,Image 1,2,1,100000001,610000006416,
2.00195,,Spine,2,6,Image 1,1,1,100000001,610000006419,
22.0156,,Spine,2,3,Image 1,2,1,100000000,610000006421,
1.00195,,Spine,2,1,Image 1,2,1,100000002,610000006423,
10.0156,,Spine,2,3,Image 1,1,1,100000001,610000006425,
0.500977,,Spine,2,1,Image 1,2,1,100000002,610000006428,
3.00391,,Spine,2,0,Image 1,1,1,100000000,610000006431,
1.00391,,Spine,2,0,Image 1,1,1,100000000,610000006434,
19.0312,,Spine,2,4,Image 1,2,1,100000000,610000006436,
4.00391,,Spine,2,0,Image 1,1,1,100000000,610000006439,
2.00195,,Spine,2,0,Image 1,1,1,100000000,610000006442,
3.00391,,Spine,2,17,Image 1,8,1,100000002,610000006445,
4.50781,,Spine,2,12,Image 1,3,1,100000001,610000006448,
0.500977,,Spine,2,1,Image 1,2,1,100000002,610000006450,
1.00195,,Spine,2,0,Image 1,1,1,100000002,610000006452,
3.00195,,Spine,2,10,Image 1,3,1,100000002,610000006456,
2.00195,,Spine,2,9,Image 1,1,1,100000002,610000006459,
6.00195,,Spine,2,0,Image 1,1,1,100000001,610000006461,
0.000976562,,Spine,2,3,Image 1,1,1,100000000,610000006463,
11.0078,,Spine,2,15,Image 1,2,1,100000001,610000006465,
0,,Spine,2,4,Image 1,4,1,100000001,610000006467,
1.00195,,Spine,2,0,Image 1,1,1,100000002,610000006471,
4.00195,,Spine,2,20,Image 1,6,1,100000001,610000006474,
1.00195,,Spine,2,2,Image 1,2,1,100000000,610000006476,
2.00195,,Spine,2,6,Image 1,2,1,100000002,610000006478,
3,,Spine,2,0,Image 1,1,1,100000001,610000006484,
3.00781,,Spine,2,18,Image 1,7,1,100000001,610000006486,
20.0078,,Spine,2,0,Image 1,1,1,100000001,610000006488,
1,,Spine,2,2,Image 1,1,1,100000001,610000006495,
2.00195,,Spine,2,8,Image 1,3,1,100000001,610000006498,
3,,Spine,2,12,Image 1,4,1,100000001,610000006501,
3.00391,,Spine,2,15,Image 1,7,1,100000001,610000006503,
9.50098,,Spine,2,0,Image 1,1,1,100000001,610000006505,
0,,Spine,2,0,Image 1,1,1,100000000,610000006507,
2.00195,,Spine,2,3,Image 1,2,1,100000001,610000006509,
1.50195,,Spine,2,3,Image 1,1,1,100000000,610000006515,
2.00098,,Spine,2,2,Image 1,1,1,100000000,610000006517,
1.50098,,Spine,2,1,Image 1,2,1,100000002,610000006520,
2.00195,,Spine,2,9,Image 1,4,1,100000002,610000006523,
0.00390625,,Spine,2,1,Image 1,1,1,100000000,610000006525,
1.00195,,Spine,2,0,Image 1,1,1,100000000,610000006528,
1.50391,,Spine,2,0,Image 1,1,1,100000002,610000006531,
3.00391,,Spine,2,7,Image 1,1,1,100000001,610000006533,
0.00390625,,Spine,2,0,Image 1,1,1,100000000,610000006535,
31.0156,,Spine,2,6,Image 1,4,1,100000000,610000006537,
2.00195,,Spine,2,23,Image 1,8,1,100000001,610000006540,
2.00195,,Spine,2,1,Image 1,1,1,100000000,610000006542,
2.00098,,Spine,2,15,Image 1,2,1,100000001,610000006544,
2.00391,,Spine,2,0,Image 1,1,1,100000000,610000006547,
3.00195,,Spine,2,7,Image 1,4,1,100000001,610000006551,
1.00781,,Spine,2,2,Image 1,1,1,100000001,610000006553,
1.50098,,Spine,2,0,Image 1,1,1,100000001,610000006555,
0.00390625,,Spine,2,6,Image 1,2,1,100000002,610000006557,
2.00391,,Spine,2,7,Image 1,4,1,100000001,610000006562,
3.01562,,Spine,2,12,Image 1,4,1,100000001,610000006564,
77.0625,,Spine,2,20,Image 1,7,1,100000001,610000006566,
2.00195,,Spine,2,18,Image 1,7,1,100000001,610000006568,
9.00781,,Spine,2,1,Image 1,1,1,100000000,610000006570,
4.00195,,Spine,2,10,Image 1,3,1,100000002,610000006572,
1.50195,,Spine,2,9,Image 1,1,1,100000002,610000006575,
1.00195,,Spine,2,0,Image 1,1,1,100000001,610000006577,
0.00195312,,Spine,2,3,Image 1,1,1,100000002,610000006579,
3.00391,,Spine,2,2,Image 1,2,1,100000001,610000006584,
1,,Spine,2,0,Image 1,1,1,100000000,610000006586,
1.00195,,Spine,2,11,Image 1,5,1,100000001,610000006588,
0.000976562,,Spine,2,0,Image 1,1,1,100000000,610000006592,
0.00195312,,Spine,2,12,Image 1,4,1,100000001,610000006598,
1.50098,,Spine,2,0,Image 1,1,1,100000001,610000006600,
1,,Spine,2,6,Image 1,1,1,100000000,610000006603,
4.50391,,Spine,2,0,Image 1,1,1,100000001,610000006608,
0.500977,,Spine,2,0,Image 1,1,1,100000001,610000006612,
1,,Spine,2,2,Image 1,1,1,100000001,610000006614,
2.00391,,Spine,2,2,Image 1,1,1,100000001,610000006619,
3.00195,,Spine,2,7,Image 1,1,1,100000002,610000006623,
2.00098,,Spine,2,8,Image 1,2,1,100000001,610000006628,
2.00391,,Spine,2,5,Image 1,2,1,100000001,610000006630,
7.00391,,Spine,2,20,Image 1,7,1,100000001,610000006633,
0.00390625,,Spine,2,11,Image 1,3,1,100000001,610000006637,
5.00391,,Spine,2,11,Image 1,3,1,100000002,610000006640,
2,,Spine,2,3,Image 1,1,1,100000001,610000006642,
4.01562,,Spine,2,4,Image 1,3,1,100000001,610000006645,
2.50391,,Spine,2,1,Image 1,1,1,100000001,610000006649,
1,,Spine,2,1,Image 1,1,1,100000001,610000006652,
6.00391,,Spine,2,10,Image 1,3,1,100000002,610000006655,
2.50098,,Spine,2,0,Image 1,1,1,100000001,610000006660,
2.00195,,Spine,2,0,Image 1,1,1,100000001,610000006662,
3.00195,,Spine,2,12,Image 1,4,1,100000001,610000006666,
5.03125,,Spine,2,20,Image 1,7,1,100000001,610000006676,
4,,Spine,2,0,Image 1,1,1,100000001,610000006681,
1.00195,,Spine,2,1,Image 1,1,1,100000000,610000006684,
3.00391,,Spine,2,0,Image 1,1,1,100000002,610000006691,
4.01562,,Spine,2,0,Image 1,1,1,100000000,610000006694,
3.00391,,Spine,2,7,Image 1,4,1,100000001,610000006697,
2.00195,,Spine,2,0,Image 1,1,1,100000001,610000006701,
3,,Spine,2,2,Image 1,1,1,100000001,610000006703,
1.00391,,Spine,2,1,Image 1,1,1,100000001,610000006708,
2.00391,,Spine,2,2,Image 1,1,1,100000001,610000006714,
2,,Spine,2,5,Image 1,3,1,100000001,610000006719,
6,,Spine,2,7,Image 1,2,1,100000000,610000006722,
1.00195,,Spine,2,2,Image 1,1,1,100000001,610000006725,
2.50098,,Spine,2,0,Image 1,1,1,100000001,610000006730,
8.00781,,Spine,2,10,Image 1,5,1,100000001,610000006744,
0.500977,,Spine,2,0,Image 1,1,1,100000001,610000006750,
2.00195,,Spine,2,0,Image 1,1,1,100000001,610000006765,
