
Spine Center Intensity Min Ch=4 Img=1
 ==================== 
Spine Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
9,,Spine,4,1,Image 1,2,1,100000002,610000006141,
0,,Spine,4,10,Image 1,1,1,100000001,610000006144,
0,,Spine,4,2,Image 1,1,1,100000001,610000006161,
0,,Spine,4,10,Image 1,1,1,100000001,610000006164,
0,,Spine,4,1,Image 1,2,1,100000002,610000006174,
0,,Spine,4,5,Image 1,2,1,100000001,610000006196,
0,,Spine,4,1,Image 1,2,1,100000001,610000006200,
0,,Spine,4,18,Image 1,9,1,100000002,610000006202,
49,,Spine,4,5,Image 1,2,1,100000001,610000006223,
6,,Spine,4,4,Image 1,2,1,100000000,610000006225,
9,,Spine,4,6,Image 1,3,1,100000000,610000006227,
0,,Spine,4,6,Image 1,1,1,100000001,610000006232,
0,,Spine,4,7,Image 1,2,1,100000000,610000006236,
58,,Spine,4,5,Image 1,2,1,100000001,610000006256,
10,,Spine,4,8,Image 1,1,1,100000002,610000006260,
0,,Spine,4,0,Image 1,1,1,100000002,610000006264,
0,,Spine,4,3,Image 1,2,1,100000001,610000006267,
13,,Spine,4,3,Image 1,2,1,100000002,610000006269,
58,,Spine,4,5,Image 1,2,1,100000001,610000006286,
11,,Spine,4,7,Image 1,2,1,100000000,610000006289,
22,,Spine,4,6,Image 1,2,1,100000002,610000006293,
0,,Spine,4,12,Image 1,4,1,100000001,610000006297,
12,,Spine,4,5,Image 1,4,1,100000001,610000006299,
0,,Spine,4,0,Image 1,1,1,100000002,610000006301,
23,,Spine,4,17,Image 1,5,1,100000002,610000006303,
12,,Spine,4,7,Image 1,2,1,100000000,610000006307,
0,,Spine,4,2,Image 1,2,1,100000001,610000006309,
25,,Spine,4,2,Image 1,2,1,100000000,610000006311,
19,,Spine,4,0,Image 1,1,1,100000002,610000006314,
14,,Spine,4,1,Image 1,2,1,100000001,610000006316,
21,,Spine,4,3,Image 1,2,1,100000000,610000006320,
0,,Spine,4,1,Image 1,2,1,100000002,610000006322,
11,,Spine,4,9,Image 1,3,1,100000000,610000006324,
0,,Spine,4,4,Image 1,1,1,100000000,610000006326,
13,,Spine,4,0,Image 1,1,1,100000002,610000006330,
28,,Spine,4,1,Image 1,2,1,100000002,610000006333,
0,,Spine,4,6,Image 1,1,1,100000001,610000006337,
58,,Spine,4,5,Image 1,2,1,100000001,610000006351,
37,,Spine,4,9,Image 1,4,1,100000002,610000006356,
22,,Spine,4,3,Image 1,2,1,100000001,610000006358,
41,,Spine,4,9,Image 1,1,1,100000002,610000006363,
34,,Spine,4,3,Image 1,1,1,100000001,610000006366,
0,,Spine,4,8,Image 1,2,1,100000002,610000006368,
0,,Spine,4,2,Image 1,2,1,100000001,610000006370,
0,,Spine,4,2,Image 1,1,1,100000000,610000006374,
0,,Spine,4,10,Image 1,6,1,100000001,610000006376,
0,,Spine,4,4,Image 1,1,1,100000001,610000006378,
18,,Spine,4,9,Image 1,1,1,100000002,610000006380,
49,,Spine,4,10,Image 1,3,1,100000002,610000006384,
0,,Spine,4,2,Image 1,1,1,100000000,610000006386,
0,,Spine,4,1,Image 1,2,1,100000002,610000006389,
25,,Spine,4,6,Image 1,2,1,100000001,610000006392,
0,,Spine,4,0,Image 1,1,1,100000000,610000006394,
0,,Spine,4,1,Image 1,2,1,100000000,610000006397,
0,,Spine,4,5,Image 1,2,1,100000000,610000006399,
0,,Spine,4,3,Image 1,1,1,100000001,610000006402,
0,,Spine,4,20,Image 1,7,1,100000001,610000006406,
0,,Spine,4,3,Image 1,2,1,100000001,610000006408,
36,,Spine,4,1,Image 1,2,1,100000002,610000006412,
0,,Spine,4,8,Image 1,2,1,100000001,610000006416,
41,,Spine,4,6,Image 1,1,1,100000001,610000006419,
0,,Spine,4,3,Image 1,2,1,100000000,610000006421,
48,,Spine,4,1,Image 1,2,1,100000002,610000006423,
13,,Spine,4,3,Image 1,1,1,100000001,610000006425,
15,,Spine,4,1,Image 1,2,1,100000002,610000006428,
21,,Spine,4,0,Image 1,1,1,100000000,610000006431,
0,,Spine,4,0,Image 1,1,1,100000000,610000006434,
6,,Spine,4,4,Image 1,2,1,100000000,610000006436,
0,,Spine,4,0,Image 1,1,1,100000000,610000006439,
22,,Spine,4,0,Image 1,1,1,100000000,610000006442,
17,,Spine,4,17,Image 1,8,1,100000002,610000006445,
0,,Spine,4,12,Image 1,3,1,100000001,610000006448,
14,,Spine,4,1,Image 1,2,1,100000002,610000006450,
13,,Spine,4,0,Image 1,1,1,100000002,610000006452,
49,,Spine,4,10,Image 1,3,1,100000002,610000006456,
56,,Spine,4,9,Image 1,1,1,100000002,610000006459,
46,,Spine,4,0,Image 1,1,1,100000001,610000006461,
0,,Spine,4,3,Image 1,1,1,100000000,610000006463,
14,,Spine,4,15,Image 1,2,1,100000001,610000006465,
54,,Spine,4,4,Image 1,4,1,100000001,610000006467,
0,,Spine,4,0,Image 1,1,1,100000002,610000006471,
0,,Spine,4,20,Image 1,6,1,100000001,610000006474,
22,,Spine,4,2,Image 1,2,1,100000000,610000006476,
0,,Spine,4,6,Image 1,2,1,100000002,610000006478,
0,,Spine,4,0,Image 1,1,1,100000001,610000006484,
0,,Spine,4,18,Image 1,7,1,100000001,610000006486,
72,,Spine,4,0,Image 1,1,1,100000001,610000006488,
16,,Spine,4,2,Image 1,1,1,100000001,610000006495,
