
Segment Center Number of Voxel Ch=2 Img=1
 ==================== 
Segment Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
20,,Segment,2,9,Image 1,5,1,100000000,510000000022,
40,,Segment,2,8,Image 1,5,1,100000000,510000000061,
10,,Segment,2,7,Image 1,5,1,100000000,510000000070,
30,,Segment,2,6,Image 1,5,1,100000000,510000000099,
88,,Segment,2,5,Image 1,4,1,100000000,510000000186,
44,,Segment,2,4,Image 1,3,1,100000000,510000000229,
5,,Segment,2,3,Image 1,3,1,100000000,510000000233,
23,,Segment,2,2,Image 1,2,1,100000000,510000000255,
3,,Segment,2,1,Image 1,1,1,100000000,510000000257,
9,,Segment,2,0,Image 1,1,1,100000000,510000000288,
8,,Segment,2,9,Image 1,6,1,100000000,510000000299,
18,,Segment,2,8,Image 1,6,1,100000000,510000000316,
4,,Segment,2,7,Image 1,6,1,100000000,510000000319,
4,,Segment,2,8,Image 1,7,1,100000000,510000000322,
8,,Segment,2,8,Image 1,6,1,100000000,510000000329,
17,,Segment,2,8,Image 1,4,1,100000000,510000000345,
6,,Segment,2,7,Image 1,4,1,100000000,510000000350,
13,,Segment,2,6,Image 1,3,1,100000000,510000000362,
66,,Segment,2,5,Image 1,3,1,100000000,510000000427,
13,,Segment,2,4,Image 1,2,1,100000000,510000000439,
59,,Segment,2,3,Image 1,2,1,100000000,510000000497,
3,,Segment,2,7,Image 1,3,1,100000000,510000000500,
5,,Segment,2,6,Image 1,4,1,100000000,510000000504,
5,,Segment,2,11,Image 1,5,1,100000000,510000000508,
7,,Segment,2,10,Image 1,5,1,100000000,510000000514,
17,,Segment,2,9,Image 1,5,1,100000000,510000000530,
11,,Segment,2,8,Image 1,4,1,100000000,510000000540,
13,,Segment,2,7,Image 1,4,1,100000000,510000000552,
20,,Segment,2,6,Image 1,3,1,100000000,510000000571,
25,,Segment,2,4,Image 1,2,1,100000000,510000000596,
3,,Segment,2,3,Image 1,1,1,100000000,510000000598,
4,,Segment,2,2,Image 1,1,1,100000000,510000000601,
22,,Segment,2,10,Image 1,6,1,100000000,510000000622,
5,,Segment,2,11,Image 1,6,1,100000000,510000000626,
7,,Segment,2,9,Image 1,4,1,100000000,510000000632,
5,,Segment,2,8,Image 1,5,1,100000000,510000000636,
16,,Segment,2,6,Image 1,1,1,100000000,510000000651,
7,,Segment,2,5,Image 1,1,1,100000000,510000000657,
10,,Segment,2,4,Image 1,1,1,100000000,510000000666,
30,,Segment,2,3,Image 1,1,1,100000000,510000000695,
7,,Segment,2,2,Image 1,1,1,100000000,510000000701,
5,,Segment,2,1,Image 1,1,1,100000000,510000000705,
38,,Segment,2,0,Image 1,1,1,100000000,510000000746,
23,,Segment,2,6,Image 1,3,1,100000000,510000000792,
