
Spine Intensity Mean Ch=5 Img=1
 ==================== 
Spine Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0.447917,,Spine,5,14,Image 1,6,1,100000001,610000003319,
0,,Spine,5,14,Image 1,6,1,100000001,610000003329,
0,,Spine,5,14,Image 1,6,1,100000001,610000003333,
8.98485,,Spine,5,3,Image 1,2,1,100000000,610000003346,
0.479381,,Spine,5,3,Image 1,2,1,100000000,610000003350,
0,,Spine,5,4,Image 1,1,1,100000001,610000003353,
0,,Spine,5,0,Image 1,1,1,100000001,610000003357,
0,,Spine,5,4,Image 1,4,1,100000000,610000003359,
0,,Spine,5,9,Image 1,5,1,100000000,610000003361,
0.132231,,Spine,5,2,Image 1,3,1,100000001,610000003370,
0,,Spine,5,2,Image 1,1,1,100000000,610000003377,
0,,Spine,5,2,Image 1,1,1,100000000,610000003386,
0,,Spine,5,2,Image 1,2,1,100000000,610000003389,
0.0952381,,Spine,5,3,Image 1,1,1,100000000,610000003392,
7.21642,,Spine,5,4,Image 1,3,1,100000001,610000003396,
0,,Spine,5,4,Image 1,3,1,100000001,610000003398,
0,,Spine,5,2,Image 1,2,1,100000001,610000003400,
8.89941,,Spine,5,1,Image 1,1,1,100000001,610000003403,
0,,Spine,5,2,Image 1,1,1,100000001,610000003405,
0,,Spine,5,7,Image 1,5,1,100000000,610000003407,
0,,Spine,5,4,Image 1,1,1,100000001,610000003410,
0,,Spine,5,8,Image 1,3,1,100000000,610000003412,
1.7,,Spine,5,7,Image 1,1,1,100000001,610000003414,
3.71831,,Spine,5,2,Image 1,2,1,100000000,610000003423,
0,,Spine,5,6,Image 1,3,1,100000000,610000003425,
0,,Spine,5,0,Image 1,1,1,100000001,610000003428,
0,,Spine,5,7,Image 1,4,1,100000000,610000003430,
0,,Spine,5,7,Image 1,4,1,100000000,610000003432,
0,,Spine,5,14,Image 1,6,1,100000001,610000003434,
0,,Spine,5,7,Image 1,2,1,100000001,610000003437,
0,,Spine,5,5,Image 1,4,1,100000001,610000003439,
0,,Spine,5,3,Image 1,3,1,100000001,610000003442,
0.22314,,Spine,5,3,Image 1,2,1,100000000,610000003445,
2.57143,,Spine,5,2,Image 1,2,1,100000000,610000003454,
0,,Spine,5,1,Image 1,2,1,100000000,610000003457,
0,,Spine,5,8,Image 1,4,1,100000000,610000003459,
0,,Spine,5,0,Image 1,1,1,100000000,610000003462,
0,,Spine,5,9,Image 1,5,1,100000000,610000003464,
0,,Spine,5,2,Image 1,1,1,100000000,610000003470,
0,,Spine,5,4,Image 1,3,1,100000000,610000003472,
17.4412,,Spine,5,3,Image 1,2,1,100000000,610000003476,
0,,Spine,5,0,Image 1,1,1,100000001,610000003479,
0,,Spine,5,0,Image 1,1,1,100000001,610000003481,
8.26496,,Spine,5,4,Image 1,3,1,100000001,610000003484,
14.8603,,Spine,5,5,Image 1,4,1,100000001,610000003488,
0.168421,,Spine,5,2,Image 1,3,1,100000001,610000003494,
2.36331,,Spine,5,3,Image 1,2,1,100000001,610000003496,
0,,Spine,5,5,Image 1,2,1,100000000,610000003501,
0,,Spine,5,6,Image 1,3,1,100000000,610000003503,
0,,Spine,5,0,Image 1,1,1,100000000,610000003507,
5.41322,,Spine,5,3,Image 1,2,1,100000000,610000003510,
3.21569,,Spine,5,2,Image 1,2,1,100000000,610000003518,
0,,Spine,5,5,Image 1,3,1,100000000,610000003520,
0,,Spine,5,3,Image 1,3,1,100000001,610000003523,
0,,Spine,5,6,Image 1,3,1,100000001,610000003525,
0,,Spine,5,1,Image 1,1,1,100000000,610000003527,
0,,Spine,5,1,Image 1,1,1,100000000,610000003529,
0,,Spine,5,8,Image 1,2,1,100000001,610000003531,
0,,Spine,5,1,Image 1,2,1,100000000,610000003536,
0,,Spine,5,5,Image 1,2,1,100000000,610000003542,
0.1375,,Spine,5,3,Image 1,1,1,100000000,610000003549,
0,,Spine,5,5,Image 1,2,1,100000000,610000003555,
0,,Spine,5,1,Image 1,2,1,100000000,610000003557,
0,,Spine,5,6,Image 1,2,1,100000000,610000003560,
0,,Spine,5,3,Image 1,2,1,100000000,610000003562,
0,,Spine,5,0,Image 1,1,1,100000001,610000003567,
0,,Spine,5,1,Image 1,1,1,100000000,610000003573,
3.25,,Spine,5,0,Image 1,1,1,100000001,610000003576,
10.2952,,Spine,5,6,Image 1,2,1,100000001,610000003579,
0,,Spine,5,1,Image 1,1,1,100000000,610000003581,
9.12264,,Spine,5,4,Image 1,3,1,100000001,610000003584,
0,,Spine,5,0,Image 1,1,1,100000001,610000003586,
0,,Spine,5,5,Image 1,2,1,100000000,610000003590,
0,,Spine,5,5,Image 1,3,1,100000000,610000003595,
0,,Spine,5,0,Image 1,1,1,100000001,610000003597,
0,,Spine,5,3,Image 1,2,1,100000000,610000003600,
0,,Spine,5,5,Image 1,3,1,100000000,610000003603,
0.258065,,Spine,5,2,Image 1,3,1,100000001,610000003605,
0,,Spine,5,5,Image 1,2,1,100000001,610000003607,
0,,Spine,5,1,Image 1,2,1,100000000,610000003610,
0,,Spine,5,2,Image 1,2,1,100000000,610000003613,
1.60588,,Spine,5,4,Image 1,2,1,100000000,610000003617,
0,,Spine,5,1,Image 1,2,1,100000000,610000003623,
0,,Spine,5,0,Image 1,1,1,100000001,610000003630,
0,,Spine,5,1,Image 1,1,1,100000001,610000003632,
0,,Spine,5,1,Image 1,2,1,100000000,610000003637,
0,,Spine,5,1,Image 1,2,1,100000000,610000003641,
