
Spine Terminal Pt Intensity Center Ch=1 Img=1
 ==================== 
Spine Terminal Pt Intensity Center,Unit,Category,Channel,Depth,Image,Time,FilamentID,ID,
52,,Spine,1,14,Image 1,1,100000001,610000003319,
63,,Spine,1,14,Image 1,1,100000001,610000003329,
55,,Spine,1,14,Image 1,1,100000001,610000003333,
65,,Spine,1,3,Image 1,1,100000000,610000003346,
35,,Spine,1,3,Image 1,1,100000000,610000003350,
35,,Spine,1,4,Image 1,1,100000001,610000003353,
42,,Spine,1,0,Image 1,1,100000001,610000003357,
60,,Spine,1,4,Image 1,1,100000000,610000003359,
38,,Spine,1,9,Image 1,1,100000000,610000003361,
42,,Spine,1,2,Image 1,1,100000001,610000003370,
43,,Spine,1,2,Image 1,1,100000000,610000003377,
70,,Spine,1,2,Image 1,1,100000000,610000003386,
32,,Spine,1,2,Image 1,1,100000000,610000003389,
51,,Spine,1,3,Image 1,1,100000000,610000003392,
40,,Spine,1,4,Image 1,1,100000001,610000003396,
31,,Spine,1,4,Image 1,1,100000001,610000003398,
46,,Spine,1,2,Image 1,1,100000001,610000003400,
33,,Spine,1,1,Image 1,1,100000001,610000003403,
34,,Spine,1,2,Image 1,1,100000001,610000003405,
41,,Spine,1,7,Image 1,1,100000000,610000003407,
51,,Spine,1,4,Image 1,1,100000001,610000003410,
50,,Spine,1,8,Image 1,1,100000000,610000003412,
66,,Spine,1,7,Image 1,1,100000001,610000003414,
44,,Spine,1,2,Image 1,1,100000000,610000003423,
57,,Spine,1,6,Image 1,1,100000000,610000003425,
75,,Spine,1,0,Image 1,1,100000001,610000003428,
46,,Spine,1,7,Image 1,1,100000000,610000003430,
43,,Spine,1,7,Image 1,1,100000000,610000003432,
55,,Spine,1,14,Image 1,1,100000001,610000003434,
40,,Spine,1,7,Image 1,1,100000001,610000003437,
54,,Spine,1,5,Image 1,1,100000001,610000003439,
38,,Spine,1,3,Image 1,1,100000001,610000003442,
45,,Spine,1,3,Image 1,1,100000000,610000003445,
81,,Spine,1,2,Image 1,1,100000000,610000003454,
74,,Spine,1,2,Image 1,1,,610000003456,
34,,Spine,1,8,Image 1,1,100000000,610000003459,
36,,Spine,1,0,Image 1,1,100000000,610000003462,
49,,Spine,1,9,Image 1,1,100000000,610000003464,
96,,Spine,1,2,Image 1,1,100000000,610000003470,
32,,Spine,1,4,Image 1,1,100000000,610000003472,
67,,Spine,1,3,Image 1,1,100000000,610000003476,
30,,Spine,1,0,Image 1,1,,610000003478,
42,,Spine,1,0,Image 1,1,100000001,610000003481,
38,,Spine,1,4,Image 1,1,100000001,610000003484,
62,,Spine,1,5,Image 1,1,100000001,610000003488,
65,,Spine,1,2,Image 1,1,100000001,610000003494,
42,,Spine,1,3,Image 1,1,100000001,610000003496,
56,,Spine,1,5,Image 1,1,100000000,610000003501,
35,,Spine,1,6,Image 1,1,100000000,610000003503,
61,,Spine,1,0,Image 1,1,100000000,610000003507,
58,,Spine,1,3,Image 1,1,100000000,610000003510,
71,,Spine,1,2,Image 1,1,100000000,610000003518,
50,,Spine,1,5,Image 1,1,100000000,610000003520,
78,,Spine,1,3,Image 1,1,100000001,610000003523,
67,,Spine,1,6,Image 1,1,100000001,610000003525,
39,,Spine,1,1,Image 1,1,100000000,610000003527,
31,,Spine,1,1,Image 1,1,100000000,610000003529,
44,,Spine,1,8,Image 1,1,100000001,610000003531,
143,,Spine,1,2,Image 1,1,,610000003534,
50,,Spine,1,5,Image 1,1,100000000,610000003542,
33,,Spine,1,3,Image 1,1,100000000,610000003549,
89,,Spine,1,5,Image 1,1,100000000,610000003555,
69,,Spine,1,6,Image 1,1,100000000,610000003560,
61,,Spine,1,3,Image 1,1,100000000,610000003562,
56,,Spine,1,0,Image 1,1,100000001,610000003567,
42,,Spine,1,1,Image 1,1,100000000,610000003573,
64,,Spine,1,0,Image 1,1,100000001,610000003576,
59,,Spine,1,6,Image 1,1,100000001,610000003579,
139,,Spine,1,1,Image 1,1,100000000,610000003581,
59,,Spine,1,4,Image 1,1,100000001,610000003584,
78,,Spine,1,5,Image 1,1,100000000,610000003590,
44,,Spine,1,5,Image 1,1,100000000,610000003595,
112,,Spine,1,0,Image 1,1,100000001,610000003597,
101,,Spine,1,3,Image 1,1,100000000,610000003600,
59,,Spine,1,5,Image 1,1,100000000,610000003603,
82,,Spine,1,2,Image 1,1,100000001,610000003605,
59,,Spine,1,5,Image 1,1,100000001,610000003607,
61,,Spine,1,2,Image 1,1,,610000003609,
64,,Spine,1,2,Image 1,1,100000000,610000003613,
69,,Spine,1,4,Image 1,1,100000000,610000003617,
55,,Spine,1,1,Image 1,1,100000001,610000003632,
75,,Spine,1,1,Image 1,1,100000000,610000003637,
84,,Spine,1,3,Image 1,1,100000000,610000003646,
58,,Spine,1,13,Image 1,1,100000001,610000003650,
86,,Spine,1,2,Image 1,1,100000000,610000003655,
83,,Spine,1,2,Image 1,1,100000000,610000003658,
95,,Spine,1,3,Image 1,1,100000000,610000003665,
68,,Spine,1,0,Image 1,1,100000000,610000003669,
118,,Spine,1,2,Image 1,1,100000000,610000003673,
129,,Spine,1,2,Image 1,1,100000000,610000003676,
98,,Spine,1,2,Image 1,1,100000000,610000003683,
97,,Spine,1,6,Image 1,1,100000000,610000003686,
44,,Spine,1,0,Image 1,1,,610000003834,
50,,Spine,1,9,Image 1,1,,610000003834,
64,,Spine,1,1,Image 1,1,,610000003835,
77,,Spine,1,8,Image 1,1,,610000003835,
94,,Spine,1,2,Image 1,1,,610000003836,
16,,Spine,1,6,Image 1,1,,610000003836,
101,,Spine,1,2,Image 1,1,,610000003837,
23,,Spine,1,0,Image 1,1,,610000003837,
96,,Spine,1,2,Image 1,1,,610000003838,
65,,Spine,1,7,Image 1,1,,610000003838,
38,,Spine,1,8,Image 1,1,,610000003839,
75,,Spine,1,9,Image 1,1,,610000003839,
69,,Spine,1,8,Image 1,1,,610000003840,
51,,Spine,1,9,Image 1,1,,610000003840,
18,,Spine,1,8,Image 1,1,,610000003841,
93,,Spine,1,6,Image 1,1,,610000003842,
54,,Spine,1,4,Image 1,1,,610000003842,
51,,Spine,1,6,Image 1,1,,610000003843,
58,,Spine,1,4,Image 1,1,,610000003843,
41,,Spine,1,3,Image 1,1,,610000003844,
41,,Spine,1,6,Image 1,1,,610000003844,
47,,Spine,1,5,Image 1,1,,610000003845,
100,,Spine,1,3,Image 1,1,,610000003845,
53,,Spine,1,5,Image 1,1,,610000003846,
57,,Spine,1,3,Image 1,1,,610000003846,
60,,Spine,1,5,Image 1,1,,610000003847,
