
Spine Terminal Pt Position Z
 ==================== 
Spine Terminal Pt Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1469.96,µm,Spine,Spine Terminal Pt Position,14,6,1,100000001,610000003319,
1469.86,µm,Spine,Spine Terminal Pt Position,14,6,1,100000001,610000003329,
1469.96,µm,Spine,Spine Terminal Pt Position,14,6,1,100000001,610000003333,
1469.86,µm,Spine,Spine Terminal Pt Position,3,2,1,100000000,610000003346,
1473.86,µm,Spine,Spine Terminal Pt Position,3,2,1,100000000,610000003350,
1472.16,µm,Spine,Spine Terminal Pt Position,4,1,1,100000001,610000003353,
1473.06,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000003357,
1470.06,µm,Spine,Spine Terminal Pt Position,4,4,1,100000000,610000003359,
1470.66,µm,Spine,Spine Terminal Pt Position,9,5,1,100000000,610000003361,
1470.16,µm,Spine,Spine Terminal Pt Position,2,3,1,100000001,610000003370,
1470.16,µm,Spine,Spine Terminal Pt Position,2,1,1,100000000,610000003377,
1469.86,µm,Spine,Spine Terminal Pt Position,2,1,1,100000000,610000003386,
1472.31,µm,Spine,Spine Terminal Pt Position,2,2,1,100000000,610000003389,
1469.96,µm,Spine,Spine Terminal Pt Position,3,1,1,100000000,610000003392,
1471.26,µm,Spine,Spine Terminal Pt Position,4,3,1,100000001,610000003396,
1473.77,µm,Spine,Spine Terminal Pt Position,4,3,1,100000001,610000003398,
1472.76,µm,Spine,Spine Terminal Pt Position,2,2,1,100000001,610000003400,
1473.26,µm,Spine,Spine Terminal Pt Position,1,1,1,100000001,610000003403,
1473.96,µm,Spine,Spine Terminal Pt Position,2,1,1,100000001,610000003405,
1471.96,µm,Spine,Spine Terminal Pt Position,7,5,1,100000000,610000003407,
1472.86,µm,Spine,Spine Terminal Pt Position,4,1,1,100000001,610000003410,
1472.86,µm,Spine,Spine Terminal Pt Position,8,3,1,100000000,610000003412,
1470.46,µm,Spine,Spine Terminal Pt Position,7,1,1,100000001,610000003414,
1470.06,µm,Spine,Spine Terminal Pt Position,2,2,1,100000000,610000003423,
1472.46,µm,Spine,Spine Terminal Pt Position,6,3,1,100000000,610000003425,
1473.16,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000003428,
1469.86,µm,Spine,Spine Terminal Pt Position,7,4,1,100000000,610000003430,
1470.56,µm,Spine,Spine Terminal Pt Position,7,4,1,100000000,610000003432,
1470.16,µm,Spine,Spine Terminal Pt Position,14,6,1,100000001,610000003434,
1470.06,µm,Spine,Spine Terminal Pt Position,7,2,1,100000001,610000003437,
1473.16,µm,Spine,Spine Terminal Pt Position,5,4,1,100000001,610000003439,
1473.06,µm,Spine,Spine Terminal Pt Position,3,3,1,100000001,610000003442,
1472.16,µm,Spine,Spine Terminal Pt Position,3,2,1,100000000,610000003445,
1469.86,µm,Spine,Spine Terminal Pt Position,2,2,1,100000000,610000003454,
1472.06,µm,Spine,Spine Terminal Pt Position,,,1,,610000003456,
1473.75,µm,Spine,Spine Terminal Pt Position,8,4,1,100000000,610000003459,
1470.16,µm,Spine,Spine Terminal Pt Position,0,1,1,100000000,610000003462,
1471.16,µm,Spine,Spine Terminal Pt Position,9,5,1,100000000,610000003464,
1469.91,µm,Spine,Spine Terminal Pt Position,2,1,1,100000000,610000003470,
1473.16,µm,Spine,Spine Terminal Pt Position,4,3,1,100000000,610000003472,
1469.84,µm,Spine,Spine Terminal Pt Position,3,2,1,100000000,610000003476,
1473.46,µm,Spine,Spine Terminal Pt Position,,,1,,610000003478,
1470.77,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000003481,
1471.16,µm,Spine,Spine Terminal Pt Position,4,3,1,100000001,610000003484,
1470.36,µm,Spine,Spine Terminal Pt Position,5,4,1,100000001,610000003488,
1470.26,µm,Spine,Spine Terminal Pt Position,2,3,1,100000001,610000003494,
1471.96,µm,Spine,Spine Terminal Pt Position,3,2,1,100000001,610000003496,
1473.26,µm,Spine,Spine Terminal Pt Position,5,2,1,100000000,610000003501,
1472.46,µm,Spine,Spine Terminal Pt Position,6,3,1,100000000,610000003503,
1470.56,µm,Spine,Spine Terminal Pt Position,0,1,1,100000000,610000003507,
1471.16,µm,Spine,Spine Terminal Pt Position,3,2,1,100000000,610000003510,
1469.86,µm,Spine,Spine Terminal Pt Position,2,2,1,100000000,610000003518,
1472.06,µm,Spine,Spine Terminal Pt Position,5,3,1,100000000,610000003520,
1473.06,µm,Spine,Spine Terminal Pt Position,3,3,1,100000001,610000003523,
1469.86,µm,Spine,Spine Terminal Pt Position,6,3,1,100000001,610000003525,
1472.66,µm,Spine,Spine Terminal Pt Position,1,1,1,100000000,610000003527,
1472.76,µm,Spine,Spine Terminal Pt Position,1,1,1,100000000,610000003529,
1470.86,µm,Spine,Spine Terminal Pt Position,8,2,1,100000001,610000003531,
1470.46,µm,Spine,Spine Terminal Pt Position,,,1,,610000003534,
1473.66,µm,Spine,Spine Terminal Pt Position,5,2,1,100000000,610000003542,
1470.62,µm,Spine,Spine Terminal Pt Position,3,1,1,100000000,610000003549,
1474.06,µm,Spine,Spine Terminal Pt Position,5,2,1,100000000,610000003555,
1471.46,µm,Spine,Spine Terminal Pt Position,6,2,1,100000000,610000003560,
1472.46,µm,Spine,Spine Terminal Pt Position,3,2,1,100000000,610000003562,
1473.66,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000003567,
1470.56,µm,Spine,Spine Terminal Pt Position,1,1,1,100000000,610000003573,
1473.26,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000003576,
1471.06,µm,Spine,Spine Terminal Pt Position,6,2,1,100000001,610000003579,
1471.76,µm,Spine,Spine Terminal Pt Position,1,1,1,100000000,610000003581,
1471.16,µm,Spine,Spine Terminal Pt Position,4,3,1,100000001,610000003584,
1472.46,µm,Spine,Spine Terminal Pt Position,5,2,1,100000000,610000003590,
1471.56,µm,Spine,Spine Terminal Pt Position,5,3,1,100000000,610000003595,
1470.66,µm,Spine,Spine Terminal Pt Position,0,1,1,100000001,610000003597,
1472.46,µm,Spine,Spine Terminal Pt Position,3,2,1,100000000,610000003600,
1471.46,µm,Spine,Spine Terminal Pt Position,5,3,1,100000000,610000003603,
1470.34,µm,Spine,Spine Terminal Pt Position,2,3,1,100000001,610000003605,
1473.26,µm,Spine,Spine Terminal Pt Position,5,2,1,100000001,610000003607,
1470.98,µm,Spine,Spine Terminal Pt Position,,,1,,610000003609,
1471.96,µm,Spine,Spine Terminal Pt Position,2,2,1,100000000,610000003613,
1472.06,µm,Spine,Spine Terminal Pt Position,4,2,1,100000000,610000003617,
1473.36,µm,Spine,Spine Terminal Pt Position,1,1,1,100000001,610000003632,
1472.76,µm,Spine,Spine Terminal Pt Position,1,2,1,100000000,610000003637,
1472.56,µm,Spine,Spine Terminal Pt Position,3,2,1,100000000,610000003646,
1470.96,µm,Spine,Spine Terminal Pt Position,13,5,1,100000001,610000003650,
1472.36,µm,Spine,Spine Terminal Pt Position,2,2,1,100000000,610000003655,
1471.36,µm,Spine,Spine Terminal Pt Position,2,1,1,100000000,610000003658,
1472.46,µm,Spine,Spine Terminal Pt Position,3,2,1,100000000,610000003665,
1470.56,µm,Spine,Spine Terminal Pt Position,0,1,1,100000000,610000003669,
1469.96,µm,Spine,Spine Terminal Pt Position,2,2,1,100000000,610000003673,
1471.36,µm,Spine,Spine Terminal Pt Position,2,1,1,100000000,610000003676,
1471.36,µm,Spine,Spine Terminal Pt Position,2,1,1,100000000,610000003683,
1471.32,µm,Spine,Spine Terminal Pt Position,6,2,1,100000000,610000003686,
1474.06,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000003834,
1472.73,µm,Spine,Spine Terminal Pt Position,9,5,1,,610000003834,
1473.36,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000003835,
1472.16,µm,Spine,Spine Terminal Pt Position,8,4,1,,610000003835,
1473.63,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000003836,
1472.53,µm,Spine,Spine Terminal Pt Position,6,3,1,,610000003836,
1472.84,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000003837,
1471.96,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000003837,
1472.06,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000003838,
1469.96,µm,Spine,Spine Terminal Pt Position,7,2,1,,610000003838,
1470.56,µm,Spine,Spine Terminal Pt Position,8,4,1,,610000003839,
1471.56,µm,Spine,Spine Terminal Pt Position,9,2,1,,610000003839,
1471.02,µm,Spine,Spine Terminal Pt Position,8,4,1,,610000003840,
1470.76,µm,Spine,Spine Terminal Pt Position,9,2,1,,610000003840,
1470.86,µm,Spine,Spine Terminal Pt Position,8,1,1,,610000003841,
1471.42,µm,Spine,Spine Terminal Pt Position,8,4,1,,610000003841,
1472.36,µm,Spine,Spine Terminal Pt Position,6,3,1,,610000003842,
1471.46,µm,Spine,Spine Terminal Pt Position,4,1,1,,610000003842,
1472.46,µm,Spine,Spine Terminal Pt Position,6,3,1,,610000003843,
1471.76,µm,Spine,Spine Terminal Pt Position,4,2,1,,610000003843,
1472.26,µm,Spine,Spine Terminal Pt Position,3,1,1,,610000003844,
1472.56,µm,Spine,Spine Terminal Pt Position,6,3,1,,610000003844,
1472.26,µm,Spine,Spine Terminal Pt Position,3,1,1,,610000003845,
1472.08,µm,Spine,Spine Terminal Pt Position,5,3,1,,610000003845,
1471.86,µm,Spine,Spine Terminal Pt Position,3,2,1,,610000003846,
1472.54,µm,Spine,Spine Terminal Pt Position,5,3,1,,610000003846,
1473.33,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000003847,
1471.21,µm,Spine,Spine Terminal Pt Position,5,3,1,,610000003847,
1473.22,µm,Spine,Spine Terminal Pt Position,3,2,1,,610000003848,
1472.36,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000003848,
1472.66,µm,Spine,Spine Terminal Pt Position,3,2,1,,610000003849,
1473.46,µm,Spine,Spine Terminal Pt Position,5,4,1,,610000003849,
1472.45,µm,Spine,Spine Terminal Pt Position,3,2,1,,610000003850,
1473.25,µm,Spine,Spine Terminal Pt Position,5,4,1,,610000003850,
1470.39,µm,Spine,Spine Terminal Pt Position,5,4,1,,610000003851,
1471.62,µm,Spine,Spine Terminal Pt Position,4,3,1,,610000003851,
1469.86,µm,Spine,Spine Terminal Pt Position,6,3,1,,610000003852,
1471.36,µm,Spine,Spine Terminal Pt Position,4,3,1,,610000003852,
1470.26,µm,Spine,Spine Terminal Pt Position,6,3,1,,610000003853,
1470.16,µm,Spine,Spine Terminal Pt Position,7,4,1,,610000003853,
1471.36,µm,Spine,Spine Terminal Pt Position,6,2,1,,610000003854,
1470.46,µm,Spine,Spine Terminal Pt Position,7,4,1,,610000003854,
1471.16,µm,Spine,Spine Terminal Pt Position,6,2,1,,610000003855,
1469.86,µm,Spine,Spine Terminal Pt Position,7,4,1,,610000003855,
1469.86,µm,Spine,Spine Terminal Pt Position,6,3,1,,610000003856,
1470.33,µm,Spine,Spine Terminal Pt Position,8,3,1,,610000003856,
1470.16,µm,Spine,Spine Terminal Pt Position,6,3,1,,610000003857,
1470.66,µm,Spine,Spine Terminal Pt Position,8,3,1,,610000003857,
1471.46,µm,Spine,Spine Terminal Pt Position,5,3,1,,610000003858,
1470.76,µm,Spine,Spine Terminal Pt Position,7,2,1,,610000003858,
1471.56,µm,Spine,Spine Terminal Pt Position,5,3,1,,610000003859,
1470.56,µm,Spine,Spine Terminal Pt Position,7,2,1,,610000003859,
1472.28,µm,Spine,Spine Terminal Pt Position,5,4,1,,610000003860,
1470.66,µm,Spine,Spine Terminal Pt Position,7,2,1,,610000003860,
1473.16,µm,Spine,Spine Terminal Pt Position,5,4,1,,610000003861,
1471.13,µm,Spine,Spine Terminal Pt Position,7,2,1,,610000003861,
1473.15,µm,Spine,Spine Terminal Pt Position,6,4,1,,610000003862,
1470.66,µm,Spine,Spine Terminal Pt Position,11,3,1,,610000003862,
1473.86,µm,Spine,Spine Terminal Pt Position,6,5,1,,610000003863,
1470.66,µm,Spine,Spine Terminal Pt Position,11,3,1,,610000003863,
1473.96,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000003864,
1472.76,µm,Spine,Spine Terminal Pt Position,8,6,1,,610000003864,
1470.46,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000003865,
1472.86,µm,Spine,Spine Terminal Pt Position,2,2,1,,610000003865,
1470.16,µm,Spine,Spine Terminal Pt Position,0,1,1,,610000003866,
1471.16,µm,Spine,Spine Terminal Pt Position,6,4,1,,610000003866,
1471.36,µm,Spine,Spine Terminal Pt Position,5,3,1,,610000003867,
1470.46,µm,Spine,Spine Terminal Pt Position,1,1,1,,610000003867,
1470.16,µm,Spine,Spine Terminal Pt Position,6,4,1,,610000003868,
1473.32,µm,Spine,Spine Terminal Pt Position,8,4,1,,610000003868,
1471.26,µm,Spine,Spine Terminal Pt Position,6,3,1,,610000003869,
1472.98,µm,Spine,Spine Terminal Pt Position,2,1,1,,610000003869,
