
Spine Min Diameter
 ==================== 
Spine Min Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.182812,µm,Spine,9,5,1,100000002,610000007318,
0.1625,µm,Spine,7,3,1,100000000,610000007322,
0.169387,µm,Spine,3,1,1,100000002,610000007325,
0.215519,µm,Spine,12,3,1,100000003,610000007332,
0.244468,µm,Spine,12,3,1,100000003,610000007338,
0.199185,µm,Spine,2,3,1,100000002,610000007341,
0.1625,µm,Spine,3,1,1,100000002,610000007344,
0.1625,µm,Spine,2,2,1,100000000,610000007347,
0.1625,µm,Spine,5,3,1,100000003,610000007350,
0.236536,µm,Spine,11,4,1,100000002,610000007352,
0.183314,µm,Spine,11,2,1,100000003,610000007354,
0.1625,µm,Spine,7,1,1,100000003,610000007357,
0.1625,µm,Spine,0,1,1,100000000,610000007367,
0.167578,µm,Spine,15,4,1,100000001,610000007369,
0.285337,µm,Spine,0,1,1,100000000,610000007372,
0.172656,µm,Spine,7,1,1,100000003,610000007375,
0.235964,µm,Spine,3,1,1,100000002,610000007377,
0.1625,µm,Spine,4,1,1,100000003,610000007381,
0.185701,µm,Spine,16,4,1,100000001,610000007385,
0.1625,µm,Spine,4,3,1,100000000,610000007388,
0.177444,µm,Spine,12,3,1,100000003,610000007391,
0.1625,µm,Spine,16,3,1,100000001,610000007394,
0.1625,µm,Spine,10,5,1,100000002,610000007396,
0.1625,µm,Spine,15,3,1,100000001,610000007398,
0.199634,µm,Spine,1,1,1,100000000,610000007403,
0.1625,µm,Spine,2,2,1,100000001,610000007405,
0.285988,µm,Spine,0,1,1,100000001,610000007409,
0.167578,µm,Spine,1,1,1,100000002,610000007411,
0.171197,µm,Spine,5,3,1,100000001,610000007414,
0.1625,µm,Spine,15,4,1,100000001,610000007417,
0.1625,µm,Spine,5,4,1,100000003,610000007420,
0.1625,µm,Spine,1,1,1,100000000,610000007422,
0.179004,µm,Spine,3,1,1,100000002,610000007424,
0.1625,µm,Spine,10,3,1,100000001,610000007427,
0.220716,µm,Spine,11,4,1,100000002,610000007429,
0.183309,µm,Spine,13,3,1,100000001,610000007432,
0.304567,µm,Spine,0,1,1,100000001,610000007435,
0.1625,µm,Spine,0,1,1,100000001,610000007440,
0.215722,µm,Spine,0,1,1,100000000,610000007443,
0.205597,µm,Spine,16,3,1,100000001,610000007445,
0.1625,µm,Spine,4,2,1,100000001,610000007447,
0.251161,µm,Spine,11,4,1,100000002,610000007452,
0.268932,µm,Spine,17,4,1,100000001,610000007455,
0.1625,µm,Spine,16,3,1,100000003,610000007457,
0.189521,µm,Spine,9,5,1,100000002,610000007459,
0.203025,µm,Spine,7,4,1,100000000,610000007461,
0.198047,µm,Spine,15,3,1,100000001,610000007464,
0.249721,µm,Spine,5,4,1,100000002,610000007466,
0.18265,µm,Spine,6,2,1,100000003,610000007469,
0.20842,µm,Spine,4,1,1,100000002,610000007472,
0.204677,µm,Spine,8,3,1,100000003,610000007474,
0.167578,µm,Spine,9,5,1,100000002,610000007476,
0.203676,µm,Spine,0,1,1,100000001,610000007482,
0.228265,µm,Spine,4,1,1,100000003,610000007486,
0.1625,µm,Spine,4,2,1,100000002,610000007489,
