
Volume Img=1
 ==================== 
Distance to Surface,Volume,Unit,Collection,Image,Time,ID,
-0.612,1.80261,µm^3,Volume,Image 1,1,,
-0.476,7.2485,µm^3,Volume,Image 1,1,,
-0.34,25.8849,µm^3,Volume,Image 1,1,,
-0.204,75.5044,µm^3,Volume,Image 1,1,,
-0.068,161.579,µm^3,Volume,Image 1,1,,
0.068,240.126,µm^3,Volume,Image 1,1,,
0.204,273.247,µm^3,Volume,Image 1,1,,
0.34,311.151,µm^3,Volume,Image 1,1,,
0.476,333.669,µm^3,Volume,Image 1,1,,
0.612,357.604,µm^3,Volume,Image 1,1,,
0.748,375.816,µm^3,Volume,Image 1,1,,
0.884,380.561,µm^3,Volume,Image 1,1,,
1.02,384.318,µm^3,Volume,Image 1,1,,
1.156,383.459,µm^3,Volume,Image 1,1,,
1.292,374.509,µm^3,Volume,Image 1,1,,
1.428,366.732,µm^3,Volume,Image 1,1,,
1.564,359.259,µm^3,Volume,Image 1,1,,
1.7,350.195,µm^3,Volume,Image 1,1,,
1.836,337.031,µm^3,Volume,Image 1,1,,
1.972,322.736,µm^3,Volume,Image 1,1,,
2.108,306.265,µm^3,Volume,Image 1,1,,
2.244,289.718,µm^3,Volume,Image 1,1,,
2.38,273.747,µm^3,Volume,Image 1,1,,
2.516,257.83,µm^3,Volume,Image 1,1,,
2.652,242.33,µm^3,Volume,Image 1,1,,
2.788,228.218,µm^3,Volume,Image 1,1,,
2.924,213.052,µm^3,Volume,Image 1,1,,
3.06,200.209,µm^3,Volume,Image 1,1,,
3.196,188.041,µm^3,Volume,Image 1,1,,
3.332,177.605,µm^3,Volume,Image 1,1,,
3.468,168.474,µm^3,Volume,Image 1,1,,
3.604,159.747,µm^3,Volume,Image 1,1,,
3.74,150.897,µm^3,Volume,Image 1,1,,
3.876,143.757,µm^3,Volume,Image 1,1,,
4.012,136.903,µm^3,Volume,Image 1,1,,
4.148,130.41,µm^3,Volume,Image 1,1,,
4.284,124.05,µm^3,Volume,Image 1,1,,
4.42,117.293,µm^3,Volume,Image 1,1,,
4.556,111.485,µm^3,Volume,Image 1,1,,
4.692,105.656,µm^3,Volume,Image 1,1,,
4.828,99.8968,µm^3,Volume,Image 1,1,,
4.964,94.5697,µm^3,Volume,Image 1,1,,
5.1,89.7418,µm^3,Volume,Image 1,1,,
5.236,85.0741,µm^3,Volume,Image 1,1,,
5.372,81.6055,µm^3,Volume,Image 1,1,,
5.508,78.0823,µm^3,Volume,Image 1,1,,
5.644,74.2762,µm^3,Volume,Image 1,1,,
5.78,70.6063,µm^3,Volume,Image 1,1,,
5.916,67.0154,µm^3,Volume,Image 1,1,,
6.052,64.1115,µm^3,Volume,Image 1,1,,
6.188,60.6754,µm^3,Volume,Image 1,1,,
6.324,56.4629,µm^3,Volume,Image 1,1,,
6.46,51.8904,µm^3,Volume,Image 1,1,,
6.596,47.534,µm^3,Volume,Image 1,1,,
6.732,44.3225,µm^3,Volume,Image 1,1,,
6.868,41.5979,µm^3,Volume,Image 1,1,,
7.004,39.3135,µm^3,Volume,Image 1,1,,
7.14,37.2758,µm^3,Volume,Image 1,1,,
7.276,35.2659,µm^3,Volume,Image 1,1,,
7.412,33.3597,µm^3,Volume,Image 1,1,,
7.548,31.9851,µm^3,Volume,Image 1,1,,
7.684,30.567,µm^3,Volume,Image 1,1,,
7.82,29.0739,µm^3,Volume,Image 1,1,,
7.956,27.5437,µm^3,Volume,Image 1,1,,
8.092,25.8223,µm^3,Volume,Image 1,1,,
8.228,24.5129,µm^3,Volume,Image 1,1,,
8.364,23.661,µm^3,Volume,Image 1,1,,
8.5,22.429,µm^3,Volume,Image 1,1,,
8.636,21.3336,µm^3,Volume,Image 1,1,,
8.772,19.97,µm^3,Volume,Image 1,1,,
8.908,18.9414,µm^3,Volume,Image 1,1,,
9.044,18.3116,µm^3,Volume,Image 1,1,,
9.18,17.5211,µm^3,Volume,Image 1,1,,
9.316,16.9992,µm^3,Volume,Image 1,1,,
9.452,16.2222,µm^3,Volume,Image 1,1,,
9.588,15.68,µm^3,Volume,Image 1,1,,
9.724,15.3602,µm^3,Volume,Image 1,1,,
9.86,14.8155,µm^3,Volume,Image 1,1,,
9.996,14.4501,µm^3,Volume,Image 1,1,,
10.132,13.8905,µm^3,Volume,Image 1,1,,
10.268,13.451,µm^3,Volume,Image 1,1,,
