
Segment Center Intensity Sum Ch=4 Img=1
 ==================== 
Segment Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,4,9,Image 1,7,1,100000004,510000000053,
210,,Segment,4,8,Image 1,6,1,100000004,510000000072,
25,,Segment,4,7,Image 1,5,1,100000004,510000000074,
0,,Segment,4,6,Image 1,5,1,100000004,510000000107,
0,,Segment,4,5,Image 1,4,1,100000004,510000000126,
0,,Segment,4,4,Image 1,3,1,100000004,510000000140,
0,,Segment,4,3,Image 1,2,1,100000004,510000000148,
0,,Segment,4,2,Image 1,2,1,100000004,510000000157,
0,,Segment,4,1,Image 1,2,1,100000004,510000000166,
0,,Segment,4,0,Image 1,1,1,100000004,510000000182,
0,,Segment,4,9,Image 1,6,1,100000004,510000000206,
25,,Segment,4,10,Image 1,7,1,100000004,510000000210,
0,,Segment,4,9,Image 1,6,1,100000004,510000000213,
0,,Segment,4,8,Image 1,6,1,100000004,510000000218,
0,,Segment,4,7,Image 1,6,1,100000004,510000000233,
26,,Segment,4,10,Image 1,6,1,100000004,510000000235,
0,,Segment,4,9,Image 1,7,1,100000004,510000000241,
218,,Segment,4,3,Image 1,2,1,100000000,510000000283,
0,,Segment,4,2,Image 1,2,1,100000000,510000000353,
0,,Segment,4,1,Image 1,1,1,100000000,510000000357,
0,,Segment,4,0,Image 1,1,1,100000000,510000000374,
0,,Segment,4,3,Image 1,3,1,100000000,510000000402,
265,,Segment,4,7,Image 1,3,1,100000000,510000000493,
0,,Segment,4,6,Image 1,2,1,100000000,510000000495,
0,,Segment,4,5,Image 1,2,1,100000000,510000000506,
0,,Segment,4,4,Image 1,2,1,100000000,510000000513,
0,,Segment,4,3,Image 1,1,1,100000000,510000000520,
0,,Segment,4,2,Image 1,1,1,100000000,510000000528,
32,,Segment,4,16,Image 1,8,1,100000001,510000000537,
0,,Segment,4,15,Image 1,8,1,100000001,510000000555,
101,,Segment,4,14,Image 1,7,1,100000001,510000000570,
118,,Segment,4,13,Image 1,7,1,100000001,510000000593,
0,,Segment,4,12,Image 1,6,1,100000001,510000000595,
0,,Segment,4,11,Image 1,5,1,100000001,510000000608,
115,,Segment,4,10,Image 1,5,1,100000001,510000000620,
56,,Segment,4,9,Image 1,5,1,100000001,510000000622,
0,,Segment,4,8,Image 1,5,1,100000001,510000000626,
0,,Segment,4,7,Image 1,4,1,100000001,510000000636,
0,,Segment,4,6,Image 1,3,1,100000001,510000000639,
0,,Segment,4,5,Image 1,3,1,100000001,510000000658,
0,,Segment,4,4,Image 1,2,1,100000001,510000000669,
0,,Segment,4,1,Image 1,1,1,100000001,510000000674,
0,,Segment,4,0,Image 1,1,1,100000001,510000000690,
0,,Segment,4,16,Image 1,9,1,100000001,510000000699,
167,,Segment,4,15,Image 1,7,1,100000001,510000000703,
32,,Segment,4,14,Image 1,8,1,100000001,510000000714,
82,,Segment,4,14,Image 1,8,1,100000001,510000000721,
1725,,Segment,4,3,Image 1,4,1,100000002,510000000764,
0,,Segment,4,2,Image 1,3,1,100000002,510000000772,
160,,Segment,4,1,Image 1,2,1,100000002,510000000799,
0,,Segment,4,0,Image 1,1,1,100000002,510000000808,
191,,Segment,4,3,Image 1,3,1,100000002,510000000839,
0,,Segment,4,2,Image 1,2,1,100000002,510000000857,
606,,Segment,4,9,Image 1,3,1,100000000,510000000878,
0,,Segment,4,8,Image 1,2,1,100000000,510000000887,
0,,Segment,4,7,Image 1,1,1,100000000,510000000897,
33,,Segment,4,6,Image 1,1,1,100000000,510000000907,
0,,Segment,4,5,Image 1,1,1,100000000,510000000929,
0,,Segment,4,4,Image 1,1,1,100000000,510000000934,
0,,Segment,4,3,Image 1,1,1,100000000,510000000947,
0,,Segment,4,2,Image 1,1,1,100000000,510000000959,
0,,Segment,4,1,Image 1,1,1,100000000,510000000967,
204,,Segment,4,0,Image 1,1,1,100000000,510000000995,
0,,Segment,4,0,Image 1,1,1,100000002,510000001036,
0,,Segment,4,6,Image 1,4,1,100000004,510000001065,
0,,Segment,4,4,Image 1,2,1,100000004,510000001069,
0,,Segment,4,2,Image 1,3,1,100000004,510000001085,
0,,Segment,4,3,Image 1,3,1,100000004,510000001088,
76,,Segment,4,3,Image 1,3,1,100000001,510000001105,
0,,Segment,4,2,Image 1,3,1,100000001,510000001142,
251,,Segment,4,1,Image 1,2,1,100000001,510000001164,
0,,Segment,4,0,Image 1,1,1,100000001,510000001194,
0,,Segment,4,3,Image 1,4,1,100000001,510000001200,
103,,Segment,4,2,Image 1,2,1,100000001,510000001202,
0,,Segment,4,1,Image 1,2,1,100000001,510000001210,
0,,Segment,4,1,Image 1,2,1,100000001,510000001213,
0,,Segment,4,1,Image 1,1,1,100000001,510000001216,
0,,Segment,4,6,Image 1,2,1,100000000,510000001220,
94,,Segment,4,5,Image 1,1,1,100000000,510000001222,
271,,Segment,4,4,Image 1,1,1,100000000,510000001229,
10,,Segment,4,3,Image 1,1,1,100000000,510000001253,
0,,Segment,4,2,Image 1,1,1,100000000,510000001277,
16,,Segment,4,1,Image 1,1,1,100000000,510000001308,
0,,Segment,4,0,Image 1,1,1,100000000,510000001320,
36,,Segment,4,6,Image 1,1,1,100000000,510000001335,
82,,Segment,4,5,Image 1,2,1,100000000,510000001338,
35,,Segment,4,4,Image 1,2,1,100000000,510000001341,
0,,Segment,4,3,Image 1,2,1,100000000,510000001355,
0,,Segment,4,1,Image 1,1,1,100000002,510000001360,
0,,Segment,4,0,Image 1,1,1,100000002,510000001383,
0,,Segment,4,2,Image 1,2,1,100000000,510000001388,
0,,Segment,4,1,Image 1,1,1,100000004,510000001393,
154,,Segment,4,8,Image 1,4,1,100000004,510000001405,
15,,Segment,4,7,Image 1,4,1,100000004,510000001407,
0,,Segment,4,5,Image 1,4,1,100000004,510000001462,
0,,Segment,4,4,Image 1,3,1,100000004,510000001470,
0,,Segment,4,3,Image 1,2,1,100000004,510000001511,
0,,Segment,4,2,Image 1,2,1,100000004,510000001522,
0,,Segment,4,1,Image 1,1,1,100000004,510000001539,
19,,Segment,4,0,Image 1,1,1,100000004,510000001582,
21,,Segment,4,6,Image 1,5,1,100000004,510000001598,
0,,Segment,4,7,Image 1,5,1,100000004,510000001601,
0,,Segment,4,5,Image 1,2,1,100000004,510000001639,
0,,Segment,4,4,Image 1,2,1,100000004,510000001656,
0,,Segment,4,14,Image 1,7,1,100000001,510000001659,
47,,Segment,4,13,Image 1,6,1,100000001,510000001681,
0,,Segment,4,12,Image 1,5,1,100000001,510000001688,
0,,Segment,4,11,Image 1,5,1,100000001,510000001720,
0,,Segment,4,10,Image 1,4,1,100000001,510000001732,
0,,Segment,4,9,Image 1,3,1,100000001,510000001742,
