
Segment Number of Voxel Ch=5 Img=1
 ==================== 
Segment Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
107,,Segment,5,9,Image 1,7,1,100000004,510000000053,
250,,Segment,5,8,Image 1,6,1,100000004,510000000072,
96,,Segment,5,7,Image 1,5,1,100000004,510000000074,
368,,Segment,5,6,Image 1,5,1,100000004,510000000107,
525,,Segment,5,5,Image 1,4,1,100000004,510000000126,
774,,Segment,5,4,Image 1,3,1,100000004,510000000140,
485,,Segment,5,3,Image 1,2,1,100000004,510000000148,
199,,Segment,5,2,Image 1,2,1,100000004,510000000157,
58,,Segment,5,1,Image 1,2,1,100000004,510000000166,
46,,Segment,5,0,Image 1,1,1,100000004,510000000182,
122,,Segment,5,9,Image 1,6,1,100000004,510000000206,
87,,Segment,5,10,Image 1,7,1,100000004,510000000210,
93,,Segment,5,9,Image 1,6,1,100000004,510000000213,
154,,Segment,5,8,Image 1,6,1,100000004,510000000218,
233,,Segment,5,7,Image 1,6,1,100000004,510000000233,
75,,Segment,5,10,Image 1,6,1,100000004,510000000235,
74,,Segment,5,9,Image 1,7,1,100000004,510000000241,
724,,Segment,5,3,Image 1,2,1,100000000,510000000283,
1086,,Segment,5,2,Image 1,2,1,100000000,510000000353,
181,,Segment,5,1,Image 1,1,1,100000000,510000000357,
264,,Segment,5,0,Image 1,1,1,100000000,510000000374,
193,,Segment,5,3,Image 1,3,1,100000000,510000000402,
1060,,Segment,5,7,Image 1,3,1,100000000,510000000493,
54,,Segment,5,6,Image 1,2,1,100000000,510000000495,
188,,Segment,5,5,Image 1,2,1,100000000,510000000506,
184,,Segment,5,4,Image 1,2,1,100000000,510000000513,
219,,Segment,5,3,Image 1,1,1,100000000,510000000520,
242,,Segment,5,2,Image 1,1,1,100000000,510000000528,
188,,Segment,5,16,Image 1,8,1,100000001,510000000537,
310,,Segment,5,15,Image 1,8,1,100000001,510000000555,
273,,Segment,5,14,Image 1,7,1,100000001,510000000570,
353,,Segment,5,13,Image 1,7,1,100000001,510000000593,
48,,Segment,5,12,Image 1,6,1,100000001,510000000595,
214,,Segment,5,11,Image 1,5,1,100000001,510000000608,
335,,Segment,5,10,Image 1,5,1,100000001,510000000620,
100,,Segment,5,9,Image 1,5,1,100000001,510000000622,
199,,Segment,5,8,Image 1,5,1,100000001,510000000626,
258,,Segment,5,7,Image 1,4,1,100000001,510000000636,
123,,Segment,5,6,Image 1,3,1,100000001,510000000639,
408,,Segment,5,5,Image 1,3,1,100000001,510000000658,
443,,Segment,5,4,Image 1,2,1,100000001,510000000669,
172,,Segment,5,1,Image 1,1,1,100000001,510000000674,
323,,Segment,5,0,Image 1,1,1,100000001,510000000690,
130,,Segment,5,16,Image 1,9,1,100000001,510000000699,
166,,Segment,5,15,Image 1,7,1,100000001,510000000703,
186,,Segment,5,14,Image 1,8,1,100000001,510000000714,
166,,Segment,5,14,Image 1,8,1,100000001,510000000721,
552,,Segment,5,3,Image 1,4,1,100000002,510000000764,
205,,Segment,5,2,Image 1,3,1,100000002,510000000772,
405,,Segment,5,1,Image 1,2,1,100000002,510000000799,
194,,Segment,5,0,Image 1,1,1,100000002,510000000808,
275,,Segment,5,3,Image 1,3,1,100000002,510000000839,
499,,Segment,5,2,Image 1,2,1,100000002,510000000857,
233,,Segment,5,9,Image 1,3,1,100000000,510000000878,
121,,Segment,5,8,Image 1,2,1,100000000,510000000887,
222,,Segment,5,7,Image 1,1,1,100000000,510000000897,
514,,Segment,5,6,Image 1,1,1,100000000,510000000907,
