
Spine Part Max Diameter Neck
 ==================== 
Spine Part Max Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0,µm,Spine,Spine Part Max Diameter,5,1,1,100000000,610000005413,
0.218505,µm,Spine,Spine Part Max Diameter,3,4,1,100000002,610000005436,
0.218505,µm,Spine,Spine Part Max Diameter,3,4,1,100000002,610000005458,
0.1625,µm,Spine,Spine Part Max Diameter,5,2,1,100000001,610000005461,
0.1625,µm,Spine,Spine Part Max Diameter,0,1,1,100000003,610000005464,
0.182432,µm,Spine,Spine Part Max Diameter,3,2,1,100000004,610000005467,
0,µm,Spine,Spine Part Max Diameter,8,3,1,100000001,610000005471,
0.183844,µm,Spine,Spine Part Max Diameter,2,1,1,100000003,610000005474,
0.405514,µm,Spine,Spine Part Max Diameter,3,2,1,100000000,610000005477,
0,µm,Spine,Spine Part Max Diameter,8,3,1,100000000,610000005479,
0.228924,µm,Spine,Spine Part Max Diameter,3,2,1,100000000,610000005487,
0,µm,Spine,Spine Part Max Diameter,5,4,1,100000004,610000005489,
0,µm,Spine,Spine Part Max Diameter,8,3,1,100000001,610000005493,
0,µm,Spine,Spine Part Max Diameter,2,2,1,100000004,610000005497,
0.184324,µm,Spine,Spine Part Max Diameter,3,4,1,100000002,610000005505,
0.283079,µm,Spine,Spine Part Max Diameter,5,1,1,100000000,610000005510,
0,µm,Spine,Spine Part Max Diameter,1,2,1,100000003,610000005512,
0.219232,µm,Spine,Spine Part Max Diameter,4,2,1,100000004,610000005515,
0.281185,µm,Spine,Spine Part Max Diameter,3,1,1,100000000,610000005520,
0.22027,µm,Spine,Spine Part Max Diameter,2,2,1,100000004,610000005523,
0,µm,Spine,Spine Part Max Diameter,3,2,1,100000000,610000005525,
0,µm,Spine,Spine Part Max Diameter,11,5,1,100000001,610000005527,
0,µm,Spine,Spine Part Max Diameter,2,3,1,100000001,610000005532,
0,µm,Spine,Spine Part Max Diameter,8,3,1,100000001,610000005534,
0.327864,µm,Spine,Spine Part Max Diameter,3,2,1,100000000,610000005538,
0,µm,Spine,Spine Part Max Diameter,3,2,1,100000000,610000005541,
0.211298,µm,Spine,Spine Part Max Diameter,7,2,1,100000001,610000005544,
0,µm,Spine,Spine Part Max Diameter,4,1,1,100000002,610000005547,
0,µm,Spine,Spine Part Max Diameter,2,2,1,100000002,610000005549,
0,µm,Spine,Spine Part Max Diameter,3,1,1,100000000,610000005553,
0,µm,Spine,Spine Part Max Diameter,11,6,1,100000001,610000005555,
0,µm,Spine,Spine Part Max Diameter,5,1,1,100000000,610000005557,
0,µm,Spine,Spine Part Max Diameter,0,1,1,100000003,610000005559,
0.265871,µm,Spine,Spine Part Max Diameter,3,2,1,100000000,610000005565,
0.396653,µm,Spine,Spine Part Max Diameter,1,2,1,100000004,610000005568,
0,µm,Spine,Spine Part Max Diameter,11,6,1,100000001,610000005570,
0,µm,Spine,Spine Part Max Diameter,4,3,1,100000004,610000005574,
0.24375,µm,Spine,Spine Part Max Diameter,3,3,1,100000002,610000005578,
0,µm,Spine,Spine Part Max Diameter,12,3,1,100000001,610000005581,
0.212576,µm,Spine,Spine Part Max Diameter,3,2,1,100000001,610000005584,
0,µm,Spine,Spine Part Max Diameter,4,2,1,100000001,610000005587,
0.314393,µm,Spine,Spine Part Max Diameter,4,3,1,100000004,610000005592,
0,µm,Spine,Spine Part Max Diameter,3,2,1,100000000,610000005594,
0,µm,Spine,Spine Part Max Diameter,13,5,1,100000001,610000005596,
0.24375,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000005599,
0,µm,Spine,Spine Part Max Diameter,2,1,1,100000000,610000005601,
0,µm,Spine,Spine Part Max Diameter,3,2,1,100000000,610000005604,
0.325,µm,Spine,Spine Part Max Diameter,13,5,1,100000000,610000005607,
0,µm,Spine,Spine Part Max Diameter,3,4,1,100000002,610000005609,
0,µm,Spine,Spine Part Max Diameter,4,3,1,100000004,610000005611,
0,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000005615,
0.535265,µm,Spine,Spine Part Max Diameter,2,3,1,100000001,610000005619,
0,µm,Spine,Spine Part Max Diameter,3,2,1,100000000,610000005625,
0,µm,Spine,Spine Part Max Diameter,7,3,1,100000000,610000005627,
0,µm,Spine,Spine Part Max Diameter,8,2,1,100000001,610000005631,
0.302497,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005636,
0,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000005639,
0.267577,µm,Spine,Spine Part Max Diameter,11,5,1,100000001,610000005643,
0,µm,Spine,Spine Part Max Diameter,3,2,1,100000000,610000005647,
0,µm,Spine,Spine Part Max Diameter,3,2,1,100000002,610000005649,
0,µm,Spine,Spine Part Max Diameter,6,1,1,100000000,610000005651,
0,µm,Spine,Spine Part Max Diameter,6,1,1,100000000,610000005655,
0,µm,Spine,Spine Part Max Diameter,4,3,1,100000004,610000005658,
0.1625,µm,Spine,Spine Part Max Diameter,3,4,1,100000002,610000005661,
0,µm,Spine,Spine Part Max Diameter,2,2,1,100000000,610000005664,
0,µm,Spine,Spine Part Max Diameter,2,3,1,100000001,610000005666,
0,µm,Spine,Spine Part Max Diameter,6,2,1,100000001,610000005668,
0,µm,Spine,Spine Part Max Diameter,2,3,1,100000001,610000005671,
0,µm,Spine,Spine Part Max Diameter,4,3,1,100000004,610000005673,
0,µm,Spine,Spine Part Max Diameter,4,3,1,100000004,610000005677,
0,µm,Spine,Spine Part Max Diameter,2,3,1,100000001,610000005681,
0,µm,Spine,Spine Part Max Diameter,2,2,1,100000002,610000005683,
0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005686,
0,µm,Spine,Spine Part Max Diameter,3,2,1,100000000,610000005691,
0,µm,Spine,Spine Part Max Diameter,6,1,1,100000000,610000005695,
0,µm,Spine,Spine Part Max Diameter,5,2,1,100000001,610000005698,
0,µm,Spine,Spine Part Max Diameter,7,3,1,100000000,610000005702,
0,µm,Spine,Spine Part Max Diameter,3,2,1,100000000,610000005711,
0,µm,Spine,Spine Part Max Diameter,5,2,1,100000001,610000005714,
0,µm,Spine,Spine Part Max Diameter,3,2,1,100000000,610000005717,
0,µm,Spine,Spine Part Max Diameter,1,2,1,100000001,610000005719,
0,µm,Spine,Spine Part Max Diameter,2,2,1,100000002,610000005721,
0,µm,Spine,Spine Part Max Diameter,2,3,1,100000001,610000005730,
0,µm,Spine,Spine Part Max Diameter,3,2,1,100000000,610000005737,
0,µm,Spine,Spine Part Max Diameter,2,3,1,100000001,610000005740,
0,µm,Spine,Spine Part Max Diameter,2,3,1,100000001,610000005744,
0,µm,Spine,Spine Part Max Diameter,3,2,1,100000000,610000005752,
0,µm,Spine,Spine Part Max Diameter,3,2,1,100000000,610000005762,
0,µm,Spine,Spine Part Max Diameter,3,2,1,100000002,610000005764,
0,µm,Spine,Spine Part Max Diameter,3,2,1,100000000,610000005768,
0,µm,Spine,Spine Part Max Diameter,3,2,1,100000000,610000005775,
0,µm,Spine,Spine Part Max Diameter,2,3,1,100000001,610000005777,
0,µm,Spine,Spine Part Max Diameter,3,2,1,100000002,610000005805,
0,µm,Spine,Spine Part Max Diameter,7,3,1,100000000,610000005807,
0,µm,Spine,Spine Part Max Diameter,7,3,1,100000000,610000005808,
0,µm,Spine,Spine Part Max Diameter,4,2,1,100000000,610000005809,
0,µm,Spine,Spine Part Max Diameter,5,1,1,100000000,610000005810,
0,µm,Spine,Spine Part Max Diameter,4,1,1,100000000,610000005811,
0,µm,Spine,Spine Part Max Diameter,3,1,1,100000000,610000005812,
0,µm,Spine,Spine Part Max Diameter,1,2,1,100000000,610000005813,
0,µm,Spine,Spine Part Max Diameter,3,2,1,100000000,610000005816,
0,µm,Spine,Spine Part Max Diameter,1,2,1,100000000,610000005817,
0,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000005818,
0,µm,Spine,Spine Part Max Diameter,2,2,1,100000000,610000005820,
0,µm,Spine,Spine Part Max Diameter,2,1,1,100000000,610000005821,
0,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000005822,
0,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000005823,
0,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000005824,
0,µm,Spine,Spine Part Max Diameter,6,1,1,100000000,610000005829,
0,µm,Spine,Spine Part Max Diameter,12,5,1,100000000,610000005830,
0,µm,Spine,Spine Part Max Diameter,9,3,1,100000000,610000005831,
0,µm,Spine,Spine Part Max Diameter,1,1,1,100000000,610000005832,
0,µm,Spine,Spine Part Max Diameter,6,2,1,100000000,610000005833,
0,µm,Spine,Spine Part Max Diameter,1,1,1,100000000,610000005834,
0,µm,Spine,Spine Part Max Diameter,1,1,1,100000000,610000005835,
0,µm,Spine,Spine Part Max Diameter,1,2,1,100000000,610000005836,
0,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000005837,
0,µm,Spine,Spine Part Max Diameter,1,2,1,100000000,610000005841,
0,µm,Spine,Spine Part Max Diameter,1,1,1,100000000,610000005842,
0,µm,Spine,Spine Part Max Diameter,13,6,1,100000001,610000005844,
0,µm,Spine,Spine Part Max Diameter,10,5,1,100000001,610000005845,
0,µm,Spine,Spine Part Max Diameter,11,6,1,100000001,610000005846,
0,µm,Spine,Spine Part Max Diameter,8,5,1,100000001,610000005847,
0,µm,Spine,Spine Part Max Diameter,13,6,1,100000001,610000005848,
0,µm,Spine,Spine Part Max Diameter,13,6,1,100000001,610000005849,
0,µm,Spine,Spine Part Max Diameter,13,5,1,100000001,610000005850,
0,µm,Spine,Spine Part Max Diameter,9,3,1,100000001,610000005851,
0,µm,Spine,Spine Part Max Diameter,8,4,1,100000001,610000005852,
0,µm,Spine,Spine Part Max Diameter,8,2,1,100000001,610000005853,
0,µm,Spine,Spine Part Max Diameter,8,3,1,100000001,610000005854,
0,µm,Spine,Spine Part Max Diameter,7,2,1,100000001,610000005855,
0,µm,Spine,Spine Part Max Diameter,6,2,1,100000001,610000005856,
0,µm,Spine,Spine Part Max Diameter,2,2,1,100000001,610000005857,
0,µm,Spine,Spine Part Max Diameter,1,2,1,100000001,610000005860,
0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005861,
0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005862,
0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005863,
0,µm,Spine,Spine Part Max Diameter,5,2,1,100000001,610000005864,
0,µm,Spine,Spine Part Max Diameter,4,2,1,100000001,610000005865,
0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005866,
0,µm,Spine,Spine Part Max Diameter,2,3,1,100000001,610000005867,
0,µm,Spine,Spine Part Max Diameter,1,1,1,100000001,610000005868,
0,µm,Spine,Spine Part Max Diameter,5,2,1,100000001,610000005869,
0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005870,
0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000005872,
0,µm,Spine,Spine Part Max Diameter,2,2,1,100000001,610000005873,
0,µm,Spine,Spine Part Max Diameter,1,2,1,100000001,610000005874,
0,µm,Spine,Spine Part Max Diameter,3,4,1,100000002,610000005876,
0,µm,Spine,Spine Part Max Diameter,3,4,1,100000002,610000005877,
0,µm,Spine,Spine Part Max Diameter,3,4,1,100000002,610000005878,
0,µm,Spine,Spine Part Max Diameter,3,3,1,100000002,610000005879,
0,µm,Spine,Spine Part Max Diameter,2,2,1,100000002,610000005880,
0,µm,Spine,Spine Part Max Diameter,1,2,1,100000002,610000005881,
0,µm,Spine,Spine Part Max Diameter,3,2,1,100000002,610000005882,
0,µm,Spine,Spine Part Max Diameter,3,2,1,100000002,610000005883,
0,µm,Spine,Spine Part Max Diameter,3,2,1,100000002,610000005884,
0,µm,Spine,Spine Part Max Diameter,4,1,1,100000002,610000005885,
0,µm,Spine,Spine Part Max Diameter,4,1,1,100000002,610000005886,
0,µm,Spine,Spine Part Max Diameter,1,2,1,100000002,610000005887,
0,µm,Spine,Spine Part Max Diameter,1,2,1,100000002,610000005888,
0,µm,Spine,Spine Part Max Diameter,3,1,1,100000002,610000005889,
0,µm,Spine,Spine Part Max Diameter,3,2,1,100000002,610000005890,
0,µm,Spine,Spine Part Max Diameter,1,2,1,100000002,610000005891,
0,µm,Spine,Spine Part Max Diameter,2,3,1,100000003,610000005893,
0,µm,Spine,Spine Part Max Diameter,1,1,1,100000003,610000005894,
0,µm,Spine,Spine Part Max Diameter,1,1,1,100000003,610000005895,
0,µm,Spine,Spine Part Max Diameter,0,1,1,100000003,610000005897,
0,µm,Spine,Spine Part Max Diameter,4,2,1,100000004,610000005899,
0,µm,Spine,Spine Part Max Diameter,2,2,1,100000004,610000005900,
0,µm,Spine,Spine Part Max Diameter,5,4,1,100000004,610000005901,
0,µm,Spine,Spine Part Max Diameter,4,3,1,100000004,610000005902,
0,µm,Spine,Spine Part Max Diameter,2,1,1,100000004,610000005903,
