
Segment Center Number of Voxel Ch=4 Img=1
 ==================== 
Segment Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
95,,Segment,4,3,Image 1,4,1,100000001,510000000105,
8,,Segment,4,2,Image 1,3,1,100000001,510000000112,
9,,Segment,4,1,Image 1,2,1,100000001,510000000120,
6,,Segment,4,0,Image 1,1,1,100000001,510000000133,
27,,Segment,4,16,Image 1,7,1,100000003,510000000159,
32,,Segment,4,15,Image 1,6,1,100000003,510000000190,
18,,Segment,4,14,Image 1,6,1,100000003,510000000207,
6,,Segment,4,13,Image 1,6,1,100000003,510000000212,
34,,Segment,4,12,Image 1,6,1,100000003,510000000245,
18,,Segment,4,11,Image 1,5,1,100000003,510000000262,
20,,Segment,4,10,Image 1,5,1,100000003,510000000281,
19,,Segment,4,9,Image 1,4,1,100000003,510000000299,
16,,Segment,4,8,Image 1,4,1,100000003,510000000314,
10,,Segment,4,7,Image 1,3,1,100000003,510000000323,
7,,Segment,4,6,Image 1,3,1,100000003,510000000329,
12,,Segment,4,4,Image 1,2,1,100000003,510000000341,
16,,Segment,4,3,Image 1,1,1,100000003,510000000356,
6,,Segment,4,2,Image 1,1,1,100000003,510000000361,
13,,Segment,4,1,Image 1,1,1,100000003,510000000373,
6,,Segment,4,0,Image 1,1,1,100000003,510000000381,
9,,Segment,4,16,Image 1,6,1,100000003,510000000412,
26,,Segment,4,14,Image 1,7,1,100000003,510000000439,
3,,Segment,4,13,Image 1,7,1,100000003,510000000441,
5,,Segment,4,15,Image 1,7,1,100000003,510000000445,
11,,Segment,4,14,Image 1,7,1,100000003,510000000455,
4,,Segment,4,14,Image 1,8,1,100000003,510000000460,
8,,Segment,4,6,Image 1,3,1,100000003,510000000467,
26,,Segment,4,5,Image 1,2,1,100000003,510000000492,
14,,Segment,4,4,Image 1,2,1,100000003,510000000505,
38,,Segment,4,3,Image 1,2,1,100000003,510000000542,
3,,Segment,4,2,Image 1,1,1,100000003,510000000544,
43,,Segment,4,1,Image 1,1,1,100000003,510000000587,
31,,Segment,4,0,Image 1,1,1,100000003,510000000625,
39,,Segment,4,5,Image 1,4,1,100000003,510000000684,
20,,Segment,4,4,Image 1,3,1,100000003,510000000703,
16,,Segment,4,3,Image 1,2,1,100000003,510000000718,
20,,Segment,4,2,Image 1,2,1,100000003,510000000737,
30,,Segment,4,6,Image 1,2,1,100000003,510000000766,
7,,Segment,4,5,Image 1,3,1,100000003,510000000772,
26,,Segment,4,4,Image 1,2,1,100000003,510000000797,
19,,Segment,4,5,Image 1,3,1,100000003,510000000815,
3,,Segment,4,5,Image 1,4,1,100000003,510000000817,
3,,Segment,4,5,Image 1,3,1,100000003,510000000819,
4,,Segment,4,5,Image 1,2,1,100000003,510000000822,
10,,Segment,4,4,Image 1,3,1,100000003,510000000831,
5,,Segment,4,3,Image 1,3,1,100000003,510000000836,
13,,Segment,4,4,Image 1,2,1,100000003,510000000848,
10,,Segment,4,3,Image 1,1,1,100000003,510000000857,
6,,Segment,4,4,Image 1,1,1,100000003,510000000862,
11,,Segment,4,14,Image 1,6,1,100000003,510000000872,
16,,Segment,4,12,Image 1,5,1,100000003,510000000888,
3,,Segment,4,13,Image 1,6,1,100000003,510000000890,
7,,Segment,4,14,Image 1,5,1,100000003,510000000896,
15,,Segment,4,11,Image 1,6,1,100000003,510000000912,
13,,Segment,4,8,Image 1,4,1,100000003,510000000924,
10,,Segment,4,7,Image 1,3,1,100000003,510000000933,
13,,Segment,4,6,Image 1,2,1,100000003,510000000945,
15,,Segment,4,5,Image 1,2,1,100000003,510000000959,
38,,Segment,4,4,Image 1,1,1,100000003,510000000996,
21,,Segment,4,11,Image 1,3,1,100000003,510000001016,
12,,Segment,4,10,Image 1,3,1,100000003,510000001027,
52,,Segment,4,9,Image 1,3,1,100000003,510000001078,
12,,Segment,4,8,Image 1,3,1,100000003,510000001089,
5,,Segment,4,11,Image 1,4,1,100000003,510000001093,
38,,Segment,4,9,Image 1,4,1,100000003,510000001130,
3,,Segment,4,10,Image 1,4,1,100000003,510000001132,
4,,Segment,4,6,Image 1,3,1,100000003,510000001136,
12,,Segment,4,23,Image 1,10,1,100000000,510000001156,
5,,Segment,4,22,Image 1,9,1,100000000,510000001160,
19,,Segment,4,21,Image 1,8,1,100000000,510000001178,
23,,Segment,4,20,Image 1,7,1,100000000,510000001200,
10,,Segment,4,19,Image 1,7,1,100000000,510000001209,
18,,Segment,4,18,Image 1,7,1,100000000,510000001226,
20,,Segment,4,17,Image 1,6,1,100000000,510000001245,
18,,Segment,4,16,Image 1,5,1,100000000,510000001262,
16,,Segment,4,15,Image 1,4,1,100000000,510000001277,
14,,Segment,4,14,Image 1,4,1,100000000,510000001290,
4,,Segment,4,12,Image 1,3,1,100000000,510000001294,
4,,Segment,4,11,Image 1,3,1,100000000,510000001297,
14,,Segment,4,10,Image 1,2,1,100000000,510000001310,
30,,Segment,4,9,Image 1,2,1,100000000,510000001339,
14,,Segment,4,8,Image 1,2,1,100000000,510000001352,
10,,Segment,4,7,Image 1,2,1,100000000,510000001361,
10,,Segment,4,6,Image 1,1,1,100000000,510000001370,
9,,Segment,4,4,Image 1,1,1,100000000,510000001379,
10,,Segment,4,3,Image 1,1,1,100000000,510000001388,
29,,Segment,4,2,Image 1,1,1,100000000,510000001416,
5,,Segment,4,1,Image 1,1,1,100000000,510000001420,
26,,Segment,4,0,Image 1,1,1,100000000,510000001465,
10,,Segment,4,23,Image 1,7,1,100000000,510000001474,
14,,Segment,4,22,Image 1,7,1,100000000,510000001487,
3,,Segment,4,21,Image 1,7,1,100000000,510000001489,
8,,Segment,4,22,Image 1,8,1,100000000,510000001497,
4,,Segment,4,23,Image 1,8,1,100000000,510000001500,
26,,Segment,4,22,Image 1,8,1,100000000,510000001525,
11,,Segment,4,20,Image 1,8,1,100000000,510000001535,
16,,Segment,4,19,Image 1,8,1,100000000,510000001550,
22,,Segment,4,18,Image 1,6,1,100000000,510000001571,
13,,Segment,4,17,Image 1,5,1,100000000,510000001583,
5,,Segment,4,3,Image 1,3,1,100000002,510000001587,
55,,Segment,4,2,Image 1,2,1,100000002,510000001647,
20,,Segment,4,0,Image 1,1,1,100000002,510000001679,
6,,Segment,4,3,Image 1,2,1,100000002,510000001699,
4,,Segment,4,6,Image 1,3,1,100000000,510000001703,
107,,Segment,4,5,Image 1,2,1,100000000,510000001809,
32,,Segment,4,4,Image 1,2,1,100000000,510000001840,
3,,Segment,4,6,Image 1,2,1,100000000,510000001842,
24,,Segment,4,12,Image 1,5,1,100000003,510000001865,
11,,Segment,4,11,Image 1,5,1,100000003,510000001875,
10,,Segment,4,10,Image 1,5,1,100000003,510000001884,
3,,Segment,4,9,Image 1,4,1,100000003,510000001886,
36,,Segment,4,8,Image 1,3,1,100000003,510000001921,
3,,Segment,4,7,Image 1,3,1,100000003,510000001923,
15,,Segment,4,6,Image 1,3,1,100000003,510000001937,
4,,Segment,4,5,Image 1,2,1,100000003,510000001940,
16,,Segment,4,4,Image 1,2,1,100000003,510000001955,
19,,Segment,4,3,Image 1,2,1,100000003,510000001973,
12,,Segment,4,2,Image 1,2,1,100000003,510000001984,
46,,Segment,4,1,Image 1,1,1,100000003,510000002029,
25,,Segment,4,0,Image 1,1,1,100000003,510000002056,
12,,Segment,4,11,Image 1,6,1,100000003,510000002090,
4,,Segment,4,12,Image 1,6,1,100000003,510000002095,
5,,Segment,4,10,Image 1,4,1,100000003,510000002099,
3,,Segment,4,9,Image 1,3,1,100000003,510000002101,
45,,Segment,4,5,Image 1,3,1,100000003,510000002145,
18,,Segment,4,8,Image 1,4,1,100000003,510000002162,
10,,Segment,4,5,Image 1,3,1,100000003,510000002171,
10,,Segment,4,4,Image 1,3,1,100000003,510000002180,
4,,Segment,4,7,Image 1,4,1,100000003,510000002183,
4,,Segment,4,5,Image 1,4,1,100000003,510000002186,
6,,Segment,4,3,Image 1,3,1,100000003,510000002192,
7,,Segment,4,4,Image 1,2,1,100000003,510000002198,
15,,Segment,4,3,Image 1,1,1,100000003,510000002212,
25,,Segment,4,2,Image 1,1,1,100000003,510000002236,
8,,Segment,4,3,Image 1,2,1,100000003,510000002244,
17,,Segment,4,5,Image 1,3,1,100000003,510000002260,
7,,Segment,4,4,Image 1,3,1,100000003,510000002266,
25,,Segment,4,3,Image 1,3,1,100000003,510000002290,
74,,Segment,4,2,Image 1,3,1,100000003,510000002386,
15,,Segment,4,1,Image 1,2,1,100000003,510000002400,
4,,Segment,4,5,Image 1,4,1,100000003,510000002403,
17,,Segment,4,3,Image 1,4,1,100000003,510000002419,
11,,Segment,4,1,Image 1,2,1,100000003,510000002430,
