
Segment Number of Voxel Ch=5 Img=1
 ==================== 
Segment Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
1250,,Segment,5,3,Image 1,4,1,100000001,510000000105,
186,,Segment,5,2,Image 1,3,1,100000001,510000000112,
273,,Segment,5,1,Image 1,2,1,100000001,510000000120,
106,,Segment,5,0,Image 1,1,1,100000001,510000000133,
289,,Segment,5,16,Image 1,7,1,100000003,510000000159,
355,,Segment,5,15,Image 1,6,1,100000003,510000000190,
310,,Segment,5,14,Image 1,6,1,100000003,510000000207,
135,,Segment,5,13,Image 1,6,1,100000003,510000000212,
395,,Segment,5,12,Image 1,6,1,100000003,510000000245,
240,,Segment,5,11,Image 1,5,1,100000003,510000000262,
251,,Segment,5,10,Image 1,5,1,100000003,510000000281,
106,,Segment,5,9,Image 1,4,1,100000003,510000000299,
213,,Segment,5,8,Image 1,4,1,100000003,510000000314,
234,,Segment,5,7,Image 1,3,1,100000003,510000000323,
292,,Segment,5,6,Image 1,3,1,100000003,510000000329,
337,,Segment,5,4,Image 1,2,1,100000003,510000000341,
558,,Segment,5,3,Image 1,1,1,100000003,510000000356,
276,,Segment,5,2,Image 1,1,1,100000003,510000000361,
421,,Segment,5,1,Image 1,1,1,100000003,510000000373,
482,,Segment,5,0,Image 1,1,1,100000003,510000000381,
146,,Segment,5,16,Image 1,6,1,100000003,510000000412,
509,,Segment,5,14,Image 1,7,1,100000003,510000000439,
81,,Segment,5,13,Image 1,7,1,100000003,510000000441,
67,,Segment,5,15,Image 1,7,1,100000003,510000000445,
146,,Segment,5,14,Image 1,7,1,100000003,510000000455,
50,,Segment,5,14,Image 1,8,1,100000003,510000000460,
152,,Segment,5,6,Image 1,3,1,100000003,510000000467,
334,,Segment,5,5,Image 1,2,1,100000003,510000000492,
275,,Segment,5,4,Image 1,2,1,100000003,510000000505,
634,,Segment,5,3,Image 1,2,1,100000003,510000000542,
89,,Segment,5,2,Image 1,1,1,100000003,510000000544,
392,,Segment,5,1,Image 1,1,1,100000003,510000000587,
848,,Segment,5,0,Image 1,1,1,100000003,510000000625,
555,,Segment,5,5,Image 1,4,1,100000003,510000000684,
344,,Segment,5,4,Image 1,3,1,100000003,510000000703,
409,,Segment,5,3,Image 1,2,1,100000003,510000000718,
463,,Segment,5,2,Image 1,2,1,100000003,510000000737,
516,,Segment,5,6,Image 1,2,1,100000003,510000000766,
97,,Segment,5,5,Image 1,3,1,100000003,510000000772,
457,,Segment,5,4,Image 1,2,1,100000003,510000000797,
274,,Segment,5,5,Image 1,3,1,100000003,510000000815,
113,,Segment,5,5,Image 1,4,1,100000003,510000000817,
177,,Segment,5,5,Image 1,3,1,100000003,510000000819,
116,,Segment,5,5,Image 1,2,1,100000003,510000000822,
151,,Segment,5,4,Image 1,3,1,100000003,510000000831,
228,,Segment,5,3,Image 1,3,1,100000003,510000000836,
237,,Segment,5,4,Image 1,2,1,100000003,510000000848,
249,,Segment,5,3,Image 1,1,1,100000003,510000000857,
288,,Segment,5,4,Image 1,1,1,100000003,510000000862,
190,,Segment,5,14,Image 1,6,1,100000003,510000000872,
321,,Segment,5,12,Image 1,5,1,100000003,510000000888,
83,,Segment,5,13,Image 1,6,1,100000003,510000000890,
180,,Segment,5,14,Image 1,5,1,100000003,510000000896,
230,,Segment,5,11,Image 1,6,1,100000003,510000000912,
176,,Segment,5,8,Image 1,4,1,100000003,510000000924,
164,,Segment,5,7,Image 1,3,1,100000003,510000000933,
171,,Segment,5,6,Image 1,2,1,100000003,510000000945,
166,,Segment,5,5,Image 1,2,1,100000003,510000000959,
753,,Segment,5,4,Image 1,1,1,100000003,510000000996,
236,,Segment,5,11,Image 1,3,1,100000003,510000001016,
144,,Segment,5,10,Image 1,3,1,100000003,510000001027,
619,,Segment,5,9,Image 1,3,1,100000003,510000001078,
294,,Segment,5,8,Image 1,3,1,100000003,510000001089,
50,,Segment,5,11,Image 1,4,1,100000003,510000001093,
499,,Segment,5,9,Image 1,4,1,100000003,510000001130,
68,,Segment,5,10,Image 1,4,1,100000003,510000001132,
79,,Segment,5,6,Image 1,3,1,100000003,510000001136,
128,,Segment,5,23,Image 1,10,1,100000000,510000001156,
72,,Segment,5,22,Image 1,9,1,100000000,510000001160,
593,,Segment,5,21,Image 1,8,1,100000000,510000001178,
484,,Segment,5,20,Image 1,7,1,100000000,510000001200,
269,,Segment,5,19,Image 1,7,1,100000000,510000001209,
379,,Segment,5,18,Image 1,7,1,100000000,510000001226,
329,,Segment,5,17,Image 1,6,1,100000000,510000001245,
346,,Segment,5,16,Image 1,5,1,100000000,510000001262,
449,,Segment,5,15,Image 1,4,1,100000000,510000001277,
473,,Segment,5,14,Image 1,4,1,100000000,510000001290,
121,,Segment,5,12,Image 1,3,1,100000000,510000001294,
272,,Segment,5,11,Image 1,3,1,100000000,510000001297,
674,,Segment,5,10,Image 1,2,1,100000000,510000001310,
852,,Segment,5,9,Image 1,2,1,100000000,510000001339,
620,,Segment,5,8,Image 1,2,1,100000000,510000001352,
425,,Segment,5,7,Image 1,2,1,100000000,510000001361,
