
Spine Center Intensity Min Ch=1 Img=1
 ==================== 
Spine Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
5,,Spine,1,4,Image 1,2,1,100000000,610000006574,
4,,Spine,1,6,Image 1,3,1,100000003,610000006576,
0,,Spine,1,2,Image 1,2,1,100000000,610000006581,
0,,Spine,1,9,Image 1,4,1,100000003,610000006589,
0,,Spine,1,3,Image 1,4,1,100000001,610000006593,
1,,Spine,1,2,Image 1,3,1,100000003,610000006596,
1,,Spine,1,3,Image 1,1,1,100000003,610000006601,
0,,Spine,1,3,Image 1,4,1,100000001,610000006605,
0,,Spine,1,6,Image 1,3,1,100000003,610000006608,
0,,Spine,1,6,Image 1,3,1,100000003,610000006612,
0,,Spine,1,3,Image 1,3,1,100000001,610000006626,
1,,Spine,1,9,Image 1,5,1,100000003,610000006632,
2,,Spine,1,4,Image 1,3,1,100000003,610000006634,
1,,Spine,1,12,Image 1,6,1,100000003,610000006636,
1,,Spine,1,6,Image 1,4,1,100000003,610000006639,
2,,Spine,1,3,Image 1,3,1,100000002,610000006643,
1,,Spine,1,1,Image 1,2,1,100000002,610000006645,
0,,Spine,1,6,Image 1,4,1,100000003,610000006648,
0,,Spine,1,12,Image 1,5,1,100000003,610000006651,
0,,Spine,1,6,Image 1,2,1,100000003,610000006653,
1,,Spine,1,19,Image 1,6,1,100000000,610000006656,
5,,Spine,1,9,Image 1,4,1,100000003,610000006660,
1,,Spine,1,11,Image 1,5,1,100000003,610000006662,
0,,Spine,1,3,Image 1,2,1,100000003,610000006668,
0,,Spine,1,2,Image 1,2,1,100000002,610000006674,
0,,Spine,1,1,Image 1,2,1,100000002,610000006679,
2,,Spine,1,5,Image 1,2,1,100000000,610000006682,
6,,Spine,1,2,Image 1,1,1,100000003,610000006684,
0,,Spine,1,8,Image 1,3,1,100000003,610000006687,
0,,Spine,1,3,Image 1,2,1,100000003,610000006691,
3,,Spine,1,0,Image 1,1,1,100000000,610000006693,
1,,Spine,1,14,Image 1,5,1,100000003,610000006695,
