
Spine Center Intensity Mean Ch=1 Img=1
 ==================== 
Spine Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
7.875,,Spine,1,8,Image 1,4,1,100000005,610000029303,
1.4,,Spine,1,0,Image 1,1,1,100000004,610000029312,
1,,Spine,1,5,Image 1,4,1,100000003,610000029315,
22.3333,,Spine,1,5,Image 1,3,1,100000005,610000029318,
1.33333,,Spine,1,11,Image 1,7,1,100000004,610000029320,
2,,Spine,1,13,Image 1,4,1,100000004,610000029323,
6.33333,,Spine,1,7,Image 1,5,1,100000004,610000029325,
1.33333,,Spine,1,11,Image 1,2,1,100000003,610000029335,
2.25,,Spine,1,2,Image 1,3,1,100000004,610000029338,
1.76923,,Spine,1,4,Image 1,4,1,100000003,610000029350,
1,,Spine,1,21,Image 1,10,1,100000003,610000029352,
1.57143,,Spine,1,4,Image 1,4,1,100000003,610000029365,
0,,Spine,1,0,Image 1,1,1,100000004,610000029368,
1,,Spine,1,18,Image 1,7,1,100000003,610000029370,
0.6,,Spine,1,0,Image 1,1,1,100000004,610000029376,
2,,Spine,1,3,Image 1,3,1,100000005,610000029378,
0.75,,Spine,1,4,Image 1,1,1,100000004,610000029381,
1,,Spine,1,12,Image 1,8,1,100000004,610000029383,
1.2,,Spine,1,9,Image 1,4,1,100000003,610000029387,
1.25,,Spine,1,0,Image 1,1,1,100000005,610000029390,
1,,Spine,1,9,Image 1,4,1,100000005,610000029393,
1.75,,Spine,1,0,Image 1,1,1,100000005,610000029401,
1.8,,Spine,1,0,Image 1,1,1,100000003,610000029406,
1.66667,,Spine,1,7,Image 1,6,1,100000004,610000029408,
2,,Spine,1,11,Image 1,6,1,100000005,610000029410,
5.4,,Spine,1,4,Image 1,3,1,100000005,610000029415,
3.33333,,Spine,1,10,Image 1,6,1,100000003,610000029417,
0.25,,Spine,1,4,Image 1,2,1,100000004,610000029421,
1.8,,Spine,1,4,Image 1,4,1,100000003,610000029430,
1.54545,,Spine,1,4,Image 1,4,1,100000003,610000029441,
5,,Spine,1,7,Image 1,3,1,100000005,610000029443,
1.42857,,Spine,1,0,Image 1,1,1,100000004,610000029450,
4,,Spine,1,13,Image 1,8,1,100000003,610000029452,
0.75,,Spine,1,14,Image 1,7,1,100000003,610000029455,
4.2,,Spine,1,5,Image 1,4,1,100000005,610000029459,
1.5,,Spine,1,0,Image 1,1,1,100000005,610000029462,
2.16667,,Spine,1,4,Image 1,4,1,100000003,610000029467,
0.4,,Spine,1,11,Image 1,5,1,100000003,610000029471,
1.75,,Spine,1,9,Image 1,4,1,100000003,610000029474,
37.3333,,Spine,1,13,Image 1,3,1,100000004,610000029476,
2.5,,Spine,1,12,Image 1,8,1,100000004,610000029479,
3.25,,Spine,1,4,Image 1,3,1,100000005,610000029482,
1.4,,Spine,1,0,Image 1,1,1,100000004,610000029486,
1.5,,Spine,1,0,Image 1,1,1,100000004,610000029490,
6.75,,Spine,1,0,Image 1,1,1,100000005,610000029493,
1.2,,Spine,1,7,Image 1,3,1,100000003,610000029497,
3.66667,,Spine,1,26,Image 1,10,1,100000003,610000029501,
3.33333,,Spine,1,4,Image 1,2,1,100000005,610000029503,
8.16667,,Spine,1,5,Image 1,3,1,100000005,610000029509,
1.16667,,Spine,1,11,Image 1,4,1,100000003,610000029514,
1.75,,Spine,1,0,Image 1,1,1,100000004,610000029518,
1.6,,Spine,1,4,Image 1,4,1,100000003,610000029527,
1.6,,Spine,1,13,Image 1,7,1,100000003,610000029532,
2.66667,,Spine,1,4,Image 1,3,1,100000005,610000029534,
2.33333,,Spine,1,0,Image 1,1,1,100000005,610000029536,
0.8,,Spine,1,4,Image 1,4,1,100000003,610000029540,
8.66667,,Spine,1,2,Image 1,1,1,100000005,610000029542,
0.857143,,Spine,1,0,Image 1,1,1,100000004,610000029548,
1.75,,Spine,1,12,Image 1,7,1,100000003,610000029552,
12.6667,,Spine,1,4,Image 1,4,1,100000003,610000029554,
2,,Spine,1,4,Image 1,1,1,100000004,610000029557,
0.4,,Spine,1,7,Image 1,4,1,100000003,610000029561,
1.6,,Spine,1,4,Image 1,2,1,100000005,610000029565,
