
Spine Number of Voxel Ch=2 Img=1
 ==================== 
Spine Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
243,,Spine,2,8,Image 1,4,1,100000005,610000029303,
69,,Spine,2,0,Image 1,1,1,100000004,610000029312,
50,,Spine,2,5,Image 1,4,1,100000003,610000029315,
75,,Spine,2,5,Image 1,3,1,100000005,610000029318,
79,,Spine,2,11,Image 1,7,1,100000004,610000029320,
107,,Spine,2,13,Image 1,4,1,100000004,610000029323,
87,,Spine,2,7,Image 1,5,1,100000004,610000029325,
346,,Spine,2,11,Image 1,2,1,100000003,610000029335,
59,,Spine,2,2,Image 1,3,1,100000004,610000029338,
102,,Spine,2,4,Image 1,4,1,100000003,610000029350,
105,,Spine,2,21,Image 1,10,1,100000003,610000029352,
105,,Spine,2,4,Image 1,4,1,100000003,610000029365,
112,,Spine,2,0,Image 1,1,1,100000004,610000029368,
133,,Spine,2,18,Image 1,7,1,100000003,610000029370,
340,,Spine,2,0,Image 1,1,1,100000004,610000029376,
67,,Spine,2,3,Image 1,3,1,100000005,610000029378,
251,,Spine,2,4,Image 1,1,1,100000004,610000029381,
278,,Spine,2,12,Image 1,8,1,100000004,610000029383,
73,,Spine,2,9,Image 1,4,1,100000003,610000029387,
223,,Spine,2,0,Image 1,1,1,100000005,610000029390,
74,,Spine,2,9,Image 1,4,1,100000005,610000029393,
176,,Spine,2,0,Image 1,1,1,100000005,610000029401,
347,,Spine,2,0,Image 1,1,1,100000003,610000029406,
64,,Spine,2,7,Image 1,6,1,100000004,610000029408,
77,,Spine,2,11,Image 1,6,1,100000005,610000029410,
61,,Spine,2,4,Image 1,3,1,100000005,610000029415,
136,,Spine,2,10,Image 1,6,1,100000003,610000029417,
263,,Spine,2,4,Image 1,2,1,100000004,610000029421,
111,,Spine,2,4,Image 1,4,1,100000003,610000029430,
91,,Spine,2,4,Image 1,4,1,100000003,610000029441,
269,,Spine,2,7,Image 1,3,1,100000005,610000029443,
77,,Spine,2,0,Image 1,1,1,100000004,610000029450,
85,,Spine,2,13,Image 1,8,1,100000003,610000029452,
130,,Spine,2,14,Image 1,7,1,100000003,610000029455,
67,,Spine,2,5,Image 1,4,1,100000005,610000029459,
129,,Spine,2,0,Image 1,1,1,100000005,610000029462,
81,,Spine,2,4,Image 1,4,1,100000003,610000029467,
150,,Spine,2,11,Image 1,5,1,100000003,610000029471,
72,,Spine,2,9,Image 1,4,1,100000003,610000029474,
114,,Spine,2,13,Image 1,3,1,100000004,610000029476,
123,,Spine,2,12,Image 1,8,1,100000004,610000029479,
34,,Spine,2,4,Image 1,3,1,100000005,610000029482,
55,,Spine,2,0,Image 1,1,1,100000004,610000029486,
