
Segment Position Z
 ==================== 
Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1464.03,µm,Segment,Segment Position,1,2,1,100000001,510000000021,
1464.31,µm,Segment,Segment Position,0,1,1,100000001,510000000056,
1464.44,µm,Segment,Segment Position,2,1,1,100000001,510000000105,
1464.4,µm,Segment,Segment Position,2,2,1,100000001,510000000110,
1464.72,µm,Segment,Segment Position,10,4,1,100000002,510000000119,
1464.48,µm,Segment,Segment Position,9,3,1,100000002,510000000133,
1464.62,µm,Segment,Segment Position,8,2,1,100000002,510000000137,
1464.63,µm,Segment,Segment Position,6,2,1,100000002,510000000149,
1464.54,µm,Segment,Segment Position,5,2,1,100000002,510000000170,
1464.28,µm,Segment,Segment Position,4,2,1,100000002,510000000185,
1464.04,µm,Segment,Segment Position,2,1,1,100000002,510000000203,
1464.15,µm,Segment,Segment Position,1,1,1,100000002,510000000205,
1464.99,µm,Segment,Segment Position,0,1,1,100000002,510000000224,
1464.65,µm,Segment,Segment Position,9,2,1,100000002,510000000229,
1464.38,µm,Segment,Segment Position,8,3,1,100000002,510000000234,
1464.77,µm,Segment,Segment Position,7,3,1,100000002,510000000238,
1464.71,µm,Segment,Segment Position,6,3,1,100000002,510000000241,
1464.56,µm,Segment,Segment Position,5,3,1,100000002,510000000254,
1463.89,µm,Segment,Segment Position,4,1,1,100000002,510000000262,
1464.32,µm,Segment,Segment Position,3,2,1,100000002,510000000264,
1463.93,µm,Segment,Segment Position,2,2,1,100000002,510000000270,
1464.2,µm,Segment,Segment Position,1,2,1,100000002,510000000274,
1464.45,µm,Segment,Segment Position,10,6,1,100000001,510000000281,
1464.06,µm,Segment,Segment Position,9,6,1,100000001,510000000284,
1464.83,µm,Segment,Segment Position,8,5,1,100000001,510000000337,
1465.66,µm,Segment,Segment Position,7,4,1,100000001,510000000376,
1466.08,µm,Segment,Segment Position,5,3,1,100000001,510000000390,
1465.82,µm,Segment,Segment Position,4,3,1,100000001,510000000396,
1465.02,µm,Segment,Segment Position,2,1,1,100000001,510000000408,
1464.65,µm,Segment,Segment Position,1,1,1,100000001,510000000411,
1464.99,µm,Segment,Segment Position,0,1,1,100000001,510000000416,
1463.85,µm,Segment,Segment Position,11,8,1,100000001,510000000426,
1464,µm,Segment,Segment Position,10,7,1,100000001,510000000430,
1463.77,µm,Segment,Segment Position,11,7,1,100000001,510000000432,
1464.24,µm,Segment,Segment Position,9,5,1,100000001,510000000436,
1466,µm,Segment,Segment Position,2,2,1,100000002,510000000480,
1466.22,µm,Segment,Segment Position,1,1,1,100000002,510000000510,
1465.83,µm,Segment,Segment Position,0,1,1,100000002,510000000531,
1466.92,µm,Segment,Segment Position,2,1,1,100000002,510000000543,
1467.62,µm,Segment,Segment Position,5,3,1,100000001,510000000556,
1466.78,µm,Segment,Segment Position,4,2,1,100000001,510000000571,
1466.15,µm,Segment,Segment Position,3,1,1,100000001,510000000591,
1465.33,µm,Segment,Segment Position,12,4,1,100000001,510000000618,
1465.6,µm,Segment,Segment Position,11,4,1,100000001,510000000639,
1465.7,µm,Segment,Segment Position,9,3,1,100000001,510000000682,
1465.42,µm,Segment,Segment Position,8,3,1,100000001,510000000688,
1465.47,µm,Segment,Segment Position,7,2,1,100000001,510000000728,
1465.6,µm,Segment,Segment Position,6,2,1,100000001,510000000754,
1466.13,µm,Segment,Segment Position,5,1,1,100000001,510000000764,
1466.39,µm,Segment,Segment Position,4,1,1,100000001,510000000767,
1465.22,µm,Segment,Segment Position,12,5,1,100000001,510000000772,
1464.72,µm,Segment,Segment Position,10,4,1,100000001,510000000818,
1465,µm,Segment,Segment Position,9,4,1,100000001,510000000823,
1466.21,µm,Segment,Segment Position,10,4,1,100000001,510000000840,
1464.86,µm,Segment,Segment Position,10,5,1,100000001,510000000844,
1465.57,µm,Segment,Segment Position,8,3,1,100000000,510000000851,
1465.31,µm,Segment,Segment Position,7,3,1,100000000,510000000856,
1464.9,µm,Segment,Segment Position,6,2,1,100000000,510000000877,
1464.53,µm,Segment,Segment Position,5,2,1,100000000,510000000909,
1464.96,µm,Segment,Segment Position,4,2,1,100000000,510000000922,
1464.32,µm,Segment,Segment Position,2,2,1,100000000,510000000951,
1464.14,µm,Segment,Segment Position,1,1,1,100000000,510000000955,
1465.46,µm,Segment,Segment Position,8,4,1,100000000,510000000992,
1465.27,µm,Segment,Segment Position,7,2,1,100000000,510000000995,
1463.92,µm,Segment,Segment Position,7,3,1,100000000,510000001014,
1464.34,µm,Segment,Segment Position,6,3,1,100000000,510000001021,
1463.88,µm,Segment,Segment Position,7,4,1,100000000,510000001024,
1463.96,µm,Segment,Segment Position,7,4,1,100000000,510000001026,
1464.93,µm,Segment,Segment Position,5,3,1,100000000,510000001029,
1467.62,µm,Segment,Segment Position,9,2,1,100000001,510000001045,
