
Spine Center Intensity Median Ch=2 Img=1
 ==================== 
Spine Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
2.00098,,Spine,2,2,Image 1,3,1,100000000,610000003187,
5.00391,,Spine,2,13,Image 1,5,1,100000000,610000003190,
3.00391,,Spine,2,2,Image 1,3,1,100000000,610000003192,
0.500977,,Spine,2,9,Image 1,3,1,100000000,610000003195,
1.00781,,Spine,2,9,Image 1,6,1,100000001,610000003200,
2,,Spine,2,10,Image 1,7,1,100000001,610000003203,
3.00781,,Spine,2,3,Image 1,1,1,100000001,610000003208,
3.00195,,Spine,2,3,Image 1,1,1,100000000,610000003210,
5.00781,,Spine,2,1,Image 1,1,1,100000002,610000003217,
1.50195,,Spine,2,2,Image 1,2,1,100000001,610000003220,
1,,Spine,2,6,Image 1,2,1,100000000,610000003222,
5.00781,,Spine,2,0,Image 1,1,1,100000001,610000003229,
6,,Spine,2,11,Image 1,5,1,100000000,610000003232,
1.00195,,Spine,2,0,Image 1,1,1,100000001,610000003237,
2.00391,,Spine,2,8,Image 1,3,1,100000000,610000003241,
3.00391,,Spine,2,10,Image 1,7,1,100000001,610000003244,
4.00781,,Spine,2,5,Image 1,2,1,100000000,610000003246,
2,,Spine,2,8,Image 1,2,1,100000000,610000003248,
3.00781,,Spine,2,1,Image 1,1,1,100000002,610000003254,
4,,Spine,2,1,Image 1,2,1,100000001,610000003258,
0.000976562,,Spine,2,0,Image 1,1,1,100000001,610000003262,
6.00781,,Spine,2,11,Image 1,5,1,100000000,610000003267,
1.00195,,Spine,2,0,Image 1,1,1,100000001,610000003271,
6.00781,,Spine,2,11,Image 1,4,1,100000001,610000003276,
1.50195,,Spine,2,0,Image 1,1,1,100000001,610000003282,
2.00391,,Spine,2,1,Image 1,1,1,100000002,610000003288,
8.01562,,Spine,2,4,Image 1,2,1,100000002,610000003292,
4.00195,,Spine,2,10,Image 1,7,1,100000001,610000003294,
1.00195,,Spine,2,0,Image 1,1,1,100000001,610000003298,
6.00391,,Spine,2,12,Image 1,4,1,100000001,610000003302,
2.00391,,Spine,2,1,Image 1,1,1,100000002,610000003306,
1.00391,,Spine,2,0,Image 1,1,1,100000001,610000003312,
0.000976562,,Spine,2,10,Image 1,2,1,100000000,610000003316,
46.0625,,Spine,2,11,Image 1,5,1,100000000,610000003319,
1,,Spine,2,6,Image 1,3,1,100000001,610000003321,
3.00195,,Spine,2,9,Image 1,6,1,100000001,610000003323,
3.00781,,Spine,2,10,Image 1,4,1,100000001,610000003328,
3.00391,,Spine,2,1,Image 1,2,1,100000001,610000003330,
1.00195,,Spine,2,5,Image 1,3,1,100000000,610000003332,
6.00781,,Spine,2,5,Image 1,2,1,100000000,610000003336,
3.00781,,Spine,2,12,Image 1,4,1,100000001,610000003339,
5.00391,,Spine,2,4,Image 1,2,1,100000002,610000003343,
3.00195,,Spine,2,11,Image 1,8,1,100000001,610000003345,
3.00195,,Spine,2,2,Image 1,2,1,100000001,610000003350,
0.00195312,,Spine,2,0,Image 1,1,1,100000001,610000003352,
46,,Spine,2,1,Image 1,2,1,100000000,610000003354,
5.00391,,Spine,2,0,Image 1,1,1,100000000,610000003356,
2.50195,,Spine,2,7,Image 1,3,1,100000000,610000003359,
5.50391,,Spine,2,0,Image 1,1,1,100000000,610000003365,
1.00195,,Spine,2,4,Image 1,3,1,100000001,610000003367,
5.00391,,Spine,2,0,Image 1,1,1,100000000,610000003374,
2.00195,,Spine,2,9,Image 1,3,1,100000002,610000003377,
1.00195,,Spine,2,0,Image 1,1,1,100000001,610000003383,
3.00195,,Spine,2,0,Image 1,1,1,100000000,610000003388,
2.00781,,Spine,2,0,Image 1,1,1,100000001,610000003392,
6.00781,,Spine,2,0,Image 1,1,1,100000000,610000003394,
1.00391,,Spine,2,0,Image 1,1,1,100000001,610000003398,
0.000976562,,Spine,2,0,Image 1,1,1,100000001,610000003402,
2,,Spine,2,0,Image 1,1,1,100000001,610000003405,
1.00195,,Spine,2,0,Image 1,1,1,100000001,610000003407,
2.00195,,Spine,2,1,Image 1,2,1,100000001,610000003409,
5.00391,,Spine,2,0,Image 1,1,1,100000000,610000003415,
3.00781,,Spine,2,0,Image 1,1,1,100000000,610000003420,
2,,Spine,2,1,Image 1,1,1,100000002,610000003423,
20.0156,,Spine,2,11,Image 1,4,1,100000001,610000003425,
1.00195,,Spine,2,0,Image 1,1,1,100000001,610000003430,
3,,Spine,2,0,Image 1,1,1,100000000,610000003435,
1.50391,,Spine,2,0,Image 1,1,1,100000001,610000003439,
1,,Spine,2,0,Image 1,1,1,100000000,610000003442,
2.00195,,Spine,2,0,Image 1,1,1,100000001,610000003446,
1.00195,,Spine,2,10,Image 1,2,1,100000000,610000003448,
3.00391,,Spine,2,0,Image 1,1,1,100000000,610000003452,
9.50195,,Spine,2,0,Image 1,1,1,100000000,610000003456,
8.00391,,Spine,2,2,Image 1,1,1,100000001,610000003460,
2.00781,,Spine,2,3,Image 1,1,1,100000001,610000003462,
3.00195,,Spine,2,0,Image 1,1,1,100000000,610000003466,
47.5625,,Spine,2,0,Image 1,1,1,100000001,610000003468,
1,,Spine,2,0,Image 1,1,1,100000001,610000003472,
9.00391,,Spine,2,0,Image 1,1,1,100000000,610000003477,
2.50195,,Spine,2,0,Image 1,1,1,100000000,610000003480,
3.50098,,Spine,2,0,Image 1,1,1,100000000,610000003486,
11.0078,,Spine,2,0,Image 1,1,1,100000000,610000003488,
7.00195,,Spine,2,5,Image 1,2,1,100000000,610000003491,
3.00195,,Spine,2,0,Image 1,1,1,100000000,610000003493,
8.00195,,Spine,2,3,Image 1,2,1,100000001,610000003504,
1,,Spine,2,2,Image 1,2,1,100000000,610000003509,
1.50195,,Spine,2,0,Image 1,1,1,100000001,610000003511,
1.00195,,Spine,2,1,Image 1,1,1,100000002,610000003514,
6.0625,,Spine,2,9,Image 1,3,1,100000002,610000003516,
1,,Spine,2,0,Image 1,1,1,100000001,610000003518,
1.50098,,Spine,2,0,Image 1,1,1,100000000,610000003521,
4.00391,,Spine,2,0,Image 1,1,1,100000001,610000003525,
2.00391,,Spine,2,0,Image 1,1,1,100000001,610000003531,
1.50098,,Spine,2,0,Image 1,1,1,100000001,610000003534,
3.00195,,Spine,2,0,Image 1,1,1,100000001,610000003536,
2.00195,,Spine,2,0,Image 1,1,1,100000000,610000003540,
1.00195,,Spine,2,0,Image 1,1,1,100000001,610000003542,
2,,Spine,2,0,Image 1,1,1,100000000,610000003544,
3.50195,,Spine,2,0,Image 1,1,1,100000001,610000003549,
10.5078,,Spine,2,0,Image 1,1,1,100000000,610000003554,
0.500977,,Spine,2,0,Image 1,1,1,100000001,610000003556,
5.00391,,Spine,2,0,Image 1,1,1,100000000,610000003559,
3.50098,,Spine,2,0,Image 1,1,1,100000000,610000003561,
1,,Spine,2,0,Image 1,1,1,100000001,610000003563,
2.00195,,Spine,2,9,Image 1,3,1,100000002,610000003570,
2.00391,,Spine,2,0,Image 1,1,1,100000001,610000003572,
4.50195,,Spine,2,0,Image 1,1,1,100000000,610000003576,
0.500977,,Spine,2,0,Image 1,1,1,100000001,610000003583,
14.0078,,Spine,2,0,Image 1,1,1,100000000,610000003588,
6.50391,,Spine,2,0,Image 1,1,1,100000000,610000003595,
3.00195,,Spine,2,7,Image 1,3,1,100000000,610000003619,
2,,Spine,2,7,Image 1,4,1,100000000,610000003620,
