
Segment Center Intensity Sum Ch=3 Img=1
 ==================== 
Segment Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
234,,Segment,3,11,Image 1,6,1,100000003,510000006596,
1593,,Segment,3,10,Image 1,5,1,100000003,510000006621,
950,,Segment,3,9,Image 1,4,1,100000003,510000006637,
157,,Segment,3,8,Image 1,4,1,100000003,510000006639,
641,,Segment,3,7,Image 1,4,1,100000003,510000006652,
242,,Segment,3,6,Image 1,3,1,100000003,510000006660,
819,,Segment,3,5,Image 1,3,1,100000003,510000006687,
3997,,Segment,3,4,Image 1,2,1,100000003,510000006748,
2514,,Segment,3,3,Image 1,1,1,100000003,510000006777,
362,,Segment,3,2,Image 1,1,1,100000003,510000006781,
595,,Segment,3,1,Image 1,1,1,100000003,510000006789,
3218,,Segment,3,0,Image 1,1,1,100000003,510000006818,
274,,Segment,3,11,Image 1,5,1,100000003,510000006852,
2358,,Segment,3,10,Image 1,4,1,100000003,510000006875,
173,,Segment,3,16,Image 1,6,1,100000002,510000006893,
1115,,Segment,3,15,Image 1,5,1,100000002,510000006910,
1746,,Segment,3,14,Image 1,5,1,100000002,510000006929,
2884,,Segment,3,13,Image 1,5,1,100000002,510000006968,
584,,Segment,3,12,Image 1,5,1,100000002,510000006974,
377,,Segment,3,11,Image 1,4,1,100000002,510000006978,
948,,Segment,3,10,Image 1,4,1,100000002,510000006993,
1398,,Segment,3,9,Image 1,4,1,100000002,510000007018,
1163,,Segment,3,7,Image 1,4,1,100000002,510000007037,
467,,Segment,3,6,Image 1,3,1,100000002,510000007043,
128,,Segment,3,5,Image 1,3,1,100000002,510000007045,
251,,Segment,3,3,Image 1,2,1,100000002,510000007050,
429,,Segment,3,1,Image 1,1,1,100000002,510000007059,
399,,Segment,3,0,Image 1,1,1,100000002,510000007077,
1562,,Segment,3,13,Image 1,7,1,100000003,510000007150,
2470,,Segment,3,12,Image 1,6,1,100000003,510000007169,
850,,Segment,3,11,Image 1,5,1,100000003,510000007181,
5746,,Segment,3,10,Image 1,5,1,100000003,510000007285,
682,,Segment,3,9,Image 1,4,1,100000003,510000007292,
755,,Segment,3,8,Image 1,4,1,100000003,510000007320,
4525,,Segment,3,7,Image 1,4,1,100000003,510000007373,
469,,Segment,3,6,Image 1,3,1,100000003,510000007378,
605,,Segment,3,5,Image 1,2,1,100000003,510000007386,
4773,,Segment,3,4,Image 1,1,1,100000003,510000007434,
2152,,Segment,3,3,Image 1,1,1,100000003,510000007457,
1132,,Segment,3,2,Image 1,1,1,100000003,510000007468,
636,,Segment,3,1,Image 1,1,1,100000003,510000007473,
628,,Segment,3,0,Image 1,1,1,100000003,510000007494,
515,,Segment,3,15,Image 1,7,1,100000003,510000007552,
416,,Segment,3,14,Image 1,6,1,100000003,510000007580,
293,,Segment,3,13,Image 1,5,1,100000003,510000007583,
295,,Segment,3,12,Image 1,5,1,100000003,510000007587,
859,,Segment,3,15,Image 1,6,1,100000003,510000007629,
344,,Segment,3,14,Image 1,8,1,100000003,510000007639,
216,,Segment,3,13,Image 1,8,1,100000003,510000007643,
318,,Segment,3,12,Image 1,7,1,100000003,510000007661,
275,,Segment,3,11,Image 1,6,1,100000003,510000007708,
120,,Segment,3,15,Image 1,9,1,100000003,510000007712,
141,,Segment,3,14,Image 1,9,1,100000003,510000007714,
189,,Segment,3,15,Image 1,10,1,100000003,510000007716,
61,,Segment,3,13,Image 1,7,1,100000003,510000007718,
551,,Segment,3,14,Image 1,6,1,100000002,510000007729,
428,,Segment,3,13,Image 1,6,1,100000002,510000007806,
401,,Segment,3,14,Image 1,7,1,100000002,510000007812,
306,,Segment,3,12,Image 1,7,1,100000003,510000007820,
541,,Segment,3,12,Image 1,6,1,100000003,510000007827,
495,,Segment,3,13,Image 1,6,1,100000003,510000007875,
576,,Segment,3,14,Image 1,6,1,100000002,510000007888,
1274,,Segment,3,9,Image 1,2,1,100000003,510000007971,
2210,,Segment,3,7,Image 1,1,1,100000003,510000007997,
368,,Segment,3,6,Image 1,1,1,100000003,510000008003,
1163,,Segment,3,5,Image 1,1,1,100000003,510000008012,
1014,,Segment,3,4,Image 1,1,1,100000003,510000008022,
208,,Segment,3,14,Image 1,5,1,100000003,510000008026,
195,,Segment,3,13,Image 1,6,1,100000003,510000008029,
188,,Segment,3,16,Image 1,6,1,100000003,510000008037,
443,,Segment,3,15,Image 1,5,1,100000003,510000008042,
512,,Segment,3,14,Image 1,5,1,100000003,510000008053,
477,,Segment,3,13,Image 1,5,1,100000003,510000008060,
283,,Segment,3,12,Image 1,5,1,100000003,510000008062,
393,,Segment,3,11,Image 1,5,1,100000003,510000008065,
388,,Segment,3,10,Image 1,5,1,100000003,510000008068,
2709,,Segment,3,9,Image 1,5,1,100000003,510000008101,
1674,,Segment,3,5,Image 1,5,1,100000002,510000008174,
1093,,Segment,3,4,Image 1,4,1,100000002,510000008213,
535,,Segment,3,3,Image 1,3,1,100000002,510000008222,
1018,,Segment,3,2,Image 1,3,1,100000002,510000008239,
758,,Segment,3,1,Image 1,2,1,100000002,510000008248,
931,,Segment,3,0,Image 1,1,1,100000002,510000008261,
202,,Segment,3,3,Image 1,3,1,100000003,510000008298,
759,,Segment,3,2,Image 1,2,1,100000003,510000008319,
794,,Segment,3,11,Image 1,5,1,100000003,510000008356,
244,,Segment,3,10,Image 1,4,1,100000003,510000008358,
284,,Segment,3,3,Image 1,2,1,100000003,510000008363,
1017,,Segment,3,9,Image 1,6,1,100000002,510000008394,
460,,Segment,3,8,Image 1,5,1,100000002,510000008398,
5961,,Segment,3,7,Image 1,5,1,100000002,510000008482,
460,,Segment,3,6,Image 1,4,1,100000002,510000008489,
1519,,Segment,3,16,Image 1,7,1,100000003,510000008513,
2262,,Segment,3,15,Image 1,6,1,100000003,510000008540,
534,,Segment,3,14,Image 1,6,1,100000003,510000008547,
215,,Segment,3,19,Image 1,6,1,100000003,510000008549,
3558,,Segment,3,18,Image 1,6,1,100000003,510000008578,
756,,Segment,3,16,Image 1,5,1,100000003,510000008588,
171,,Segment,3,19,Image 1,6,1,100000003,510000008592,
710,,Segment,3,18,Image 1,5,1,100000003,510000008601,
148,,Segment,3,16,Image 1,6,1,100000003,510000008606,
241,,Segment,3,17,Image 1,6,1,100000003,510000008609,
213,,Segment,3,15,Image 1,7,1,100000003,510000008614,
297,,Segment,3,15,Image 1,6,1,100000003,510000008617,
507,,Segment,3,12,Image 1,6,1,100000003,510000008624,
130,,Segment,3,13,Image 1,6,1,100000003,510000008626,
735,,Segment,3,10,Image 1,6,1,100000003,510000008631,
183,,Segment,3,11,Image 1,6,1,100000003,510000008633,
472,,Segment,3,9,Image 1,7,1,100000002,510000008665,
584,,Segment,3,8,Image 1,6,1,100000002,510000008692,
270,,Segment,3,11,Image 1,4,1,100000003,510000008700,
1581,,Segment,3,7,Image 1,4,1,100000003,510000008754,
1138,,Segment,3,6,Image 1,3,1,100000003,510000008771,
418,,Segment,3,5,Image 1,3,1,100000003,510000008777,
3007,,Segment,3,4,Image 1,3,1,100000003,510000008807,
3968,,Segment,3,3,Image 1,2,1,100000003,510000008838,
386,,Segment,3,12,Image 1,6,1,100000003,510000008846,
265,,Segment,3,11,Image 1,5,1,100000003,510000008849,
124,,Segment,3,12,Image 1,5,1,100000003,510000008851,
345,,Segment,3,12,Image 1,3,1,100000002,510000008877,
1653,,Segment,3,11,Image 1,3,1,100000002,510000008913,
464,,Segment,3,10,Image 1,2,1,100000002,510000008920,
338,,Segment,3,9,Image 1,2,1,100000002,510000008925,
1029,,Segment,3,8,Image 1,2,1,100000002,510000008939,
426,,Segment,3,7,Image 1,2,1,100000002,510000008949,
1697,,Segment,3,6,Image 1,2,1,100000002,510000008983,
254,,Segment,3,4,Image 1,2,1,100000002,510000008988,
786,,Segment,3,3,Image 1,2,1,100000002,510000008996,
950,,Segment,3,2,Image 1,2,1,100000002,510000009005,
451,,Segment,3,1,Image 1,2,1,100000002,510000009010,
410,,Segment,3,7,Image 1,3,1,100000003,510000009014,
136,,Segment,3,6,Image 1,4,1,100000003,510000009016,
1459,,Segment,3,0,Image 1,1,1,100000003,510000009060,
465,,Segment,3,6,Image 1,5,1,100000002,510000009073,
274,,Segment,3,5,Image 1,4,1,100000002,510000009076,
2519,,Segment,3,10,Image 1,5,1,100000002,510000009142,
751,,Segment,3,9,Image 1,5,1,100000002,510000009150,
487,,Segment,3,15,Image 1,6,1,100000003,510000009157,
709,,Segment,3,14,Image 1,5,1,100000003,510000009164,
1297,,Segment,3,13,Image 1,5,1,100000003,510000009177,
918,,Segment,3,12,Image 1,5,1,100000003,510000009187,
416,,Segment,3,11,Image 1,4,1,100000003,510000009190,
1529,,Segment,3,10,Image 1,4,1,100000003,510000009221,
401,,Segment,3,9,Image 1,3,1,100000003,510000009227,
2902,,Segment,3,8,Image 1,3,1,100000003,510000009257,
327,,Segment,3,7,Image 1,2,1,100000003,510000009260,
672,,Segment,3,15,Image 1,5,1,100000003,510000009265,
387,,Segment,3,13,Image 1,6,1,100000003,510000009271,
918,,Segment,3,11,Image 1,5,1,100000003,510000009282,
429,,Segment,3,12,Image 1,4,1,100000003,510000009288,
780,,Segment,3,6,Image 1,5,1,100000003,510000009315,
1110,,Segment,3,5,Image 1,4,1,100000003,510000009325,
2151,,Segment,3,4,Image 1,4,1,100000003,510000009349,
5326,,Segment,3,3,Image 1,3,1,100000003,510000009420,
2495,,Segment,3,2,Image 1,2,1,100000003,510000009448,
1317,,Segment,3,1,Image 1,2,1,100000003,510000009465,
58,,Segment,3,9,Image 1,6,1,100000002,510000009467,
379,,Segment,3,10,Image 1,6,1,100000002,510000009499,
497,,Segment,3,5,Image 1,4,1,100000003,510000009511,
880,,Segment,3,4,Image 1,3,1,100000003,510000009527,
1748,,Segment,3,3,Image 1,2,1,100000003,510000009575,
577,,Segment,3,2,Image 1,1,1,100000003,510000009578,
809,,Segment,3,1,Image 1,1,1,100000003,510000009583,
221,,Segment,3,0,Image 1,1,1,100000003,510000009614,
1004,,Segment,3,0,Image 1,1,1,100000003,510000009635,
2586,,Segment,3,8,Image 1,5,1,100000003,510000009675,
374,,Segment,3,7,Image 1,4,1,100000003,510000009677,
679,,Segment,3,6,Image 1,4,1,100000003,510000009685,
308,,Segment,3,6,Image 1,4,1,100000003,510000009691,
278,,Segment,3,5,Image 1,4,1,100000003,510000009699,
667,,Segment,3,6,Image 1,5,1,100000002,510000009724,
351,,Segment,3,5,Image 1,4,1,100000002,510000009727,
1138,,Segment,3,4,Image 1,3,1,100000002,510000009766,
211,,Segment,3,5,Image 1,3,1,100000003,510000009768,
111,,Segment,3,11,Image 1,6,1,100000002,510000009776,
227,,Segment,3,10,Image 1,5,1,100000002,510000009779,
1552,,Segment,3,8,Image 1,5,1,100000002,510000009807,
341,,Segment,3,5,Image 1,5,1,100000003,510000009820,
1149,,Segment,3,6,Image 1,5,1,100000003,510000009843,
379,,Segment,3,5,Image 1,5,1,100000003,510000009858,
512,,Segment,3,4,Image 1,4,1,100000003,510000009879,
328,,Segment,3,3,Image 1,3,1,100000003,510000009883,
5936,,Segment,3,2,Image 1,3,1,100000003,510000009956,
55,,Segment,3,6,Image 1,6,1,100000003,510000009958,
1028,,Segment,3,4,Image 1,2,1,100000003,510000009975,
326,,Segment,3,6,Image 1,4,1,100000002,510000009992,
1198,,Segment,3,9,Image 1,6,1,100000003,510000010017,
175,,Segment,3,8,Image 1,5,1,100000003,510000010027,
1858,,Segment,3,9,Image 1,5,1,100000003,510000010046,
1393,,Segment,3,19,Image 1,6,1,100000002,510000010072,
339,,Segment,3,18,Image 1,5,1,100000002,510000010075,
172,,Segment,3,17,Image 1,5,1,100000002,510000010078,
782,,Segment,3,16,Image 1,5,1,100000002,510000010095,
477,,Segment,3,20,Image 1,5,1,100000002,510000010109,
314,,Segment,3,19,Image 1,5,1,100000002,510000010114,
304,,Segment,3,20,Image 1,6,1,100000002,510000010121,
371,,Segment,3,18,Image 1,6,1,100000002,510000010127,
223,,Segment,3,17,Image 1,6,1,100000002,510000010133,
1336,,Segment,3,8,Image 1,2,1,100000003,510000010170,
4613,,Segment,3,7,Image 1,2,1,100000003,510000010211,
124,,Segment,3,5,Image 1,4,1,100000003,510000010214,
340,,Segment,3,5,Image 1,5,1,100000002,510000010221,
349,,Segment,3,4,Image 1,4,1,100000002,510000010227,
751,,Segment,3,3,Image 1,4,1,100000002,510000010254,
463,,Segment,3,2,Image 1,3,1,100000002,510000010258,
82,,Segment,3,4,Image 1,5,1,100000002,510000010261,
1222,,Segment,3,10,Image 1,5,1,100000002,510000010290,
103,,Segment,3,12,Image 1,4,1,100000002,510000010302,
4720,,Segment,3,3,Image 1,2,1,100000003,510000010379,
871,,Segment,3,5,Image 1,3,1,100000002,510000010396,
447,,Segment,3,4,Image 1,3,1,100000002,510000010404,
2306,,Segment,3,3,Image 1,3,1,100000002,510000010443,
