
Segment Center Number of Voxel Ch=4 Img=1
 ==================== 
Segment Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
23,,Segment,4,11,Image 1,6,1,100000003,510000006596,
26,,Segment,4,10,Image 1,5,1,100000003,510000006621,
17,,Segment,4,9,Image 1,4,1,100000003,510000006637,
3,,Segment,4,8,Image 1,4,1,100000003,510000006639,
14,,Segment,4,7,Image 1,4,1,100000003,510000006652,
9,,Segment,4,6,Image 1,3,1,100000003,510000006660,
28,,Segment,4,5,Image 1,3,1,100000003,510000006687,
62,,Segment,4,4,Image 1,2,1,100000003,510000006748,
30,,Segment,4,3,Image 1,1,1,100000003,510000006777,
5,,Segment,4,2,Image 1,1,1,100000003,510000006781,
9,,Segment,4,1,Image 1,1,1,100000003,510000006789,
27,,Segment,4,0,Image 1,1,1,100000003,510000006818,
22,,Segment,4,11,Image 1,5,1,100000003,510000006852,
24,,Segment,4,10,Image 1,4,1,100000003,510000006875,
19,,Segment,4,16,Image 1,6,1,100000002,510000006893,
18,,Segment,4,15,Image 1,5,1,100000002,510000006910,
20,,Segment,4,14,Image 1,5,1,100000002,510000006929,
40,,Segment,4,13,Image 1,5,1,100000002,510000006968,
7,,Segment,4,12,Image 1,5,1,100000002,510000006974,
5,,Segment,4,11,Image 1,4,1,100000002,510000006978,
16,,Segment,4,10,Image 1,4,1,100000002,510000006993,
26,,Segment,4,9,Image 1,4,1,100000002,510000007018,
19,,Segment,4,7,Image 1,4,1,100000002,510000007037,
7,,Segment,4,6,Image 1,3,1,100000002,510000007043,
3,,Segment,4,5,Image 1,3,1,100000002,510000007045,
5,,Segment,4,3,Image 1,2,1,100000002,510000007050,
9,,Segment,4,1,Image 1,1,1,100000002,510000007059,
15,,Segment,4,0,Image 1,1,1,100000002,510000007077,
37,,Segment,4,13,Image 1,7,1,100000003,510000007150,
20,,Segment,4,12,Image 1,6,1,100000003,510000007169,
13,,Segment,4,11,Image 1,5,1,100000003,510000007181,
