
Spine Center Number of Voxel Ch=4 Img=1
 ==================== 
Spine Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
9,,Spine,4,7,Image 1,5,1,100000002,610000011966,
9,,Spine,4,3,Image 1,3,1,100000003,610000011974,
10,,Spine,4,11,Image 1,4,1,100000003,610000011983,
8,,Spine,4,3,Image 1,2,1,100000003,610000011990,
5,,Spine,4,9,Image 1,5,1,100000003,610000011994,
7,,Spine,4,7,Image 1,3,1,100000002,610000012000,
4,,Spine,4,0,Image 1,1,1,100000003,610000012003,
4,,Spine,4,4,Image 1,2,1,100000003,610000012006,
3,,Spine,4,13,Image 1,6,1,100000003,610000012008,
3,,Spine,4,9,Image 1,4,1,100000002,610000012011,
4,,Spine,4,0,Image 1,1,1,100000003,610000012014,
3,,Spine,4,12,Image 1,4,1,100000003,610000012017,
3,,Spine,4,0,Image 1,1,1,100000003,610000012019,
4,,Spine,4,3,Image 1,2,1,100000002,610000012022,
3,,Spine,4,3,Image 1,1,1,100000003,610000012024,
3,,Spine,4,12,Image 1,4,1,100000003,610000012026,
8,,Spine,4,0,Image 1,1,1,100000003,610000012034,
7,,Spine,4,0,Image 1,1,1,100000003,610000012041,
5,,Spine,4,1,Image 1,2,1,100000002,610000012046,
3,,Spine,4,4,Image 1,2,1,100000003,610000012048,
5,,Spine,4,0,Image 1,1,1,100000003,610000012057,
4,,Spine,4,0,Image 1,1,1,100000003,610000012061,
5,,Spine,4,0,Image 1,1,1,100000003,610000012069,
5,,Spine,4,0,Image 1,1,1,100000003,610000012074,
3,,Spine,4,0,Image 1,1,1,100000003,610000012076,
3,,Spine,4,10,Image 1,5,1,100000002,610000012081,
4,,Spine,4,0,Image 1,1,1,100000003,610000012085,
3,,Spine,4,3,Image 1,2,1,100000003,610000012088,
3,,Spine,4,0,Image 1,1,1,100000003,610000012092,
3,,Spine,4,8,Image 1,5,1,100000003,610000012095,
4,,Spine,4,0,Image 1,1,1,100000003,610000012099,
3,,Spine,4,4,Image 1,4,1,100000002,610000012103,
4,,Spine,4,4,Image 1,1,1,100000003,610000012106,
3,,Spine,4,0,Image 1,1,1,100000002,610000012113,
2,,Spine,4,0,Image 1,1,1,100000002,610000012115,
3,,Spine,4,0,Image 1,1,1,100000003,610000012120,
4,,Spine,4,0,Image 1,1,1,100000003,610000012125,
3,,Spine,4,0,Image 1,1,1,100000003,610000012128,
4,,Spine,4,5,Image 1,1,1,100000003,610000012136,
3,,Spine,4,0,Image 1,1,1,100000002,610000012141,
3,,Spine,4,5,Image 1,1,1,100000003,610000012147,
3,,Spine,4,0,Image 1,1,1,100000003,610000012150,
3,,Spine,4,0,Image 1,1,1,100000003,610000012157,
2,,Spine,4,0,Image 1,1,1,100000003,610000012173,
2,,Spine,4,0,Image 1,1,1,100000002,610000012175,
2,,Spine,4,0,Image 1,1,1,100000003,610000012181,
