
Segment Intensity Sum Ch=5 Img=1
 ==================== 
Segment Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
327,,Segment,5,0,Image 1,1,1,100000002,510000000003,
305,,Segment,5,0,Image 1,1,1,100000002,510000000061,
1739,,Segment,5,0,Image 1,1,1,100000002,510000000067,
0,,Segment,5,0,Image 1,1,1,100000002,510000000080,
212,,Segment,5,0,Image 1,1,1,100000002,510000000094,
610,,Segment,5,0,Image 1,1,1,100000002,510000000098,
8406,,Segment,5,0,Image 1,1,1,100000002,510000000162,
4375,,Segment,5,0,Image 1,1,1,100000002,510000000187,
0,,Segment,5,18,Image 1,5,1,100000001,510000000307,
58,,Segment,5,17,Image 1,4,1,100000001,510000000317,
112,,Segment,5,16,Image 1,4,1,100000001,510000000321,
136,,Segment,5,15,Image 1,4,1,100000001,510000000348,
2755,,Segment,5,14,Image 1,4,1,100000001,510000000362,
0,,Segment,5,13,Image 1,4,1,100000001,510000000366,
37,,Segment,5,12,Image 1,4,1,100000001,510000000370,
5368,,Segment,5,11,Image 1,4,1,100000001,510000000383,
71,,Segment,5,9,Image 1,4,1,100000001,510000000399,
108,,Segment,5,8,Image 1,3,1,100000001,510000000406,
0,,Segment,5,7,Image 1,3,1,100000001,510000000420,
0,,Segment,5,5,Image 1,3,1,100000001,510000000433,
4262,,Segment,5,4,Image 1,2,1,100000001,510000000445,
5864,,Segment,5,3,Image 1,2,1,100000001,510000000448,
1152,,Segment,5,2,Image 1,2,1,100000001,510000000465,
0,,Segment,5,1,Image 1,2,1,100000001,510000000496,
0,,Segment,5,0,Image 1,1,1,100000001,510000000509,
1824,,Segment,5,0,Image 1,1,1,100000002,510000000551,
0,,Segment,5,0,Image 1,1,1,100000002,510000000554,
0,,Segment,5,0,Image 1,1,1,100000002,510000000563,
0,,Segment,5,0,Image 1,1,1,100000002,510000000575,
0,,Segment,5,0,Image 1,1,1,100000002,510000000579,
973,,Segment,5,0,Image 1,1,1,100000002,510000000584,
275,,Segment,5,0,Image 1,1,1,100000002,510000000601,
3835,,Segment,5,0,Image 1,1,1,100000002,510000000691,
833,,Segment,5,0,Image 1,1,1,100000002,510000000740,
9,,Segment,5,0,Image 1,1,1,100000002,510000000748,
6770,,Segment,5,0,Image 1,1,1,100000002,510000000776,
165,,Segment,5,0,Image 1,1,1,100000002,510000000784,
0,,Segment,5,0,Image 1,1,1,100000002,510000000787,
0,,Segment,5,0,Image 1,1,1,100000002,510000000790,
0,,Segment,5,0,Image 1,1,1,100000002,510000000800,
0,,Segment,5,0,Image 1,1,1,100000002,510000000805,
453,,Segment,5,0,Image 1,1,1,100000002,510000000811,
10,,Segment,5,0,Image 1,1,1,100000002,510000000837,
56,,Segment,5,0,Image 1,1,1,100000002,510000000842,
0,,Segment,5,0,Image 1,1,1,100000002,510000000846,
1073,,Segment,5,0,Image 1,1,1,100000002,510000000853,
3296,,Segment,5,0,Image 1,1,1,100000002,510000000940,
1775,,Segment,5,0,Image 1,1,1,100000002,510000000976,
0,,Segment,5,0,Image 1,1,1,100000002,510000001002,
99,,Segment,5,0,Image 1,1,1,100000002,510000001011,
0,,Segment,5,0,Image 1,1,1,100000002,510000001019,
807,,Segment,5,0,Image 1,1,1,100000002,510000001026,
0,,Segment,5,0,Image 1,1,1,100000002,510000001030,
163,,Segment,5,0,Image 1,1,1,100000002,510000001036,
216,,Segment,5,0,Image 1,1,1,100000002,510000001044,
468,,Segment,5,0,Image 1,1,1,100000002,510000001073,
99,,Segment,5,0,Image 1,1,1,100000002,510000001082,
249,,Segment,5,0,Image 1,1,1,100000002,510000001089,
0,,Segment,5,0,Image 1,1,1,100000002,510000001092,
0,,Segment,5,0,Image 1,1,1,100000002,510000001096,
0,,Segment,5,0,Image 1,1,1,100000002,510000001131,
