
Spine Attachment Pt Position
 ==================== 
Spine Attachment Pt Position X,Spine Attachment Pt Position Y,Spine Attachment Pt Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
-16706.4,20221,1465.03,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000002912,
-16697.5,20218,1465.31,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000002927,
-16708.1,20225.1,1466.52,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000002952,
-16707.2,20220.8,1465.83,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000002988,
-16708.1,20225.7,1465.87,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003025,
-16705.8,20217.3,1464.58,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003040,
-16703,20223.5,1466.14,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003065,
-16704.5,20227.6,1466.98,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003096,
-16697.4,20231.2,1464.93,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003105,
-16698.8,20217,1465.01,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003412,
-16697.9,20219.2,1465.22,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003414,
-16704.9,20221.4,1466.13,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003415,
-16704.3,20222.5,1466.56,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003416,
-16697.6,20231.3,1465.45,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003417,
-16696.7,20232.3,1466.1,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003418,
-16697.3,20232,1465.75,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003419,
-16697.9,20230.3,1465.49,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003421,
-16701.6,20228.7,1467.16,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003422,
-16704,20227.7,1467,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003423,
-16706.2,20227.4,1466.5,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003424,
-16707.6,20228.1,1467.53,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003425,
-16710.2,20226.1,1466.98,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003426,
-16707.1,20223.7,1463.77,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003427,
-16705.7,20225.3,1464.01,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003428,
-16708.4,20225.6,1466.03,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003430,
-16711.2,20222,1465.93,µm,Spine,Spine Attachment Pt Position,,,1,100000002,610000003431,
-16720.7,20231.6,1466.29,µm,Spine,Spine Attachment Pt Position,1,2,1,100000001,610000003001,
