
Spine Center Intensity StdDev Ch=4 Img=1
 ==================== 
Spine Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
32.7595,,Spine,4,17,Image 1,4,1,100000002,610000002912,
42.2795,,Spine,4,17,Image 1,4,1,100000001,610000002920,
29.6284,,Spine,4,2,Image 1,2,1,100000001,610000002924,
15.6585,,Spine,4,17,Image 1,4,1,100000002,610000002927,
52.2085,,Spine,4,6,Image 1,5,1,100000001,610000002938,
39.7048,,Spine,4,6,Image 1,5,1,100000001,610000002949,
16.6038,,Spine,4,17,Image 1,4,1,100000002,610000002952,
28.4462,,Spine,4,2,Image 1,2,1,100000001,610000002955,
44.9623,,Spine,4,6,Image 1,5,1,100000001,610000002964,
44.7425,,Spine,4,6,Image 1,5,1,100000001,610000002973,
37.5144,,Spine,4,6,Image 1,5,1,100000001,610000002981,
13.4247,,Spine,4,2,Image 1,2,1,100000001,610000002983,
25.489,,Spine,4,2,Image 1,2,1,100000001,610000002986,
12.3918,,Spine,4,17,Image 1,4,1,100000002,610000002988,
48.3998,,Spine,4,6,Image 1,5,1,100000001,610000002996,
26.1295,,Spine,4,6,Image 1,4,1,100000001,610000002999,
24.513,,Spine,4,1,Image 1,2,1,100000001,610000003001,
28.856,,Spine,4,14,Image 1,4,1,100000001,610000003003,
19.1369,,Spine,4,5,Image 1,3,1,100000001,610000003005,
13.7545,,Spine,4,6,Image 1,3,1,100000001,610000003008,
15.7242,,Spine,4,5,Image 1,5,1,100000001,610000003012,
46.111,,Spine,4,6,Image 1,5,1,100000001,610000003017,
39.6838,,Spine,4,7,Image 1,5,1,100000001,610000003021,
9,,Spine,4,17,Image 1,4,1,100000001,610000003023,
26.9485,,Spine,4,17,Image 1,4,1,100000002,610000003025,
43.7061,,Spine,4,19,Image 1,8,1,100000001,610000003027,
27.374,,Spine,4,7,Image 1,5,1,100000001,610000003032,
38.133,,Spine,4,19,Image 1,4,1,100000001,610000003038,
9.80929,,Spine,4,17,Image 1,4,1,100000002,610000003040,
46.7547,,Spine,4,7,Image 1,4,1,100000001,610000003043,
23.622,,Spine,4,10,Image 1,3,1,100000001,610000003045,
21.8225,,Spine,4,2,Image 1,2,1,100000001,610000003047,
37.9327,,Spine,4,2,Image 1,2,1,100000001,610000003049,
10.6301,,Spine,4,19,Image 1,7,1,100000001,610000003053,
24.9043,,Spine,4,6,Image 1,3,1,100000001,610000003057,
53.8029,,Spine,4,6,Image 1,5,1,100000001,610000003060,
29.3295,,Spine,4,5,Image 1,3,1,100000001,610000003063,
23.0988,,Spine,4,17,Image 1,4,1,100000002,610000003065,
45.4533,,Spine,4,17,Image 1,4,1,100000001,610000003067,
3.39935,,Spine,4,5,Image 1,3,1,100000001,610000003069,
42.9677,,Spine,4,14,Image 1,4,1,100000001,610000003071,
79.2689,,Spine,4,7,Image 1,5,1,100000001,610000003076,
20.0056,,Spine,4,2,Image 1,2,1,100000001,610000003078,
6.94422,,Spine,4,6,Image 1,4,1,100000001,610000003080,
35.6931,,Spine,4,12,Image 1,5,1,100000001,610000003083,
8.64581,,Spine,4,9,Image 1,4,1,100000001,610000003087,
14.1647,,Spine,4,7,Image 1,5,1,100000001,610000003091,
42.9056,,Spine,4,17,Image 1,4,1,100000002,610000003093,
12.0277,,Spine,4,17,Image 1,4,1,100000002,610000003096,
16.2138,,Spine,4,17,Image 1,4,1,100000002,610000003098,
49.708,,Spine,4,6,Image 1,5,1,100000001,610000003100,
10.7806,,Spine,4,11,Image 1,3,1,100000001,610000003103,
14.5144,,Spine,4,17,Image 1,4,1,100000002,610000003105,
23.3,,Spine,4,2,Image 1,2,1,100000001,610000003107,
46.2081,,Spine,4,5,Image 1,2,1,100000001,610000003117,
13.0979,,Spine,4,17,Image 1,4,1,100000001,610000003120,
7.31817,,Spine,4,12,Image 1,6,1,100000001,610000003125,
38.321,,Spine,4,10,Image 1,6,1,100000001,610000003128,
35.122,,Spine,4,7,Image 1,4,1,100000001,610000003131,
9.62635,,Spine,4,7,Image 1,5,1,100000001,610000003135,
32.2938,,Spine,4,11,Image 1,5,1,100000001,610000003138,
27.4752,,Spine,4,20,Image 1,7,1,100000001,610000003140,
31.273,,Spine,4,20,Image 1,7,1,100000001,610000003144,
56.9781,,Spine,4,19,Image 1,4,1,100000001,610000003148,
36.9354,,Spine,4,7,Image 1,5,1,100000001,610000003152,
12.2755,,Spine,4,7,Image 1,5,1,100000001,610000003160,
35.5,,Spine,4,17,Image 1,4,1,100000001,610000003360,
29,,Spine,4,20,Image 1,7,1,100000001,610000003361,
18,,Spine,4,19,Image 1,7,1,100000001,610000003362,
10.5,,Spine,4,19,Image 1,7,1,100000001,610000003363,
4.5,,Spine,4,19,Image 1,7,1,100000001,610000003364,
12,,Spine,4,18,Image 1,7,1,100000001,610000003365,
12.5,,Spine,4,15,Image 1,7,1,100000001,610000003366,
25,,Spine,4,15,Image 1,7,1,100000001,610000003367,
2,,Spine,4,11,Image 1,4,1,100000001,610000003368,
26.5,,Spine,4,12,Image 1,5,1,100000001,610000003369,
14,,Spine,4,9,Image 1,4,1,100000001,610000003370,
10.5,,Spine,4,9,Image 1,4,1,100000001,610000003371,
21.5,,Spine,4,10,Image 1,3,1,100000001,610000003372,
0,,Spine,4,10,Image 1,4,1,100000001,610000003373,
11.5,,Spine,4,7,Image 1,4,1,100000001,610000003374,
12,,Spine,4,7,Image 1,5,1,100000001,610000003375,
1,,Spine,4,7,Image 1,4,1,100000001,610000003376,
0,,Spine,4,6,Image 1,4,1,100000001,610000003377,
14,,Spine,4,6,Image 1,4,1,100000001,610000003378,
10.5,,Spine,4,5,Image 1,3,1,100000001,610000003379,
13.5,,Spine,4,6,Image 1,3,1,100000001,610000003380,
33,,Spine,4,4,Image 1,2,1,100000001,610000003381,
14.5,,Spine,4,5,Image 1,3,1,100000001,610000003382,
3.5,,Spine,4,5,Image 1,4,1,100000001,610000003383,
32.5,,Spine,4,7,Image 1,4,1,100000001,610000003384,
23.5,,Spine,4,4,Image 1,4,1,100000001,610000003385,
16.5,,Spine,4,4,Image 1,4,1,100000001,610000003386,
22.5,,Spine,4,7,Image 1,5,1,100000001,610000003387,
22,,Spine,4,7,Image 1,5,1,100000001,610000003388,
23.5,,Spine,4,8,Image 1,5,1,100000001,610000003389,
8,,Spine,4,8,Image 1,4,1,100000001,610000003390,
3,,Spine,4,6,Image 1,5,1,100000001,610000003391,
54.5,,Spine,4,5,Image 1,3,1,100000001,610000003392,
35,,Spine,4,3,Image 1,3,1,100000001,610000003393,
9,,Spine,4,1,Image 1,2,1,100000001,610000003394,
0.5,,Spine,4,1,Image 1,2,1,100000001,610000003395,
32.5,,Spine,4,7,Image 1,5,1,100000001,610000003396,
60,,Spine,4,7,Image 1,4,1,100000001,610000003397,
15,,Spine,4,7,Image 1,4,1,100000001,610000003398,
3,,Spine,4,7,Image 1,4,1,100000001,610000003399,
18,,Spine,4,6,Image 1,3,1,100000001,610000003400,
9,,Spine,4,4,Image 1,3,1,100000001,610000003401,
50.5,,Spine,4,5,Image 1,2,1,100000001,610000003402,
31.5,,Spine,4,1,Image 1,2,1,100000001,610000003403,
16,,Spine,4,0,Image 1,1,1,100000001,610000003404,
31,,Spine,4,17,Image 1,4,1,100000002,610000003412,
18,,Spine,4,17,Image 1,4,1,100000002,610000003413,
15.5,,Spine,4,17,Image 1,4,1,100000002,610000003414,
4.5,,Spine,4,17,Image 1,4,1,100000002,610000003415,
34.5,,Spine,4,17,Image 1,4,1,100000002,610000003416,
8.5,,Spine,4,17,Image 1,4,1,100000002,610000003417,
20.5,,Spine,4,17,Image 1,4,1,100000002,610000003418,
3.5,,Spine,4,17,Image 1,4,1,100000002,610000003419,
15,,Spine,4,17,Image 1,4,1,100000002,610000003420,
0.5,,Spine,4,17,Image 1,4,1,100000002,610000003421,
10.5,,Spine,4,17,Image 1,4,1,100000002,610000003422,
0,,Spine,4,17,Image 1,4,1,100000002,610000003423,
28,,Spine,4,17,Image 1,4,1,100000002,610000003424,
16,,Spine,4,17,Image 1,4,1,100000002,610000003425,
13.5,,Spine,4,17,Image 1,4,1,100000002,610000003426,
27.5,,Spine,4,17,Image 1,4,1,100000002,610000003427,
14.5,,Spine,4,17,Image 1,4,1,100000002,610000003428,
20.5,,Spine,4,17,Image 1,4,1,100000002,610000003429,
8.5,,Spine,4,17,Image 1,4,1,100000002,610000003430,
15.5,,Spine,4,17,Image 1,4,1,100000002,610000003431,
