
Segment Center Number of Voxel Ch=5 Img=1
 ==================== 
Segment Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
16,,Segment,5,11,Image 1,5,1,100000000,510000000020,
8,,Segment,5,10,Image 1,5,1,100000000,510000000027,
3,,Segment,5,9,Image 1,5,1,100000000,510000000029,
35,,Segment,5,8,Image 1,4,1,100000000,510000000063,
36,,Segment,5,7,Image 1,4,1,100000000,510000000098,
29,,Segment,5,6,Image 1,3,1,100000000,510000000126,
24,,Segment,5,5,Image 1,3,1,100000000,510000000149,
28,,Segment,5,4,Image 1,3,1,100000000,510000000176,
13,,Segment,5,3,Image 1,3,1,100000000,510000000188,
12,,Segment,5,2,Image 1,2,1,100000000,510000000199,
4,,Segment,5,1,Image 1,2,1,100000000,510000000202,
25,,Segment,5,0,Image 1,1,1,100000000,510000000230,
4,,Segment,5,11,Image 1,6,1,100000000,510000000254,
12,,Segment,5,10,Image 1,6,1,100000000,510000000265,
3,,Segment,5,9,Image 1,4,1,100000000,510000000267,
28,,Segment,5,8,Image 1,5,1,100000000,510000000294,
33,,Segment,5,3,Image 1,1,1,100000000,510000000326,
10,,Segment,5,2,Image 1,1,1,100000000,510000000335,
18,,Segment,5,1,Image 1,1,1,100000000,510000000352,
16,,Segment,5,0,Image 1,1,1,100000000,510000000368,
3,,Segment,5,3,Image 1,2,1,100000000,510000000383,
9,,Segment,5,2,Image 1,2,1,100000000,510000000391,
7,,Segment,5,1,Image 1,2,1,100000000,510000000397,
13,,Segment,5,8,Image 1,4,1,100000000,510000000410,
41,,Segment,5,7,Image 1,3,1,100000000,510000000450,
6,,Segment,5,8,Image 1,3,1,100000000,510000000455,
5,,Segment,5,6,Image 1,4,1,100000000,510000000460,
5,,Segment,5,5,Image 1,4,1,100000000,510000000464,
6,,Segment,5,4,Image 1,4,1,100000000,510000000469,
49,,Segment,5,4,Image 1,2,1,100000000,510000000517,
26,,Segment,5,3,Image 1,2,1,100000000,510000000542,
4,,Segment,5,4,Image 1,3,1,100000000,510000000545,
13,,Segment,5,4,Image 1,2,1,100000002,510000000559,
33,,Segment,5,3,Image 1,1,1,100000002,510000000591,
14,,Segment,5,2,Image 1,1,1,100000002,510000000604,
21,,Segment,5,1,Image 1,1,1,100000002,510000000624,
14,,Segment,5,0,Image 1,1,1,100000002,510000000642,
14,,Segment,5,4,Image 1,1,1,100000002,510000000678,
6,,Segment,5,3,Image 1,2,1,100000002,510000000683,
19,,Segment,5,1,Image 1,2,1,100000002,510000000701,
3,,Segment,5,2,Image 1,2,1,100000002,510000000703,
4,,Segment,5,5,Image 1,3,1,100000000,510000000706,
9,,Segment,5,4,Image 1,2,1,100000000,510000000714,
8,,Segment,5,3,Image 1,1,1,100000000,510000000721,
24,,Segment,5,2,Image 1,1,1,100000000,510000000744,
3,,Segment,5,1,Image 1,1,1,100000000,510000000746,
13,,Segment,5,0,Image 1,1,1,100000000,510000000767,
3,,Segment,5,5,Image 1,2,1,100000000,510000000782,
15,,Segment,5,5,Image 1,1,1,100000000,510000000796,
3,,Segment,5,5,Image 1,2,1,100000000,510000000799,
6,,Segment,5,4,Image 1,2,1,100000000,510000000804,
16,,Segment,5,2,Image 1,2,1,100000000,510000000820,
6,,Segment,5,1,Image 1,2,1,100000000,510000000825,
