
Segment Intensity Max Ch=2 Img=1
 ==================== 
Segment Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
36,,Segment,2,11,Image 1,5,1,100000000,510000000020,
11,,Segment,2,10,Image 1,5,1,100000000,510000000027,
9,,Segment,2,9,Image 1,5,1,100000000,510000000029,
9,,Segment,2,8,Image 1,4,1,100000000,510000000063,
26,,Segment,2,7,Image 1,4,1,100000000,510000000098,
40,,Segment,2,6,Image 1,3,1,100000000,510000000126,
42,,Segment,2,5,Image 1,3,1,100000000,510000000149,
28,,Segment,2,4,Image 1,3,1,100000000,510000000176,
24,,Segment,2,3,Image 1,3,1,100000000,510000000188,
28,,Segment,2,2,Image 1,2,1,100000000,510000000199,
15,,Segment,2,1,Image 1,2,1,100000000,510000000202,
16,,Segment,2,0,Image 1,1,1,100000000,510000000230,
9,,Segment,2,11,Image 1,6,1,100000000,510000000254,
9,,Segment,2,10,Image 1,6,1,100000000,510000000265,
5,,Segment,2,9,Image 1,4,1,100000000,510000000267,
46,,Segment,2,8,Image 1,5,1,100000000,510000000294,
132,,Segment,2,3,Image 1,1,1,100000000,510000000326,
136,,Segment,2,2,Image 1,1,1,100000000,510000000335,
34,,Segment,2,1,Image 1,1,1,100000000,510000000352,
6,,Segment,2,0,Image 1,1,1,100000000,510000000368,
141,,Segment,2,3,Image 1,2,1,100000000,510000000383,
121,,Segment,2,2,Image 1,2,1,100000000,510000000391,
6,,Segment,2,1,Image 1,2,1,100000000,510000000397,
51,,Segment,2,8,Image 1,4,1,100000000,510000000410,
52,,Segment,2,7,Image 1,3,1,100000000,510000000450,
51,,Segment,2,8,Image 1,3,1,100000000,510000000455,
184,,Segment,2,6,Image 1,4,1,100000000,510000000460,
6,,Segment,2,5,Image 1,4,1,100000000,510000000464,
24,,Segment,2,4,Image 1,4,1,100000000,510000000469,
63,,Segment,2,4,Image 1,2,1,100000000,510000000517,
9,,Segment,2,3,Image 1,2,1,100000000,510000000542,
6,,Segment,2,4,Image 1,3,1,100000000,510000000545,
58,,Segment,2,4,Image 1,2,1,100000002,510000000559,
78,,Segment,2,3,Image 1,1,1,100000002,510000000591,
91,,Segment,2,2,Image 1,1,1,100000002,510000000604,
126,,Segment,2,1,Image 1,1,1,100000002,510000000624,
32,,Segment,2,0,Image 1,1,1,100000002,510000000642,
58,,Segment,2,4,Image 1,1,1,100000002,510000000678,
92,,Segment,2,3,Image 1,2,1,100000002,510000000683,
29,,Segment,2,1,Image 1,2,1,100000002,510000000701,
186,,Segment,2,2,Image 1,2,1,100000002,510000000703,
13,,Segment,2,5,Image 1,3,1,100000000,510000000706,
19,,Segment,2,4,Image 1,2,1,100000000,510000000714,
7,,Segment,2,3,Image 1,1,1,100000000,510000000721,
14,,Segment,2,2,Image 1,1,1,100000000,510000000744,
8,,Segment,2,1,Image 1,1,1,100000000,510000000746,
7,,Segment,2,0,Image 1,1,1,100000000,510000000767,
116,,Segment,2,5,Image 1,2,1,100000000,510000000782,
10,,Segment,2,5,Image 1,1,1,100000000,510000000796,
7,,Segment,2,5,Image 1,2,1,100000000,510000000799,
10,,Segment,2,4,Image 1,2,1,100000000,510000000804,
8,,Segment,2,2,Image 1,2,1,100000000,510000000820,
32,,Segment,2,1,Image 1,2,1,100000000,510000000825,
37,,Segment,2,2,Image 1,1,1,100000001,510000000865,
175,,Segment,2,1,Image 1,1,1,100000001,510000000909,
108,,Segment,2,0,Image 1,1,1,100000001,510000000958,
59,,Segment,2,2,Image 1,2,1,100000001,510000000968,
78,,Segment,2,1,Image 1,2,1,100000001,510000000987,
116,,Segment,2,2,Image 1,1,1,100000002,510000001044,
18,,Segment,2,1,Image 1,1,1,100000002,510000001053,
18,,Segment,2,0,Image 1,1,1,100000002,510000001079,
29,,Segment,2,2,Image 1,3,1,100000000,510000001098,
17,,Segment,2,0,Image 1,1,1,100000000,510000001124,
4,,Segment,2,3,Image 1,3,1,100000002,510000001128,
81,,Segment,2,2,Image 1,2,1,100000002,510000001153,
10,,Segment,2,1,Image 1,1,1,100000000,510000001165,
6,,Segment,2,3,Image 1,2,1,100000002,510000001169,
12,,Segment,2,0,Image 1,1,1,100000000,510000001201,
72,,Segment,2,1,Image 1,2,1,100000000,510000001208,
72,,Segment,2,0,Image 1,1,1,100000000,510000001216,
141,,Segment,2,1,Image 1,1,1,100000000,510000001237,
7,,Segment,2,1,Image 1,2,1,100000001,510000001246,
70,,Segment,2,0,Image 1,1,1,100000001,510000001300,
10,,Segment,2,0,Image 1,1,1,100000000,510000001311,
5,,Segment,2,3,Image 1,3,1,100000002,510000001319,
59,,Segment,2,2,Image 1,2,1,100000002,510000001335,
22,,Segment,2,1,Image 1,1,1,100000002,510000001338,
23,,Segment,2,0,Image 1,1,1,100000002,510000001347,
6,,Segment,2,0,Image 1,1,1,100000000,510000001360,
8,,Segment,2,0,Image 1,1,1,100000002,510000001393,
6,,Segment,2,1,Image 1,1,1,100000001,510000001406,
6,,Segment,2,2,Image 1,2,1,100000002,510000001419,
