
Spine Intensity StdDev Ch=1 Img=1
 ==================== 
Spine Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
19.1202,,Spine,1,1,Image 1,1,1,100000000,610000001873,
20.6186,,Spine,1,0,Image 1,1,1,100000000,610000001876,
37.2651,,Spine,1,3,Image 1,1,1,100000002,610000001880,
20.266,,Spine,1,1,Image 1,1,1,100000000,610000001883,
15.1942,,Spine,1,0,Image 1,1,1,100000001,610000001885,
10.9784,,Spine,1,4,Image 1,2,1,100000000,610000001887,
17.9998,,Spine,1,0,Image 1,1,1,100000002,610000001893,
23.2957,,Spine,1,8,Image 1,5,1,100000000,610000001895,
47.606,,Spine,1,1,Image 1,1,1,100000000,610000001898,
11.831,,Spine,1,0,Image 1,1,1,100000002,610000001903,
6.97355,,Spine,1,0,Image 1,1,1,100000002,610000001906,
21.4062,,Spine,1,2,Image 1,1,1,100000002,610000001908,
24.2668,,Spine,1,0,Image 1,1,1,100000002,610000001911,
37.2806,,Spine,1,3,Image 1,1,1,100000002,610000001914,
24.8013,,Spine,1,3,Image 1,2,1,100000002,610000001916,
22.6238,,Spine,1,1,Image 1,2,1,100000002,610000001919,
11.3668,,Spine,1,1,Image 1,1,1,100000000,610000001922,
36.0295,,Spine,1,2,Image 1,1,1,100000001,610000001925,
19.7559,,Spine,1,1,Image 1,1,1,100000000,610000001931,
32.5483,,Spine,1,0,Image 1,1,1,100000000,610000001934,
30.7303,,Spine,1,5,Image 1,3,1,100000000,610000001936,
17.747,,Spine,1,1,Image 1,1,1,100000000,610000001939,
14.7945,,Spine,1,1,Image 1,1,1,100000000,610000001941,
22.9138,,Spine,1,0,Image 1,1,1,100000002,610000001947,
33.1876,,Spine,1,3,Image 1,2,1,100000002,610000001949,
22.5673,,Spine,1,1,Image 1,2,1,100000002,610000001952,
23.4947,,Spine,1,0,Image 1,1,1,100000002,610000001956,
23.0607,,Spine,1,2,Image 1,1,1,100000002,610000001958,
24.3309,,Spine,1,3,Image 1,1,1,100000002,610000001965,
38.8594,,Spine,1,0,Image 1,1,1,100000002,610000001970,
33.3917,,Spine,1,1,Image 1,1,1,100000000,610000001975,
26.8526,,Spine,1,0,Image 1,1,1,100000002,610000001978,
40.8756,,Spine,1,1,Image 1,1,1,100000000,610000001983,
25.996,,Spine,1,0,Image 1,1,1,100000002,610000001985,
24.3282,,Spine,1,0,Image 1,1,1,100000002,610000001989,
27.4476,,Spine,1,0,Image 1,1,1,100000002,610000001991,
49.8447,,Spine,1,0,Image 1,1,1,100000000,610000001993,
28.302,,Spine,1,0,Image 1,1,1,100000001,610000001997,
24.2664,,Spine,1,1,Image 1,1,1,100000000,610000001999,
34.1202,,Spine,1,0,Image 1,1,1,100000002,610000002002,
30.3251,,Spine,1,0,Image 1,1,1,100000002,610000002004,
25.9398,,Spine,1,0,Image 1,1,1,100000002,610000002008,
25.265,,Spine,1,0,Image 1,1,1,100000002,610000002010,
24.9334,,Spine,1,0,Image 1,1,1,100000002,610000002014,
40.4908,,Spine,1,1,Image 1,1,1,100000000,610000002016,
34.8703,,Spine,1,0,Image 1,1,1,100000002,610000002024,
28.1733,,Spine,1,0,Image 1,1,1,100000002,610000002039,
21.2396,,Spine,1,7,Image 1,3,1,100000000,610000002050,
12.4407,,Spine,1,7,Image 1,3,1,100000000,610000002051,
14.8646,,Spine,1,7,Image 1,3,1,100000000,610000002052,
21.0903,,Spine,1,3,Image 1,3,1,100000000,610000002053,
18.5136,,Spine,1,4,Image 1,2,1,100000000,610000002054,
15.1654,,Spine,1,2,Image 1,2,1,100000000,610000002055,
30.9151,,Spine,1,1,Image 1,2,1,100000000,610000002057,
36.7363,,Spine,1,1,Image 1,1,1,100000000,610000002058,
40.6032,,Spine,1,0,Image 1,1,1,100000000,610000002067,
28.8819,,Spine,1,0,Image 1,1,1,100000000,610000002068,
17.8452,,Spine,1,4,Image 1,2,1,100000000,610000002071,
16.8984,,Spine,1,4,Image 1,2,1,100000000,610000002072,
19.3969,,Spine,1,4,Image 1,2,1,100000000,610000002073,
10.9392,,Spine,1,3,Image 1,1,1,100000000,610000002074,
15.1741,,Spine,1,2,Image 1,1,1,100000000,610000002075,
20.5881,,Spine,1,1,Image 1,2,1,100000000,610000002076,
22.2118,,Spine,1,1,Image 1,2,1,100000001,610000002078,
22.4808,,Spine,1,1,Image 1,2,1,100000001,610000002079,
14.4914,,Spine,1,0,Image 1,1,1,100000001,610000002080,
27.1996,,Spine,1,0,Image 1,1,1,100000001,610000002081,
20.1572,,Spine,1,0,Image 1,1,1,100000001,610000002082,
12.3709,,Spine,1,1,Image 1,2,1,100000001,610000002083,
39.0625,,Spine,1,0,Image 1,1,1,100000001,610000002084,
34.3662,,Spine,1,3,Image 1,1,1,100000002,610000002085,
21.4761,,Spine,1,3,Image 1,1,1,100000002,610000002086,
30.5966,,Spine,1,2,Image 1,1,1,100000002,610000002087,
25.0047,,Spine,1,1,Image 1,2,1,100000002,610000002088,
18.6162,,Spine,1,1,Image 1,2,1,100000002,610000002089,
14.003,,Spine,1,0,Image 1,1,1,100000002,610000002090,
35.8001,,Spine,1,3,Image 1,2,1,100000002,610000002093,
32.4704,,Spine,1,2,Image 1,2,1,100000002,610000002094,
28.2218,,Spine,1,2,Image 1,1,1,100000002,610000002095,
32.3634,,Spine,1,0,Image 1,1,1,100000002,610000002096,
31.4705,,Spine,1,0,Image 1,1,1,100000002,610000002097,
27.8605,,Spine,1,2,Image 1,2,1,100000002,610000002102,
