
Spine Part Max Diameter Ground
 ==================== 
Spine Part Max Diameter Ground,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.613301,µm,Spine,Spine Part Max Diameter,1,2,1,100000000,610000001873,
0.410828,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000001876,
0.438708,µm,Spine,Spine Part Max Diameter,3,1,1,100000002,610000001880,
0.363086,µm,Spine,Spine Part Max Diameter,1,2,1,100000000,610000001883,
0.241641,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000001885,
0.432316,µm,Spine,Spine Part Max Diameter,4,2,1,100000000,610000001887,
0.456811,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000001893,
0.333177,µm,Spine,Spine Part Max Diameter,8,5,1,100000000,610000001895,
0.545591,µm,Spine,Spine Part Max Diameter,1,1,1,100000000,610000001898,
0.275261,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000001903,
0.208203,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000001906,
0.375194,µm,Spine,Spine Part Max Diameter,2,1,1,100000002,610000001908,
0.504812,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000001911,
0.438708,µm,Spine,Spine Part Max Diameter,3,1,1,100000002,610000001914,
0.324521,µm,Spine,Spine Part Max Diameter,3,2,1,100000002,610000001916,
0.402312,µm,Spine,Spine Part Max Diameter,1,2,1,100000002,610000001919,
0.290569,µm,Spine,Spine Part Max Diameter,1,2,1,100000000,610000001922,
0.361401,µm,Spine,Spine Part Max Diameter,2,1,1,100000001,610000001925,
0.320745,µm,Spine,Spine Part Max Diameter,1,2,1,100000000,610000001931,
0.273454,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000001934,
0.327034,µm,Spine,Spine Part Max Diameter,5,3,1,100000000,610000001936,
0.312305,µm,Spine,Spine Part Max Diameter,1,2,1,100000000,610000001939,
0.497639,µm,Spine,Spine Part Max Diameter,1,2,1,100000000,610000001941,
0.333771,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000001947,
0.452091,µm,Spine,Spine Part Max Diameter,3,2,1,100000002,610000001949,
0.402312,µm,Spine,Spine Part Max Diameter,1,2,1,100000002,610000001952,
0.1625,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000001956,
0.415513,µm,Spine,Spine Part Max Diameter,2,1,1,100000002,610000001958,
0.402724,µm,Spine,Spine Part Max Diameter,3,1,1,100000002,610000001965,
0.789014,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000001970,
0.418498,µm,Spine,Spine Part Max Diameter,1,1,1,100000000,610000001975,
