
Spine Part Min Diameter Head
 ==================== 
Spine Part Min Diameter Head,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1.69288,µm,Spine,Spine Part Min Diameter,1,2,1,100000000,610000001873,
0.193762,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000001876,
0.186229,µm,Spine,Spine Part Min Diameter,3,1,1,100000002,610000001880,
0.325,µm,Spine,Spine Part Min Diameter,1,2,1,100000000,610000001883,
0.171217,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001885,
0.231031,µm,Spine,Spine Part Min Diameter,4,2,1,100000000,610000001887,
0.239627,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001893,
0.186628,µm,Spine,Spine Part Min Diameter,8,5,1,100000000,610000001895,
0.285177,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000001898,
0.232495,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001903,
0.189884,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001906,
0.19333,µm,Spine,Spine Part Min Diameter,2,1,1,100000002,610000001908,
0.1625,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001911,
0.253184,µm,Spine,Spine Part Min Diameter,3,1,1,100000002,610000001914,
0.24375,µm,Spine,Spine Part Min Diameter,3,2,1,100000002,610000001916,
0.1625,µm,Spine,Spine Part Min Diameter,1,2,1,100000002,610000001919,
0.290569,µm,Spine,Spine Part Min Diameter,1,2,1,100000000,610000001922,
0.1625,µm,Spine,Spine Part Min Diameter,2,1,1,100000001,610000001925,
0.320745,µm,Spine,Spine Part Min Diameter,1,2,1,100000000,610000001931,
0.281102,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000001934,
0.1625,µm,Spine,Spine Part Min Diameter,5,3,1,100000000,610000001936,
0.376831,µm,Spine,Spine Part Min Diameter,1,2,1,100000000,610000001939,
0.497639,µm,Spine,Spine Part Min Diameter,1,2,1,100000000,610000001941,
0.197326,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001947,
0.267378,µm,Spine,Spine Part Min Diameter,3,2,1,100000002,610000001949,
0.233594,µm,Spine,Spine Part Min Diameter,1,2,1,100000002,610000001952,
0.300485,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001956,
0.362516,µm,Spine,Spine Part Min Diameter,2,1,1,100000002,610000001958,
0.24375,µm,Spine,Spine Part Min Diameter,3,1,1,100000002,610000001965,
0.677973,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001970,
0.178027,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000001975,
0.253391,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001978,
0.339375,µm,Spine,Spine Part Min Diameter,1,2,1,100000000,610000001983,
0.794092,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001985,
0.251685,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001989,
0.312543,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000001991,
0.529322,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000001993,
0.294531,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000001997,
0.31758,µm,Spine,Spine Part Min Diameter,1,2,1,100000000,610000001999,
0.372782,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002002,
0.756718,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002004,
0.455053,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002008,
0.300485,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002010,
0.312927,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002014,
0.214902,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000002016,
0.307695,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002024,
0.1625,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002039,
0.272232,µm,Spine,Spine Part Min Diameter,7,3,1,100000000,610000002050,
0.23825,µm,Spine,Spine Part Min Diameter,7,3,1,100000000,610000002051,
0.182812,µm,Spine,Spine Part Min Diameter,7,3,1,100000000,610000002052,
0.233594,µm,Spine,Spine Part Min Diameter,3,3,1,100000000,610000002053,
0.222168,µm,Spine,Spine Part Min Diameter,4,2,1,100000000,610000002054,
0.263038,µm,Spine,Spine Part Min Diameter,2,2,1,100000000,610000002055,
0.174454,µm,Spine,Spine Part Min Diameter,1,2,1,100000000,610000002057,
0.272804,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000002058,
0.248784,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000002067,
0.292815,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000002068,
0.335951,µm,Spine,Spine Part Min Diameter,4,2,1,100000000,610000002071,
0.1625,µm,Spine,Spine Part Min Diameter,4,2,1,100000000,610000002072,
0.303292,µm,Spine,Spine Part Min Diameter,4,2,1,100000000,610000002073,
0.203125,µm,Spine,Spine Part Min Diameter,3,1,1,100000000,610000002074,
0.192647,µm,Spine,Spine Part Min Diameter,2,1,1,100000000,610000002075,
0.340107,µm,Spine,Spine Part Min Diameter,1,2,1,100000000,610000002076,
0.164694,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000002078,
0.185414,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000002079,
0.212248,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002080,
0.325,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002081,
0.18638,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002082,
0.167578,µm,Spine,Spine Part Min Diameter,1,2,1,100000001,610000002083,
0.40625,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000002084,
0.299657,µm,Spine,Spine Part Min Diameter,3,1,1,100000002,610000002085,
0.272752,µm,Spine,Spine Part Min Diameter,3,1,1,100000002,610000002086,
0.292958,µm,Spine,Spine Part Min Diameter,2,1,1,100000002,610000002087,
0.1625,µm,Spine,Spine Part Min Diameter,1,2,1,100000002,610000002088,
0.24375,µm,Spine,Spine Part Min Diameter,1,2,1,100000002,610000002089,
0.233594,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002090,
0.416406,µm,Spine,Spine Part Min Diameter,3,2,1,100000002,610000002093,
0.462113,µm,Spine,Spine Part Min Diameter,2,2,1,100000002,610000002094,
0.493741,µm,Spine,Spine Part Min Diameter,2,1,1,100000002,610000002095,
0.221504,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002096,
0.538224,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000002097,
0.197644,µm,Spine,Spine Part Min Diameter,2,2,1,100000002,610000002102,
