
Segment Center Intensity Max Ch=1 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
67,,Segment,1,13,Image 1,5,1,100000003,510000012526,
3,,Segment,1,12,Image 1,4,1,100000003,510000012536,
1,,Segment,1,11,Image 1,3,1,100000003,510000012539,
10,,Segment,1,10,Image 1,3,1,100000003,510000012566,
4,,Segment,1,8,Image 1,2,1,100000003,510000012579,
2,,Segment,1,7,Image 1,2,1,100000003,510000012584,
3,,Segment,1,6,Image 1,2,1,100000003,510000012592,
7,,Segment,1,5,Image 1,1,1,100000003,510000012620,
5,,Segment,1,4,Image 1,1,1,100000003,510000012639,
8,,Segment,1,2,Image 1,1,1,100000003,510000012659,
4,,Segment,1,1,Image 1,1,1,100000003,510000012669,
4,,Segment,1,0,Image 1,1,1,100000003,510000012689,
5,,Segment,1,13,Image 1,3,1,100000003,510000012717,
19,,Segment,1,12,Image 1,3,1,100000003,510000012741,
5,,Segment,1,13,Image 1,4,1,100000003,510000012744,
2,,Segment,1,13,Image 1,4,1,100000003,510000012746,
6,,Segment,1,11,Image 1,4,1,100000003,510000012751,
3,,Segment,1,6,Image 1,3,1,100000004,510000012756,
11,,Segment,1,5,Image 1,2,1,100000004,510000012763,
11,,Segment,1,4,Image 1,2,1,100000004,510000012771,
2,,Segment,1,3,Image 1,2,1,100000004,510000012775,
48,,Segment,1,2,Image 1,2,1,100000004,510000012823,
48,,Segment,1,1,Image 1,1,1,100000004,510000012826,
4,,Segment,1,0,Image 1,1,1,100000004,510000012837,
4,,Segment,1,6,Image 1,2,1,100000004,510000012871,
11,,Segment,1,5,Image 1,3,1,100000004,510000012876,
3,,Segment,1,4,Image 1,3,1,100000004,510000012881,
3,,Segment,1,3,Image 1,3,1,100000004,510000012884,
17,,Segment,1,5,Image 1,3,1,100000005,510000012916,
5,,Segment,1,4,Image 1,3,1,100000005,510000012929,
12,,Segment,1,3,Image 1,2,1,100000005,510000012949,
23,,Segment,1,2,Image 1,2,1,100000005,510000012979,
5,,Segment,1,1,Image 1,2,1,100000005,510000012983,
4,,Segment,1,0,Image 1,1,1,100000005,510000012997,
9,,Segment,1,5,Image 1,4,1,100000005,510000013063,
5,,Segment,1,8,Image 1,6,1,100000005,510000013128,
3,,Segment,1,7,Image 1,5,1,100000005,510000013158,
5,,Segment,1,6,Image 1,4,1,100000005,510000013171,
3,,Segment,1,5,Image 1,3,1,100000005,510000013184,
5,,Segment,1,4,Image 1,2,1,100000005,510000013212,
1,,Segment,1,8,Image 1,5,1,100000005,510000013214,
4,,Segment,1,6,Image 1,2,1,100000005,510000013257,
3,,Segment,1,7,Image 1,4,1,100000005,510000013269,
5,,Segment,1,6,Image 1,3,1,100000005,510000013300,
4,,Segment,1,6,Image 1,3,1,100000005,510000013305,
4,,Segment,1,9,Image 1,3,1,100000003,510000013339,
5,,Segment,1,8,Image 1,2,1,100000003,510000013423,
1,,Segment,1,7,Image 1,1,1,100000003,510000013426,
1,,Segment,1,6,Image 1,1,1,100000003,510000013428,
2,,Segment,1,5,Image 1,1,1,100000003,510000013434,
3,,Segment,1,4,Image 1,1,1,100000003,510000013438,
4,,Segment,1,3,Image 1,1,1,100000003,510000013450,
2,,Segment,1,2,Image 1,1,1,100000003,510000013453,
4,,Segment,1,1,Image 1,1,1,100000003,510000013477,
2,,Segment,1,0,Image 1,1,1,100000003,510000013498,
4,,Segment,1,9,Image 1,2,1,100000003,510000013506,
3,,Segment,1,6,Image 1,4,1,100000004,510000013540,
0,,Segment,1,5,Image 1,4,1,100000004,510000013553,
2,,Segment,1,4,Image 1,3,1,100000004,510000013565,
2,,Segment,1,3,Image 1,2,1,100000004,510000013584,
5,,Segment,1,2,Image 1,2,1,100000004,510000013612,
2,,Segment,1,1,Image 1,1,1,100000004,510000013623,
1,,Segment,1,0,Image 1,1,1,100000004,510000013650,
4,,Segment,1,5,Image 1,3,1,100000004,510000013654,
8,,Segment,1,12,Image 1,4,1,100000004,510000013659,
7,,Segment,1,11,Image 1,3,1,100000004,510000013664,
9,,Segment,1,10,Image 1,2,1,100000004,510000013680,
3,,Segment,1,9,Image 1,2,1,100000004,510000013692,
1,,Segment,1,8,Image 1,1,1,100000004,510000013699,
4,,Segment,1,6,Image 1,1,1,100000004,510000013704,
4,,Segment,1,5,Image 1,1,1,100000004,510000013712,
10,,Segment,1,4,Image 1,1,1,100000004,510000013733,
3,,Segment,1,3,Image 1,1,1,100000004,510000013737,
3,,Segment,1,2,Image 1,1,1,100000004,510000013740,
3,,Segment,1,1,Image 1,1,1,100000004,510000013744,
2,,Segment,1,0,Image 1,1,1,100000004,510000013763,
5,,Segment,1,12,Image 1,3,1,100000004,510000013765,
3,,Segment,1,4,Image 1,2,1,100000004,510000013792,
7,,Segment,1,4,Image 1,4,1,100000004,510000013822,
4,,Segment,1,3,Image 1,3,1,100000004,510000013830,
3,,Segment,1,4,Image 1,3,1,100000004,510000013833,
3,,Segment,1,3,Image 1,1,1,100000004,510000013847,
3,,Segment,1,2,Image 1,1,1,100000004,510000013853,
2,,Segment,1,3,Image 1,2,1,100000004,510000013856,
1,,Segment,1,1,Image 1,2,1,100000004,510000013858,
7,,Segment,1,2,Image 1,2,1,100000004,510000013867,
3,,Segment,1,1,Image 1,2,1,100000004,510000013871,
5,,Segment,1,15,Image 1,7,1,100000004,510000013900,
5,,Segment,1,14,Image 1,6,1,100000004,510000013902,
21,,Segment,1,12,Image 1,5,1,100000004,510000013910,
44,,Segment,1,11,Image 1,5,1,100000004,510000013917,
21,,Segment,1,10,Image 1,4,1,100000004,510000013938,
6,,Segment,1,9,Image 1,4,1,100000004,510000013947,
12,,Segment,1,8,Image 1,4,1,100000004,510000013964,
3,,Segment,1,7,Image 1,3,1,100000004,510000013966,
5,,Segment,1,6,Image 1,2,1,100000004,510000013977,
6,,Segment,1,13,Image 1,5,1,100000004,510000013988,
11,,Segment,1,12,Image 1,5,1,100000004,510000014003,
11,,Segment,1,11,Image 1,4,1,100000004,510000014008,
7,,Segment,1,8,Image 1,2,1,100000004,510000014035,
7,,Segment,1,7,Image 1,2,1,100000004,510000014074,
20,,Segment,1,12,Image 1,3,1,100000004,510000014088,
5,,Segment,1,11,Image 1,2,1,100000004,510000014118,
4,,Segment,1,16,Image 1,6,1,100000004,510000014121,
2,,Segment,1,15,Image 1,6,1,100000004,510000014129,
3,,Segment,1,16,Image 1,7,1,100000004,510000014131,
7,,Segment,1,13,Image 1,6,1,100000004,510000014147,
7,,Segment,1,13,Image 1,6,1,100000004,510000014151,
4,,Segment,1,12,Image 1,3,1,100000004,510000014169,
4,,Segment,1,12,Image 1,2,1,100000004,510000014171,
5,,Segment,1,14,Image 1,5,1,100000004,510000014181,
3,,Segment,1,8,Image 1,3,1,100000004,510000014186,
21,,Segment,1,12,Image 1,6,1,100000004,510000014189,
12,,Segment,1,12,Image 1,4,1,100000004,510000014196,
15,,Segment,1,10,Image 1,5,1,100000004,510000014225,
15,,Segment,1,10,Image 1,3,1,100000004,510000014245,
3,,Segment,1,10,Image 1,2,1,100000004,510000014259,
1,,Segment,1,9,Image 1,1,1,100000004,510000014261,
8,,Segment,1,10,Image 1,1,1,100000004,510000014269,
2,,Segment,1,9,Image 1,5,1,100000004,510000014271,
3,,Segment,1,7,Image 1,2,1,100000004,510000014285,
30,,Segment,1,9,Image 1,4,1,100000004,510000014292,
15,,Segment,1,8,Image 1,3,1,100000004,510000014298,
15,,Segment,1,3,Image 1,2,1,100000004,510000014323,
2,,Segment,1,2,Image 1,2,1,100000004,510000014325,
5,,Segment,1,1,Image 1,2,1,100000004,510000014358,
15,,Segment,1,9,Image 1,3,1,100000004,510000014361,
8,,Segment,1,9,Image 1,3,1,100000004,510000014371,
3,,Segment,1,8,Image 1,2,1,100000004,510000014375,
5,,Segment,1,4,Image 1,3,1,100000004,510000014391,
4,,Segment,1,3,Image 1,3,1,100000004,510000014395,
7,,Segment,1,7,Image 1,4,1,100000004,510000014409,
5,,Segment,1,5,Image 1,2,1,100000004,510000014414,
1,,Segment,1,2,Image 1,3,1,100000004,510000014418,
3,,Segment,1,9,Image 1,2,1,100000004,510000014421,
3,,Segment,1,4,Image 1,4,1,100000004,510000014423,
5,,Segment,1,7,Image 1,3,1,100000004,510000014426,
3,,Segment,1,6,Image 1,2,1,100000004,510000014430,
8,,Segment,1,5,Image 1,2,1,100000004,510000014439,
6,,Segment,1,4,Image 1,2,1,100000004,510000014456,
5,,Segment,1,3,Image 1,2,1,100000004,510000014465,
2,,Segment,1,6,Image 1,3,1,100000004,510000014467,
6,,Segment,1,5,Image 1,3,1,100000004,510000014472,
4,,Segment,1,4,Image 1,3,1,100000004,510000014486,
5,,Segment,1,4,Image 1,2,1,100000004,510000014499,
5,,Segment,1,2,Image 1,2,1,100000004,510000014503,
38,,Segment,1,19,Image 1,5,1,100000003,510000014521,
