
Segment Intensity Median Ch=3 Img=1
 ==================== 
Segment Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
40.625,,Segment,3,13,Image 1,5,1,100000003,510000012526,
40.125,,Segment,3,12,Image 1,4,1,100000003,510000012536,
31.5625,,Segment,3,11,Image 1,3,1,100000003,510000012539,
32.125,,Segment,3,10,Image 1,3,1,100000003,510000012566,
64.125,,Segment,3,8,Image 1,2,1,100000003,510000012579,
47.125,,Segment,3,7,Image 1,2,1,100000003,510000012584,
54.125,,Segment,3,6,Image 1,2,1,100000003,510000012592,
71.125,,Segment,3,5,Image 1,1,1,100000003,510000012620,
81.125,,Segment,3,4,Image 1,1,1,100000003,510000012639,
83.125,,Segment,3,2,Image 1,1,1,100000003,510000012659,
82.125,,Segment,3,1,Image 1,1,1,100000003,510000012669,
54.125,,Segment,3,0,Image 1,1,1,100000003,510000012689,
47.0625,,Segment,3,13,Image 1,3,1,100000003,510000012717,
35.0625,,Segment,3,12,Image 1,3,1,100000003,510000012741,
25.0625,,Segment,3,13,Image 1,4,1,100000003,510000012744,
62.125,,Segment,3,13,Image 1,4,1,100000003,510000012746,
54.125,,Segment,3,11,Image 1,4,1,100000003,510000012751,
15.0625,,Segment,3,6,Image 1,3,1,100000004,510000012756,
40.0625,,Segment,3,5,Image 1,2,1,100000004,510000012763,
62.125,,Segment,3,4,Image 1,2,1,100000004,510000012771,
46.0625,,Segment,3,3,Image 1,2,1,100000004,510000012775,
39.125,,Segment,3,2,Image 1,2,1,100000004,510000012823,
78.125,,Segment,3,1,Image 1,1,1,100000004,510000012826,
78.625,,Segment,3,0,Image 1,1,1,100000004,510000012837,
28.0625,,Segment,3,6,Image 1,2,1,100000004,510000012871,
30.125,,Segment,3,5,Image 1,3,1,100000004,510000012876,
52.0625,,Segment,3,4,Image 1,3,1,100000004,510000012881,
31.0625,,Segment,3,3,Image 1,3,1,100000004,510000012884,
34.0625,,Segment,3,5,Image 1,3,1,100000005,510000012916,
15.125,,Segment,3,4,Image 1,3,1,100000005,510000012929,
39.125,,Segment,3,3,Image 1,2,1,100000005,510000012949,
41.0625,,Segment,3,2,Image 1,2,1,100000005,510000012979,
53.0625,,Segment,3,1,Image 1,2,1,100000005,510000012983,
37.125,,Segment,3,0,Image 1,1,1,100000005,510000012997,
54.0625,,Segment,3,5,Image 1,4,1,100000005,510000013063,
28.0625,,Segment,3,8,Image 1,6,1,100000005,510000013128,
20.0625,,Segment,3,7,Image 1,5,1,100000005,510000013158,
26.0625,,Segment,3,6,Image 1,4,1,100000005,510000013171,
30.0625,,Segment,3,5,Image 1,3,1,100000005,510000013184,
34.125,,Segment,3,4,Image 1,2,1,100000005,510000013212,
30.0312,,Segment,3,8,Image 1,5,1,100000005,510000013214,
28.0625,,Segment,3,6,Image 1,2,1,100000005,510000013257,
20.5625,,Segment,3,7,Image 1,4,1,100000005,510000013269,
31.0625,,Segment,3,6,Image 1,3,1,100000005,510000013300,
29.0625,,Segment,3,6,Image 1,3,1,100000005,510000013305,
36.0625,,Segment,3,9,Image 1,3,1,100000003,510000013339,
52.125,,Segment,3,8,Image 1,2,1,100000003,510000013423,
72.125,,Segment,3,7,Image 1,1,1,100000003,510000013426,
57.0625,,Segment,3,6,Image 1,1,1,100000003,510000013428,
57.0625,,Segment,3,5,Image 1,1,1,100000003,510000013434,
85.125,,Segment,3,4,Image 1,1,1,100000003,510000013438,
68.125,,Segment,3,3,Image 1,1,1,100000003,510000013450,
83.125,,Segment,3,2,Image 1,1,1,100000003,510000013453,
77.125,,Segment,3,1,Image 1,1,1,100000003,510000013477,
54.125,,Segment,3,0,Image 1,1,1,100000003,510000013498,
44.0625,,Segment,3,9,Image 1,2,1,100000003,510000013506,
27.5625,,Segment,3,6,Image 1,4,1,100000004,510000013540,
21.0312,,Segment,3,5,Image 1,4,1,100000004,510000013553,
32.0625,,Segment,3,4,Image 1,3,1,100000004,510000013565,
36.0625,,Segment,3,3,Image 1,2,1,100000004,510000013584,
53.125,,Segment,3,2,Image 1,2,1,100000004,510000013612,
51.0625,,Segment,3,1,Image 1,1,1,100000004,510000013623,
62.125,,Segment,3,0,Image 1,1,1,100000004,510000013650,
20.0312,,Segment,3,5,Image 1,3,1,100000004,510000013654,
14.0625,,Segment,3,12,Image 1,4,1,100000004,510000013659,
23.0625,,Segment,3,11,Image 1,3,1,100000004,510000013664,
