
Spine Min Diameter
 ==================== 
Spine Min Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.172705,µm,Spine,3,2,1,100000004,610000017275,
0.1625,µm,Spine,2,2,1,100000004,610000017278,
0.1625,µm,Spine,5,3,1,100000003,610000017284,
0.1625,µm,Spine,5,3,1,100000003,610000017288,
0.1625,µm,Spine,2,2,1,100000004,610000017291,
0.192969,µm,Spine,1,1,1,100000003,610000017293,
0.213281,µm,Spine,7,2,1,100000004,610000017296,
0.1625,µm,Spine,0,1,1,100000005,610000017298,
0.244814,µm,Spine,4,2,1,100000003,610000017303,
0.167578,µm,Spine,5,3,1,100000005,610000017307,
0.187891,µm,Spine,8,4,1,100000004,610000017311,
0.1625,µm,Spine,1,1,1,100000003,610000017316,
0.231133,µm,Spine,4,2,1,100000005,610000017319,
0.1625,µm,Spine,0,1,1,100000003,610000017325,
0.1625,µm,Spine,15,4,1,100000003,610000017328,
0.191537,µm,Spine,0,1,1,100000003,610000017335,
0.25621,µm,Spine,6,2,1,100000003,610000017341,
0.2287,µm,Spine,2,2,1,100000003,610000017343,
0.1625,µm,Spine,4,4,1,100000004,610000017345,
0.169562,µm,Spine,13,5,1,100000004,610000017347,
0.167774,µm,Spine,15,4,1,100000003,610000017351,
0.206034,µm,Spine,0,1,1,100000003,610000017356,
0.31675,µm,Spine,0,1,1,100000005,610000017358,
0.1625,µm,Spine,13,4,1,100000003,610000017361,
0.300976,µm,Spine,9,2,1,100000004,610000017366,
0.272156,µm,Spine,15,4,1,100000003,610000017369,
0.1625,µm,Spine,0,1,1,100000003,610000017373,
0.1625,µm,Spine,3,2,1,100000004,610000017376,
0.246983,µm,Spine,1,1,1,100000004,610000017379,
0.1625,µm,Spine,9,3,1,100000003,610000017382,
0.162582,µm,Spine,5,2,1,100000004,610000017386,
0.29982,µm,Spine,8,4,1,100000004,610000017389,
0.26366,µm,Spine,20,5,1,100000003,610000017392,
0.253906,µm,Spine,12,4,1,100000003,610000017395,
0.194287,µm,Spine,15,4,1,100000003,610000017399,
0.196222,µm,Spine,15,4,1,100000003,610000017401,
0.24375,µm,Spine,4,3,1,100000005,610000017404,
0.290087,µm,Spine,8,4,1,100000004,610000017406,
0.27327,µm,Spine,1,1,1,100000005,610000017410,
0.267871,µm,Spine,2,2,1,100000004,610000017415,
