
Segment Position Z
 ==================== 
Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1473.72,µm,Segment,Segment Position,11,6,1,100000000,510000000013,
1473.43,µm,Segment,Segment Position,10,5,1,100000000,510000000020,
1473.94,µm,Segment,Segment Position,9,5,1,100000000,510000000029,
1475.04,µm,Segment,Segment Position,8,5,1,100000000,510000000043,
1475.42,µm,Segment,Segment Position,7,4,1,100000000,510000000045,
1473.97,µm,Segment,Segment Position,6,4,1,100000000,510000000087,
1474.43,µm,Segment,Segment Position,5,3,1,100000000,510000000112,
1474.52,µm,Segment,Segment Position,4,3,1,100000000,510000000116,
1474.38,µm,Segment,Segment Position,3,3,1,100000000,510000000120,
1474.8,µm,Segment,Segment Position,2,3,1,100000000,510000000194,
1475.32,µm,Segment,Segment Position,1,2,1,100000000,510000000204,
1474.95,µm,Segment,Segment Position,0,1,1,100000000,510000000212,
1473.51,µm,Segment,Segment Position,11,5,1,100000000,510000000218,
1473.06,µm,Segment,Segment Position,10,6,1,100000000,510000000228,
1474.55,µm,Segment,Segment Position,9,6,1,100000000,510000000249,
1475.91,µm,Segment,Segment Position,8,4,1,100000000,510000000270,
1475.5,µm,Segment,Segment Position,7,5,1,100000000,510000000273,
1473.35,µm,Segment,Segment Position,14,5,1,100000003,510000000285,
1473.02,µm,Segment,Segment Position,13,5,1,100000003,510000000294,
1472.79,µm,Segment,Segment Position,12,5,1,100000003,510000000301,
1472.8,µm,Segment,Segment Position,11,5,1,100000003,510000000307,
1472.48,µm,Segment,Segment Position,10,5,1,100000003,510000000330,
1472.94,µm,Segment,Segment Position,9,4,1,100000003,510000000337,
1473.59,µm,Segment,Segment Position,8,3,1,100000003,510000000344,
1473.31,µm,Segment,Segment Position,7,3,1,100000003,510000000379,
1473.13,µm,Segment,Segment Position,6,3,1,100000003,510000000386,
1472.93,µm,Segment,Segment Position,5,3,1,100000003,510000000405,
1472.43,µm,Segment,Segment Position,3,3,1,100000003,510000000439,
1472.97,µm,Segment,Segment Position,2,2,1,100000003,510000000491,
1471.85,µm,Segment,Segment Position,1,1,1,100000003,510000000505,
1472,µm,Segment,Segment Position,0,1,1,100000003,510000000543,
1473.28,µm,Segment,Segment Position,14,6,1,100000003,510000000561,
1472.97,µm,Segment,Segment Position,13,6,1,100000003,510000000565,
1472.99,µm,Segment,Segment Position,13,6,1,100000003,510000000567,
1471.62,µm,Segment,Segment Position,12,5,1,100000003,510000000577,
1471.87,µm,Segment,Segment Position,11,5,1,100000003,510000000603,
1471.63,µm,Segment,Segment Position,12,6,1,100000003,510000000607,
1472.49,µm,Segment,Segment Position,12,6,1,100000003,510000000612,
1473.08,µm,Segment,Segment Position,11,6,1,100000003,510000000618,
1472.23,µm,Segment,Segment Position,13,4,1,100000003,510000000624,
1472.12,µm,Segment,Segment Position,12,4,1,100000003,510000000626,
1472.12,µm,Segment,Segment Position,11,4,1,100000003,510000000631,
1472.14,µm,Segment,Segment Position,13,5,1,100000003,510000000633,
1471.94,µm,Segment,Segment Position,12,5,1,100000003,510000000636,
1474.65,µm,Segment,Segment Position,9,5,1,100000003,510000000647,
1474.4,µm,Segment,Segment Position,8,4,1,100000003,510000000650,
1473.96,µm,Segment,Segment Position,7,4,1,100000003,510000000655,
1473.44,µm,Segment,Segment Position,6,4,1,100000003,510000000667,
1474.93,µm,Segment,Segment Position,8,5,1,100000003,510000000674,
1474.21,µm,Segment,Segment Position,7,5,1,100000003,510000000681,
1474.83,µm,Segment,Segment Position,8,6,1,100000003,510000000683,
1472.21,µm,Segment,Segment Position,7,4,1,100000003,510000000722,
1472.43,µm,Segment,Segment Position,6,4,1,100000003,510000000735,
1472.43,µm,Segment,Segment Position,5,4,1,100000003,510000000740,
1474.67,µm,Segment,Segment Position,9,4,1,100000003,510000000742,
1473.47,µm,Segment,Segment Position,9,3,1,100000003,510000000758,
1474.28,µm,Segment,Segment Position,8,5,1,100000003,510000000760,
1473.85,µm,Segment,Segment Position,8,4,1,100000003,510000000768,
1472.6,µm,Segment,Segment Position,7,5,1,100000003,510000000771,
1473.29,µm,Segment,Segment Position,7,4,1,100000003,510000000774,
1471.87,µm,Segment,Segment Position,6,5,1,100000003,510000000783,
1472.48,µm,Segment,Segment Position,4,4,1,100000003,510000000785,
1472.27,µm,Segment,Segment Position,3,3,1,100000003,510000000803,
1472.03,µm,Segment,Segment Position,3,2,1,100000003,510000000810,
1476.1,µm,Segment,Segment Position,4,3,1,100000000,510000000864,
1475.3,µm,Segment,Segment Position,3,2,1,100000000,510000000876,
1475.66,µm,Segment,Segment Position,2,2,1,100000000,510000000928,
1475.7,µm,Segment,Segment Position,1,2,1,100000000,510000000960,
1475,µm,Segment,Segment Position,0,1,1,100000000,510000000993,
1475.51,µm,Segment,Segment Position,3,3,1,100000000,510000001031,
1474.97,µm,Segment,Segment Position,4,2,1,100000000,510000001036,
1473.81,µm,Segment,Segment Position,9,3,1,100000001,510000001044,
1473.87,µm,Segment,Segment Position,8,3,1,100000001,510000001070,
1473.92,µm,Segment,Segment Position,7,3,1,100000001,510000001074,
1473.89,µm,Segment,Segment Position,6,3,1,100000001,510000001098,
1473.74,µm,Segment,Segment Position,5,3,1,100000001,510000001102,
1473.56,µm,Segment,Segment Position,4,2,1,100000001,510000001129,
1473.54,µm,Segment,Segment Position,3,2,1,100000001,510000001150,
1473.3,µm,Segment,Segment Position,2,2,1,100000001,510000001167,
1472.88,µm,Segment,Segment Position,1,2,1,100000001,510000001189,
1472.6,µm,Segment,Segment Position,0,1,1,100000001,510000001197,
1475.32,µm,Segment,Segment Position,6,2,1,100000001,510000001252,
1473.8,µm,Segment,Segment Position,5,2,1,100000001,510000001265,
1473.8,µm,Segment,Segment Position,7,4,1,100000001,510000001269,
1474.14,µm,Segment,Segment Position,6,3,1,100000001,510000001275,
1473.67,µm,Segment,Segment Position,8,4,1,100000001,510000001281,
1473.94,µm,Segment,Segment Position,7,3,1,100000001,510000001285,
1474.01,µm,Segment,Segment Position,7,4,1,100000001,510000001288,
1473.64,µm,Segment,Segment Position,6,4,1,100000001,510000001290,
1472.41,µm,Segment,Segment Position,4,2,1,100000003,510000001297,
1473.04,µm,Segment,Segment Position,3,2,1,100000003,510000001306,
1473.73,µm,Segment,Segment Position,2,2,1,100000003,510000001308,
1474.1,µm,Segment,Segment Position,1,2,1,100000003,510000001324,
