
Spine Part Volume
 ==================== 
Spine Part Volume Ground,Spine Part Volume Head,Spine Part Volume Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.0259151,0.00298303,0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000005319,
0.0555054,0.00112339,0.00574813,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000005385,
0.021939,0.00375922,0,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000005398,
0.0573763,0.0173277,0.0375449,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000005413,
0.0985937,0.0350147,0.0610555,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000005421,
0.0351584,0.0592381,0.00718946,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000005448,
0.0390386,0.00674219,0.023817,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000005463,
0.0314958,0.0201063,0.0238977,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000005472,
0.0683701,0.0214278,0,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000005474,
0.0859313,0.00206326,0.0057523,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000005478,
0.117993,0.035233,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000005483,
0.0319725,0.0175529,0,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000005488,
0.0863901,0.0380101,0,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000005501,
0.0583034,0.00428696,0,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000005510,
0.0403501,0.0196174,0,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000005525,
0.0158274,0.00746399,0.0103944,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000005532,
0.0285441,0.0175529,0,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000005538,
0.0518134,0.00327351,0,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000005553,
0.0595803,0.0197812,0.0148812,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000005560,
0.0172008,0.00422296,0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000005566,
0.0435639,0.0143729,0,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000005573,
0.0234362,0.0138923,0,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000005591,
0.0313301,0.0200186,0.0131158,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000005596,
0.0166984,0.00581546,0,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000005598,
0.04299,0.028861,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000005607,
0.0347548,0.0721325,0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000005615,
0.0733963,0.0481145,0,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000005617,
0.022193,0.00112339,0,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000005645,
0.0857217,0.0612482,0,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000005648,
0.0540457,0.0371468,0,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000005652,
0.00316205,0.00255688,0.0028142,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000005657,
0.0297338,0.0183348,0,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000005659,
0.0139872,0.010899,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000005671,
0.0328784,0.0119411,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000005677,
0.0135514,0.00112339,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000005679,
0.0205722,0.0102034,0,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000005683,
0.0344165,0.0292095,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000005691,
0.0429461,0.0143729,0,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000005698,
0.0426803,0.0276537,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000005701,
0.0363716,0.0119411,0,µm^3,Spine,Spine Part Volume,0,1,1,100000001,610000005730,
