
Spine Center Intensity Min Ch=2 Img=1
 ==================== 
Spine Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
6,,Spine,2,1,Image 1,2,1,100000000,610000005005,
5,,Spine,2,1,Image 1,1,1,100000000,610000005008,
14,,Spine,2,13,Image 1,4,1,100000000,610000005011,
20,,Spine,2,7,Image 1,4,1,100000000,610000005013,
17,,Spine,2,7,Image 1,4,1,100000003,610000005018,
34,,Spine,2,7,Image 1,3,1,100000000,610000005020,
30,,Spine,2,0,Image 1,1,1,100000000,610000005025,
8,,Spine,2,20,Image 1,12,1,100000000,610000005027,
16,,Spine,2,4,Image 1,2,1,100000000,610000005029,
33,,Spine,2,6,Image 1,4,1,100000000,610000005032,
55,,Spine,2,6,Image 1,4,1,100000000,610000005034,
13,,Spine,2,1,Image 1,1,1,100000000,610000005037,
4,,Spine,2,11,Image 1,2,1,100000000,610000005040,
19,,Spine,2,6,Image 1,4,1,100000002,610000005042,
17,,Spine,2,6,Image 1,2,1,100000000,610000005045,
39,,Spine,2,6,Image 1,2,1,100000000,610000005047,
23,,Spine,2,7,Image 1,4,1,100000003,610000005051,
10,,Spine,2,4,Image 1,2,1,100000003,610000005053,
61,,Spine,2,0,Image 1,1,1,100000001,610000005058,
42,,Spine,2,1,Image 1,1,1,100000003,610000005060,
14,,Spine,2,0,Image 1,1,1,100000001,610000005065,
24,,Spine,2,0,Image 1,1,1,100000002,610000005069,
27,,Spine,2,5,Image 1,2,1,100000002,610000005071,
25,,Spine,2,0,Image 1,1,1,100000002,610000005073,
22,,Spine,2,17,Image 1,10,1,100000000,610000005078,
16,,Spine,2,19,Image 1,10,1,100000000,610000005082,
8,,Spine,2,8,Image 1,2,1,100000002,610000005085,
19,,Spine,2,3,Image 1,3,1,100000000,610000005087,
42,,Spine,2,0,Image 1,1,1,100000001,610000005093,
17,,Spine,2,1,Image 1,1,1,100000003,610000005096,
12,,Spine,2,0,Image 1,1,1,100000000,610000005101,
39,,Spine,2,1,Image 1,1,1,100000000,610000005104,
28,,Spine,2,6,Image 1,3,1,100000002,610000005107,
38,,Spine,2,2,Image 1,2,1,100000000,610000005110,
53,,Spine,2,0,Image 1,1,1,100000001,610000005115,
100,,Spine,2,0,Image 1,1,1,100000002,610000005123,
42,,Spine,2,0,Image 1,1,1,100000001,610000005127,
27,,Spine,2,4,Image 1,3,1,100000001,610000005129,
9,,Spine,2,0,Image 1,1,1,100000002,610000005132,
22,,Spine,2,7,Image 1,4,1,100000000,610000005135,
50,,Spine,2,1,Image 1,1,1,100000003,610000005139,
11,,Spine,2,5,Image 1,3,1,100000003,610000005142,
34,,Spine,2,7,Image 1,5,1,100000000,610000005144,
13,,Spine,2,4,Image 1,3,1,100000003,610000005147,
25,,Spine,2,1,Image 1,2,1,100000000,610000005152,
38,,Spine,2,18,Image 1,10,1,100000000,610000005154,
27,,Spine,2,1,Image 1,2,1,100000000,610000005156,
51,,Spine,2,3,Image 1,2,1,100000001,610000005158,
19,,Spine,2,7,Image 1,3,1,100000000,610000005160,
40,,Spine,2,0,Image 1,1,1,100000000,610000005164,
39,,Spine,2,0,Image 1,1,1,100000001,610000005168,
7,,Spine,2,15,Image 1,9,1,100000000,610000005170,
5,,Spine,2,2,Image 1,1,1,100000002,610000005172,
65,,Spine,2,0,Image 1,1,1,100000001,610000005178,
28,,Spine,2,19,Image 1,10,1,100000000,610000005181,
57,,Spine,2,3,Image 1,3,1,100000002,610000005184,
60,,Spine,2,3,Image 1,1,1,100000002,610000005191,
58,,Spine,2,0,Image 1,1,1,100000001,610000005194,
59,,Spine,2,7,Image 1,4,1,100000000,610000005198,
53,,Spine,2,0,Image 1,1,1,100000001,610000005201,
96,,Spine,2,3,Image 1,2,1,100000002,610000005208,
17,,Spine,2,1,Image 1,2,1,100000002,610000005210,
27,,Spine,2,6,Image 1,3,1,100000000,610000005214,
38,,Spine,2,16,Image 1,10,1,100000000,610000005218,
19,,Spine,2,8,Image 1,2,1,100000002,610000005220,
16,,Spine,2,1,Image 1,1,1,100000003,610000005222,
63,,Spine,2,0,Image 1,1,1,100000000,610000005227,
24,,Spine,2,1,Image 1,2,1,100000000,610000005230,
44,,Spine,2,1,Image 1,1,1,100000003,610000005232,
52,,Spine,2,0,Image 1,1,1,100000000,610000005237,
46,,Spine,2,2,Image 1,3,1,100000000,610000005240,
19,,Spine,2,19,Image 1,10,1,100000000,610000005243,
36,,Spine,2,20,Image 1,12,1,100000000,610000005245,
22,,Spine,2,14,Image 1,9,1,100000000,610000005251,
56,,Spine,2,0,Image 1,1,1,100000001,610000005253,
44,,Spine,2,1,Image 1,1,1,100000003,610000005255,
30,,Spine,2,1,Image 1,1,1,100000003,610000005264,
40,,Spine,2,1,Image 1,2,1,100000002,610000005270,
60,,Spine,2,0,Image 1,1,1,100000000,610000005273,
50,,Spine,2,2,Image 1,3,1,100000000,610000005280,
17,,Spine,2,0,Image 1,1,1,100000000,610000005282,
75,,Spine,2,0,Image 1,1,1,100000001,610000005285,
45,,Spine,2,1,Image 1,1,1,100000003,610000005287,
41,,Spine,2,0,Image 1,1,1,100000001,610000005292,
47,,Spine,2,1,Image 1,1,1,100000003,610000005298,
28,,Spine,2,0,Image 1,1,1,100000002,610000005302,
56,,Spine,2,1,Image 1,1,1,100000003,610000005307,
43,,Spine,2,2,Image 1,2,1,100000002,610000005310,
17,,Spine,2,6,Image 1,3,1,100000000,610000005314,
65,,Spine,2,0,Image 1,1,1,100000001,610000005317,
45,,Spine,2,2,Image 1,3,1,100000000,610000005321,
30,,Spine,2,3,Image 1,3,1,100000002,610000005324,
143,,Spine,2,0,Image 1,1,1,100000001,610000005329,
64,,Spine,2,2,Image 1,2,1,100000000,610000005337,
74,,Spine,2,0,Image 1,1,1,100000001,610000005340,
88,,Spine,2,0,Image 1,1,1,100000002,610000005343,
120,,Spine,2,0,Image 1,1,1,100000001,610000005345,
66,,Spine,2,0,Image 1,1,1,100000002,610000005348,
68,,Spine,2,0,Image 1,1,1,100000002,610000005353,
25,,Spine,2,1,Image 1,2,1,100000000,610000005356,
36,,Spine,2,0,Image 1,1,1,100000001,610000005359,
65,,Spine,2,3,Image 1,1,1,100000002,610000005363,
73,,Spine,2,15,Image 1,9,1,100000000,610000005369,
54,,Spine,2,0,Image 1,1,1,100000001,610000005372,
120,,Spine,2,0,Image 1,1,1,100000001,610000005375,
44,,Spine,2,3,Image 1,2,1,100000002,610000005380,
57,,Spine,2,0,Image 1,1,1,100000000,610000005382,
88,,Spine,2,0,Image 1,1,1,100000002,610000005385,
112,,Spine,2,3,Image 1,2,1,100000002,610000005387,
85,,Spine,2,0,Image 1,1,1,100000002,610000005391,
39,,Spine,2,0,Image 1,1,1,100000001,610000005393,
136,,Spine,2,0,Image 1,1,1,100000001,610000005399,
145,,Spine,2,0,Image 1,1,1,100000002,610000005415,
107,,Spine,2,1,Image 1,1,1,100000001,610000005422,
31,,Spine,2,0,Image 1,1,1,100000001,610000005426,
118,,Spine,2,0,Image 1,1,1,100000001,610000005428,
128,,Spine,2,0,Image 1,1,1,100000002,610000005443,
78,,Spine,2,1,Image 1,1,1,100000000,610000005451,
31,,Spine,2,5,Image 1,5,1,100000000,610000005455,
2,,Spine,2,6,Image 1,4,1,100000000,610000005456,
12,,Spine,2,6,Image 1,4,1,100000000,610000005457,
22,,Spine,2,5,Image 1,4,1,100000000,610000005458,
43,,Spine,2,5,Image 1,4,1,100000000,610000005459,
51,,Spine,2,5,Image 1,4,1,100000000,610000005460,
25,,Spine,2,5,Image 1,4,1,100000000,610000005461,
38,,Spine,2,5,Image 1,4,1,100000000,610000005462,
28,,Spine,2,4,Image 1,4,1,100000000,610000005463,
127,,Spine,2,2,Image 1,3,1,100000000,610000005464,
58,,Spine,2,2,Image 1,2,1,100000000,610000005465,
78,,Spine,2,1,Image 1,1,1,100000000,610000005466,
20,,Spine,2,7,Image 1,4,1,100000000,610000005467,
42,,Spine,2,7,Image 1,4,1,100000000,610000005468,
43,,Spine,2,4,Image 1,2,1,100000000,610000005469,
26,,Spine,2,4,Image 1,2,1,100000000,610000005470,
