
Spine Number of Voxel Ch=1 Img=1
 ==================== 
Spine Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
145,,Spine,1,1,Image 1,2,1,100000000,610000005005,
142,,Spine,1,1,Image 1,1,1,100000000,610000005008,
139,,Spine,1,13,Image 1,4,1,100000000,610000005011,
51,,Spine,1,7,Image 1,4,1,100000000,610000005013,
147,,Spine,1,7,Image 1,4,1,100000003,610000005018,
223,,Spine,1,7,Image 1,3,1,100000000,610000005020,
137,,Spine,1,0,Image 1,1,1,100000000,610000005025,
48,,Spine,1,20,Image 1,12,1,100000000,610000005027,
121,,Spine,1,4,Image 1,2,1,100000000,610000005029,
81,,Spine,1,6,Image 1,4,1,100000000,610000005032,
113,,Spine,1,6,Image 1,4,1,100000000,610000005034,
463,,Spine,1,1,Image 1,1,1,100000000,610000005037,
471,,Spine,1,11,Image 1,2,1,100000000,610000005040,
38,,Spine,1,6,Image 1,4,1,100000002,610000005042,
79,,Spine,1,6,Image 1,2,1,100000000,610000005045,
100,,Spine,1,6,Image 1,2,1,100000000,610000005047,
124,,Spine,1,7,Image 1,4,1,100000003,610000005051,
68,,Spine,1,4,Image 1,2,1,100000003,610000005053,
40,,Spine,1,0,Image 1,1,1,100000001,610000005058,
649,,Spine,1,1,Image 1,1,1,100000003,610000005060,
123,,Spine,1,0,Image 1,1,1,100000001,610000005065,
147,,Spine,1,0,Image 1,1,1,100000002,610000005069,
58,,Spine,1,5,Image 1,2,1,100000002,610000005071,
59,,Spine,1,0,Image 1,1,1,100000002,610000005073,
389,,Spine,1,17,Image 1,10,1,100000000,610000005078,
177,,Spine,1,19,Image 1,10,1,100000000,610000005082,
104,,Spine,1,8,Image 1,2,1,100000002,610000005085,
114,,Spine,1,3,Image 1,3,1,100000000,610000005087,
277,,Spine,1,0,Image 1,1,1,100000001,610000005093,
153,,Spine,1,1,Image 1,1,1,100000003,610000005096,
83,,Spine,1,0,Image 1,1,1,100000000,610000005101,
68,,Spine,1,1,Image 1,1,1,100000000,610000005104,
112,,Spine,1,6,Image 1,3,1,100000002,610000005107,
116,,Spine,1,2,Image 1,2,1,100000000,610000005110,
268,,Spine,1,0,Image 1,1,1,100000001,610000005115,
726,,Spine,1,0,Image 1,1,1,100000002,610000005123,
265,,Spine,1,0,Image 1,1,1,100000001,610000005127,
63,,Spine,1,4,Image 1,3,1,100000001,610000005129,
90,,Spine,1,0,Image 1,1,1,100000002,610000005132,
131,,Spine,1,7,Image 1,4,1,100000000,610000005135,
456,,Spine,1,1,Image 1,1,1,100000003,610000005139,
87,,Spine,1,5,Image 1,3,1,100000003,610000005142,
97,,Spine,1,7,Image 1,5,1,100000000,610000005144,
83,,Spine,1,4,Image 1,3,1,100000003,610000005147,
137,,Spine,1,1,Image 1,2,1,100000000,610000005152,
95,,Spine,1,18,Image 1,10,1,100000000,610000005154,
84,,Spine,1,1,Image 1,2,1,100000000,610000005156,
164,,Spine,1,3,Image 1,2,1,100000001,610000005158,
114,,Spine,1,7,Image 1,3,1,100000000,610000005160,
243,,Spine,1,0,Image 1,1,1,100000000,610000005164,
253,,Spine,1,0,Image 1,1,1,100000001,610000005168,
127,,Spine,1,15,Image 1,9,1,100000000,610000005170,
297,,Spine,1,2,Image 1,1,1,100000002,610000005172,
24,,Spine,1,0,Image 1,1,1,100000001,610000005178,
175,,Spine,1,19,Image 1,10,1,100000000,610000005181,
145,,Spine,1,3,Image 1,3,1,100000002,610000005184,
112,,Spine,1,3,Image 1,1,1,100000002,610000005191,
68,,Spine,1,0,Image 1,1,1,100000001,610000005194,
98,,Spine,1,7,Image 1,4,1,100000000,610000005198,
259,,Spine,1,0,Image 1,1,1,100000001,610000005201,
74,,Spine,1,3,Image 1,2,1,100000002,610000005208,
113,,Spine,1,1,Image 1,2,1,100000002,610000005210,
78,,Spine,1,6,Image 1,3,1,100000000,610000005214,
113,,Spine,1,16,Image 1,10,1,100000000,610000005218,
117,,Spine,1,8,Image 1,2,1,100000002,610000005220,
172,,Spine,1,1,Image 1,1,1,100000003,610000005222,
129,,Spine,1,0,Image 1,1,1,100000000,610000005227,
125,,Spine,1,1,Image 1,2,1,100000000,610000005230,
72,,Spine,1,1,Image 1,1,1,100000003,610000005232,
89,,Spine,1,0,Image 1,1,1,100000000,610000005237,
394,,Spine,1,2,Image 1,3,1,100000000,610000005240,
136,,Spine,1,19,Image 1,10,1,100000000,610000005243,
95,,Spine,1,20,Image 1,12,1,100000000,610000005245,
46,,Spine,1,14,Image 1,9,1,100000000,610000005251,
184,,Spine,1,0,Image 1,1,1,100000001,610000005253,
