
Spine Center Intensity Max Ch=1 Img=1
 ==================== 
Spine Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
2,,Spine,1,16,Image 1,7,1,100000000,610000006488,
1,,Spine,1,3,Image 1,2,1,100000003,610000006491,
5,,Spine,1,20,Image 1,9,1,100000000,610000006494,
2,,Spine,1,1,Image 1,2,1,100000000,610000006499,
1,,Spine,1,6,Image 1,5,1,100000003,610000006503,
2,,Spine,1,3,Image 1,2,1,100000003,610000006507,
2,,Spine,1,1,Image 1,2,1,100000000,610000006511,
2,,Spine,1,0,Image 1,1,1,100000000,610000006518,
2,,Spine,1,9,Image 1,3,1,100000002,610000006520,
3,,Spine,1,2,Image 1,2,1,100000000,610000006524,
2,,Spine,1,6,Image 1,4,1,100000002,610000006528,
3,,Spine,1,1,Image 1,2,1,100000000,610000006531,
131,,Spine,1,7,Image 1,3,1,100000002,610000006536,
3,,Spine,1,1,Image 1,1,1,100000003,610000006539,
135,,Spine,1,7,Image 1,3,1,100000002,610000006542,
5,,Spine,1,0,Image 1,1,1,100000001,610000006545,
2,,Spine,1,0,Image 1,1,1,100000000,610000006550,
5,,Spine,1,1,Image 1,2,1,100000001,610000006554,
3,,Spine,1,2,Image 1,2,1,100000000,610000006559,
4,,Spine,1,7,Image 1,3,1,100000002,610000006562,
2,,Spine,1,5,Image 1,3,1,100000002,610000006565,
4,,Spine,1,7,Image 1,4,1,100000002,610000006568,
3,,Spine,1,10,Image 1,3,1,100000002,610000006574,
3,,Spine,1,7,Image 1,5,1,100000003,610000006577,
16,,Spine,1,3,Image 1,1,1,100000000,610000006583,
1,,Spine,1,0,Image 1,1,1,100000002,610000006589,
3,,Spine,1,1,Image 1,2,1,100000001,610000006595,
2,,Spine,1,10,Image 1,5,1,100000002,610000006597,
1,,Spine,1,13,Image 1,4,1,100000000,610000006602,
104,,Spine,1,5,Image 1,5,1,100000000,610000006607,
2,,Spine,1,5,Image 1,3,1,100000002,610000006609,
1,,Spine,1,16,Image 1,7,1,100000000,610000006611,
2,,Spine,1,5,Image 1,3,1,100000000,610000006615,
12,,Spine,1,3,Image 1,1,1,100000000,610000006620,
1,,Spine,1,1,Image 1,2,1,100000001,610000006623,
3,,Spine,1,0,Image 1,1,1,100000002,610000006629,
3,,Spine,1,5,Image 1,3,1,100000002,610000006631,
5,,Spine,1,1,Image 1,1,1,100000000,610000006633,
2,,Spine,1,7,Image 1,3,1,100000002,610000006636,
3,,Spine,1,3,Image 1,2,1,100000000,610000006638,
6,,Spine,1,1,Image 1,2,1,100000001,610000006642,
3,,Spine,1,4,Image 1,2,1,100000002,610000006645,
1,,Spine,1,7,Image 1,2,1,100000002,610000006647,
3,,Spine,1,3,Image 1,2,1,100000002,610000006650,
3,,Spine,1,4,Image 1,2,1,100000002,610000006654,
1,,Spine,1,5,Image 1,1,1,100000002,610000006656,
131,,Spine,1,7,Image 1,3,1,100000002,610000006660,
6,,Spine,1,9,Image 1,3,1,100000000,610000006664,
3,,Spine,1,15,Image 1,6,1,100000000,610000006666,
2,,Spine,1,1,Image 1,1,1,100000002,610000006669,
4,,Spine,1,1,Image 1,2,1,100000001,610000006673,
9,,Spine,1,1,Image 1,2,1,100000001,610000006677,
72,,Spine,1,1,Image 1,2,1,100000001,610000006680,
5,,Spine,1,0,Image 1,1,1,100000002,610000006683,
3,,Spine,1,4,Image 1,2,1,100000002,610000006686,
3,,Spine,1,7,Image 1,3,1,100000002,610000006689,
4,,Spine,1,0,Image 1,1,1,100000002,610000006693,
3,,Spine,1,12,Image 1,6,1,100000001,610000006695,
1,,Spine,1,0,Image 1,1,1,100000003,610000006701,
3,,Spine,1,5,Image 1,5,1,100000003,610000006703,
5,,Spine,1,2,Image 1,2,1,100000001,610000006709,
5,,Spine,1,7,Image 1,2,1,100000002,610000006711,
4,,Spine,1,0,Image 1,1,1,100000000,610000006717,
1,,Spine,1,8,Image 1,2,1,100000002,610000006720,
9,,Spine,1,10,Image 1,8,1,100000003,610000006723,
3,,Spine,1,3,Image 1,2,1,100000000,610000006726,
26,,Spine,1,4,Image 1,3,1,100000000,610000006728,
4,,Spine,1,10,Image 1,3,1,100000002,610000006731,
2,,Spine,1,1,Image 1,2,1,100000001,610000006735,
5,,Spine,1,1,Image 1,2,1,100000001,610000006740,
3,,Spine,1,2,Image 1,1,1,100000002,610000006743,
2,,Spine,1,3,Image 1,2,1,100000000,610000006745,
1,,Spine,1,5,Image 1,3,1,100000000,610000006747,
5,,Spine,1,8,Image 1,2,1,100000001,610000006749,
2,,Spine,1,9,Image 1,5,1,100000000,610000006754,
41,,Spine,1,9,Image 1,5,1,100000001,610000006756,
2,,Spine,1,0,Image 1,1,1,100000000,610000006761,
2,,Spine,1,2,Image 1,2,1,100000000,610000006765,
3,,Spine,1,0,Image 1,1,1,100000002,610000006767,
3,,Spine,1,0,Image 1,1,1,100000003,610000006774,
3,,Spine,1,0,Image 1,1,1,100000002,610000006779,
5,,Spine,1,3,Image 1,3,1,100000001,610000006782,
1,,Spine,1,1,Image 1,2,1,100000001,610000006785,
6,,Spine,1,4,Image 1,3,1,100000000,610000006788,
2,,Spine,1,9,Image 1,3,1,100000002,610000006791,
3,,Spine,1,0,Image 1,1,1,100000000,610000006794,
4,,Spine,1,1,Image 1,2,1,100000001,610000006798,
6,,Spine,1,1,Image 1,2,1,100000002,610000006800,
5,,Spine,1,1,Image 1,2,1,100000001,610000006804,
12,,Spine,1,9,Image 1,4,1,100000000,610000006807,
3,,Spine,1,0,Image 1,1,1,100000003,610000006810,
6,,Spine,1,10,Image 1,4,1,100000002,610000006812,
2,,Spine,1,1,Image 1,2,1,100000001,610000006815,
7,,Spine,1,8,Image 1,3,1,100000001,610000006818,
2,,Spine,1,5,Image 1,5,1,100000003,610000006821,
4,,Spine,1,1,Image 1,2,1,100000001,610000006825,
0,,Spine,1,0,Image 1,1,1,100000002,610000006828,
2,,Spine,1,0,Image 1,1,1,100000002,610000006830,
1,,Spine,1,1,Image 1,2,1,100000001,610000006836,
3,,Spine,1,1,Image 1,2,1,100000001,610000006838,
2,,Spine,1,1,Image 1,2,1,100000003,610000006840,
2,,Spine,1,5,Image 1,5,1,100000003,610000006843,
22,,Spine,1,7,Image 1,3,1,100000002,610000006846,
5,,Spine,1,10,Image 1,2,1,100000002,610000006848,
6,,Spine,1,20,Image 1,9,1,100000000,610000006851,
2,,Spine,1,1,Image 1,2,1,100000001,610000006853,
1,,Spine,1,17,Image 1,4,1,100000000,610000006855,
2,,Spine,1,0,Image 1,1,1,100000003,610000006859,
4,,Spine,1,0,Image 1,1,1,100000002,610000006863,
2,,Spine,1,4,Image 1,2,1,100000002,610000006867,
4,,Spine,1,7,Image 1,4,1,100000002,610000006870,
2,,Spine,1,4,Image 1,2,1,100000002,610000006873,
4,,Spine,1,2,Image 1,2,1,100000000,610000006876,
3,,Spine,1,1,Image 1,2,1,100000001,610000006878,
2,,Spine,1,0,Image 1,1,1,100000002,610000006881,
0,,Spine,1,1,Image 1,2,1,100000001,610000006883,
7,,Spine,1,2,Image 1,2,1,100000001,610000006886,
3,,Spine,1,8,Image 1,6,1,100000000,610000006890,
1,,Spine,1,0,Image 1,1,1,100000002,610000006893,
2,,Spine,1,14,Image 1,4,1,100000000,610000006896,
1,,Spine,1,0,Image 1,1,1,100000000,610000006898,
4,,Spine,1,1,Image 1,2,1,100000001,610000006904,
104,,Spine,1,5,Image 1,5,1,100000000,610000006909,
2,,Spine,1,4,Image 1,4,1,100000000,610000006911,
2,,Spine,1,0,Image 1,1,1,100000000,610000006913,
4,,Spine,1,9,Image 1,5,1,100000000,610000006915,
3,,Spine,1,2,Image 1,2,1,100000002,610000006918,
22,,Spine,1,20,Image 1,8,1,100000000,610000006922,
2,,Spine,1,5,Image 1,5,1,100000002,610000006925,
2,,Spine,1,4,Image 1,4,1,100000000,610000006929,
4,,Spine,1,2,Image 1,2,1,100000002,610000006931,
1,,Spine,1,0,Image 1,1,1,100000002,610000006933,
1,,Spine,1,0,Image 1,1,1,100000002,610000006937,
2,,Spine,1,0,Image 1,1,1,100000000,610000006940,
2,,Spine,1,5,Image 1,5,1,100000002,610000006944,
3,,Spine,1,1,Image 1,2,1,100000002,610000006947,
2,,Spine,1,1,Image 1,2,1,100000001,610000006951,
4,,Spine,1,0,Image 1,1,1,100000001,610000006955,
4,,Spine,1,16,Image 1,6,1,100000000,610000006958,
2,,Spine,1,9,Image 1,6,1,100000003,610000006963,
4,,Spine,1,2,Image 1,1,1,100000000,610000006965,
0,,Spine,1,0,Image 1,1,1,100000000,610000006969,
1,,Spine,1,0,Image 1,1,1,100000002,610000006971,
1,,Spine,1,0,Image 1,1,1,100000000,610000006975,
5,,Spine,1,6,Image 1,3,1,100000002,610000006981,
3,,Spine,1,1,Image 1,2,1,100000001,610000006985,
2,,Spine,1,0,Image 1,1,1,100000002,610000006990,
12,,Spine,1,4,Image 1,3,1,100000000,610000006993,
1,,Spine,1,0,Image 1,1,1,100000003,610000006996,
18,,Spine,1,4,Image 1,3,1,100000000,610000006999,
9,,Spine,1,20,Image 1,8,1,100000000,610000007004,
3,,Spine,1,2,Image 1,1,1,100000002,610000007006,
0,,Spine,1,0,Image 1,1,1,100000002,610000007010,
3,,Spine,1,0,Image 1,1,1,100000003,610000007012,
4,,Spine,1,0,Image 1,1,1,100000001,610000007017,
1,,Spine,1,6,Image 1,6,1,100000003,610000007020,
1,,Spine,1,1,Image 1,2,1,100000002,610000007022,
1,,Spine,1,0,Image 1,1,1,100000002,610000007025,
1,,Spine,1,0,Image 1,1,1,100000002,610000007030,
1,,Spine,1,0,Image 1,1,1,100000002,610000007032,
4,,Spine,1,15,Image 1,6,1,100000000,610000007036,
1,,Spine,1,0,Image 1,1,1,100000000,610000007042,
2,,Spine,1,10,Image 1,3,1,100000002,610000007046,
6,,Spine,1,4,Image 1,3,1,100000000,610000007048,
5,,Spine,1,10,Image 1,8,1,100000003,610000007051,
8,,Spine,1,3,Image 1,1,1,100000000,610000007053,
8,,Spine,1,10,Image 1,4,1,100000000,610000007056,
1,,Spine,1,0,Image 1,1,1,100000000,610000007059,
1,,Spine,1,0,Image 1,1,1,100000003,610000007067,
11,,Spine,1,7,Image 1,3,1,100000002,610000007071,
0,,Spine,1,0,Image 1,1,1,100000002,610000007073,
1,,Spine,1,0,Image 1,1,1,100000003,610000007076,
1,,Spine,1,1,Image 1,2,1,100000001,610000007082,
2,,Spine,1,0,Image 1,1,1,100000002,610000007091,
104,,Spine,1,5,Image 1,5,1,100000000,610000007094,
1,,Spine,1,0,Image 1,1,1,100000000,610000007112,
1,,Spine,1,0,Image 1,1,1,100000002,610000007119,
2,,Spine,1,6,Image 1,3,1,100000000,610000007126,
0,,Spine,1,0,Image 1,1,1,100000003,610000007131,
3,,Spine,1,3,Image 1,2,1,100000000,610000007140,
2,,Spine,1,0,Image 1,1,1,100000003,610000007143,
5,,Spine,1,2,Image 1,2,1,100000002,610000007146,
14,,Spine,1,1,Image 1,1,1,100000001,610000007150,
3,,Spine,1,0,Image 1,1,1,100000002,610000007168,
1,,Spine,1,0,Image 1,1,1,100000003,610000007171,
1,,Spine,1,0,Image 1,1,1,100000002,610000007194,
1,,Spine,1,0,Image 1,1,1,100000002,610000007209,
5,,Spine,1,6,Image 1,3,1,100000000,610000007258,
2,,Spine,1,6,Image 1,3,1,100000000,610000007259,
2,,Spine,1,5,Image 1,3,1,100000000,610000007260,
