
Spine Center Intensity Min Ch=2 Img=1
 ==================== 
Spine Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
15,,Spine,2,16,Image 1,7,1,100000000,610000006488,
22,,Spine,2,3,Image 1,2,1,100000003,610000006491,
6,,Spine,2,20,Image 1,9,1,100000000,610000006494,
12,,Spine,2,1,Image 1,2,1,100000000,610000006499,
22,,Spine,2,6,Image 1,5,1,100000003,610000006503,
2,,Spine,2,3,Image 1,2,1,100000003,610000006507,
12,,Spine,2,1,Image 1,2,1,100000000,610000006511,
29,,Spine,2,0,Image 1,1,1,100000000,610000006518,
15,,Spine,2,9,Image 1,3,1,100000002,610000006520,
14,,Spine,2,2,Image 1,2,1,100000000,610000006524,
17,,Spine,2,6,Image 1,4,1,100000002,610000006528,
9,,Spine,2,1,Image 1,2,1,100000000,610000006531,
22,,Spine,2,7,Image 1,3,1,100000002,610000006536,
22,,Spine,2,1,Image 1,1,1,100000003,610000006539,
13,,Spine,2,7,Image 1,3,1,100000002,610000006542,
2,,Spine,2,0,Image 1,1,1,100000001,610000006545,
34,,Spine,2,0,Image 1,1,1,100000000,610000006550,
20,,Spine,2,1,Image 1,2,1,100000001,610000006554,
14,,Spine,2,2,Image 1,2,1,100000000,610000006559,
27,,Spine,2,7,Image 1,3,1,100000002,610000006562,
10,,Spine,2,5,Image 1,3,1,100000002,610000006565,
27,,Spine,2,7,Image 1,4,1,100000002,610000006568,
27,,Spine,2,10,Image 1,3,1,100000002,610000006574,
18,,Spine,2,7,Image 1,5,1,100000003,610000006577,
18,,Spine,2,3,Image 1,1,1,100000000,610000006583,
39,,Spine,2,0,Image 1,1,1,100000002,610000006589,
38,,Spine,2,1,Image 1,2,1,100000001,610000006595,
18,,Spine,2,10,Image 1,5,1,100000002,610000006597,
15,,Spine,2,13,Image 1,4,1,100000000,610000006602,
22,,Spine,2,5,Image 1,5,1,100000000,610000006607,
11,,Spine,2,5,Image 1,3,1,100000002,610000006609,
18,,Spine,2,16,Image 1,7,1,100000000,610000006611,
8,,Spine,2,5,Image 1,3,1,100000000,610000006615,
14,,Spine,2,3,Image 1,1,1,100000000,610000006620,
31,,Spine,2,1,Image 1,2,1,100000001,610000006623,
38,,Spine,2,0,Image 1,1,1,100000002,610000006629,
10,,Spine,2,5,Image 1,3,1,100000002,610000006631,
23,,Spine,2,1,Image 1,1,1,100000000,610000006633,
4,,Spine,2,7,Image 1,3,1,100000002,610000006636,
8,,Spine,2,3,Image 1,2,1,100000000,610000006638,
33,,Spine,2,1,Image 1,2,1,100000001,610000006642,
11,,Spine,2,4,Image 1,2,1,100000002,610000006645,
7,,Spine,2,7,Image 1,2,1,100000002,610000006647,
7,,Spine,2,3,Image 1,2,1,100000002,610000006650,
26,,Spine,2,4,Image 1,2,1,100000002,610000006654,
30,,Spine,2,5,Image 1,1,1,100000002,610000006656,
28,,Spine,2,7,Image 1,3,1,100000002,610000006660,
17,,Spine,2,9,Image 1,3,1,100000000,610000006664,
13,,Spine,2,15,Image 1,6,1,100000000,610000006666,
12,,Spine,2,1,Image 1,1,1,100000002,610000006669,
34,,Spine,2,1,Image 1,2,1,100000001,610000006673,
26,,Spine,2,1,Image 1,2,1,100000001,610000006677,
33,,Spine,2,1,Image 1,2,1,100000001,610000006680,
20,,Spine,2,0,Image 1,1,1,100000002,610000006683,
25,,Spine,2,4,Image 1,2,1,100000002,610000006686,
22,,Spine,2,7,Image 1,3,1,100000002,610000006689,
42,,Spine,2,0,Image 1,1,1,100000002,610000006693,
20,,Spine,2,12,Image 1,6,1,100000001,610000006695,
54,,Spine,2,0,Image 1,1,1,100000003,610000006701,
7,,Spine,2,5,Image 1,5,1,100000003,610000006703,
36,,Spine,2,2,Image 1,2,1,100000001,610000006709,
28,,Spine,2,7,Image 1,2,1,100000002,610000006711,
36,,Spine,2,0,Image 1,1,1,100000000,610000006717,
26,,Spine,2,8,Image 1,2,1,100000002,610000006720,
30,,Spine,2,10,Image 1,8,1,100000003,610000006723,
13,,Spine,2,3,Image 1,2,1,100000000,610000006726,
8,,Spine,2,4,Image 1,3,1,100000000,610000006728,
12,,Spine,2,10,Image 1,3,1,100000002,610000006731,
38,,Spine,2,1,Image 1,2,1,100000001,610000006735,
17,,Spine,2,1,Image 1,2,1,100000001,610000006740,
30,,Spine,2,2,Image 1,1,1,100000002,610000006743,
11,,Spine,2,3,Image 1,2,1,100000000,610000006745,
23,,Spine,2,5,Image 1,3,1,100000000,610000006747,
25,,Spine,2,8,Image 1,2,1,100000001,610000006749,
37,,Spine,2,9,Image 1,5,1,100000000,610000006754,
25,,Spine,2,9,Image 1,5,1,100000001,610000006756,
63,,Spine,2,0,Image 1,1,1,100000000,610000006761,
22,,Spine,2,2,Image 1,2,1,100000000,610000006765,
29,,Spine,2,0,Image 1,1,1,100000002,610000006767,
54,,Spine,2,0,Image 1,1,1,100000003,610000006774,
19,,Spine,2,0,Image 1,1,1,100000002,610000006779,
25,,Spine,2,3,Image 1,3,1,100000001,610000006782,
28,,Spine,2,1,Image 1,2,1,100000001,610000006785,
33,,Spine,2,4,Image 1,3,1,100000000,610000006788,
26,,Spine,2,9,Image 1,3,1,100000002,610000006791,
14,,Spine,2,0,Image 1,1,1,100000000,610000006794,
45,,Spine,2,1,Image 1,2,1,100000001,610000006798,
32,,Spine,2,1,Image 1,2,1,100000002,610000006800,
23,,Spine,2,1,Image 1,2,1,100000001,610000006804,
46,,Spine,2,9,Image 1,4,1,100000000,610000006807,
52,,Spine,2,0,Image 1,1,1,100000003,610000006810,
26,,Spine,2,10,Image 1,4,1,100000002,610000006812,
31,,Spine,2,1,Image 1,2,1,100000001,610000006815,
16,,Spine,2,8,Image 1,3,1,100000001,610000006818,
38,,Spine,2,5,Image 1,5,1,100000003,610000006821,
20,,Spine,2,1,Image 1,2,1,100000001,610000006825,
58,,Spine,2,0,Image 1,1,1,100000002,610000006828,
41,,Spine,2,0,Image 1,1,1,100000002,610000006830,
47,,Spine,2,1,Image 1,2,1,100000001,610000006836,
41,,Spine,2,1,Image 1,2,1,100000001,610000006838,
18,,Spine,2,1,Image 1,2,1,100000003,610000006840,
13,,Spine,2,5,Image 1,5,1,100000003,610000006843,
22,,Spine,2,7,Image 1,3,1,100000002,610000006846,
31,,Spine,2,10,Image 1,2,1,100000002,610000006848,
16,,Spine,2,20,Image 1,9,1,100000000,610000006851,
36,,Spine,2,1,Image 1,2,1,100000001,610000006853,
17,,Spine,2,17,Image 1,4,1,100000000,610000006855,
46,,Spine,2,0,Image 1,1,1,100000003,610000006859,
