
Intensity Inside Ch=5 Img=1
 ==================== 
Distance to Surface,Image Intensity Mean Inside,Intensity Mean Inside,Intensity Mean minus Std Inside,Intensity Mean plus Std Inside,Unit,Channel,Collection,Image,Time,ID,
-11.357,1.2248,1.36957,-8.45076,11.1899,,5,Intensity Inside,Image 1,1,,
-10.803,1.2248,1.24879,-7.93916,10.4367,,5,Intensity Inside,Image 1,1,,
-10.249,1.2248,1.03232,-6.95393,9.01857,,5,Intensity Inside,Image 1,1,,
-9.695,1.2248,0.958007,-6.82548,8.74149,,5,Intensity Inside,Image 1,1,,
-9.141,1.2248,1.04265,-7.31808,9.40338,,5,Intensity Inside,Image 1,1,,
-8.587,1.2248,1.19981,-8.00657,10.4062,,5,Intensity Inside,Image 1,1,,
-8.033,1.2248,1.32126,-8.54365,11.1862,,5,Intensity Inside,Image 1,1,,
-7.479,1.2248,1.36763,-8.73854,11.4738,,5,Intensity Inside,Image 1,1,,
-6.925,1.2248,1.38292,-8.86826,11.6341,,5,Intensity Inside,Image 1,1,,
-6.371,1.2248,1.3845,-8.94812,11.7171,,5,Intensity Inside,Image 1,1,,
-5.817,1.2248,1.38658,-8.89205,11.6652,,5,Intensity Inside,Image 1,1,,
-5.263,1.2248,1.41249,-9.05863,11.8836,,5,Intensity Inside,Image 1,1,,
-4.709,1.2248,1.38403,-9.10999,11.8781,,5,Intensity Inside,Image 1,1,,
-4.155,1.2248,1.33934,-9.07206,11.7507,,5,Intensity Inside,Image 1,1,,
-3.601,1.2248,1.27168,-8.83485,11.3782,,5,Intensity Inside,Image 1,1,,
-3.047,1.2248,1.19588,-8.53284,10.9246,,5,Intensity Inside,Image 1,1,,
-2.493,1.2248,1.13441,-8.30302,10.5718,,5,Intensity Inside,Image 1,1,,
-1.939,1.2248,1.10036,-8.03655,10.2373,,5,Intensity Inside,Image 1,1,,
-1.385,1.2248,1.10105,-7.86736,10.0695,,5,Intensity Inside,Image 1,1,,
-0.831,1.2248,1.13959,-8.14465,10.4238,,5,Intensity Inside,Image 1,1,,
-0.277,1.2248,1.16103,-8.43917,10.7612,,5,Intensity Inside,Image 1,1,,
