
Segment Intensity StdDev Ch=4 Img=1
 ==================== 
Segment Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0.825967,,Segment,4,2,Image 1,2,1,100000001,510000000017,
1.02209,,Segment,4,1,Image 1,2,1,100000001,510000000044,
0.940132,,Segment,4,0,Image 1,1,1,100000001,510000000062,
1.11461,,Segment,4,12,Image 1,7,1,100000002,510000000085,
1.82695,,Segment,4,11,Image 1,6,1,100000002,510000000105,
3.71421,,Segment,4,10,Image 1,6,1,100000002,510000000109,
0.867741,,Segment,4,9,Image 1,6,1,100000002,510000000118,
1.39796,,Segment,4,8,Image 1,5,1,100000002,510000000137,
1.23859,,Segment,4,7,Image 1,4,1,100000002,510000000155,
3.16043,,Segment,4,6,Image 1,3,1,100000002,510000000179,
2.79813,,Segment,4,5,Image 1,2,1,100000002,510000000193,
1.67004,,Segment,4,4,Image 1,2,1,100000002,510000000204,
4.73484,,Segment,4,3,Image 1,2,1,100000002,510000000232,
6.27129,,Segment,4,2,Image 1,1,1,100000002,510000000239,
3.11761,,Segment,4,1,Image 1,1,1,100000002,510000000243,
1.08327,,Segment,4,0,Image 1,1,1,100000002,510000000256,
0.951613,,Segment,4,12,Image 1,6,1,100000002,510000000277,
55.0637,,Segment,4,11,Image 1,7,1,100000002,510000000281,
2.68541,,Segment,4,9,Image 1,2,1,100000001,510000000298,
26.3077,,Segment,4,8,Image 1,2,1,100000001,510000000303,
46.7376,,Segment,4,7,Image 1,2,1,100000001,510000000326,
3.39354,,Segment,4,6,Image 1,1,1,100000001,510000000332,
1.30572,,Segment,4,5,Image 1,1,1,100000001,510000000341,
8.49135,,Segment,4,4,Image 1,1,1,100000001,510000000365,
15.9099,,Segment,4,3,Image 1,1,1,100000001,510000000378,
3.0464,,Segment,4,2,Image 1,1,1,100000001,510000000413,
1.18711,,Segment,4,1,Image 1,1,1,100000001,510000000416,
3.88899,,Segment,4,0,Image 1,1,1,100000001,510000000431,
56.2339,,Segment,4,8,Image 1,3,1,100000001,510000000454,
1.28844,,Segment,4,5,Image 1,2,1,100000000,510000000482,
1.28845,,Segment,4,4,Image 1,1,1,100000000,510000000519,
0.936132,,Segment,4,3,Image 1,1,1,100000000,510000000522,
0.892709,,Segment,4,2,Image 1,1,1,100000000,510000000537,
0.882592,,Segment,4,1,Image 1,1,1,100000000,510000000545,
1.10061,,Segment,4,0,Image 1,1,1,100000000,510000000561,
1.79409,,Segment,4,16,Image 1,5,1,100000001,510000000575,
2.00354,,Segment,4,15,Image 1,4,1,100000001,510000000586,
0.822506,,Segment,4,14,Image 1,3,1,100000001,510000000589,
0.890623,,Segment,4,13,Image 1,2,1,100000001,510000000605,
1.03162,,Segment,4,12,Image 1,1,1,100000001,510000000627,
0.959143,,Segment,4,11,Image 1,1,1,100000001,510000000670,
1.06112,,Segment,4,10,Image 1,1,1,100000001,510000000674,
1.22166,,Segment,4,8,Image 1,1,1,100000001,510000000679,
3.87064,,Segment,4,7,Image 1,1,1,100000001,510000000681,
2.64736,,Segment,4,16,Image 1,4,1,100000001,510000000687,
1.05057,,Segment,4,1,Image 1,1,1,100000001,510000000725,
1.21114,,Segment,4,3,Image 1,3,1,100000001,510000000750,
1.14762,,Segment,4,2,Image 1,2,1,100000001,510000000786,
6.88245,,Segment,4,1,Image 1,1,1,100000001,510000000805,
7.90389,,Segment,4,0,Image 1,1,1,100000001,510000000818,
1.19541,,Segment,4,4,Image 1,3,1,100000001,510000000838,
1.28268,,Segment,4,3,Image 1,2,1,100000001,510000000880,
1.07366,,Segment,4,4,Image 1,2,1,100000001,510000000882,
70.9926,,Segment,4,4,Image 1,2,1,100000002,510000000901,
1.40747,,Segment,4,3,Image 1,1,1,100000002,510000000910,
1.50471,,Segment,4,2,Image 1,1,1,100000002,510000000923,
3.99095,,Segment,4,1,Image 1,1,1,100000002,510000000925,
5.26598,,Segment,4,0,Image 1,1,1,100000002,510000000975,
0.945342,,Segment,4,15,Image 1,8,1,100000001,510000001008,
0.895529,,Segment,4,14,Image 1,7,1,100000001,510000001024,
1.04266,,Segment,4,13,Image 1,6,1,100000001,510000001027,
1.11714,,Segment,4,12,Image 1,6,1,100000001,510000001051,
1.0835,,Segment,4,11,Image 1,6,1,100000001,510000001056,
1.12053,,Segment,4,10,Image 1,6,1,100000001,510000001058,
1.0527,,Segment,4,9,Image 1,6,1,100000001,510000001085,
1.13775,,Segment,4,8,Image 1,6,1,100000001,510000001092,
1.2363,,Segment,4,7,Image 1,6,1,100000001,510000001101,
1.22145,,Segment,4,6,Image 1,5,1,100000001,510000001113,
1.14256,,Segment,4,5,Image 1,4,1,100000001,510000001116,
0.918657,,Segment,4,4,Image 1,3,1,100000001,510000001133,
1.15869,,Segment,4,3,Image 1,2,1,100000001,510000001136,
1.17877,,Segment,4,2,Image 1,1,1,100000001,510000001156,
1.51871,,Segment,4,1,Image 1,1,1,100000001,510000001173,
1.39064,,Segment,4,0,Image 1,1,1,100000001,510000001185,
1.14817,,Segment,4,15,Image 1,7,1,100000001,510000001188,
0.994269,,Segment,4,11,Image 1,6,1,100000002,510000001202,
1.06476,,Segment,4,10,Image 1,5,1,100000002,510000001204,
0.99009,,Segment,4,9,Image 1,5,1,100000002,510000001206,
0.991998,,Segment,4,10,Image 1,6,1,100000002,510000001212,
1.14619,,Segment,4,11,Image 1,5,1,100000002,510000001216,
0.745462,,Segment,4,15,Image 1,3,1,100000001,510000001225,
0.833268,,Segment,4,14,Image 1,2,1,100000001,510000001227,
1.19963,,Segment,4,7,Image 1,5,1,100000002,510000001270,
1.11058,,Segment,4,6,Image 1,4,1,100000002,510000001280,
1.18587,,Segment,4,5,Image 1,3,1,100000002,510000001289,
1.11392,,Segment,4,4,Image 1,3,1,100000002,510000001306,
1.43428,,Segment,4,3,Image 1,2,1,100000002,510000001314,
2.89131,,Segment,4,12,Image 1,8,1,100000001,510000001330,
1.37405,,Segment,4,11,Image 1,8,1,100000001,510000001341,
1.21902,,Segment,4,10,Image 1,7,1,100000001,510000001368,
1.60311,,Segment,4,12,Image 1,9,1,100000001,510000001370,
28.1295,,Segment,4,1,Image 1,2,1,100000002,510000001384,
5.10099,,Segment,4,6,Image 1,2,1,100000002,510000001447,
6.95908,,Segment,4,5,Image 1,1,1,100000002,510000001460,
9.31372,,Segment,4,4,Image 1,1,1,100000002,510000001473,
9.8667,,Segment,4,7,Image 1,4,1,100000001,510000001503,
1.08828,,Segment,4,6,Image 1,4,1,100000001,510000001573,
1.17451,,Segment,4,5,Image 1,3,1,100000001,510000001672,
1.0853,,Segment,4,4,Image 1,3,1,100000001,510000001687,
2.9209,,Segment,4,3,Image 1,3,1,100000001,510000001702,
3.5536,,Segment,4,0,Image 1,1,1,100000001,510000001711,
37.2728,,Segment,4,2,Image 1,3,1,100000000,510000001732,
1.12241,,Segment,4,1,Image 1,2,1,100000000,510000001739,
1.39498,,Segment,4,13,Image 1,4,1,100000001,510000001753,
1.31982,,Segment,4,12,Image 1,3,1,100000001,510000001761,
1.24567,,Segment,4,11,Image 1,2,1,100000001,510000001771,
1.31201,,Segment,4,13,Image 1,3,1,100000001,510000001773,
1.00667,,Segment,4,15,Image 1,8,1,100000001,510000001803,
0.9829,,Segment,4,14,Image 1,7,1,100000001,510000001809,
1.07648,,Segment,4,13,Image 1,7,1,100000001,510000001824,
1.09817,,Segment,4,15,Image 1,7,1,100000001,510000001835,
0.918147,,Segment,4,14,Image 1,8,1,100000001,510000001838,
1.22114,,Segment,4,3,Image 1,4,1,100000001,510000001852,
1.47339,,Segment,4,2,Image 1,3,1,100000001,510000001860,
3.70043,,Segment,4,1,Image 1,2,1,100000001,510000001875,
44.4849,,Segment,4,4,Image 1,2,1,100000002,510000001884,
0.948323,,Segment,4,14,Image 1,6,1,100000001,510000001891,
1.02726,,Segment,4,5,Image 1,2,1,100000000,510000001906,
1.11157,,Segment,4,4,Image 1,2,1,100000000,510000001910,
1.27969,,Segment,4,3,Image 1,1,1,100000000,510000001927,
2.47688,,Segment,4,0,Image 1,1,1,100000000,510000001980,
