
Spine Attachment Pt Position Y
 ==================== 
Spine Attachment Pt Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
19938.6,µm,Spine,Spine Attachment Pt Position,3,4,1,100000001,610000005678,
19868.4,µm,Spine,Spine Attachment Pt Position,6,2,1,100000002,610000005690,
19926.9,µm,Spine,Spine Attachment Pt Position,8,5,1,100000001,610000005695,
19850,µm,Spine,Spine Attachment Pt Position,5,2,1,100000000,610000005704,
19869.6,µm,Spine,Spine Attachment Pt Position,2,1,1,100000000,610000005708,
19886.4,µm,Spine,Spine Attachment Pt Position,7,5,1,100000002,610000005730,
19871.5,µm,Spine,Spine Attachment Pt Position,0,1,1,100000002,610000005734,
19923.2,µm,Spine,Spine Attachment Pt Position,1,1,1,100000001,610000005746,
19909.6,µm,Spine,Spine Attachment Pt Position,2,2,1,100000003,610000005766,
19849.3,µm,Spine,Spine Attachment Pt Position,7,3,1,100000002,610000005776,
19911.5,µm,Spine,Spine Attachment Pt Position,5,5,1,100000003,610000005800,
19912.8,µm,Spine,Spine Attachment Pt Position,0,1,1,100000003,610000005803,
19923.9,µm,Spine,Spine Attachment Pt Position,7,2,1,100000003,610000005809,
19940.1,µm,Spine,Spine Attachment Pt Position,2,2,1,100000001,610000005813,
19866.1,µm,Spine,Spine Attachment Pt Position,0,1,1,100000000,610000005816,
19911.7,µm,Spine,Spine Attachment Pt Position,4,5,1,100000003,610000005819,
19946.1,µm,Spine,Spine Attachment Pt Position,5,4,1,100000001,610000005823,
19911.8,µm,Spine,Spine Attachment Pt Position,7,5,1,100000001,610000005833,
19934.1,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000005836,
19889.2,µm,Spine,Spine Attachment Pt Position,7,4,1,100000002,610000005845,
19940.1,µm,Spine,Spine Attachment Pt Position,2,2,1,100000001,610000005847,
19935,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000005866,
19912.9,µm,Spine,Spine Attachment Pt Position,4,4,1,100000003,610000005868,
19939.9,µm,Spine,Spine Attachment Pt Position,3,2,1,100000001,610000005880,
19931.1,µm,Spine,Spine Attachment Pt Position,2,1,1,100000001,610000005890,
19911.5,µm,Spine,Spine Attachment Pt Position,9,6,1,100000001,610000005902,
19899.5,µm,Spine,Spine Attachment Pt Position,8,4,1,100000002,610000005918,
19916.6,µm,Spine,Spine Attachment Pt Position,12,8,1,100000001,610000005925,
19921.4,µm,Spine,Spine Attachment Pt Position,2,2,1,100000001,610000005934,
19931.3,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000005941,
19938.5,µm,Spine,Spine Attachment Pt Position,6,3,1,100000001,610000005954,
19883.2,µm,Spine,Spine Attachment Pt Position,8,3,1,100000002,610000005959,
19919.7,µm,Spine,Spine Attachment Pt Position,3,3,1,100000001,610000005971,
19932.2,µm,Spine,Spine Attachment Pt Position,9,2,1,100000001,610000005988,
19938.8,µm,Spine,Spine Attachment Pt Position,2,1,1,100000001,610000005993,
19863,µm,Spine,Spine Attachment Pt Position,2,1,1,100000002,610000005999,
19933.7,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000006028,
19850.9,µm,Spine,Spine Attachment Pt Position,7,2,1,,610000006181,
