
Intensity Outside Ch=4 Img=1
 ==================== 
Distance to Surface,Image Intensity Mean Outside,Intensity Mean Outside,Intensity Mean minus Std Outside,Intensity Mean plus Std Outside,Unit,Channel,Collection,Image,Time,ID,
0.0685,0.0774045,0.945521,-6.76307,8.65412,,4,Intensity Outside,Image 1,1,,
0.2055,0.0774045,0.586958,-5.23287,6.40679,,4,Intensity Outside,Image 1,1,,
0.3425,0.0774045,0.329924,-3.92425,4.58409,,4,Intensity Outside,Image 1,1,,
0.4795,0.0774045,0.229415,-3.39319,3.85202,,4,Intensity Outside,Image 1,1,,
0.6165,0.0774045,0.174538,-3.13682,3.4859,,4,Intensity Outside,Image 1,1,,
0.7535,0.0774045,0.12751,-2.77491,3.02993,,4,Intensity Outside,Image 1,1,,
0.8905,0.0774045,0.0897951,-2.32706,2.50665,,4,Intensity Outside,Image 1,1,,
1.0275,0.0774045,0.0587596,-1.868,1.98552,,4,Intensity Outside,Image 1,1,,
1.1645,0.0774045,0.0362601,-1.45576,1.52828,,4,Intensity Outside,Image 1,1,,
1.3015,0.0774045,0.0216761,-1.08395,1.1273,,4,Intensity Outside,Image 1,1,,
1.4385,0.0774045,0.0127714,-0.776441,0.801983,,4,Intensity Outside,Image 1,1,,
1.5755,0.0774045,0.00770315,-0.551237,0.566644,,4,Intensity Outside,Image 1,1,,
1.7125,0.0774045,0.00406302,-0.372421,0.380547,,4,Intensity Outside,Image 1,1,,
1.8495,0.0774045,0.00169794,-0.231969,0.235365,,4,Intensity Outside,Image 1,1,,
1.9865,0.0774045,0.000546303,-0.129842,0.130934,,4,Intensity Outside,Image 1,1,,
2.1235,0.0774045,0.000146921,-0.066999,0.0672929,,4,Intensity Outside,Image 1,1,,
2.2605,0.0774045,3.6079e-05,-0.0331088,0.033181,,4,Intensity Outside,Image 1,1,,
2.3975,0.0774045,8.35606e-06,-0.0159033,0.01592,,4,Intensity Outside,Image 1,1,,
2.5345,0.0774045,1.86018e-06,-0.00749273,0.00749645,,4,Intensity Outside,Image 1,1,,
2.6715,0.0774045,4.02545e-07,-0.00348163,0.00348243,,4,Intensity Outside,Image 1,1,,
2.8085,0.0774045,8.52528e-08,-0.00160081,0.00160098,,4,Intensity Outside,Image 1,1,,
2.9455,0.0774045,1.77764e-08,-0.000730449,0.000730485,,4,Intensity Outside,Image 1,1,,
3.0825,0.0774045,3.64285e-09,-0.000330467,0.000330475,,4,Intensity Outside,Image 1,1,,
3.2195,0.0774045,7.40545e-10,-0.000148925,0.000148926,,4,Intensity Outside,Image 1,1,,
3.3565,0.0774045,1.48499e-10,-6.66606e-05,6.66609e-05,,4,Intensity Outside,Image 1,1,,
3.4935,0.0774045,2.95166e-11,-2.97087e-05,2.97087e-05,,4,Intensity Outside,Image 1,1,,
3.6305,0.0774045,5.83895e-12,-1.32094e-05,1.32094e-05,,4,Intensity Outside,Image 1,1,,
3.7675,0.0774045,1.14928e-12,-5.85882e-06,5.85883e-06,,4,Intensity Outside,Image 1,1,,
3.9045,0.0774045,2.26211e-13,-2.59866e-06,2.59866e-06,,4,Intensity Outside,Image 1,1,,
4.0415,0.0774045,4.43374e-14,-1.15023e-06,1.15023e-06,,4,Intensity Outside,Image 1,1,,
4.1785,0.0774045,8.69487e-15,-5.09273e-07,5.09273e-07,,4,Intensity Outside,Image 1,1,,
4.3155,0.0774045,1.69545e-15,-2.24847e-07,2.24847e-07,,4,Intensity Outside,Image 1,1,,
4.4525,0.0774045,3.29542e-16,-9.91138e-08,9.91138e-08,,4,Intensity Outside,Image 1,1,,
4.5895,0.0774045,6.39843e-17,-4.36672e-08,4.36672e-08,,4,Intensity Outside,Image 1,1,,
4.7265,0.0774045,1.24544e-17,-1.9263e-08,1.9263e-08,,4,Intensity Outside,Image 1,1,,
