
Segment Branch Level
 ==================== 
Segment Branch Level,Unit,Category,Depth,Level,Time,FilamentID,ID,
6,,Segment,14,6,1,100000001,510000000053,
6,,Segment,13,6,1,100000001,510000000086,
6,,Segment,12,6,1,100000001,510000000091,
6,,Segment,11,6,1,100000001,510000000097,
5,,Segment,10,5,1,100000001,510000000099,
5,,Segment,9,5,1,100000001,510000000115,
4,,Segment,8,4,1,100000001,510000000171,
4,,Segment,7,4,1,100000001,510000000184,
4,,Segment,6,4,1,100000001,510000000198,
3,,Segment,5,3,1,100000001,510000000214,
2,,Segment,4,2,1,100000001,510000000216,
2,,Segment,3,2,1,100000001,510000000225,
1,,Segment,2,1,1,100000001,510000000249,
1,,Segment,1,1,1,100000001,510000000264,
1,,Segment,0,1,1,100000001,510000000276,
8,,Segment,15,8,1,100000001,510000000304,
7,,Segment,14,7,1,100000001,510000000321,
7,,Segment,15,7,1,100000001,510000000347,
7,,Segment,11,7,1,100000001,510000000354,
6,,Segment,10,6,1,100000001,510000000402,
6,,Segment,11,6,1,100000001,510000000405,
7,,Segment,12,7,1,100000001,510000000412,
7,,Segment,13,7,1,100000001,510000000416,
5,,Segment,11,5,1,100000001,510000000420,
4,,Segment,12,4,1,100000000,510000000430,
3,,Segment,11,3,1,100000000,510000000452,
3,,Segment,10,3,1,100000000,510000000494,
2,,Segment,9,2,1,100000000,510000000547,
2,,Segment,8,2,1,100000000,510000000557,
2,,Segment,7,2,1,100000000,510000000581,
1,,Segment,6,1,1,100000000,510000000590,
1,,Segment,5,1,1,100000000,510000000599,
1,,Segment,4,1,1,100000000,510000000606,
1,,Segment,3,1,1,100000000,510000000608,
1,,Segment,2,1,1,100000000,510000000612,
1,,Segment,1,1,1,100000000,510000000618,
1,,Segment,0,1,1,100000000,510000000641,
3,,Segment,12,3,1,100000000,510000000648,
4,,Segment,11,4,1,100000000,510000000656,
5,,Segment,11,5,1,100000000,510000000671,
4,,Segment,10,4,1,100000000,510000000712,
3,,Segment,9,3,1,100000000,510000000727,
4,,Segment,11,4,1,100000000,510000000742,
4,,Segment,8,4,1,100000002,510000000757,
4,,Segment,7,4,1,100000002,510000000760,
