
Segment Intensity Median Ch=3 Img=1
 ==================== 
Segment Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,3,14,Image 1,6,1,100000001,510000000053,
0,,Segment,3,13,Image 1,6,1,100000001,510000000086,
0,,Segment,3,12,Image 1,6,1,100000001,510000000091,
0,,Segment,3,11,Image 1,6,1,100000001,510000000097,
0,,Segment,3,10,Image 1,5,1,100000001,510000000099,
0,,Segment,3,9,Image 1,5,1,100000001,510000000115,
0,,Segment,3,8,Image 1,4,1,100000001,510000000171,
0,,Segment,3,7,Image 1,4,1,100000001,510000000184,
0,,Segment,3,6,Image 1,4,1,100000001,510000000198,
0,,Segment,3,5,Image 1,3,1,100000001,510000000214,
0,,Segment,3,4,Image 1,2,1,100000001,510000000216,
0,,Segment,3,3,Image 1,2,1,100000001,510000000225,
0,,Segment,3,2,Image 1,1,1,100000001,510000000249,
0,,Segment,3,1,Image 1,1,1,100000001,510000000264,
0,,Segment,3,0,Image 1,1,1,100000001,510000000276,
0,,Segment,3,15,Image 1,8,1,100000001,510000000304,
0,,Segment,3,14,Image 1,7,1,100000001,510000000321,
0.0625,,Segment,3,15,Image 1,7,1,100000001,510000000347,
0,,Segment,3,11,Image 1,7,1,100000001,510000000354,
0,,Segment,3,10,Image 1,6,1,100000001,510000000402,
0,,Segment,3,11,Image 1,6,1,100000001,510000000405,
0,,Segment,3,12,Image 1,7,1,100000001,510000000412,
0,,Segment,3,13,Image 1,7,1,100000001,510000000416,
0,,Segment,3,11,Image 1,5,1,100000001,510000000420,
0,,Segment,3,12,Image 1,4,1,100000000,510000000430,
0,,Segment,3,11,Image 1,3,1,100000000,510000000452,
0,,Segment,3,10,Image 1,3,1,100000000,510000000494,
0,,Segment,3,9,Image 1,2,1,100000000,510000000547,
0,,Segment,3,8,Image 1,2,1,100000000,510000000557,
0.015625,,Segment,3,7,Image 1,2,1,100000000,510000000581,
0.015625,,Segment,3,6,Image 1,1,1,100000000,510000000590,
0,,Segment,3,5,Image 1,1,1,100000000,510000000599,
0,,Segment,3,4,Image 1,1,1,100000000,510000000606,
0,,Segment,3,3,Image 1,1,1,100000000,510000000608,
0,,Segment,3,2,Image 1,1,1,100000000,510000000612,
0,,Segment,3,1,Image 1,1,1,100000000,510000000618,
0,,Segment,3,0,Image 1,1,1,100000000,510000000641,
0,,Segment,3,12,Image 1,3,1,100000000,510000000648,
0,,Segment,3,11,Image 1,4,1,100000000,510000000656,
0,,Segment,3,11,Image 1,5,1,100000000,510000000671,
0,,Segment,3,10,Image 1,4,1,100000000,510000000712,
0,,Segment,3,9,Image 1,3,1,100000000,510000000727,
0,,Segment,3,11,Image 1,4,1,100000000,510000000742,
0,,Segment,3,8,Image 1,4,1,100000002,510000000757,
0,,Segment,3,7,Image 1,4,1,100000002,510000000760,
0,,Segment,3,6,Image 1,4,1,100000002,510000000798,
0,,Segment,3,5,Image 1,3,1,100000002,510000000826,
0,,Segment,3,4,Image 1,3,1,100000002,510000000862,
0,,Segment,3,3,Image 1,2,1,100000002,510000000891,
0,,Segment,3,2,Image 1,2,1,100000002,510000000923,
0,,Segment,3,1,Image 1,1,1,100000002,510000000925,
0,,Segment,3,0,Image 1,1,1,100000002,510000000937,
0,,Segment,3,7,Image 1,5,1,100000002,510000000969,
0,,Segment,3,8,Image 1,5,1,100000002,510000000974,
0,,Segment,3,6,Image 1,3,1,100000002,510000000976,
0,,Segment,3,0,Image 1,1,1,100000001,510000001022,
0,,Segment,3,8,Image 1,3,1,100000002,510000001073,
0,,Segment,3,7,Image 1,3,1,100000002,510000001089,
0,,Segment,3,6,Image 1,2,1,100000002,510000001107,
0,,Segment,3,5,Image 1,2,1,100000002,510000001115,
0,,Segment,3,4,Image 1,1,1,100000002,510000001175,
0,,Segment,3,3,Image 1,1,1,100000002,510000001177,
0,,Segment,3,2,Image 1,1,1,100000002,510000001180,
0,,Segment,3,8,Image 1,4,1,100000002,510000001184,
0,,Segment,3,0,Image 1,1,1,100000003,510000001249,
0,,Segment,3,7,Image 1,2,1,100000002,510000001258,
0.015625,,Segment,3,1,Image 1,2,1,100000002,510000001272,
0,,Segment,3,0,Image 1,1,1,100000002,510000001285,
0,,Segment,3,9,Image 1,4,1,100000000,510000001291,
0,,Segment,3,8,Image 1,3,1,100000000,510000001296,
0,,Segment,3,7,Image 1,3,1,100000000,510000001302,
0,,Segment,3,6,Image 1,3,1,100000000,510000001332,
0,,Segment,3,5,Image 1,2,1,100000000,510000001348,
0,,Segment,3,4,Image 1,1,1,100000000,510000001420,
0,,Segment,3,3,Image 1,1,1,100000000,510000001435,
0,,Segment,3,2,Image 1,1,1,100000000,510000001443,
0,,Segment,3,1,Image 1,1,1,100000000,510000001473,
0,,Segment,3,0,Image 1,1,1,100000000,510000001484,
0,,Segment,3,13,Image 1,4,1,100000000,510000001541,
0,,Segment,3,12,Image 1,3,1,100000000,510000001596,
0,,Segment,3,11,Image 1,2,1,100000000,510000001611,
0,,Segment,3,10,Image 1,2,1,100000000,510000001617,
0,,Segment,3,13,Image 1,3,1,100000000,510000001637,
0,,Segment,3,12,Image 1,4,1,100000001,510000001651,
0.03125,,Segment,3,11,Image 1,4,1,100000001,510000001715,
0,,Segment,3,10,Image 1,3,1,100000001,510000001790,
0,,Segment,3,9,Image 1,2,1,100000001,510000001799,
0,,Segment,3,8,Image 1,2,1,100000001,510000001812,
0,,Segment,3,7,Image 1,2,1,100000001,510000001818,
