
Segment Intensity Sum Ch=2 Img=1
 ==================== 
Segment Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
61066,,Segment,2,14,Image 1,6,1,100000001,510000000053,
38556,,Segment,2,13,Image 1,6,1,100000001,510000000086,
14001,,Segment,2,12,Image 1,6,1,100000001,510000000091,
13618,,Segment,2,11,Image 1,6,1,100000001,510000000097,
4761,,Segment,2,10,Image 1,5,1,100000001,510000000099,
6795,,Segment,2,9,Image 1,5,1,100000001,510000000115,
49349,,Segment,2,8,Image 1,4,1,100000001,510000000171,
19510,,Segment,2,7,Image 1,4,1,100000001,510000000184,
14604,,Segment,2,6,Image 1,4,1,100000001,510000000198,
38602,,Segment,2,5,Image 1,3,1,100000001,510000000214,
29769,,Segment,2,4,Image 1,2,1,100000001,510000000216,
80270,,Segment,2,3,Image 1,2,1,100000001,510000000225,
134653,,Segment,2,2,Image 1,1,1,100000001,510000000249,
117955,,Segment,2,1,Image 1,1,1,100000001,510000000264,
75286,,Segment,2,0,Image 1,1,1,100000001,510000000276,
13106,,Segment,2,15,Image 1,8,1,100000001,510000000304,
22565,,Segment,2,14,Image 1,7,1,100000001,510000000321,
36108,,Segment,2,15,Image 1,7,1,100000001,510000000347,
5890,,Segment,2,11,Image 1,7,1,100000001,510000000354,
58342,,Segment,2,10,Image 1,6,1,100000001,510000000402,
4640,,Segment,2,11,Image 1,6,1,100000001,510000000405,
10320,,Segment,2,12,Image 1,7,1,100000001,510000000412,
7328,,Segment,2,13,Image 1,7,1,100000001,510000000416,
10880,,Segment,2,11,Image 1,5,1,100000001,510000000420,
5117,,Segment,2,12,Image 1,4,1,100000000,510000000430,
12791,,Segment,2,11,Image 1,3,1,100000000,510000000452,
35641,,Segment,2,10,Image 1,3,1,100000000,510000000494,
104157,,Segment,2,9,Image 1,2,1,100000000,510000000547,
40469,,Segment,2,8,Image 1,2,1,100000000,510000000557,
56198,,Segment,2,7,Image 1,2,1,100000000,510000000581,
61613,,Segment,2,6,Image 1,1,1,100000000,510000000590,
59655,,Segment,2,5,Image 1,1,1,100000000,510000000599,
45638,,Segment,2,4,Image 1,1,1,100000000,510000000606,
26851,,Segment,2,3,Image 1,1,1,100000000,510000000608,
41797,,Segment,2,2,Image 1,1,1,100000000,510000000612,
22052,,Segment,2,1,Image 1,1,1,100000000,510000000618,
38872,,Segment,2,0,Image 1,1,1,100000000,510000000641,
4762,,Segment,2,12,Image 1,3,1,100000000,510000000648,
3799,,Segment,2,11,Image 1,4,1,100000000,510000000656,
2736,,Segment,2,11,Image 1,5,1,100000000,510000000671,
24112,,Segment,2,10,Image 1,4,1,100000000,510000000712,
42160,,Segment,2,9,Image 1,3,1,100000000,510000000727,
7478,,Segment,2,11,Image 1,4,1,100000000,510000000742,
15211,,Segment,2,8,Image 1,4,1,100000002,510000000757,
5915,,Segment,2,7,Image 1,4,1,100000002,510000000760,
23596,,Segment,2,6,Image 1,4,1,100000002,510000000798,
28914,,Segment,2,5,Image 1,3,1,100000002,510000000826,
38238,,Segment,2,4,Image 1,3,1,100000002,510000000862,
32421,,Segment,2,3,Image 1,2,1,100000002,510000000891,
88504,,Segment,2,2,Image 1,2,1,100000002,510000000923,
23915,,Segment,2,1,Image 1,1,1,100000002,510000000925,
17165,,Segment,2,0,Image 1,1,1,100000002,510000000937,
4666,,Segment,2,7,Image 1,5,1,100000002,510000000969,
4833,,Segment,2,8,Image 1,5,1,100000002,510000000974,
2257,,Segment,2,6,Image 1,3,1,100000002,510000000976,
130914,,Segment,2,0,Image 1,1,1,100000001,510000001022,
20690,,Segment,2,8,Image 1,3,1,100000002,510000001073,
14007,,Segment,2,7,Image 1,3,1,100000002,510000001089,
14836,,Segment,2,6,Image 1,2,1,100000002,510000001107,
10899,,Segment,2,5,Image 1,2,1,100000002,510000001115,
83810,,Segment,2,4,Image 1,1,1,100000002,510000001175,
17446,,Segment,2,3,Image 1,1,1,100000002,510000001177,
27173,,Segment,2,2,Image 1,1,1,100000002,510000001180,
3376,,Segment,2,8,Image 1,4,1,100000002,510000001184,
117023,,Segment,2,0,Image 1,1,1,100000003,510000001249,
3871,,Segment,2,7,Image 1,2,1,100000002,510000001258,
11909,,Segment,2,1,Image 1,2,1,100000002,510000001272,
17654,,Segment,2,0,Image 1,1,1,100000002,510000001285,
6317,,Segment,2,9,Image 1,4,1,100000000,510000001291,
14443,,Segment,2,8,Image 1,3,1,100000000,510000001296,
24549,,Segment,2,7,Image 1,3,1,100000000,510000001302,
30207,,Segment,2,6,Image 1,3,1,100000000,510000001332,
24654,,Segment,2,5,Image 1,2,1,100000000,510000001348,
73035,,Segment,2,4,Image 1,1,1,100000000,510000001420,
66326,,Segment,2,3,Image 1,1,1,100000000,510000001435,
60040,,Segment,2,2,Image 1,1,1,100000000,510000001443,
142566,,Segment,2,1,Image 1,1,1,100000000,510000001473,
34426,,Segment,2,0,Image 1,1,1,100000000,510000001484,
35235,,Segment,2,13,Image 1,4,1,100000000,510000001541,
40209,,Segment,2,12,Image 1,3,1,100000000,510000001596,
45493,,Segment,2,11,Image 1,2,1,100000000,510000001611,
31593,,Segment,2,10,Image 1,2,1,100000000,510000001617,
19654,,Segment,2,13,Image 1,3,1,100000000,510000001637,
21847,,Segment,2,12,Image 1,4,1,100000001,510000001651,
45940,,Segment,2,11,Image 1,4,1,100000001,510000001715,
61703,,Segment,2,10,Image 1,3,1,100000001,510000001790,
15600,,Segment,2,9,Image 1,2,1,100000001,510000001799,
21978,,Segment,2,8,Image 1,2,1,100000001,510000001812,
12622,,Segment,2,7,Image 1,2,1,100000001,510000001818,
36419,,Segment,2,6,Image 1,2,1,100000001,510000001840,
58044,,Segment,2,5,Image 1,2,1,100000001,510000001852,
6674,,Segment,2,12,Image 1,5,1,100000001,510000001860,
34573,,Segment,2,12,Image 1,3,1,100000001,510000001924,
9369,,Segment,2,11,Image 1,3,1,100000001,510000001928,
20288,,Segment,2,10,Image 1,4,1,100000001,510000001946,
65245,,Segment,2,9,Image 1,3,1,100000001,510000001989,
17863,,Segment,2,8,Image 1,3,1,100000001,510000002012,
12061,,Segment,2,10,Image 1,4,1,100000000,510000002047,
10770,,Segment,2,9,Image 1,3,1,100000000,510000002054,
12877,,Segment,2,12,Image 1,4,1,100000001,510000002072,
1017,,Segment,2,13,Image 1,6,1,100000000,510000002076,
23330,,Segment,2,12,Image 1,5,1,100000000,510000002103,
12737,,Segment,2,11,Image 1,5,1,100000000,510000002121,
18901,,Segment,2,10,Image 1,5,1,100000000,510000002132,
20150,,Segment,2,9,Image 1,5,1,100000000,510000002150,
27895,,Segment,2,8,Image 1,4,1,100000000,510000002167,
100906,,Segment,2,7,Image 1,3,1,100000000,510000002235,
28539,,Segment,2,6,Image 1,3,1,100000000,510000002252,
18754,,Segment,2,5,Image 1,3,1,100000000,510000002272,
33068,,Segment,2,4,Image 1,2,1,100000000,510000002277,
22785,,Segment,2,10,Image 1,4,1,100000001,510000002286,
7993,,Segment,2,12,Image 1,3,1,100000000,510000002300,
6719,,Segment,2,11,Image 1,3,1,100000000,510000002311,
6680,,Segment,2,10,Image 1,3,1,100000000,510000002314,
2715,,Segment,2,12,Image 1,4,1,100000000,510000002318,
8639,,Segment,2,13,Image 1,5,1,100000000,510000002320,
47723,,Segment,2,10,Image 1,3,1,100000001,510000002338,
23548,,Segment,2,7,Image 1,3,1,100000001,510000002371,
8557,,Segment,2,6,Image 1,3,1,100000001,510000002373,
86729,,Segment,2,5,Image 1,3,1,100000001,510000002467,
29869,,Segment,2,4,Image 1,3,1,100000001,510000002472,
11881,,Segment,2,8,Image 1,4,1,100000000,510000002479,
6029,,Segment,2,12,Image 1,6,1,100000000,510000002484,
3286,,Segment,2,11,Image 1,4,1,100000000,510000002487,
16090,,Segment,2,8,Image 1,5,1,100000001,510000002512,
19094,,Segment,2,7,Image 1,4,1,100000001,510000002516,
98278,,Segment,2,6,Image 1,3,1,100000001,510000002593,
9567,,Segment,2,7,Image 1,4,1,100000001,510000002601,
34138,,Segment,2,7,Image 1,3,1,100000000,510000002632,
11554,,Segment,2,6,Image 1,3,1,100000000,510000002639,
29195,,Segment,2,5,Image 1,3,1,100000000,510000002669,
69503,,Segment,2,4,Image 1,3,1,100000000,510000002737,
69209,,Segment,2,3,Image 1,2,1,100000000,510000002775,
7852,,Segment,2,2,Image 1,2,1,100000000,510000002779,
10111,,Segment,2,1,Image 1,1,1,100000000,510000002785,
40545,,Segment,2,0,Image 1,1,1,100000000,510000002801,
17293,,Segment,2,10,Image 1,4,1,100000000,510000002826,
29062,,Segment,2,9,Image 1,4,1,100000000,510000002850,
12459,,Segment,2,9,Image 1,4,1,100000001,510000002861,
14533,,Segment,2,6,Image 1,4,1,100000001,510000002875,
9607,,Segment,2,7,Image 1,4,1,100000000,510000002880,
25458,,Segment,2,5,Image 1,1,1,100000000,510000002899,
9177,,Segment,2,12,Image 1,3,1,100000000,510000002904,
52460,,Segment,2,11,Image 1,3,1,100000000,510000002944,
6373,,Segment,2,5,Image 1,4,1,100000002,510000002947,
7404,,Segment,2,12,Image 1,4,1,100000000,510000002949,
7730,,Segment,2,11,Image 1,6,1,100000000,510000002952,
3607,,Segment,2,10,Image 1,5,1,100000000,510000002956,
10472,,Segment,2,5,Image 1,3,1,100000002,510000002981,
3618,,Segment,2,4,Image 1,2,1,100000002,510000002983,
16414,,Segment,2,3,Image 1,1,1,100000002,510000003011,
14118,,Segment,2,2,Image 1,1,1,100000002,510000003021,
20405,,Segment,2,1,Image 1,1,1,100000002,510000003029,
8776,,Segment,2,10,Image 1,6,1,100000000,510000003038,
5188,,Segment,2,6,Image 1,2,1,100000000,510000003041,
16050,,Segment,2,9,Image 1,3,1,100000001,510000003058,
28496,,Segment,2,8,Image 1,4,1,100000001,510000003107,
10086,,Segment,2,7,Image 1,4,1,100000001,510000003115,
57120,,Segment,2,6,Image 1,3,1,100000001,510000003144,
6561,,Segment,2,8,Image 1,4,1,100000001,510000003147,
4074,,Segment,2,7,Image 1,4,1,100000000,510000003149,
5602,,Segment,2,8,Image 1,3,1,100000000,510000003152,
10576,,Segment,2,5,Image 1,2,1,100000002,510000003169,
4007,,Segment,2,6,Image 1,4,1,100000000,510000003171,
9089,,Segment,2,10,Image 1,2,1,100000001,510000003177,
32630,,Segment,2,12,Image 1,2,1,100000000,510000003188,
8013,,Segment,2,4,Image 1,3,1,100000002,510000003199,
42559,,Segment,2,3,Image 1,3,1,100000002,510000003255,
6739,,Segment,2,6,Image 1,2,1,100000000,510000003265,
62291,,Segment,2,5,Image 1,2,1,100000000,510000003313,
17469,,Segment,2,4,Image 1,2,1,100000000,510000003327,
3784,,Segment,2,6,Image 1,3,1,100000000,510000003331,
16399,,Segment,2,7,Image 1,3,1,100000001,510000003334,
7436,,Segment,2,5,Image 1,4,1,100000003,510000003339,
23390,,Segment,2,4,Image 1,3,1,100000003,510000003364,
30242,,Segment,2,3,Image 1,3,1,100000003,510000003394,
24600,,Segment,2,2,Image 1,3,1,100000003,510000003414,
21937,,Segment,2,1,Image 1,2,1,100000003,510000003423,
50253,,Segment,2,0,Image 1,1,1,100000003,510000003439,
2782,,Segment,2,4,Image 1,4,1,100000002,510000003442,
4585,,Segment,2,7,Image 1,3,1,100000001,510000003447,
7381,,Segment,2,5,Image 1,3,1,100000003,510000003449,
29764,,Segment,2,5,Image 1,3,1,100000000,510000003484,
78371,,Segment,2,4,Image 1,3,1,100000000,510000003549,
9714,,Segment,2,3,Image 1,3,1,100000000,510000003553,
17882,,Segment,2,2,Image 1,3,1,100000000,510000003558,
2176,,Segment,2,8,Image 1,5,1,100000001,510000003563,
3344,,Segment,2,5,Image 1,4,1,100000000,510000003565,
6542,,Segment,2,5,Image 1,4,1,100000000,510000003573,
4021,,Segment,2,4,Image 1,1,1,100000002,510000003575,
12744,,Segment,2,4,Image 1,3,1,100000002,510000003579,
10549,,Segment,2,8,Image 1,5,1,100000001,510000003586,
8940,,Segment,2,6,Image 1,1,1,100000002,510000003593,
38629,,Segment,2,5,Image 1,1,1,100000002,510000003618,
62504,,Segment,2,3,Image 1,3,1,100000003,510000003677,
100644,,Segment,2,2,Image 1,2,1,100000003,510000003728,
5933,,Segment,2,6,Image 1,2,1,100000002,510000003734,
8191,,Segment,2,2,Image 1,2,1,100000001,510000003741,
106640,,Segment,2,1,Image 1,2,1,100000001,510000003808,
146373,,Segment,2,0,Image 1,1,1,100000001,510000003827,
5097,,Segment,2,2,Image 1,3,1,100000001,510000003838,
11674,,Segment,2,10,Image 1,3,1,100000000,510000003843,
4013,,Segment,2,7,Image 1,3,1,100000001,510000003846,
2712,,Segment,2,6,Image 1,3,1,100000002,510000003848,
27917,,Segment,2,3,Image 1,2,1,100000002,510000003889,
17341,,Segment,2,4,Image 1,2,1,100000002,510000003894,
12455,,Segment,2,7,Image 1,4,1,100000000,510000003904,
2612,,Segment,2,9,Image 1,2,1,100000000,510000003909,
68311,,Segment,2,8,Image 1,2,1,100000000,510000003955,
48206,,Segment,2,7,Image 1,1,1,100000000,510000003968,
33293,,Segment,2,8,Image 1,3,1,100000000,510000003994,
9373,,Segment,2,4,Image 1,4,1,100000003,510000004000,
3309,,Segment,2,7,Image 1,5,1,100000001,510000004002,
2409,,Segment,2,9,Image 1,3,1,100000000,510000004005,
4248,,Segment,2,5,Image 1,3,1,100000000,510000004010,
27820,,Segment,2,5,Image 1,4,1,100000001,510000004034,
24526,,Segment,2,8,Image 1,1,1,100000000,510000004048,
46353,,Segment,2,3,Image 1,3,1,100000003,510000004074,
37591,,Segment,2,2,Image 1,2,1,100000003,510000004098,
78203,,Segment,2,1,Image 1,1,1,100000003,510000004135,
37189,,Segment,2,2,Image 1,2,1,100000001,510000004166,
12481,,Segment,2,3,Image 1,2,1,100000003,510000004173,
18603,,Segment,2,4,Image 1,2,1,100000000,510000004181,
79166,,Segment,2,0,Image 1,1,1,100000001,510000004226,
9234,,Segment,2,3,Image 1,2,1,100000003,510000004231,
67572,,Segment,2,2,Image 1,2,1,100000000,510000004264,
2994,,Segment,2,3,Image 1,3,1,100000000,510000004270,
83201,,Segment,2,2,Image 1,2,1,100000000,510000004313,
31508,,Segment,2,3,Image 1,2,1,100000000,510000004322,
21657,,Segment,2,2,Image 1,3,1,100000001,510000004352,
129481,,Segment,2,1,Image 1,2,1,100000001,510000004367,
9955,,Segment,2,4,Image 1,3,1,100000000,510000004375,
8091,,Segment,2,6,Image 1,4,1,100000000,510000004384,
17897,,Segment,2,1,Image 1,2,1,100000000,510000004400,
9373,,Segment,2,4,Image 1,2,1,100000000,510000004404,
6121,,Segment,2,3,Image 1,4,1,100000003,510000004410,
98852,,Segment,2,1,Image 1,1,1,100000001,510000004445,
27809,,Segment,2,1,Image 1,2,1,100000001,510000004482,
99295,,Segment,2,0,Image 1,1,1,100000001,510000004531,
37560,,Segment,2,2,Image 1,1,1,100000003,510000004550,
10042,,Segment,2,2,Image 1,2,1,100000001,510000004555,
10478,,Segment,2,5,Image 1,2,1,100000000,510000004562,
23948,,Segment,2,4,Image 1,4,1,100000000,510000004577,
26065,,Segment,2,6,Image 1,2,1,100000000,510000004582,
6119,,Segment,2,2,Image 1,2,1,100000002,510000004584,
33538,,Segment,2,2,Image 1,2,1,100000000,510000004599,
12754,,Segment,2,3,Image 1,3,1,100000000,510000004610,
17041,,Segment,2,3,Image 1,2,1,100000002,510000004619,
22899,,Segment,2,4,Image 1,2,1,100000002,510000004626,
14351,,Segment,2,5,Image 1,2,1,100000000,510000004628,
5758,,Segment,2,3,Image 1,4,1,100000000,510000004631,
16623,,Segment,2,1,Image 1,2,1,100000002,510000004636,
10081,,Segment,2,1,Image 1,1,1,100000001,510000004641,
40160,,Segment,2,3,Image 1,2,1,100000000,510000004644,
13721,,Segment,2,1,Image 1,2,1,100000000,510000004653,
6683,,Segment,2,1,Image 1,2,1,100000000,510000004666,
1757,,Segment,2,0,Image 1,1,1,100000000,510000004689,
11896,,Segment,2,1,Image 1,1,1,100000000,510000004697,
2974,,Segment,2,0,Image 1,1,1,100000002,510000004708,
16913,,Segment,2,0,Image 1,1,1,100000001,510000004744,
3452,,Segment,2,2,Image 1,1,1,100000000,510000004747,
15968,,Segment,2,1,Image 1,2,1,100000000,510000004748,
7074,,Segment,2,3,Image 1,2,1,100000000,510000004749,
2216,,Segment,2,9,Image 1,4,1,100000001,510000004750,
34068,,Segment,2,3,Image 1,1,1,100000001,510000004751,
