
Segment Mean Diameter
 ==================== 
Segment Mean Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.355127,µm,Segment,14,6,1,100000001,510000000053,
0.370157,µm,Segment,13,6,1,100000001,510000000086,
0.348568,µm,Segment,12,6,1,100000001,510000000091,
0.351244,µm,Segment,11,6,1,100000001,510000000097,
0.355458,µm,Segment,10,5,1,100000001,510000000099,
0.230575,µm,Segment,9,5,1,100000001,510000000115,
0.300351,µm,Segment,8,4,1,100000001,510000000171,
0.326851,µm,Segment,7,4,1,100000001,510000000184,
0.31602,µm,Segment,6,4,1,100000001,510000000198,
0.375125,µm,Segment,5,3,1,100000001,510000000214,
0.561406,µm,Segment,4,2,1,100000001,510000000216,
0.541005,µm,Segment,3,2,1,100000001,510000000225,
0.597358,µm,Segment,2,1,1,100000001,510000000249,
0.522636,µm,Segment,1,1,1,100000001,510000000264,
0.56545,µm,Segment,0,1,1,100000001,510000000276,
0.324666,µm,Segment,15,8,1,100000001,510000000304,
0.339109,µm,Segment,14,7,1,100000001,510000000321,
0.36417,µm,Segment,15,7,1,100000001,510000000347,
0.294722,µm,Segment,11,7,1,100000001,510000000354,
0.327432,µm,Segment,10,6,1,100000001,510000000402,
0.305633,µm,Segment,11,6,1,100000001,510000000405,
0.300011,µm,Segment,12,7,1,100000001,510000000412,
0.283711,µm,Segment,13,7,1,100000001,510000000416,
0.398255,µm,Segment,11,5,1,100000001,510000000420,
0.224791,µm,Segment,12,4,1,100000000,510000000430,
0.2504,µm,Segment,11,3,1,100000000,510000000452,
0.293072,µm,Segment,10,3,1,100000000,510000000494,
0.397695,µm,Segment,9,2,1,100000000,510000000547,
0.41209,µm,Segment,8,2,1,100000000,510000000557,
0.393664,µm,Segment,7,2,1,100000000,510000000581,
0.565953,µm,Segment,6,1,1,100000000,510000000590,
0.453153,µm,Segment,5,1,1,100000000,510000000599,
0.503204,µm,Segment,4,1,1,100000000,510000000606,
0.476176,µm,Segment,3,1,1,100000000,510000000608,
0.519202,µm,Segment,2,1,1,100000000,510000000612,
0.401886,µm,Segment,1,1,1,100000000,510000000618,
0.427517,µm,Segment,0,1,1,100000000,510000000641,
0.249701,µm,Segment,12,3,1,100000000,510000000648,
0.2207,µm,Segment,11,4,1,100000000,510000000656,
0.205393,µm,Segment,11,5,1,100000000,510000000671,
0.2794,µm,Segment,10,4,1,100000000,510000000712,
0.346563,µm,Segment,9,3,1,100000000,510000000727,
0.261986,µm,Segment,11,4,1,100000000,510000000742,
0.319707,µm,Segment,8,4,1,100000002,510000000757,
0.328665,µm,Segment,7,4,1,100000002,510000000760,
0.32649,µm,Segment,6,4,1,100000002,510000000798,
0.323484,µm,Segment,5,3,1,100000002,510000000826,
0.315651,µm,Segment,4,3,1,100000002,510000000862,
0.331832,µm,Segment,3,2,1,100000002,510000000891,
0.417194,µm,Segment,2,2,1,100000002,510000000923,
0.472516,µm,Segment,1,1,1,100000002,510000000925,
0.445259,µm,Segment,0,1,1,100000002,510000000937,
0.299543,µm,Segment,7,5,1,100000002,510000000969,
0.25491,µm,Segment,8,5,1,100000002,510000000974,
0.355986,µm,Segment,6,3,1,100000002,510000000976,
0.363464,µm,Segment,0,1,1,100000001,510000001022,
0.270412,µm,Segment,8,3,1,100000002,510000001073,
0.283466,µm,Segment,7,3,1,100000002,510000001089,
0.337313,µm,Segment,6,2,1,100000002,510000001107,
0.334293,µm,Segment,5,2,1,100000002,510000001115,
0.365722,µm,Segment,4,1,1,100000002,510000001175,
0.431212,µm,Segment,3,1,1,100000002,510000001177,
0.430719,µm,Segment,2,1,1,100000002,510000001180,
0.219719,µm,Segment,8,4,1,100000002,510000001184,
0.334982,µm,Segment,0,1,1,100000003,510000001249,
0.317393,µm,Segment,7,2,1,100000002,510000001258,
0.302203,µm,Segment,1,2,1,100000002,510000001272,
0.425842,µm,Segment,0,1,1,100000002,510000001285,
0.304967,µm,Segment,9,4,1,100000000,510000001291,
0.412127,µm,Segment,8,3,1,100000000,510000001296,
