
Spine Intensity Median Ch=4 Img=1
 ==================== 
Spine Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
21.125,,Spine,4,10,Image 1,4,1,100000000,610000005085,
15.5625,,Spine,4,5,Image 1,3,1,100000000,610000005089,
15.5625,,Spine,4,12,Image 1,3,1,100000000,610000005092,
45.125,,Spine,4,14,Image 1,6,1,100000001,610000005096,
23.0625,,Spine,4,6,Image 1,3,1,100000000,610000005101,
96.125,,Spine,4,1,Image 1,1,1,100000001,610000005106,
55.125,,Spine,4,10,Image 1,6,1,100000001,610000005109,
41.125,,Spine,4,11,Image 1,3,1,100000000,610000005121,
46.125,,Spine,4,10,Image 1,6,1,100000001,610000005124,
39.0625,,Spine,4,6,Image 1,3,1,100000001,610000005127,
22.125,,Spine,4,5,Image 1,3,1,100000000,610000005132,
43.125,,Spine,4,0,Image 1,1,1,100000000,610000005136,
39.0625,,Spine,4,4,Image 1,2,1,100000000,610000005138,
23.625,,Spine,4,4,Image 1,1,1,100000002,610000005141,
30.125,,Spine,4,3,Image 1,3,1,100000003,610000005143,
30.125,,Spine,4,7,Image 1,3,1,100000000,610000005145,
28.125,,Spine,4,0,Image 1,1,1,100000003,610000005148,
15.0625,,Spine,4,5,Image 1,3,1,100000000,610000005151,
28.0625,,Spine,4,3,Image 1,3,1,100000002,610000005153,
16.125,,Spine,4,1,Image 1,2,1,100000001,610000005155,
64.125,,Spine,4,7,Image 1,3,1,100000000,610000005157,
45.625,,Spine,4,4,Image 1,3,1,100000000,610000005160,
21.0625,,Spine,4,11,Image 1,4,1,100000001,610000005162,
59.125,,Spine,4,13,Image 1,3,1,100000000,610000005166,
28.125,,Spine,4,8,Image 1,3,1,100000000,610000005169,
42.625,,Spine,4,2,Image 1,3,1,100000003,610000005171,
82.125,,Spine,4,0,Image 1,1,1,100000001,610000005180,
41.0625,,Spine,4,5,Image 1,2,1,100000002,610000005184,
73.125,,Spine,4,0,Image 1,1,1,100000001,610000005189,
44.125,,Spine,4,12,Image 1,6,1,100000001,610000005192,
42.125,,Spine,4,12,Image 1,3,1,100000001,610000005196,
23.125,,Spine,4,9,Image 1,3,1,100000001,610000005198,
25.0625,,Spine,4,9,Image 1,5,1,100000001,610000005200,
38.125,,Spine,4,9,Image 1,4,1,100000000,610000005202,
56.125,,Spine,4,8,Image 1,3,1,100000000,610000005205,
83.125,,Spine,4,0,Image 1,1,1,100000001,610000005214,
32.0312,,Spine,4,4,Image 1,2,1,100000000,610000005216,
30.125,,Spine,4,2,Image 1,2,1,100000000,610000005219,
84.125,,Spine,4,0,Image 1,1,1,100000001,610000005225,
25.0625,,Spine,4,5,Image 1,3,1,100000002,610000005227,
56.625,,Spine,4,9,Image 1,2,1,100000000,610000005231,
18.5625,,Spine,4,0,Image 1,1,1,100000001,610000005233,
29.0625,,Spine,4,4,Image 1,3,1,100000002,610000005237,
34.9375,,Spine,4,8,Image 1,3,1,100000002,610000005239,
55.125,,Spine,4,5,Image 1,1,1,100000000,610000005242,
52.125,,Spine,4,2,Image 1,2,1,100000003,610000005246,
42.0625,,Spine,4,3,Image 1,3,1,100000002,610000005248,
29.0625,,Spine,4,5,Image 1,2,1,100000002,610000005250,
55.625,,Spine,4,3,Image 1,2,1,100000000,610000005252,
47.0625,,Spine,4,0,Image 1,1,1,100000003,610000005254,
35.125,,Spine,4,10,Image 1,6,1,100000001,610000005257,
62.125,,Spine,4,1,Image 1,2,1,100000001,610000005260,
53.0625,,Spine,4,5,Image 1,4,1,100000001,610000005263,
82.125,,Spine,4,0,Image 1,1,1,100000001,610000005270,
36.0625,,Spine,4,11,Image 1,6,1,100000001,610000005272,
31.0625,,Spine,4,10,Image 1,6,1,100000000,610000005275,
40,,Spine,4,9,Image 1,5,1,100000000,610000005277,
79.125,,Spine,4,0,Image 1,1,1,100000001,610000005282,
42.125,,Spine,4,9,Image 1,3,1,100000001,610000005284,
81.125,,Spine,4,0,Image 1,1,1,100000001,610000005289,
105.125,,Spine,4,1,Image 1,1,1,100000000,610000005292,
37.0625,,Spine,4,4,Image 1,4,1,100000003,610000005294,
13.5625,,Spine,4,8,Image 1,4,1,100000001,610000005296,
47.0625,,Spine,4,6,Image 1,2,1,100000002,610000005298,
66.5625,,Spine,4,0,Image 1,1,1,100000001,610000005301,
30.125,,Spine,4,1,Image 1,2,1,100000000,610000005304,
59.625,,Spine,4,13,Image 1,3,1,100000000,610000005306,
70.125,,Spine,4,10,Image 1,3,1,100000001,610000005309,
27.125,,Spine,4,5,Image 1,3,1,100000000,610000005311,
34.0625,,Spine,4,2,Image 1,2,1,100000000,610000005314,
52.125,,Spine,4,11,Image 1,3,1,100000000,610000005319,
46.125,,Spine,4,7,Image 1,3,1,100000000,610000005322,
50.125,,Spine,4,7,Image 1,2,1,100000000,610000005326,
92.625,,Spine,4,0,Image 1,1,1,100000003,610000005329,
52.625,,Spine,4,11,Image 1,3,1,100000000,610000005333,
50.0625,,Spine,4,0,Image 1,1,1,100000003,610000005335,
45.0625,,Spine,4,0,Image 1,1,1,100000001,610000005337,
27.125,,Spine,4,10,Image 1,4,1,100000001,610000005341,
79.125,,Spine,4,0,Image 1,1,1,100000001,610000005348,
62.125,,Spine,4,1,Image 1,1,1,100000003,610000005352,
87.125,,Spine,4,0,Image 1,1,1,100000001,610000005357,
75.125,,Spine,4,0,Image 1,1,1,100000001,610000005363,
70.125,,Spine,4,0,Image 1,1,1,100000003,610000005365,
52.125,,Spine,4,0,Image 1,1,1,100000001,610000005367,
63.125,,Spine,4,6,Image 1,3,1,100000001,610000005370,
56.625,,Spine,4,6,Image 1,3,1,100000001,610000005377,
74.125,,Spine,4,0,Image 1,1,1,100000001,610000005381,
61.125,,Spine,4,6,Image 1,2,1,100000001,610000005384,
57.625,,Spine,4,2,Image 1,2,1,100000000,610000005386,
62.125,,Spine,4,0,Image 1,1,1,100000001,610000005390,
68.625,,Spine,4,5,Image 1,1,1,100000000,610000005392,
82.125,,Spine,4,0,Image 1,1,1,100000001,610000005397,
50.125,,Spine,4,13,Image 1,4,1,100000000,610000005400,
45.0625,,Spine,4,1,Image 1,2,1,100000001,610000005403,
66.125,,Spine,4,6,Image 1,3,1,100000001,610000005406,
15.125,,Spine,4,11,Image 1,4,1,100000001,610000005408,
70.125,,Spine,4,0,Image 1,1,1,100000001,610000005415,
43.125,,Spine,4,3,Image 1,3,1,100000003,610000005420,
104.125,,Spine,4,0,Image 1,1,1,100000001,610000005425,
64.0625,,Spine,4,3,Image 1,2,1,100000002,610000005427,
74.125,,Spine,4,0,Image 1,1,1,100000001,610000005431,
77.125,,Spine,4,0,Image 1,1,1,100000001,610000005436,
62.125,,Spine,4,12,Image 1,4,1,100000001,610000005443,
111.125,,Spine,4,0,Image 1,1,1,100000000,610000005449,
85.125,,Spine,4,0,Image 1,1,1,100000001,610000005452,
85.125,,Spine,4,0,Image 1,1,1,100000001,610000005456,
127.125,,Spine,4,0,Image 1,1,1,100000001,610000005459,
59.125,,Spine,4,15,Image 1,7,1,100000001,610000005461,
45.0625,,Spine,4,5,Image 1,2,1,100000002,610000005465,
94.625,,Spine,4,0,Image 1,1,1,100000001,610000005468,
59.0625,,Spine,4,1,Image 1,2,1,100000000,610000005473,
107.125,,Spine,4,1,Image 1,2,1,100000000,610000005480,
56.625,,Spine,4,7,Image 1,2,1,100000000,610000005483,
69.625,,Spine,4,0,Image 1,1,1,100000001,610000005485,
64.125,,Spine,4,9,Image 1,2,1,100000000,610000005487,
51.125,,Spine,4,0,Image 1,1,1,100000001,610000005489,
40.5625,,Spine,4,5,Image 1,2,1,100000002,610000005496,
91.125,,Spine,4,0,Image 1,1,1,100000001,610000005499,
98.125,,Spine,4,0,Image 1,1,1,100000001,610000005501,
89.125,,Spine,4,2,Image 1,1,1,100000000,610000005503,
124.125,,Spine,4,0,Image 1,1,1,100000001,610000005507,
104.125,,Spine,4,0,Image 1,1,1,100000000,610000005509,
104.625,,Spine,4,0,Image 1,1,1,100000001,610000005514,
92.125,,Spine,4,0,Image 1,1,1,100000001,610000005516,
83.125,,Spine,4,3,Image 1,2,1,100000000,610000005520,
97.125,,Spine,4,1,Image 1,1,1,100000001,610000005522,
140.125,,Spine,4,0,Image 1,1,1,100000001,610000005525,
88.125,,Spine,4,0,Image 1,1,1,100000001,610000005531,
109.125,,Spine,4,1,Image 1,2,1,100000000,610000005540,
132.562,,Spine,4,0,Image 1,1,1,100000001,610000005542,
134.625,,Spine,4,0,Image 1,1,1,100000001,610000005546,
126.562,,Spine,4,0,Image 1,1,1,100000001,610000005554,
115.125,,Spine,4,0,Image 1,1,1,100000001,610000005559,
90.125,,Spine,4,0,Image 1,1,1,100000001,610000005561,
12.0625,,Spine,4,10,Image 1,3,1,100000000,610000005587,
53.125,,Spine,4,13,Image 1,3,1,100000000,610000005588,
39.125,,Spine,4,12,Image 1,3,1,100000000,610000005589,
73.125,,Spine,4,11,Image 1,2,1,100000000,610000005590,
51.0625,,Spine,4,12,Image 1,3,1,100000000,610000005591,
48.125,,Spine,4,11,Image 1,3,1,100000000,610000005592,
50.5625,,Spine,4,11,Image 1,3,1,100000000,610000005593,
75.125,,Spine,4,9,Image 1,2,1,100000000,610000005594,
63.125,,Spine,4,9,Image 1,2,1,100000000,610000005595,
92.125,,Spine,4,9,Image 1,2,1,100000000,610000005596,
28.5625,,Spine,4,10,Image 1,4,1,100000000,610000005597,
68.125,,Spine,4,7,Image 1,2,1,100000000,610000005598,
