
Segment Center Intensity Median Ch=3 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,3,2,Image 1,3,1,100000000,510000000057,
0,,Segment,3,1,Image 1,2,1,100000000,510000000076,
0,,Segment,3,0,Image 1,1,1,100000000,510000000085,
0,,Segment,3,6,Image 1,4,1,100000000,510000000099,
0,,Segment,3,5,Image 1,3,1,100000000,510000000106,
0,,Segment,3,4,Image 1,2,1,100000000,510000000140,
0,,Segment,3,3,Image 1,2,1,100000000,510000000153,
0,,Segment,3,2,Image 1,1,1,100000000,510000000164,
0,,Segment,3,1,Image 1,1,1,100000000,510000000182,
0,,Segment,3,0,Image 1,1,1,100000000,510000000199,
0,,Segment,3,2,Image 1,2,1,100000000,510000000238,
0,,Segment,3,1,Image 1,1,1,100000000,510000000262,
0,,Segment,3,0,Image 1,1,1,100000000,510000000280,
0,,Segment,3,2,Image 1,2,1,100000001,510000000322,
0,,Segment,3,1,Image 1,1,1,100000001,510000000333,
0,,Segment,3,0,Image 1,1,1,100000001,510000000375,
0,,Segment,3,2,Image 1,1,1,100000001,510000000387,
0.015625,,Segment,3,1,Image 1,2,1,100000001,510000000391,
0,,Segment,3,7,Image 1,4,1,100000001,510000000405,
0,,Segment,3,6,Image 1,4,1,100000001,510000000412,
0,,Segment,3,5,Image 1,4,1,100000001,510000000419,
0,,Segment,3,4,Image 1,3,1,100000001,510000000427,
0,,Segment,3,3,Image 1,3,1,100000001,510000000434,
0,,Segment,3,2,Image 1,2,1,100000001,510000000441,
0,,Segment,3,1,Image 1,2,1,100000001,510000000466,
0,,Segment,3,5,Image 1,3,1,100000001,510000000504,
0,,Segment,3,4,Image 1,2,1,100000001,510000000538,
0.03125,,Segment,3,6,Image 1,3,1,100000001,510000000553,
0,,Segment,3,5,Image 1,2,1,100000001,510000000566,
0,,Segment,3,6,Image 1,2,1,100000001,510000000576,
0,,Segment,3,3,Image 1,3,1,100000001,510000000630,
0,,Segment,3,2,Image 1,3,1,100000001,510000000643,
0,,Segment,3,7,Image 1,5,1,100000001,510000000648,
0,,Segment,3,6,Image 1,5,1,100000001,510000000653,
0,,Segment,3,5,Image 1,3,1,100000001,510000000657,
0,,Segment,3,5,Image 1,4,1,100000001,510000000665,
0,,Segment,3,4,Image 1,4,1,100000001,510000000668,
0,,Segment,3,4,Image 1,3,1,100000001,510000000672,
0,,Segment,3,3,Image 1,4,1,100000001,510000000676,
0,,Segment,3,7,Image 1,3,1,100000000,510000000691,
0,,Segment,3,6,Image 1,3,1,100000000,510000000694,
0,,Segment,3,5,Image 1,3,1,100000000,510000000729,
0,,Segment,3,4,Image 1,2,1,100000000,510000000735,
0,,Segment,3,3,Image 1,2,1,100000000,510000000773,
0,,Segment,3,2,Image 1,2,1,100000000,510000000784,
0,,Segment,3,1,Image 1,2,1,100000000,510000000787,
0,,Segment,3,6,Image 1,3,1,100000000,510000000798,
0,,Segment,3,7,Image 1,3,1,100000000,510000000834,
0,,Segment,3,6,Image 1,3,1,100000000,510000000849,
0,,Segment,3,5,Image 1,2,1,100000000,510000000887,
0,,Segment,3,4,Image 1,2,1,100000000,510000000900,
0,,Segment,3,3,Image 1,2,1,100000000,510000000922,
0,,Segment,3,2,Image 1,2,1,100000000,510000000944,
0,,Segment,3,7,Image 1,3,1,100000000,510000000961,
0,,Segment,3,4,Image 1,1,1,100000001,510000000998,
0,,Segment,3,3,Image 1,1,1,100000001,510000001024,
0,,Segment,3,2,Image 1,1,1,100000001,510000001034,
0.03125,,Segment,3,1,Image 1,1,1,100000001,510000001060,
0,,Segment,3,7,Image 1,4,1,100000000,510000001065,
0,,Segment,3,7,Image 1,3,1,100000000,510000001082,
0,,Segment,3,6,Image 1,3,1,100000000,510000001093,
0,,Segment,3,5,Image 1,3,1,100000000,510000001102,
0,,Segment,3,4,Image 1,3,1,100000000,510000001110,
0,,Segment,3,7,Image 1,4,1,100000000,510000001119,
0,,Segment,3,7,Image 1,2,1,100000000,510000001124,
0,,Segment,3,7,Image 1,4,1,100000000,510000001134,
0,,Segment,3,6,Image 1,4,1,100000000,510000001137,
0,,Segment,3,6,Image 1,2,1,100000000,510000001146,
0,,Segment,3,5,Image 1,2,1,100000000,510000001155,
0,,Segment,3,1,Image 1,2,1,100000000,510000001246,
0,,Segment,3,6,Image 1,3,1,100000000,510000001250,
0,,Segment,3,5,Image 1,4,1,100000000,510000001257,
0,,Segment,3,6,Image 1,4,1,100000000,510000001260,
0,,Segment,3,2,Image 1,1,1,100000000,510000001306,
0,,Segment,3,1,Image 1,1,1,100000000,510000001328,
0,,Segment,3,5,Image 1,3,1,100000000,510000001337,
0,,Segment,3,4,Image 1,2,1,100000000,510000001341,
0,,Segment,3,3,Image 1,2,1,100000000,510000001399,
0,,Segment,3,2,Image 1,1,1,100000000,510000001418,
0,,Segment,3,4,Image 1,3,1,100000000,510000001424,
0,,Segment,3,5,Image 1,2,1,100000000,510000001430,
0,,Segment,3,4,Image 1,3,1,100000000,510000001442,
