
Spine Center Intensity StdDev Ch=2 Img=1
 ==================== 
Spine Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
10.4987,,Spine,2,7,Image 1,4,1,100000001,610000001920,
36.9955,,Spine,2,7,Image 1,4,1,100000001,610000001922,
47.1334,,Spine,2,0,Image 1,1,1,100000001,610000001924,
27.1754,,Spine,2,3,Image 1,2,1,100000000,610000001927,
39.903,,Spine,2,6,Image 1,3,1,100000001,610000001931,
12.0335,,Spine,2,4,Image 1,3,1,100000001,610000001936,
29.0096,,Spine,2,1,Image 1,2,1,100000000,610000001938,
21.6384,,Spine,2,7,Image 1,3,1,100000000,610000001940,
26.9609,,Spine,2,6,Image 1,4,1,100000001,610000001942,
15.5403,,Spine,2,2,Image 1,3,1,100000000,610000001945,
50.394,,Spine,2,3,Image 1,2,1,100000000,610000001947,
30.3425,,Spine,2,3,Image 1,2,1,100000000,610000001949,
4.6428,,Spine,2,2,Image 1,2,1,100000000,610000001951,
44.5296,,Spine,2,0,Image 1,1,1,100000001,610000001954,
40.8228,,Spine,2,3,Image 1,2,1,100000001,610000001957,
52.3641,,Spine,2,2,Image 1,2,1,100000000,610000001960,
9.52628,,Spine,2,2,Image 1,2,1,100000000,610000001963,
23.2713,,Spine,2,3,Image 1,3,1,100000000,610000001965,
38.771,,Spine,2,0,Image 1,1,1,100000000,610000001969,
26.8494,,Spine,2,0,Image 1,1,1,100000000,610000001972,
15.7551,,Spine,2,0,Image 1,1,1,100000000,610000001976,
18.0616,,Spine,2,3,Image 1,3,1,100000000,610000001978,
47.9884,,Spine,2,6,Image 1,3,1,100000001,610000001980,
40.8928,,Spine,2,2,Image 1,2,1,100000001,610000001982,
15.456,,Spine,2,1,Image 1,1,1,100000000,610000001984,
43.3615,,Spine,2,3,Image 1,2,1,100000000,610000001986,
14.7045,,Spine,2,0,Image 1,1,1,100000000,610000001989,
46.5427,,Spine,2,0,Image 1,1,1,100000001,610000001991,
60.1406,,Spine,2,3,Image 1,3,1,100000001,610000001995,
19.6733,,Spine,2,0,Image 1,1,1,100000000,610000002000,
7.01338,,Spine,2,1,Image 1,1,1,100000000,610000002003,
28.2489,,Spine,2,0,Image 1,1,1,100000001,610000002005,
15.6276,,Spine,2,4,Image 1,3,1,100000001,610000002008,
8.80656,,Spine,2,2,Image 1,2,1,100000000,610000002010,
47.4154,,Spine,2,3,Image 1,3,1,100000000,610000002012,
60.6918,,Spine,2,3,Image 1,1,1,100000000,610000002015,
10.2072,,Spine,2,0,Image 1,1,1,100000000,610000002018,
7.79022,,Spine,2,4,Image 1,1,1,100000001,610000002021,
46.3129,,Spine,2,4,Image 1,3,1,100000000,610000002024,
41.0203,,Spine,2,0,Image 1,1,1,100000001,610000002026,
40.8928,,Spine,2,0,Image 1,1,1,100000000,610000002028,
43.8371,,Spine,2,2,Image 1,1,1,100000000,610000002031,
33.8264,,Spine,2,1,Image 1,1,1,100000001,610000002035,
10.6562,,Spine,2,1,Image 1,1,1,100000000,610000002037,
21.9545,,Spine,2,1,Image 1,1,1,100000000,610000002043,
3.29983,,Spine,2,2,Image 1,2,1,100000000,610000002045,
10.3387,,Spine,2,1,Image 1,1,1,100000000,610000002050,
49,,Spine,2,0,Image 1,1,1,100000000,610000002053,
40.6147,,Spine,2,0,Image 1,1,1,100000000,610000002058,
39.8358,,Spine,2,2,Image 1,3,1,100000001,610000002060,
3,,Spine,2,0,Image 1,1,1,100000000,610000002062,
0.5,,Spine,2,0,Image 1,1,1,100000000,610000002071,
13.5,,Spine,2,0,Image 1,1,1,100000000,610000002074,
14,,Spine,2,2,Image 1,3,1,100000000,610000002104,
24,,Spine,2,2,Image 1,2,1,100000000,610000002105,
18,,Spine,2,2,Image 1,2,1,100000000,610000002106,
24.5,,Spine,2,1,Image 1,2,1,100000000,610000002107,
35,,Spine,2,1,Image 1,1,1,100000000,610000002108,
38,,Spine,2,1,Image 1,1,1,100000000,610000002109,
39.5,,Spine,2,1,Image 1,1,1,100000000,610000002110,
16.5,,Spine,2,1,Image 1,1,1,100000000,610000002111,
5,,Spine,2,1,Image 1,1,1,100000000,610000002112,
16,,Spine,2,1,Image 1,1,1,100000000,610000002113,
16,,Spine,2,5,Image 1,2,1,100000000,610000002114,
23,,Spine,2,5,Image 1,2,1,100000000,610000002115,
35.5,,Spine,2,7,Image 1,3,1,100000000,610000002116,
34,,Spine,2,0,Image 1,1,1,100000000,610000002117,
6,,Spine,2,0,Image 1,1,1,100000000,610000002118,
19,,Spine,2,0,Image 1,1,1,100000000,610000002119,
42,,Spine,2,0,Image 1,1,1,100000000,610000002120,
1.5,,Spine,2,2,Image 1,2,1,100000000,610000002136,
1.5,,Spine,2,2,Image 1,2,1,100000000,610000002137,
39,,Spine,2,3,Image 1,2,1,100000000,610000002138,
4,,Spine,2,4,Image 1,2,1,100000000,610000002139,
2,,Spine,2,3,Image 1,1,1,100000000,610000002140,
63,,Spine,2,0,Image 1,1,1,100000000,610000002143,
60,,Spine,2,0,Image 1,1,1,100000000,610000002144,
12,,Spine,2,0,Image 1,1,1,100000000,610000002145,
65.5,,Spine,2,0,Image 1,1,1,100000000,610000002146,
1,,Spine,2,0,Image 1,1,1,100000000,610000002147,
44,,Spine,2,0,Image 1,1,1,100000000,610000002148,
2,,Spine,2,0,Image 1,1,1,100000000,610000002149,
13.5,,Spine,2,0,Image 1,1,1,100000000,610000002150,
17,,Spine,2,0,Image 1,1,1,100000000,610000002151,
60.5,,Spine,2,2,Image 1,2,1,100000001,610000002152,
54,,Spine,2,2,Image 1,1,1,100000001,610000002153,
8.5,,Spine,2,2,Image 1,1,1,100000001,610000002154,
6,,Spine,2,5,Image 1,4,1,100000001,610000002155,
6,,Spine,2,5,Image 1,4,1,100000001,610000002156,
18.5,,Spine,2,4,Image 1,2,1,100000001,610000002157,
6.5,,Spine,2,3,Image 1,1,1,100000001,610000002158,
1,,Spine,2,4,Image 1,3,1,100000001,610000002159,
19.5,,Spine,2,4,Image 1,2,1,100000001,610000002160,
33,,Spine,2,1,Image 1,1,1,100000001,610000002161,
2.5,,Spine,2,1,Image 1,1,1,100000001,610000002162,
