
Segment Intensity Sum Ch=1 Img=1
 ==================== 
Segment Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
377,,Segment,1,5,Image 1,6,1,100000000,510000000013,
3665,,Segment,1,4,Image 1,5,1,100000000,510000000095,
818,,Segment,1,3,Image 1,4,1,100000000,510000000105,
2060,,Segment,1,2,Image 1,3,1,100000000,510000000132,
804,,Segment,1,1,Image 1,2,1,100000000,510000000139,
2135,,Segment,1,0,Image 1,1,1,100000000,510000000158,
776,,Segment,1,5,Image 1,5,1,100000000,510000000194,
729,,Segment,1,5,Image 1,2,1,100000001,510000000205,
837,,Segment,1,4,Image 1,1,1,100000001,510000000211,
1690,,Segment,1,3,Image 1,1,1,100000001,510000000223,
300,,Segment,1,2,Image 1,1,1,100000001,510000000226,
928,,Segment,1,1,Image 1,1,1,100000001,510000000235,
2641,,Segment,1,0,Image 1,1,1,100000001,510000000260,
222,,Segment,1,4,Image 1,4,1,100000001,510000000270,
1337,,Segment,1,3,Image 1,3,1,100000001,510000000287,
1950,,Segment,1,2,Image 1,2,1,100000001,510000000312,
445,,Segment,1,2,Image 1,2,1,100000002,510000000320,
1177,,Segment,1,0,Image 1,1,1,100000002,510000000328,
1862,,Segment,1,8,Image 1,2,1,100000001,510000000388,
228,,Segment,1,7,Image 1,2,1,100000001,510000000393,
1532,,Segment,1,6,Image 1,2,1,100000001,510000000431,
1238,,Segment,1,5,Image 1,2,1,100000001,510000000445,
1820,,Segment,1,4,Image 1,2,1,100000001,510000000474,
115,,Segment,1,9,Image 1,4,1,100000001,510000000477,
2035,,Segment,1,8,Image 1,3,1,100000001,510000000514,
1219,,Segment,1,7,Image 1,3,1,100000001,510000000527,
2422,,Segment,1,6,Image 1,3,1,100000001,510000000571,
872,,Segment,1,5,Image 1,3,1,100000001,510000000588,
2722,,Segment,1,9,Image 1,4,1,100000001,510000000618,
705,,Segment,1,8,Image 1,4,1,100000001,510000000623,
440,,Segment,1,9,Image 1,5,1,100000001,510000000628,
170,,Segment,1,8,Image 1,3,1,100000001,510000000635,
1677,,Segment,1,2,Image 1,1,1,100000002,510000000680,
2371,,Segment,1,0,Image 1,1,1,100000002,510000000733,
199,,Segment,1,7,Image 1,3,1,100000001,510000000761,
113,,Segment,1,5,Image 1,5,1,100000000,510000000764,
3517,,Segment,1,4,Image 1,4,1,100000000,510000000806,
2606,,Segment,1,3,Image 1,3,1,100000000,510000000824,
349,,Segment,1,8,Image 1,5,1,100000000,510000000826,
2693,,Segment,1,7,Image 1,5,1,100000000,510000000867,
1195,,Segment,1,6,Image 1,5,1,100000000,510000000878,
1534,,Segment,1,5,Image 1,4,1,100000000,510000000893,
740,,Segment,1,4,Image 1,4,1,100000000,510000000897,
336,,Segment,1,8,Image 1,6,1,100000000,510000000899,
3042,,Segment,1,2,Image 1,2,1,100000002,510000000984,
4032,,Segment,1,0,Image 1,1,1,100000002,510000001022,
423,,Segment,1,7,Image 1,4,1,100000001,510000001032,
4247,,Segment,1,1,Image 1,2,1,100000002,510000001121,
1103,,Segment,1,0,Image 1,1,1,100000002,510000001131,
293,,Segment,1,9,Image 1,2,1,100000002,510000001149,
529,,Segment,1,8,Image 1,1,1,100000002,510000001158,
308,,Segment,1,7,Image 1,1,1,100000002,510000001162,
722,,Segment,1,6,Image 1,1,1,100000002,510000001172,
916,,Segment,1,5,Image 1,1,1,100000002,510000001183,
4131,,Segment,1,4,Image 1,1,1,100000002,510000001203,
1625,,Segment,1,3,Image 1,1,1,100000002,510000001212,
796,,Segment,1,2,Image 1,1,1,100000002,510000001219,
657,,Segment,1,1,Image 1,1,1,100000002,510000001221,
1910,,Segment,1,0,Image 1,1,1,100000002,510000001238,
436,,Segment,1,7,Image 1,6,1,100000000,510000001249,
647,,Segment,1,5,Image 1,3,1,100000001,510000001258,
1008,,Segment,1,4,Image 1,2,1,100000001,510000001270,
3655,,Segment,1,3,Image 1,2,1,100000001,510000001354,
7131,,Segment,1,7,Image 1,4,1,100000000,510000001369,
752,,Segment,1,6,Image 1,4,1,100000000,510000001377,
849,,Segment,1,5,Image 1,3,1,100000000,510000001384,
2107,,Segment,1,4,Image 1,3,1,100000000,510000001393,
699,,Segment,1,5,Image 1,2,1,100000001,510000001396,
3536,,Segment,1,4,Image 1,3,1,100000002,510000001438,
2701,,Segment,1,2,Image 1,3,1,100000002,510000001470,
1721,,Segment,1,1,Image 1,2,1,100000002,510000001480,
1623,,Segment,1,0,Image 1,1,1,100000002,510000001485,
1229,,Segment,1,3,Image 1,3,1,100000002,510000001513,
403,,Segment,1,2,Image 1,3,1,100000002,510000001526,
1104,,Segment,1,1,Image 1,2,1,100000002,510000001544,
957,,Segment,1,3,Image 1,4,1,100000002,510000001565,
702,,Segment,1,6,Image 1,3,1,100000001,510000001581,
363,,Segment,1,4,Image 1,3,1,100000001,510000001586,
250,,Segment,1,7,Image 1,5,1,100000000,510000001589,
351,,Segment,1,9,Image 1,1,1,100000002,510000001596,
717,,Segment,1,4,Image 1,3,1,100000002,510000001604,
1446,,Segment,1,3,Image 1,2,1,100000002,510000001628,
1026,,Segment,1,2,Image 1,2,1,100000002,510000001638,
3896,,Segment,1,1,Image 1,1,1,100000002,510000001675,
593,,Segment,1,0,Image 1,1,1,100000002,510000001677,
135,,Segment,1,3,Image 1,3,1,100000002,510000001685,
528,,Segment,1,2,Image 1,2,1,100000002,510000001693,
214,,Segment,1,8,Image 1,2,1,100000002,510000001700,
1227,,Segment,1,3,Image 1,4,1,100000002,510000001714,
385,,Segment,1,6,Image 1,2,1,100000002,510000001721,
140,,Segment,1,3,Image 1,2,1,100000002,510000001724,
272,,Segment,1,1,Image 1,2,1,100000002,510000001729,
976,,Segment,1,4,Image 1,2,1,100000002,510000001741,
672,,Segment,1,7,Image 1,4,1,100000000,510000001744,
981,,Segment,1,2,Image 1,1,1,100000002,510000001771,
