
Spine Center Intensity Median Ch=3 Img=1
 ==================== 
Spine Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
53.0625,,Spine,3,4,Image 1,2,1,100000002,610000002554,
55.0625,,Spine,3,2,Image 1,2,1,100000000,610000002557,
8.0625,,Spine,3,9,Image 1,1,1,100000002,610000002559,
25.5625,,Spine,3,8,Image 1,2,1,100000001,610000002562,
47.0625,,Spine,3,1,Image 1,2,1,100000002,610000002566,
46.125,,Spine,3,5,Image 1,1,1,100000002,610000002571,
57.0625,,Spine,3,5,Image 1,1,1,100000002,610000002578,
45.5312,,Spine,3,1,Image 1,2,1,100000002,610000002581,
62.5312,,Spine,3,1,Image 1,2,1,100000002,610000002584,
76.5625,,Spine,3,3,Image 1,2,1,100000002,610000002590,
133.062,,Spine,3,4,Image 1,1,1,100000002,610000002592,
81.0625,,Spine,3,0,Image 1,1,1,100000001,610000002600,
80.5625,,Spine,3,0,Image 1,1,1,100000001,610000002603,
7.0625,,Spine,3,4,Image 1,5,1,100000000,610000002605,
65.125,,Spine,3,5,Image 1,1,1,100000002,610000002609,
76.0312,,Spine,3,3,Image 1,2,1,100000002,610000002613,
75.0625,,Spine,3,3,Image 1,2,1,100000002,610000002616,
33.0078,,Spine,3,4,Image 1,5,1,100000000,610000002619,
65.0625,,Spine,3,1,Image 1,2,1,100000002,610000002621,
88.0312,,Spine,3,3,Image 1,2,1,100000002,610000002624,
109.531,,Spine,3,3,Image 1,2,1,100000002,610000002630,
99.5625,,Spine,3,3,Image 1,2,1,100000002,610000002633,
157.125,,Spine,3,4,Image 1,1,1,100000002,610000002640,
54.0156,,Spine,3,3,Image 1,2,1,100000002,610000002643,
87.0312,,Spine,3,3,Image 1,2,1,100000002,610000002645,
63.0039,,Spine,3,3,Image 1,2,1,100000002,610000002648,
78.5625,,Spine,3,5,Image 1,1,1,100000002,610000002651,
103.031,,Spine,3,3,Image 1,2,1,100000002,610000002654,
123.531,,Spine,3,3,Image 1,1,1,100000002,610000002658,
67.0312,,Spine,3,1,Image 1,2,1,100000000,610000002660,
91.0312,,Spine,3,1,Image 1,2,1,100000002,610000002663,
103.562,,Spine,3,3,Image 1,2,1,100000002,610000002666,
108.016,,Spine,3,3,Image 1,2,1,100000002,610000002668,
62.502,,Spine,3,3,Image 1,2,1,100000002,610000002670,
104.062,,Spine,3,3,Image 1,2,1,100000002,610000002674,
126.016,,Spine,3,3,Image 1,2,1,100000002,610000002677,
161.062,,Spine,3,4,Image 1,1,1,100000002,610000002682,
101.031,,Spine,3,2,Image 1,1,1,100000002,610000002688,
143.031,,Spine,3,3,Image 1,2,1,100000002,610000002692,
126.031,,Spine,3,3,Image 1,2,1,100000002,610000002695,
100.062,,Spine,3,3,Image 1,1,1,100000002,610000002700,
86.5312,,Spine,3,3,Image 1,2,1,100000002,610000002703,
128.504,,Spine,3,3,Image 1,2,1,100000002,610000002705,
132.504,,Spine,3,5,Image 1,5,1,100000000,610000002726,
102.031,,Spine,3,5,Image 1,5,1,100000000,610000002737,
54.5312,,Spine,3,4,Image 1,5,1,100000000,610000002738,
58.5156,,Spine,3,7,Image 1,5,1,100000000,610000002739,
21.5078,,Spine,3,4,Image 1,4,1,100000000,610000002740,
128.031,,Spine,3,5,Image 1,4,1,100000000,610000002741,
88.5156,,Spine,3,2,Image 1,3,1,100000000,610000002742,
94.0312,,Spine,3,2,Image 1,3,1,100000000,610000002743,
112.508,,Spine,3,2,Image 1,2,1,100000000,610000002744,
186.016,,Spine,3,0,Image 1,1,1,100000000,610000002745,
139.562,,Spine,3,9,Image 1,4,1,100000001,610000002746,
62.5312,,Spine,3,9,Image 1,4,1,100000001,610000002747,
109.016,,Spine,3,6,Image 1,3,1,100000001,610000002748,
120.016,,Spine,3,3,Image 1,1,1,100000001,610000002749,
34.0625,,Spine,3,5,Image 1,2,1,100000001,610000002750,
89.0078,,Spine,3,2,Image 1,2,1,100000001,610000002751,
139.031,,Spine,3,1,Image 1,1,1,100000001,610000002752,
64.5625,,Spine,3,0,Image 1,1,1,100000001,610000002753,
72.625,,Spine,3,4,Image 1,2,1,100000002,610000002754,
72.0312,,Spine,3,8,Image 1,1,1,100000002,610000002755,
59.5625,,Spine,3,5,Image 1,1,1,100000002,610000002756,
145.504,,Spine,3,4,Image 1,1,1,100000002,610000002757,
56.0039,,Spine,3,2,Image 1,2,1,100000002,610000002758,
93.5312,,Spine,3,0,Image 1,1,1,100000002,610000002759,
83.5625,,Spine,3,1,Image 1,2,1,100000002,610000002763,
27.5156,,Spine,3,1,Image 1,2,1,100000002,610000002768,
78.5625,,Spine,3,1,Image 1,2,1,100000002,610000002769,
99.0156,,Spine,3,1,Image 1,2,1,100000002,610000002770,
87.5078,,Spine,3,3,Image 1,2,1,100000002,610000002771,
72.5156,,Spine,3,2,Image 1,1,1,100000002,610000002772,
73.0078,,Spine,3,2,Image 1,1,1,100000002,610000002773,
160.508,,Spine,3,1,Image 1,1,1,100000002,610000002774,
107.531,,Spine,3,0,Image 1,1,1,100000002,610000002778,
41.0039,,Spine,3,3,Image 1,4,1,100000002,610000002780,
69.5625,,Spine,3,2,Image 1,3,1,100000002,610000002781,
83.5312,,Spine,3,3,Image 1,2,1,100000002,610000002782,
97.0625,,Spine,3,2,Image 1,2,1,100000002,610000002783,
55.5312,,Spine,3,2,Image 1,2,1,100000002,610000002784,
33.0078,,Spine,3,2,Image 1,2,1,100000002,610000002785,
57.0078,,Spine,3,4,Image 1,3,1,100000002,610000002787,
