
Spine Center Intensity Sum Ch=3 Img=1
 ==================== 
Spine Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
260,,Spine,3,4,Image 1,2,1,100000002,610000002554,
207,,Spine,3,2,Image 1,2,1,100000000,610000002557,
110,,Spine,3,9,Image 1,1,1,100000002,610000002559,
128,,Spine,3,8,Image 1,2,1,100000001,610000002562,
222,,Spine,3,1,Image 1,2,1,100000002,610000002566,
310,,Spine,3,5,Image 1,1,1,100000002,610000002571,
491,,Spine,3,5,Image 1,1,1,100000002,610000002578,
185,,Spine,3,1,Image 1,2,1,100000002,610000002581,
268,,Spine,3,1,Image 1,2,1,100000002,610000002584,
406,,Spine,3,3,Image 1,2,1,100000002,610000002590,
363,,Spine,3,4,Image 1,1,1,100000002,610000002592,
683,,Spine,3,0,Image 1,1,1,100000001,610000002600,
268,,Spine,3,0,Image 1,1,1,100000001,610000002603,
128,,Spine,3,4,Image 1,5,1,100000000,610000002605,
242,,Spine,3,5,Image 1,1,1,100000002,610000002609,
270,,Spine,3,3,Image 1,2,1,100000002,610000002613,
164,,Spine,3,3,Image 1,2,1,100000002,610000002616,
107,,Spine,3,4,Image 1,5,1,100000000,610000002619,
187,,Spine,3,1,Image 1,2,1,100000002,610000002621,
275,,Spine,3,3,Image 1,2,1,100000002,610000002624,
460,,Spine,3,3,Image 1,2,1,100000002,610000002630,
374,,Spine,3,3,Image 1,2,1,100000002,610000002633,
847,,Spine,3,4,Image 1,1,1,100000002,610000002640,
165,,Spine,3,3,Image 1,2,1,100000002,610000002643,
174,,Spine,3,3,Image 1,2,1,100000002,610000002645,
126,,Spine,3,3,Image 1,2,1,100000002,610000002648,
360,,Spine,3,5,Image 1,1,1,100000002,610000002651,
322,,Spine,3,3,Image 1,2,1,100000002,610000002654,
496,,Spine,3,3,Image 1,1,1,100000002,610000002658,
221,,Spine,3,1,Image 1,2,1,100000000,610000002660,
270,,Spine,3,1,Image 1,2,1,100000002,610000002663,
207,,Spine,3,3,Image 1,2,1,100000002,610000002666,
216,,Spine,3,3,Image 1,2,1,100000002,610000002668,
125,,Spine,3,3,Image 1,2,1,100000002,610000002670,
397,,Spine,3,3,Image 1,2,1,100000002,610000002674,
394,,Spine,3,3,Image 1,2,1,100000002,610000002677,
617,,Spine,3,4,Image 1,1,1,100000002,610000002682,
276,,Spine,3,2,Image 1,1,1,100000002,610000002688,
286,,Spine,3,3,Image 1,2,1,100000002,610000002692,
374,,Spine,3,3,Image 1,2,1,100000002,610000002695,
330,,Spine,3,3,Image 1,1,1,100000002,610000002700,
173,,Spine,3,3,Image 1,2,1,100000002,610000002703,
257,,Spine,3,3,Image 1,2,1,100000002,610000002705,
265,,Spine,3,5,Image 1,5,1,100000000,610000002726,
204,,Spine,3,5,Image 1,5,1,100000000,610000002737,
109,,Spine,3,4,Image 1,5,1,100000000,610000002738,
117,,Spine,3,7,Image 1,5,1,100000000,610000002739,
43,,Spine,3,4,Image 1,4,1,100000000,610000002740,
256,,Spine,3,5,Image 1,4,1,100000000,610000002741,
177,,Spine,3,2,Image 1,3,1,100000000,610000002742,
188,,Spine,3,2,Image 1,3,1,100000000,610000002743,
225,,Spine,3,2,Image 1,2,1,100000000,610000002744,
372,,Spine,3,0,Image 1,1,1,100000000,610000002745,
279,,Spine,3,9,Image 1,4,1,100000001,610000002746,
125,,Spine,3,9,Image 1,4,1,100000001,610000002747,
218,,Spine,3,6,Image 1,3,1,100000001,610000002748,
240,,Spine,3,3,Image 1,1,1,100000001,610000002749,
68,,Spine,3,5,Image 1,2,1,100000001,610000002750,
178,,Spine,3,2,Image 1,2,1,100000001,610000002751,
278,,Spine,3,1,Image 1,1,1,100000001,610000002752,
129,,Spine,3,0,Image 1,1,1,100000001,610000002753,
145,,Spine,3,4,Image 1,2,1,100000002,610000002754,
144,,Spine,3,8,Image 1,1,1,100000002,610000002755,
119,,Spine,3,5,Image 1,1,1,100000002,610000002756,
291,,Spine,3,4,Image 1,1,1,100000002,610000002757,
112,,Spine,3,2,Image 1,2,1,100000002,610000002758,
187,,Spine,3,0,Image 1,1,1,100000002,610000002759,
167,,Spine,3,1,Image 1,2,1,100000002,610000002763,
55,,Spine,3,1,Image 1,2,1,100000002,610000002768,
157,,Spine,3,1,Image 1,2,1,100000002,610000002769,
198,,Spine,3,1,Image 1,2,1,100000002,610000002770,
175,,Spine,3,3,Image 1,2,1,100000002,610000002771,
145,,Spine,3,2,Image 1,1,1,100000002,610000002772,
146,,Spine,3,2,Image 1,1,1,100000002,610000002773,
321,,Spine,3,1,Image 1,1,1,100000002,610000002774,
215,,Spine,3,0,Image 1,1,1,100000002,610000002778,
82,,Spine,3,3,Image 1,4,1,100000002,610000002780,
139,,Spine,3,2,Image 1,3,1,100000002,610000002781,
167,,Spine,3,3,Image 1,2,1,100000002,610000002782,
194,,Spine,3,2,Image 1,2,1,100000002,610000002783,
111,,Spine,3,2,Image 1,2,1,100000002,610000002784,
66,,Spine,3,2,Image 1,2,1,100000002,610000002785,
114,,Spine,3,4,Image 1,3,1,100000002,610000002787,
78,,Spine,3,3,Image 1,2,1,100000002,610000002788,
