
Spine Intensity Mean Ch=2 Img=1
 ==================== 
Spine Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
55.3171,,Spine,2,4,Image 1,2,1,100000002,610000002554,
38.9765,,Spine,2,2,Image 1,2,1,100000000,610000002557,
52.4043,,Spine,2,9,Image 1,1,1,100000002,610000002559,
23.9861,,Spine,2,8,Image 1,2,1,100000001,610000002562,
53.3402,,Spine,2,1,Image 1,2,1,100000002,610000002566,
63.8912,,Spine,2,5,Image 1,1,1,100000002,610000002571,
46.3468,,Spine,2,5,Image 1,1,1,100000002,610000002578,
53.3373,,Spine,2,1,Image 1,2,1,100000002,610000002581,
65.3294,,Spine,2,1,Image 1,2,1,100000002,610000002584,
84.7855,,Spine,2,3,Image 1,2,1,100000002,610000002590,
65,,Spine,2,4,Image 1,1,1,100000002,610000002592,
85.9351,,Spine,2,0,Image 1,1,1,100000001,610000002600,
66.0405,,Spine,2,0,Image 1,1,1,100000001,610000002603,
45.2021,,Spine,2,4,Image 1,5,1,100000000,610000002605,
53.5172,,Spine,2,5,Image 1,1,1,100000002,610000002609,
83.3136,,Spine,2,3,Image 1,2,1,100000002,610000002613,
68.6616,,Spine,2,3,Image 1,2,1,100000002,610000002616,
40.5185,,Spine,2,4,Image 1,5,1,100000000,610000002619,
48.8466,,Spine,2,1,Image 1,2,1,100000002,610000002621,
88.7432,,Spine,2,3,Image 1,2,1,100000002,610000002624,
81.5623,,Spine,2,3,Image 1,2,1,100000002,610000002630,
80.9279,,Spine,2,3,Image 1,2,1,100000002,610000002633,
114.305,,Spine,2,4,Image 1,1,1,100000002,610000002640,
81.308,,Spine,2,3,Image 1,2,1,100000002,610000002643,
83.4118,,Spine,2,3,Image 1,2,1,100000002,610000002645,
73.52,,Spine,2,3,Image 1,2,1,100000002,610000002648,
67.8278,,Spine,2,5,Image 1,1,1,100000002,610000002651,
92.0591,,Spine,2,3,Image 1,2,1,100000002,610000002654,
91.5899,,Spine,2,3,Image 1,1,1,100000002,610000002658,
62.6286,,Spine,2,1,Image 1,2,1,100000000,610000002660,
66.6237,,Spine,2,1,Image 1,2,1,100000002,610000002663,
86.4948,,Spine,2,3,Image 1,2,1,100000002,610000002666,
86.1202,,Spine,2,3,Image 1,2,1,100000002,610000002668,
68.9934,,Spine,2,3,Image 1,2,1,100000002,610000002670,
108.95,,Spine,2,3,Image 1,2,1,100000002,610000002674,
