
Spine Part Mean Diameter Neck
 ==================== 
Spine Part Mean Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0,µm,Spine,Spine Part Mean Diameter,4,2,1,100000002,610000002554,
0.1625,µm,Spine,Spine Part Mean Diameter,2,2,1,100000000,610000002557,
0,µm,Spine,Spine Part Mean Diameter,9,1,1,100000002,610000002559,
0.172272,µm,Spine,Spine Part Mean Diameter,8,2,1,100000001,610000002562,
0,µm,Spine,Spine Part Mean Diameter,1,2,1,100000002,610000002566,
0.350786,µm,Spine,Spine Part Mean Diameter,5,1,1,100000002,610000002571,
0.325087,µm,Spine,Spine Part Mean Diameter,5,1,1,100000002,610000002578,
0.227732,µm,Spine,Spine Part Mean Diameter,1,2,1,100000002,610000002581,
0.1625,µm,Spine,Spine Part Mean Diameter,1,2,1,100000002,610000002584,
0.313812,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002590,
0,µm,Spine,Spine Part Mean Diameter,4,1,1,100000002,610000002592,
0.390145,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000002600,
0.208849,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000002603,
0,µm,Spine,Spine Part Mean Diameter,4,5,1,100000000,610000002605,
0,µm,Spine,Spine Part Mean Diameter,5,1,1,100000002,610000002609,
0.427549,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002613,
0,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002616,
0,µm,Spine,Spine Part Mean Diameter,4,5,1,100000000,610000002619,
0,µm,Spine,Spine Part Mean Diameter,1,2,1,100000002,610000002621,
0,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002624,
0.795251,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002630,
0.348733,µm,Spine,Spine Part Mean Diameter,3,2,1,100000002,610000002633,
0.307847,µm,Spine,Spine Part Mean Diameter,4,1,1,100000002,610000002640,
0,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002643,
0,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002645,
0,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002648,
0.349261,µm,Spine,Spine Part Mean Diameter,5,1,1,100000002,610000002651,
0,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002654,
0.351476,µm,Spine,Spine Part Mean Diameter,3,1,1,100000002,610000002658,
0,µm,Spine,Spine Part Mean Diameter,1,2,1,100000000,610000002660,
0,µm,Spine,Spine Part Mean Diameter,1,2,1,100000002,610000002663,
0,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002666,
0,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002668,
0,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002670,
0.397214,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002674,
0,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002677,
0.414167,µm,Spine,Spine Part Mean Diameter,4,1,1,100000002,610000002682,
0,µm,Spine,Spine Part Mean Diameter,2,1,1,100000002,610000002688,
0,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002692,
0,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002695,
0,µm,Spine,Spine Part Mean Diameter,3,1,1,100000002,610000002700,
0,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002703,
0,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002705,
0,µm,Spine,Spine Part Mean Diameter,5,5,1,100000000,610000002726,
0,µm,Spine,Spine Part Mean Diameter,5,5,1,100000000,610000002737,
0,µm,Spine,Spine Part Mean Diameter,4,5,1,100000000,610000002738,
0,µm,Spine,Spine Part Mean Diameter,7,5,1,100000000,610000002739,
0,µm,Spine,Spine Part Mean Diameter,4,4,1,100000000,610000002740,
0,µm,Spine,Spine Part Mean Diameter,5,4,1,100000000,610000002741,
0,µm,Spine,Spine Part Mean Diameter,2,3,1,100000000,610000002742,
0,µm,Spine,Spine Part Mean Diameter,2,3,1,100000000,610000002743,
0,µm,Spine,Spine Part Mean Diameter,2,2,1,100000000,610000002744,
0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002745,
0,µm,Spine,Spine Part Mean Diameter,9,4,1,100000001,610000002746,
0,µm,Spine,Spine Part Mean Diameter,9,4,1,100000001,610000002747,
0,µm,Spine,Spine Part Mean Diameter,6,3,1,100000001,610000002748,
0,µm,Spine,Spine Part Mean Diameter,3,1,1,100000001,610000002749,
0,µm,Spine,Spine Part Mean Diameter,5,2,1,100000001,610000002750,
0,µm,Spine,Spine Part Mean Diameter,2,2,1,100000001,610000002751,
0,µm,Spine,Spine Part Mean Diameter,1,1,1,100000001,610000002752,
0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000002753,
0,µm,Spine,Spine Part Mean Diameter,4,2,1,100000002,610000002754,
0,µm,Spine,Spine Part Mean Diameter,8,1,1,100000002,610000002755,
0,µm,Spine,Spine Part Mean Diameter,5,1,1,100000002,610000002756,
0,µm,Spine,Spine Part Mean Diameter,4,1,1,100000002,610000002757,
0,µm,Spine,Spine Part Mean Diameter,2,2,1,100000002,610000002758,
0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000002759,
0,µm,Spine,Spine Part Mean Diameter,1,2,1,100000002,610000002763,
0,µm,Spine,Spine Part Mean Diameter,1,2,1,100000002,610000002768,
0,µm,Spine,Spine Part Mean Diameter,1,2,1,100000002,610000002769,
0,µm,Spine,Spine Part Mean Diameter,1,2,1,100000002,610000002770,
0,µm,Spine,Spine Part Mean Diameter,3,2,1,100000002,610000002771,
0,µm,Spine,Spine Part Mean Diameter,2,1,1,100000002,610000002772,
0,µm,Spine,Spine Part Mean Diameter,2,1,1,100000002,610000002773,
0,µm,Spine,Spine Part Mean Diameter,1,1,1,100000002,610000002774,
0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000002778,
0,µm,Spine,Spine Part Mean Diameter,3,4,1,100000002,610000002780,
0,µm,Spine,Spine Part Mean Diameter,2,3,1,100000002,610000002781,
0,µm,Spine,Spine Part Mean Diameter,3,2,1,100000002,610000002782,
0,µm,Spine,Spine Part Mean Diameter,2,2,1,100000002,610000002783,
0,µm,Spine,Spine Part Mean Diameter,2,2,1,100000002,610000002784,
0,µm,Spine,Spine Part Mean Diameter,2,2,1,100000002,610000002785,
0,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002787,
0,µm,Spine,Spine Part Mean Diameter,3,2,1,100000002,610000002788,
