
Segment Number of Voxel Ch=1 Img=1
 ==================== 
Segment Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
191,,Segment,1,7,Image 1,4,1,100000002,510000000012,
301,,Segment,1,6,Image 1,3,1,100000002,510000000028,
213,,Segment,1,5,Image 1,2,1,100000002,510000000030,
438,,Segment,1,4,Image 1,2,1,100000002,510000000033,
419,,Segment,1,3,Image 1,2,1,100000002,510000000042,
530,,Segment,1,2,Image 1,2,1,100000002,510000000077,
360,,Segment,1,1,Image 1,1,1,100000002,510000000097,
248,,Segment,1,0,Image 1,1,1,100000002,510000000110,
525,,Segment,1,8,Image 1,4,1,100000002,510000000178,
224,,Segment,1,7,Image 1,3,1,100000002,510000000184,
618,,Segment,1,10,Image 1,4,1,100000002,510000000220,
250,,Segment,1,9,Image 1,3,1,100000002,510000000231,
363,,Segment,1,8,Image 1,3,1,100000002,510000000242,
167,,Segment,1,7,Image 1,3,1,100000002,510000000250,
690,,Segment,1,6,Image 1,2,1,100000002,510000000275,
317,,Segment,1,10,Image 1,3,1,100000002,510000000292,
209,,Segment,1,7,Image 1,2,1,100000002,510000000296,
230,,Segment,1,9,Image 1,4,1,100000002,510000000302,
223,,Segment,1,6,Image 1,3,1,100000002,510000000308,
375,,Segment,1,5,Image 1,3,1,100000002,510000000322,
108,,Segment,1,6,Image 1,4,1,100000002,510000000324,
270,,Segment,1,3,Image 1,3,1,100000002,510000000340,
424,,Segment,1,4,Image 1,3,1,100000002,510000000342,
315,,Segment,1,2,Image 1,1,1,100000002,510000000357,
230,,Segment,1,1,Image 1,2,1,100000002,510000000366,
1080,,Segment,1,8,Image 1,3,1,100000000,510000000435,
171,,Segment,1,7,Image 1,3,1,100000000,510000000439,
256,,Segment,1,6,Image 1,3,1,100000000,510000000448,
107,,Segment,1,4,Image 1,3,1,100000000,510000000452,
240,,Segment,1,3,Image 1,3,1,100000000,510000000466,
318,,Segment,1,1,Image 1,2,1,100000000,510000000476,
670,,Segment,1,0,Image 1,1,1,100000000,510000000484,
765,,Segment,1,7,Image 1,4,1,100000000,510000000541,
315,,Segment,1,8,Image 1,4,1,100000000,510000000563,
169,,Segment,1,5,Image 1,4,1,100000000,510000000570,
82,,Segment,1,6,Image 1,4,1,100000000,510000000572,
86,,Segment,1,4,Image 1,4,1,100000000,510000000574,
359,,Segment,1,5,Image 1,3,1,100000003,510000000590,
905,,Segment,1,4,Image 1,2,1,100000003,510000000610,
882,,Segment,1,3,Image 1,1,1,100000003,510000000624,
784,,Segment,1,2,Image 1,1,1,100000003,510000000634,
1035,,Segment,1,1,Image 1,1,1,100000003,510000000643,
1142,,Segment,1,0,Image 1,1,1,100000003,510000000660,
492,,Segment,1,8,Image 1,2,1,100000002,510000000691,
378,,Segment,1,7,Image 1,2,1,100000002,510000000698,
254,,Segment,1,6,Image 1,2,1,100000002,510000000700,
224,,Segment,1,5,Image 1,2,1,100000002,510000000704,
1103,,Segment,1,4,Image 1,2,1,100000002,510000000735,
826,,Segment,1,3,Image 1,2,1,100000002,510000000754,
1172,,Segment,1,2,Image 1,2,1,100000002,510000000784,
731,,Segment,1,1,Image 1,1,1,100000002,510000000790,
1379,,Segment,1,0,Image 1,1,1,100000002,510000000796,
799,,Segment,1,10,Image 1,5,1,100000002,510000000830,
339,,Segment,1,8,Image 1,4,1,100000002,510000000842,
199,,Segment,1,7,Image 1,4,1,100000002,510000000849,
412,,Segment,1,6,Image 1,4,1,100000002,510000000868,
127,,Segment,1,5,Image 1,3,1,100000002,510000000873,
113,,Segment,1,4,Image 1,2,1,100000002,510000000879,
943,,Segment,1,3,Image 1,1,1,100000002,510000000939,
265,,Segment,1,2,Image 1,1,1,100000002,510000000948,
386,,Segment,1,1,Image 1,1,1,100000002,510000000963,
1562,,Segment,1,0,Image 1,1,1,100000002,510000001008,
210,,Segment,1,11,Image 1,5,1,100000002,510000001039,
183,,Segment,1,10,Image 1,4,1,100000002,510000001042,
201,,Segment,1,7,Image 1,4,1,100000002,510000001053,
121,,Segment,1,6,Image 1,3,1,100000002,510000001056,
778,,Segment,1,5,Image 1,3,1,100000002,510000001102,
509,,Segment,1,4,Image 1,3,1,100000002,510000001130,
1036,,Segment,1,3,Image 1,3,1,100000002,510000001161,
112,,Segment,1,6,Image 1,4,1,100000002,510000001168,
353,,Segment,1,7,Image 1,3,1,100000002,510000001176,
130,,Segment,1,11,Image 1,4,1,100000002,510000001182,
71,,Segment,1,6,Image 1,2,1,100000002,510000001188,
1319,,Segment,1,5,Image 1,1,1,100000002,510000001267,
445,,Segment,1,4,Image 1,1,1,100000002,510000001284,
1381,,Segment,1,3,Image 1,1,1,100000002,510000001334,
411,,Segment,1,2,Image 1,1,1,100000002,510000001342,
282,,Segment,1,1,Image 1,1,1,100000002,510000001347,
335,,Segment,1,0,Image 1,1,1,100000002,510000001381,
646,,Segment,1,8,Image 1,5,1,100000002,510000001415,
81,,Segment,1,6,Image 1,1,1,100000002,510000001418,
251,,Segment,1,6,Image 1,3,1,100000002,510000001432,
813,,Segment,1,5,Image 1,2,1,100000002,510000001452,
529,,Segment,1,4,Image 1,2,1,100000002,510000001475,
296,,Segment,1,3,Image 1,2,1,100000002,510000001489,
110,,Segment,1,9,Image 1,5,1,100000002,510000001491,
2252,,Segment,1,6,Image 1,2,1,100000003,510000001639,
608,,Segment,1,5,Image 1,1,1,100000003,510000001653,
1205,,Segment,1,4,Image 1,1,1,100000003,510000001681,
1118,,Segment,1,7,Image 1,3,1,100000002,510000001726,
97,,Segment,1,10,Image 1,5,1,100000002,510000001732,
137,,Segment,1,9,Image 1,4,1,100000002,510000001738,
